appId,title,description,url,genres,developer,developerWebsite,score,ratings,currentVersionReleaseDate,languageCodesISO2A,os,privacyPolicyUrl,contentRating,price,installs,inAppProductPrice,cancerTypes_breast,cancerTypes_prostate,cancerTypes_colorectal,cancerTypes_hodgkin,cancerTypes_pediatric,cancerTypes_bone,cancerTypes_rare,cancerTypes_melanoma,cancerTypes_lung,cancerTypes_pancreatic,cancerTypes_stomach,cancerTypes_bladder,cancerTypes_non-hodgkin,cancerTypes_liver,cancerTypes_kidney,cancerTypes_multiple myeloma,cancerTypes_thyroid,cancerTypes_oral cavity,cancerTypes_esophagus,cancerTypes_larynx,cancerTypes_corpus uteri,cancerTypes_ovarian,cancerTypes_endometrial,cancerTypes_testicular,cancerTypes_neuroblastoma,cancerTypes_wilms,thematicAreas_adverseEvents,thematicAreas_nutrition,thematicAreas_mentalHealth,thematicAreas_qol,thematicAreas_jobSecurityAccessToEmployment,thematicAreas_survivorshipCare,thematicAreas_AYACare,thematicAreas_lateEffects,thematicAreas_wellbeing,thematicAreas_meditation,thematicAreas_co-morbidity,thematicAreas_rehabilitation,thematicAreas_physicalActivity,thematicAreas_socialRehabilitation,thematicAreas_sexualLife,thematicAreas_lifeStyle,thematicAreas_empowermentOfCancerSurvivorship,thematicAreas_inequalitiesInSurvivorship,thematicAreas_prevention,thematicAreas_cancerInformation,thematicAreas_personalExperiences,targetGroups_adult,targetGroups_child,targetGroups_man,targetGroups_woman,time
com.google.android.apps.nbu.files,Files by Google,"✨ <b>Free up space</b> on your device with cleaning recommendations🔍 <b>Find files faster</b> with search and simple browsing↔️ <b>Quickly share files offline</b> with Nearby Share☁️ <b>Back up files to the cloud</b> to save space on your device🔒 <b>Secure your files</b> with a non-device lock<b>Free up space</b>Easily see how much space is left on your device, SD card and USB drive. Free up space by finding old photos from chat apps, duplicate files, clearing cache, and more.<b>Find files faster</b>Save time looking for photos, videos, and documents on your phone. Search quickly or browse your GIFs or share that video you downloaded recently. Sort files by size to understand what’s taking up space.<b>Fast & secure file sharing</b>Share photos, videos, apps, and more to Android and Chromebook devices around you with Nearby Share. Files transfer quickly, with speeds up to 480 Mbps, even without an internet connection. Transfers are private and secured with end-to-end encryption.<b>Secure your files</b>Keep your sensitive files safe with a PIN or pattern that can be different from your device lock.<b>Play offline media</b>Listen to your music or watch your videos with advanced controls like playback speed, shuffle, and more.<b>Back up files</b>Move your files to Google Drive or an SD card to save space on your device. You can also share to other cloud storage apps on your device.<b>Get smart recommendations</b>Get helpful suggestions to save space, protect your device, and more. Your recommendations get smarter the more you use the app.<b>It’s efficient and effective</b>The Files by Google app uses less than 20 MB of storage on your device, it’s easy to use, and has no ads.",https://play.google.com/store/apps/details?id=com.google.android.apps.nbu.files&hl=en&gl=ES,['Tools'],Google LLC,http://filesgo.google.com/,4.619202,7570462,"Oct 30, 2023",['EN'],Android,http://www.google.com/policies/privacy,PEGI 3,0,1000000000,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-30
org.mozilla.firefox,Firefox Fast & Private Browser,"<b>Get the browser that prioritizes people over profits </b>It’s a new era in tech. Don’t settle for a browser made by unethical, profit-driven, data-hoarding companies. By choosing Firefox, you support the non-profit Mozilla Foundation whose mission is to build a better internet — one that puts individual and public benefit over commercial profit. <b>What Firefox offers:</b><b> ✔ PRIVACY-FOCUSED BROWSING</b> • Automatic tracker blocking — By default, Firefox blocks trackers and scripts such as social media trackers, cross-site cookie trackers, crypto-miners and fingerprinters. • Enhanced tracking protection — Choose the “strict” setting and get even more privacy protections. • Private browsing mode — When you close private mode, your browsing history is automatically erased from your device. <b>✔ EASY-TO-USE TABS</b>• Find what you want quickly — create as many tabs as you like without losing track. • See your open tabs as thumbnails or a list view.  • See tabs from your phone on your desktop and vice versa — or choose to keep them separate. <b>✔ PASSWORD MANAGEMENT</b>• Log into sites easily — Firefox remembers your passwords across devices. • Firefox suggests passwords for new log-ins and stores them securely.<b>✔ LIGHTNING-FAST PAGE LOADS </b>• Enhanced Tracking Protection automatically blocks online trackers from following you around the web and slowing down your pages. <b>✔ TAILORED SEARCH OPTIONS</b>• Get suggestions and previously searched results in the search bar so you can quickly access the sites you visit most. • Move the search bar location from the top to the bottom of the screen, making it easier to use with one hand. • Use the Firefox search widget to search the web directly from your device’s home screen. • See the recent searches you’ve done on other devices for seamless searching across mobile, desktop and more.<b>✔ CUSTOMIZE YOUR FIREFOX EXPERIENCE</b>• Get helpful add-on extensions, including ways to block ads, block certain webpages, turbo-charge privacy settings and more. <b>✔ FIREFOX HOME SCREEN</b>• Access your recent bookmarks, top sites and see popular articles from across the internet, recommended by Pocket, which is part of Mozilla. <b>✔ SAVE BATTERY WITH DARK MODE</b> Switch to dark mode any time, reducing eye strain and prolonging your battery power. <b>✔ WATCH VIDEOS WHILE YOU MULTITASK</b> • Pop videos out of their webpages or players and pin them to the top of your phone’s screen to watch while you surf the web and do other things.<b> ✔ SHARE ANYTHING IN A FEW TAPS</b>• Share links to web pages or specific items on a page with easy, quick access to your most recently used apps. <b>LEARN MORE ABOUT FIREFOX WEB BROWSER</b> Read about Firefox permissions: http://mzl.la/Permissions - Stay in the know: https://blog.mozilla.org <b>ABOUT MOZILLA</b> Mozilla exists to build the internet as a public resource accessible to all because we believe open and free is better than closed and controlled. We build products like Firefox to promote choice and transparency and give people more control over their lives online. Learn more at https://www.mozilla.org. Privacy policy: http://www.mozilla.org/legal/privacy/firefox.html",https://play.google.com/store/apps/details?id=org.mozilla.firefox&hl=en&gl=ES,['Communication'],Mozilla,https://www.mozilla.org/firefox/mobile/,4.550787,5170252,"Oct 31, 2023",['EN'],Android,https://www.mozilla.org/privacy/firefox/,PEGI 3,0,100000000,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-10-31
com.microsoft.bing,Bing: Chat with AI & GPT-4,"Bing is an 𝐀𝐈 search engine powered by 𝐆𝐏𝐓-𝟒. Bing has taken the power of 𝐆𝐏𝐓-𝟒 in partnership with 𝐎𝐩𝐞𝐧𝐀𝐈 and enhanced it with real-time information and citations.And it's 𝐟𝐫𝐞𝐞!!!Key Features:🔍 𝐀𝐧 𝐀𝐈-𝐩𝐨𝐰𝐞𝐫𝐞𝐝 𝐬𝐞𝐚𝐫𝐜𝐡 𝐞𝐧𝐠𝐢𝐧𝐞Unleash the power of 𝐆𝐏𝐓-𝟒 in your searches to get straight to your answer instead of scrolling through endless links.Bing will come back with a relevant, sourced summary to save your time and effort.🖊 𝐀 𝐆𝐏𝐓-𝟒 𝐩𝐨𝐰𝐞𝐫𝐞𝐝 𝐰𝐫𝐢𝐭𝐢𝐧𝐠 𝐚𝐬𝐬𝐢𝐬𝐭𝐚𝐧𝐭- Write an email- Create a 5-day itinerary for a dream vacation to Hawaii- Prepare for a job interview- Design a quiz for trivia night- Craft poems- Compose rap lyrics- Weave tales with ease 😊 𝐀 𝐜𝐫𝐞𝐚𝐭𝐢𝐯𝐞 𝐢𝐦𝐚𝐠𝐞 𝐠𝐞𝐧𝐞𝐫𝐚𝐭𝐨𝐫Just dream it, type it, and let Bing create gorgeous images for 𝐅𝐑𝐄𝐄.✍️ 𝐀𝐧 𝐚𝐜𝐜𝐮𝐫𝐚𝐭𝐞 𝐥𝐚𝐧𝐠𝐮𝐚𝐠𝐞 𝐭𝐫𝐚𝐧𝐬𝐥𝐚𝐭𝐨𝐫 𝐚𝐧𝐝 𝐨𝐩𝐭𝐢𝐦𝐢𝐳𝐞𝐫Translate multiple languages.Proofread and optimize content in various languages. All using 𝐆𝐏𝐓-𝟒.🗨 𝐀 𝐟𝐚𝐢𝐭𝐡𝐟𝐮𝐥 𝐚𝐧𝐝 𝐫𝐞𝐥𝐢𝐚𝐛𝐥𝐞 𝐀𝐈-𝐩𝐨𝐰𝐞𝐫𝐞𝐝 𝐜𝐨𝐩𝐢𝐥𝐨𝐭Understand your intent and provide accurate information.Personalize responses base on your preferences and previous interactions.Tell jokes, create stories, and even play games with you.Experience the safest, most powerful way to search, chat, and find inspiration in a single app. Built on the power of 𝐆𝐏𝐓-𝟒.DOWNLOAD BING TODAY!",https://play.google.com/store/apps/details?id=com.microsoft.bing&hl=en&gl=ES,['Tools'],Microsoft Corporation,https://www.bing.com,4.6579804,714766,"Oct 31, 2023",['EN'],Android,https://go.microsoft.com/fwlink/?LinkID=248686,PEGI 3,0,10000000,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-31
com.proximabeta.mf.uamo,Arena Breakout,"Hi Players: Arena Breakout SEASON 2 IS NOW LIVE! In the Battle for the Port update, explore a new map set in Guoyapos Bay City, once the largest naval base in the Dark Zone. Across the wartorn remnants of Kamona, get ready for hazardous raids and high-stakes extraction!Arena Breakout is a next-gen immersive tactical FPS, and a first-of-its-kind extraction looter shooter that pushes the limits of war simulation on mobile. Strategy and tactics are just as crucial as skill and raw firepower. Your mission as a professional operator is to get into the Dark Zone, complete missions, and defeat the enemy using any means necessary. Acquire loot, extract to safety, and get rich while you're doing it!** NEW MAP - PORT ** Welcome to Guoyapos Bay! Explore the city and wage urban warfare in this now desolate no man's land. Within the narrow streets and alleys lies the cruel line between life and death. Intense combat in the streets lurks around every corner. ** NEW WEAPONS **Ready up with all new weaponry! Get ready to pack some heat with a devastating shotgun, revolver and an arsenal of assault rifles including the AN94, AEK, and ACE31. ** NEW MODE - STORM WARNING **Experience intense weather and brave the elements! The fog of war becomes all too real in this mode, and something in the mist will make your skin crawl.** SHOOT, LOOT AND BREAKOUT FOR VICTORY **Stake your claim by emerging victorious, securing all the valuable loot. The true path to victory lies in plotting your breakout, not just in eliminating opponents. In Arena Breakout, high stakes mean high rewards. Put boots to the ground and seize what’s yours in an all-or-nothing war simulation made for mobile.** ULTIMATE GUNSMITH AND REALISTIC GUNPLAY **Create personalized firearms from over 700+ unique attachments. Experience ultra realistic gunplay in a realistic environment. Volumetric cloud tech and over 1,200+ sound effects deliver a truly console-quality experience on mobile.Please note that your feedback will be processed by the Arena Breakout team for improving the game, responding to you, and/or providing support and troubleshooting, such as addressing and remediating technical issues and bugs.To share feedback or for more information, please visit:Official Website: https://arenabreakout.com/Instagram: https://www.instagram.com/arenabreakoutglobal/Twitter: https://twitter.com/Arena__BreakoutYoutube:  https://www.youtube.com/@ArenaBreakoutDiscord: https://discord.gg/arenabreakoutFacebook: https://www.facebook.com/ArenaBreakoutTwitch: https://www.twitch.tv/arenabreakoutmobileTiktok:  https://tiktok.com/@arenabreakoutglobal",https://play.google.com/store/apps/details?id=com.proximabeta.mf.uamo&hl=en&gl=ES,['Action'],Level Infinite,https://arenabreakout.com,4.5465994,368786,"Oct 19, 2023",['EN'],Android,https://arenabreakout.com/privacypolicy.html,PEGI 16,0,10000000,€0.29 - €99.99 if billed through Play,[],[],[],[],[],[],[],[],[],[],[],[],[],['liver'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-10-19
com.openai.chatgpt,ChatGPT,"OpenAI’s latest advancements at your fingertips.This official app is free, syncs your history across devices, and brings you the newest model improvements from OpenAI.With ChatGPT in your pocket, you’ll find:· Instant answers· Tailored advice· Creative inspiration· Professional input· Learning opportunitiesJoin millions of users and try out the app that’s been captivating the world. Download ChatGPT today.Terms of service & privacy policy:https://openai.com/policies/terms-of-usehttps://openai.com/policies/privacy-policy",https://play.google.com/store/apps/details?id=com.openai.chatgpt&hl=en&gl=ES,['Productivity'],OpenAI,https://help.openai.com,4.64433,205382,"Nov 03, 2023",['EN'],Android,https://openai.com/privacy,PEGI 12,0,10000000,€21.99 if billed through Play,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-03
com.datacamp,DataCamp: Data Science and AI,"Learn the world’s most in-demand data science and AI skills with DataCamp for Mobile.DataCamp is for all levels and is used by 12M learners globally. Whether you’re a seasoned practitioner or you’ve never written a line of code, build essential skills across Python, ChatGPT, R, SQL, and more through interactive, bite-sized exercises. Start learning for free with just five minutes a day:• Introduction to ChatGPT: Don’t stay in beginner mode. Explore the power of AI through text summarization, drafting high-quality marketing content, generating and explaining code, and more. Start applying your AI skills in the real world today.• All Opening Course Chapters are Free: Dive into the language of data with universal free chapters across data science, machine learning, data visualization, data engineering, and cloud computing.• Learn Python from Scratch: Begin your data science journey with the world’s most popular programming language with free lessons and in-app coding exercises.• Master SQL: Develop your data analyst skills with our expert-led  SQL curriculum. Learn relational databases, SQL joins, and data analysis in PostgreSQL.• R Basics: Discover data science with R; unleash the power of the tidyverse, data visualization, and much more.Why DataCamp Mobile?• AI-Assisted and Personal Feedback: Learn from your mistakes and reinforce new skills faster with our instant feedback loop.• Knowledge Retention: Save everything you learn in your personal library, complete with flashcards for easy review.• Convenient and Fun: Bespokely designed to help you build a habit while enjoying the learning experience.Want to explore big data? Check out the DataCamp Desktop for courses on Tableau, Power BI, spreadsheets, statistics, Shell, and Git.Read our Privacy Policy and Terms of Service at https://www.datacamp.com/terms-of-use/.Questions? Contact us at https://support.datacamp.com/. Start your data science journey today!",https://play.google.com/store/apps/details?id=com.datacamp&hl=en&gl=ES,['Education'],DataCamp,https://www.datacamp.com,4.821782,31103,"Oct 30, 2023",['EN'],Android,https://www.datacamp.com/privacy-policy,PEGI 3,0,1000000,€9.99 - €283.81 if billed through Play,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-10-30
brychta.stepan.quantum_en,Quantum,"Did you know that there is a world where objects can be in thousands of places at once? A world where you cannot measure the exact position of an object, no matter how hard you try? A world where objects located at opposite ends of the universe can communicate instantly? A world where you cannot be sure of anything, since it is based purely on probability?Welcome to the world of quantum mechanics, undoubtedly the most interesting and controversial physical theory of all time!Quantum contains:• Intelligible explanation of the basic phenomena of quantum mechanics divided into 13 chapters• 60 test questions divided into 4 tests, where you can test your knowledge of quantum mechanics",https://play.google.com/store/apps/details?id=brychta.stepan.quantum_en&hl=en&gl=ES,['Education'],Štěpán Brychta,https://stepanbrychta.com/,4.69,15657,"Jan 06, 2021",['EN'],Android,https://stepanbrychta.com/quantum-privacy-policy.html,PEGI 3,0,1000000,€1.09 - €10.99 if billed through Play,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2021-01-06
cn.computernetworks.networks.networking.learn.toplogy.lan.wan,Computer Network Tutorials,"Build your skills in the Computer Networks. Become a Computer Networking master with this learning app. Learn the basics of Computer Networks or become an expert in networking with this best Computer Networks app. Learn networking and topologies for free with a one-stop learning app - “Learn Computer Networks”. If you’re preparing for a Networking interview or just preparing for your upcoming coding test, this is a must have app for you.With the <b>Learn Computer Networks</b> app, you can find networking Tutorials, Programming Lessons, Programs, Questions & Answers and all that you need to either learn networking basics or to become a Computer Networks expert.With a wide collection of hundreds of programs (code examples) with comments,multiple questions and answers, all your programming learning needs are bundled in a single code learning app.What all you can learn with this networking tutor app?**************************APP FEATURES**************************With the “Learn Computer Networks” app you can make code learning easy and fun.Here are the features that would make us your single choice to learn the Computer Networking -💻Amazing collection of Computer Networks Tutorials chapter-wise💻Questions & Answers in different categories💻Important Exam Questions💻Tutorials for Beginners or Experts at Computer Networks“Learn Computer Networks” app has a really simple and intuitive user interface. It isthe best app to let you learn the Computer Networking for free. So, what are you waiting for? Download the app now to become an expert at Computer Networks.If you have any feedback for us, please write us an email and we will be happy tohelp you out. If you have liked any feature of this app, feel free to rate us on playstore and share with other friends.",https://play.google.com/store/apps/details?id=cn.computernetworks.networks.networking.learn.toplogy.lan.wan&hl=en&gl=ES,['Education'],Coding and Programming,https://programminghub.io,4.75,4704,"Oct 16, 2023",['EN'],Android,https://programminghub.io/privacy,PEGI 3,0,500000,€3.89 - €174.99 if billed through Play,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-16
com.PlanetaryLightworkersTech.KrystalStarTesseract,Quantum Frequency Technologies,"Quantum Frequency Technologies is a set of Sound healing frequency tools and technologies designed to accelerate the evolutionary growth, attainment, and clarity of all. We have meticulously designed our app to serve as a gateway to profound states of meditation, integrating the harmonizing frequencies of our quantum technology. Through immersive soundscapes, guided journeys, and personalized meditation playlist experiences, individuals can access altered states of consciousness, unlocking the depths of their being and expanding their awareness.Activating Sound Frequencies, Brain Wave Entrainment, Star Healing, Scaler Energy, Radionics, Holographic Healing Tools, Neuroscience, Light code Mapping, Isochronic Tones, Binaural Rythyms, pure Plasma & an internal Biofeedback System that Communicates Directly withYour higher Intelligence consciousness.Relax, meditate and gain focus.Supercharge your spiritual journey.Lift the vibration of negatively affected areas around the globe.Assist metaphysical practitioners with their Healing Work.Provide Self-Care treatment for All Via Frequency Sound Healing.Please see Website for more details!www.Oniesha.com©2018-2023 Quantum Frequency TechnologiesContact: interface@qftnexus.comNew Privacy Policy Effective 05/22/23http://www.oniesha.com/privacy-policy.html** Please Note** This App is very big in Size and it requires a Newer Phone or Device to work properly.",https://play.google.com/store/apps/details?id=com.PlanetaryLightworkersTech.KrystalStarTesseract&hl=en&gl=ES,['Health & Fitness'],ONIESHA LLC,http://www.QuantumFrequencyTechnologies.com,4.4444447,1754,"Aug 27, 2023",['EN'],Android,http://www.quantumfrequencytechnologies.com/privacy-policy.html,PEGI 3,0,100000,€31.99 - €159.99 if billed through Play,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['meditation'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-08-27
com.OneGameCompany.TheBoneextraccion,Quantum Casters,"What's new? - Register at www.quantumcasters.com for a free reward at launch. - Open Obeta launch on May 1, 2023. - The Bone was a protocol. The real name is Quantum Casters - Join your local Recruitment Center today! Find it at  www.quantumcasters.com________________Become a Quantum Warrior: - Fight in real life with powers using augmented reality. Up to 8 players in different game modes such as 1 vs. 1 duels, Battle Royal, or 4 vs. 4 with objectives like Capture the Flag or Conquest. - Use your newly discovered powers to gain an advantage in combat and become the ultimate Quantum Warrior.Explore the real world to find all kinds of powers: - Explore the world around you and find new powers. Discover hidden secrets in the real world using your camera and augmented reality. - Defeat these powers, extract them, learn to use them, and collect them all to become stronger.Gain experience and level up: - Gain experience by fighting other players or discovering new powers. - Level up your profile to become more powerful and unlock new technologies. - Use the alchemy station to level up your powers using all kinds of quantum resources you obtain by combating other players or exploring the world.Join your local community: - Recruitment Centers are opening all over the world. Places where recruits gather and organize to have matches, tournaments, trading sessions, and more! - Join your local community today or start your own at www.quantumcasters.comPractice your tactics in the combat simulator: - Test all your powers and strategies in the combat simulator. In this online multiplayer arena, you control a Nerea (a robot) while combat other recruits online. - Use the simulator to practice your tactics and gain an advantage in real-life combat.Quantum Casters is a unique and immersive experience that combines augmented reality, real-life exploration, and multiplayer combat online and in real-life. It's the perfect experience for those who love exploring, battling,  collecting, and having real-life powers. Are you ready to become a Quantum Warrior and explore the Quantum World? Download Quantum Casters now!___________________Notes - There is no harm or physical contact at any moment. All powers function through AR (Augmented Reality.).- Quantum Casters is free-to-play, no pay-to-win and offers in-game purchases.It is optimized for smartphones, not tablets.- Application may not run on certain devices even if compatible OS versions are installed. Some phones' hardware needs more Augmented Reality Capabilities. - Playing while connected to a network is recommended.- Compatibility information may be changed at any time.- Please visit QuantumCasters.com for additional compatibility information.**Information current as of March 1, 2023.",https://play.google.com/store/apps/details?id=com.OneGameCompany.TheBoneextraccion&hl=en&gl=ES,['Action'],OneGameStudio,https://www.quantumcasters.com/,3.2222223,288,"Jul 21, 2023",['EN'],Android,https://www.thebonegame.com/adp,PEGI 3,0,10000,€1.19 - €99.99 if billed through Play,[],[],[],[],[],['bone'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-07-21
