publishedAt,description,title,URL,language,mediaTitle,authors,summary,textLength,keywords,cancerTypes_breast,cancerTypes_prostate,cancerTypes_colorectal,cancerTypes_hodgkin,cancerTypes_pediatric,cancerTypes_bone,cancerTypes_rare,cancerTypes_melanoma,cancerTypes_lung,cancerTypes_pancreatic,cancerTypes_stomach,cancerTypes_bladder,cancerTypes_non-hodgkin,cancerTypes_liver,cancerTypes_kidney,cancerTypes_multiple myeloma,cancerTypes_thyroid,cancerTypes_oral cavity,cancerTypes_esophagus,cancerTypes_larynx,cancerTypes_corpus uteri,cancerTypes_ovarian,cancerTypes_endometrial,cancerTypes_testicular,cancerTypes_neuroblastoma,cancerTypes_wilms,thematicAreas_adverseEvents,thematicAreas_nutrition,thematicAreas_mentalHealth,thematicAreas_qol,thematicAreas_jobSecurityAccessToEmployment,thematicAreas_survivorshipCare,thematicAreas_AYACare,thematicAreas_lateEffects,thematicAreas_wellbeing,thematicAreas_meditation,thematicAreas_co-morbidity,thematicAreas_rehabilitation,thematicAreas_physicalActivity,thematicAreas_socialRehabilitation,thematicAreas_sexualLife,thematicAreas_lifeStyle,thematicAreas_empowermentOfCancerSurvivorship,thematicAreas_inequalitiesInSurvivorship,thematicAreas_prevention,thematicAreas_cancerInformation,thematicAreas_personalExperiences,targetGroups_adult,targetGroups_child,targetGroups_man,targetGroups_woman,time,duration
2023-10-24,"Artificial intelligence companies and governments should allocate at least one third of their AI research and development funding to ensuring the safety and ethical use of the systems, top AI researchers said in a paper on Tuesday.","Governments, firms should spend more on AI safety, top researchers say",https://www.reuters.com/technology/governments-firms-should-spend-more-ai-safety-top-researchers-say-2023-10-24/,en,Reuters,"['Supantha Mukherjee', 'Thomson Reuters', 'Supantha Leads The European Technology', 'Telecoms Coverage', 'With A Special Focus On Emerging Technologies Such As Ai', 'He Has Been A Journalist For About Years. He Joined Reuters In', 'Has Covered A Variety Of Beats Ranging Financial Sector To Technology. He Is Based In Stockholm']","The paper, issued a week before the international AI Safety Summit in London, lists measures that governments and companies should take to address AI risks.
Currently there are no broad-based regulations focusing on AI safety, and the first set of legislation by the European Union is yet to become law as lawmakers are yet to agree on several issues.
""It (investments in AI safety) needs to happen fast, because AI is progressing much faster than the precautions taken,"" he said.
Since the launch of OpenAI's generative AI models, top academics and prominent CEOs such as Elon Musk have warned about the risks on AI, including calling for a six-month pause in developing powerful AI systems.
""There are more regulations on sandwich shops than there are on AI companies.""",360,"['companies', 'firms', 'taken', 'say', 'ai', 'safety', 'regulations', 'researchers', 'spend', 'powerful', 'paper', 'governments', 'systems', 'models']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-24,1.5126050420168067
2023-10-24,Authors and academics also warn development of advanced systems ‘utterly reckless’ without safety checks,"AI firms must be held responsible for harm they cause, ‘godfathers’ of technology say",https://www.theguardian.com/technology/2023/oct/24/ai-firms-must-be-held-responsible-for-harm-they-cause-godfathers-of-technology-say,en,The Guardian,['Dan Milmo'],"Powerful artificial intelligence systems threaten social stability and AI companies must be made liable for harms caused by their products, a group of senior experts including two “godfathers” of the technology has warned.
“It’s time to get serious about advanced AI systems,” said Stuart Russell, professor of computer science at the University of California, Berkeley.
AI companies must adopt specific safety measures if dangerous capabilities are found in their models.
Making tech companies liable for foreseeable and preventable harms from their AI systems.
Some AI experts argue that fears about the existential threat to humans are overblown.",827,"['firms', 'godfathers', 'cause', 'held', 'systems', 'technology', 'safe', 'models', 'computer', 'document', 'companies', 'responsible', 'harm', 'policy', 'experts', 'ai', 'summit', 'say']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-24,3.4747899159663866
2023-10-23,Exclusive: findings show uncontrolled and potentially discriminatory way technology used in Whitehall and some police forces,UK officials use AI to decide on issues from benefits to marriage licences,https://www.theguardian.com/technology/2023/oct/23/uk-officials-use-ai-to-decide-on-issues-from-benefits-to-marriage-licences,en,The Guardian,['Kiran Stacey'],"Government officials are using artificial intelligence (AI) and complex algorithms to help decide everything from who gets benefits to who should have their marriage licence approved, according to a Guardian investigation.
An algorithm used by the Home Office to flag up sham marriages which has been disproportionately selecting people of certain nationalities.
Many are concerned about the abolition earlier this year of an independent government advisory board which held public sector bodies accountable for how they used AI.
Shameem Ahmad, the chief executive of the Public Law Project, said: “AI comes with tremendous potential for social good.
00:06:05 How an AI voice clone fooled Centrelink – videoThe NHS has used AI in a number of contexts, including during the Covid pandemic, when officials used it to help identify at-risk patients who should be advised to shield.",1039,"['licences', 'guardian', 'ai', 'officials', 'issues', 'decisions', 'office', 'tools', 'uk', 'used', 'public', 'marriage', 'benefits', 'decide', 'help', 'potential']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-23,4.3655462184873945
2023-10-24,"Dragoș Tudorache, the MEP who has spent four years drafting AI legislation, is optimistic final text can be agreed by Wednesday",EU 'in touching distance' of world's first laws regulating artificial intelligence,https://www.theguardian.com/technology/2023/oct/24/eu-touching-distance-world-first-law-regulating-artificial-intelligence-dragos-tudorache,en,The Guardian,"[""Lisa O'Carroll""]","The EU is within “touching distance” of passing the world’s first laws on artificial intelligence, giving Brussels the power to shut down services that cause harm to society, says the AI tsar who has spent the last four years developing the legislation.
I would be a pessimist if we did nothing about it.”Tudorache said there was a chance he could get a final text agreed for the AI Act by Wednesday.
“It means AI companies can’t wash away their responsibility.
“AI companies themselves say that they see their models as creating very serious risks, some of them to mankind.
“A training run eats a lot of energy and there is very little public data available to see what the overall toll is,” said Tudorache.",1070,"['artificial', 'worlds', 'touching', 'regulating', 'laws', 'eu', 'companies', 'intelligence', 'public', 'energy', 'tudorache', 'data', 'text', 'ai', 'privacy', 'act', 'distance']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-24,4.495798319327731
2023-10-24,Adobe and Palantir offer unique ways to bet on artificial intelligence technology.,2 No-Brainer Artificial Intelligence (AI) Stocks That Could Soar Like Nvidia,https://www.fool.com/investing/2023/10/24/2-no-brainer-artificial-intelligence-ai-stocks-tha/,en,The Motley Fool,['Will Ebiefung'],"The launch of OpenAI's ChatGPT ushered in a wave of investor excitement for generative artificial intelligence (AI).
AdobeWith shares up by 61% year to date, the market hasn't overlooked Adobe's AI potential.
Palantir TechnologiesLike Adobe, Palantir Technologies is a Software-as-a-Service (SaaS) company that enjoys synergies with generative artificial intelligence.
These tasks are well suited to AI, which can help Palantir automate its workload or expand its services.
While Adobe and Palantir are both excellent ways to invest in the adoption of generative AI technology, they serve different investment strategies.",592,"['palantir', 'intelligence', 'nvidia', 'stocks', 'adobes', 'company', 'ai', 'nobrainer', 'valuation', 'artificial', 'growth', 'generative', 'soar', 'technology', 'adobe', 'help']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-24,2.4873949579831933
2023-10-23,Defense Secretary Gilberto Teodoro issued the order in an Oct. 14 memorandum.,Philippine military ordered to stop using artificial intelligence apps,https://www.c4isrnet.com/artificial-intelligence/2023/10/23/philippine-military-ordered-to-stop-using-artificial-intelligence-apps/,en,C4ISRNET,['The Associated Press'],"MANILA, Philippines — The Philippine defense chief has ordered all defense personnel and the 163,000-member military to refrain from using digital applications that harness artificial intelligence to generate personal portraits, saying they could pose security risks.
Defense Secretary Gilberto Teodoro issued the order in an Oct. 14 memorandum, as Philippine forces have been working to weaken decades-old communist and Muslim insurgencies as well as defend territorial interests in the disputed South China Sea.
The Defense Department on Friday confirmed the authenticity of the memo, which has been circulating online in recent days, but did not provide other details, including what prompted Teodoro to issue the prohibition.
“This seemingly harmless and amusing AI-powered application can be maliciously used to create fake profiles that can lead to identity theft, social engineering, phishing attacks and other malicious activities,” Teodoro said.
“There has already been a report of such a case.”Teodoro ordered all defense and military personnel “to refrain from using AI photo generator applications and practice vigilance in sharing information online” and said their actions should adhere to the Defense Department’s values and policies.",231,"['military', 'security', 'artificial', 'using', 'stop', 'teodoro', 'defense', 'pose', 'online', 'ordered', 'refrain', 'personnel', 'digital', 'apps', 'intelligence']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-23,0.9705882352941176
2023-10-23,"European lawmakers are yet to agree on several issues related to new artificial intelligence rules ahead of a crucial meeting on Tuesday, leaving any deal off the table until December, according to four people familiar with the matter.",EU lawmakers face struggle to reach agreement on AI rules -sources,https://www.reuters.com/technology/eu-lawmakers-face-struggle-reach-agreement-ai-rules-sources-2023-10-23/,en,Reuters,"['Supantha Mukherjee Foo Yun Chee', 'Supantha Mukherjee', 'Foo Yun Chee', 'Thomson Reuters', 'Supantha Leads The European Technology', 'Telecoms Coverage', 'With A Special Focus On Emerging Technologies Such As Ai', 'He Has Been A Journalist For About Years. He Joined Reuters In', 'Has Covered A Variety Of Beats Ranging Financial Sector To Technology. He Is Based In Stockholm', 'An Agenda-Setting']","The draft AI rules have to be agreed by the European Parliament and European Union member states.
A fourth trilogue meeting will be held on Tuesday, a day after EU lawmakers are scheduled to discuss their negotiating stance around foundation models and high-risk AI systems, sources said.
Discussions could then be further de-railed by the European parliament elections in June.
The EU started working on the draft AI Act in 2021.
In May this year, the European parliament agreed on draft legislation including new rules around the use of facial recognition, biometric surveillance, and other AI applications.",447,"['draft', 'parliament', 'lawmakers', 'models', 'ai', 'face', 'agreement', 'rules', 'reach', 'european', 'trilogue', 'meeting', 'eu', 'struggle', 'sources']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-23,1.8781512605042017
2023-10-23,"The tool, called Nightshade, could be used to damage future iterations of image-generating AI models, leveling the playing field between AI companies and artists.",This new data poisoning tool lets artists fight back against generative AI,https://www.technologyreview.com/2023/10/23/1082189/data-poisoning-artists-fight-generative-ai/,en,MIT Technology Review,['Melissa Heikkilä'],"COURTESY OF THE RESEARCHERSZhao admits there is a risk that people might abuse the data poisoning technique for malicious uses.
However, he says attackers would need thousands of poisoned samples to inflict real damage on larger, more powerful models, as they are trained on billions of data samples.
AI companies that have developed generative text-to-image models, such as Stability AI and OpenAI, have offered to let artists opt out of having their images used to train future versions of the models.
“It is going to make [AI companies] think twice, because they have the possibility of destroying their entire model by taking our work without our consent,” she says.
“I’m just really grateful that we have a tool that can help return the power back to the artists for their own work,” she says.",411,"['lets', 'professor', 'nightshade', 'ai', 'involved', 'tool', 'data', 'artists', 'university', 'powerful', 'fight', 'models', 'work', 'poisoning', 'companies', 'generative']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-23,1.726890756302521
2023-10-24,Adobe's AI innovations have incredible potential.,Adobe Is a Top Artificial Intelligence (AI) Stock Hiding in Plain Sight,https://www.fool.com/investing/2023/10/24/adobe-is-a-top-artificial-intelligence-ai-stock-hi/,en,The Motley Fool,['Keithen Drury'],"In the artificial intelligence (AI) investing world, multiple companies have long-shot chances of making a massive difference.
However, one AI investment hiding in plain sight will be fine regardless of how prevalent AI becomes: Adobe (ADBE 0.66%).
Adobe's AI fits nicely into its already successful product suiteFew companies achieved dominance in a particular industry as Adobe has with digital media.
Adobe Sensei is its generative AI product utilized in the Adobe Experience Cloud.
This is an incredibly powerful and useful application of AI, and Adobe is leading the way.",581,"['hiding', 'adobe', 'product', 'companies', 'ai', 'think', 'sensei', 'plain', 'intelligence', 'market', 'artificial', 'stock', 'powerful', 'images', 'sight']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-24,2.4411764705882355
2023-10-24,Alphabet and Nvidia are odds-on favorites to profit from this paradigm shift in technology.,2 Stock-Split Artificial Intelligence (AI) Stocks to Buy Hand Over Fist ...,https://www.fool.com/investing/2023/10/24/2-stock-split-artificial-intelligence-ai-stocks-to/,en,The Motley Fool,['Danny Vena'],"There's an age-old debate on Wall Street regarding the value of stock splits.
More important, however, is the fact that most stock splits are typically preceded by a period of robust business performance that sends the stock price soaring.
Let's look at two companies with a history of stock splits -- fueled by strong financial results -- that could be poised for even greater gains due to recent advances in artificial intelligence (AI).
NvidiaNvidia (NVDA 0.40%) has a long history of performance and stock splits, with the most recent a 4-for-1 stock split coming in late 2021.
The fine printOne of the side effects of a soaring stock price is an equally high valuation -- and neither of these stocks can honestly be called cheap.",875,"['company', 'google', 'intelligence', 'artificial', 'price', 'fist', 'stocksplit', 'cloud', 'stocks', 'alphabet', 'revenue', 'ai', 'buy', 'hand', 'hold', 'forever', 'splits', 'nvidia', 'stock']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-24,3.676470588235294
