publishedAt,description,title,URL,language,mediaTitle,authors,summary,textLength,keywords,cancerTypes_breast,cancerTypes_prostate,cancerTypes_colorectal,cancerTypes_hodgkin,cancerTypes_pediatric,cancerTypes_bone,cancerTypes_rare,cancerTypes_melanoma,cancerTypes_lung,cancerTypes_pancreatic,cancerTypes_stomach,cancerTypes_bladder,cancerTypes_non-hodgkin,cancerTypes_liver,cancerTypes_kidney,cancerTypes_multiple myeloma,cancerTypes_thyroid,cancerTypes_oral cavity,cancerTypes_esophagus,cancerTypes_larynx,cancerTypes_corpus uteri,cancerTypes_ovarian,cancerTypes_endometrial,cancerTypes_testicular,cancerTypes_neuroblastoma,cancerTypes_wilms,thematicAreas_adverseEvents,thematicAreas_nutrition,thematicAreas_mentalHealth,thematicAreas_qol,thematicAreas_jobSecurityAccessToEmployment,thematicAreas_survivorshipCare,thematicAreas_AYACare,thematicAreas_lateEffects,thematicAreas_wellbeing,thematicAreas_meditation,thematicAreas_co-morbidity,thematicAreas_rehabilitation,thematicAreas_physicalActivity,thematicAreas_socialRehabilitation,thematicAreas_sexualLife,thematicAreas_lifeStyle,thematicAreas_empowermentOfCancerSurvivorship,thematicAreas_inequalitiesInSurvivorship,thematicAreas_prevention,thematicAreas_cancerInformation,thematicAreas_personalExperiences,targetGroups_adult,targetGroups_child,targetGroups_man,targetGroups_woman,time,duration
2023-10-24,"India is still lagging in defining pertinent terms such as consent, personality rights, deep fakes, dark patterns, AI and its limits that encapsulate the rights of consumers, data principals and personalities",Urgently need: A law to protect consumers from deep fake ads,https://indianexpress.com/article/opinion/columns/law-deep-fake-ads-anil-kapoor-personality-rights-8997267/,en,The Indian Express,"['Nayan Chandra Mishra', 'Var Template_Content', 'Sso_Login_Box', 'Xwelcome Backorenter The Email Address Or Mobile Number Associated With Your Account To Sign In. Show Passwordsign Innew To The Indian Express Signupxcreate Your Account It Is Quick', 'Easy.Or Show Passwordnextvalidate Otpregisteralready Have An Account', 'Signin', 'Sso_Social_Box', 'Sign In Withgmailfacebookapple', 'Var Follow_Widget_Data', 'Af_Article_Count']","With the towering rise of artificial intelligence-based deep learning, dark patterns are transcending to more sophisticated and eye-catching methods.
While the definitions of consumer rights (s 2(9)), misleading advertisement (s 2(28)), and unfair trade practices (s 2(47)) are broad enough to encompass the usage of deepfakes, most perpetrators are unknown.
For instance, the California Consumer Privacy Act, 2018, while defining consent, stated that consent obtained through dark patterns shall not be considered valid.
We are still lagging in defining some pertinent terms such as consent, personality rights, deep fakes, dark patterns, AI and its limits that encapsulate the rights of consumers, data principals and personalities.
Furthermore, the draft guidelines on dark patterns should also add the use of AI-based deepfakes in its annexure to encapsulate the rising trend.",911,"['protect', 'act', 'patterns', 'dark', 's', 'deepfakes', 'urgently', 'law', 'consumer', 'ads', 'personality', 'need', 'deep', 'rights', 'consumers', 'fake', 'ai']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-24,3.827731092436975
2023-10-20,Deepfake porn is on the rise. The new documentary Another Body is a gut-churning inside look at what it’s like for the women targeted.,Putting a Real Face on Deepfake Porn,https://www.wired.com/story/deepfake-porn-documentary-another-body/,en,WIRED,"['Condé Nast', 'Kate Knibbs', 'Matt Burgess', 'Megan Farokhmanesh', 'Carl Öhman', 'Maryn Mckenna', 'Amit Katwala', 'Gregory Barber', 'Julian Chokkattu', 'Matt Kamen']","The film follows Klein as she tries to figure out who did this to her and what she can do to stop them.
As WIRED reported earlier this week, nonconsensual deepfake porn has skyrocketed in recent years, with hundreds of thousands of videos easily discoverable through Google and Microsoft’s search platforms.
This rise in deepfake porn is made possible by a new wave of AI editing tools available online—tools that Compton and Hamlyn incorporate into their documentary.
We won't reveal how here, but suffice it to say: Another Body does an excellent job of underlining how deepfake technology can distort our perceptions of each other.
When Klein describes how difficult it was to get police to take her situation seriously, the failure is glaringly apparent to viewers.",614,"['porn', 'klein', 'face', 'real', 'kleins', 'deepfake', 'putting', 'point', 'viewer', 'viewers', 'body', 'film', 'weird']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-20,2.5798319327731094
2023-10-23,"Among suggestions was the use of ""vegan grenades,"" according to the in-question video.",Greta Thunberg Deepfake Shows Her Calling for 'Sustainable' War ...,https://www.snopes.com/fact-check/greta-thunberg-deepfake/,en,Snopes.com,['Nur Ibrahim'],"Claim: A video that went viral in October 2023 authentically showed climate activist Greta Thunberg calling for the use of ""sustainable"" war tanks and weaponry, such as ""vegan grenades.""
In late October 2023, as the Israel-Hamas conflict raged on, a video of climate activist Greta Thunberg went viral in which she allegedly called for the use of ""sustainable"" war tanks and weaponry, such as ""vegan grenades.""
The rumor surfaced as Thunberg publicly expressed support for Palestinians in Gaza, spurring headlines such as Fox News' ""Israel responds sharply to Greta Thunberg after 'Stand With Gaza' post.""
That original post by Sincklink captioned the video, ""Greta Thunberg: VEGAN WARS #satire.""
The deepfake video used genuine footage of Thunberg promoting her book ""The Climate Book"" on the BBC in November 2022.",499,"['sustainable', 'weaponry', 'greta', 'calling', 'gaza', 'shows', 'tanks', 'video', 'deepfake', 'climate', 'thunberg', 'vegan', 'grenades', 'war']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-23,2.096638655462185
2023-10-19,"Deepfake technology is already very good and getting better, and not just politicians and celebrities are the targets anymore.",Here are the top 5 ways to spot 'deepfake' videos and images,https://www.click2houston.com/news/local/2023/10/19/here-are-the-top-5-ways-to-spot-deepfake-videos-and-images/,en,KPRC Click2Houston,['Joel Eisenbaum'],"HOUSTON – In less than 10 minutes, it is now possible to create nearly indetectable deepfake videos of anyone and everyone you please.
“Deepfakes” are technically snippets of video in which the face or body has been digitally manipulated so that they appear to be someone else.
But the central idea behind deepfakes can extend into still images and audio, too.
Early deepfakes appeared to have trouble rendering hands correctly, including mastering the intricacies of moving 10 independent fingers convincingly.
Still, for the time being, there are sometimes giveaways to deepfakes.",262,"['minutes', 'salib', 'ways', 'youre', 'videos', 'deepfakes', 'video', 'giveaways', 'quickly', 'images', 'deepfake', 'face', 'houston', 'spot', 'hands']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-19,1.1008403361344539
2023-09-27,The hearing showed that imposing laws and regulations on campaign content without violating constitutional rights to political speech will be difficult.,U.S. Senate panel weighs free speech and deep fakes in AI ...,https://minnesotareformer.com/2023/09/27/u-s-senate-panel-weighs-free-speech-and-deep-fakes-in-ai-campaign-ads/,en,Minnesota Reformer,"['Jacob Fischler', 'More From Author', '- September']","But the hearing showed that imposing laws and regulations on campaign content without violating constitutional rights to political speech will be difficult.
Klobuchar called that “untenable for democracy.”Klobuchar said the hearing underscored the need for Congress to impose guardrails for the use of AI in elections.
“A law prohibiting AI-generated political speech would also sweep an enormous amount of protected and even valuable political discourse under its ambit,” said Ari Cohn, free speech counsel for TechFreedom, a technology think tank.
Trevor Potter, the former chair of the Federal Election Commission, testified that election laws are intended to help voters by requiring transparency about who pays for political speech and who is speaking.
“Congress and the Biden administration should not engage in heavy-handed regulation with uncertain impacts that I believe pose a great risk to limiting political speech,” he said.",979,"['elections', 'content', 'difficult', 'free', 'fakes', 'weighs', 'republican', 'used', 'technology', 'ads', 'ai', 'deep', 'political', 'klobuchar', 'senate', 'speech', 'panel', 'campaign']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-09-27,4.11344537815126
2023-10-02,There’s a new and disturbing form of ‘cyber-abuse’ that a local senator would like fellow legislators to address right now.,Proposed Wisconsin bill to address artificially made ‘deep fake’ pornography,https://www.wbay.com/2023/10/02/proposed-wisconsin-bill-address-artificially-made-deep-fake-pornography/,en,WBAY,[],"BROWN COUNTY, Wis. (WBAY) - There’s a new and disturbing form of ‘cyber-abuse’ that a local senator would like fellow legislators to address right now.
It’s a concern we first told you about a few weeks ago when Brown County Sergent Matthew Wilson told us about the difficult nature of prosecuting so-called ‘victimless crimes’.
Imagine someone took your photo from Facebook and altered it into a ‘deep face’ pornographic photo using artificial intelligence then sold it; that is legal in Wisconsin.
Jacques proposed legislation that would expand the law to include what are known as ‘deep fakes’.
Jacque hopes to get this proposed bill referred to the judiciary of criminal justice committees in both chambers.",464,"['wisconsin', 'proposed', 'pornography', 'wilson', 'bill', 'artificially', 'hopes', 'right', 'deep', 'facebook', 'brown', 'senator', 'address', 'law', 'county', 'fake']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-02,1.949579831932773
2023-10-17,"“The mayor is making deep fakes of himself,” says watchdog Albert Fox Cahn, calling it ""deeply unethical.""",Eric Adams’ revelation that he uses AI to speak in Mandarin stirs outcry: ‘The mayor is making deep fakes of himself’,https://fortune.com/2023/10/17/new-york-city-mnayor-eric-adams-uses-ai-to-speak-mandarin/,en,Fortune,[],"The mayor told reporters about the robocalls on Monday and said they’ve gone out in languages such as Mandarin and Yiddish to promote city hiring events.
They haven’t included any disclosure that he only speaks English or that the calls were generated using AI.
“People stop me on the street all the time and say, ‘I didn’t know you speak Mandarin, you know?’” said Adams, a Democrat.
In New York, the watchdog group Surveillance Technology Oversight Project slammed Adams’ robocalls as an unethical use of artificial intelligence that is misleading to city residents.
“The mayor is making deep fakes of himself,” said Albert Fox Cahn, executive director of the organization.",572,"['artificial', 'making', 'speak', 'yorkers', 'mayor', 'city', 'say', 'intelligence', 'stirs', 'mandarin', 'using', 'robocalls', 'languages', 'revelation', 'fakes', 'voice', 'uses', 'outcry', 'eric']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-10-17,2.403361344537815
2023-10-18,Head of FBI joins UK counterpart in warning of ‘malicious actors’ who could use technology to spread ‘chaos in our societies’,"'Deep fake' AI could threaten next general election, MI5 chief warns",https://www.telegraph.co.uk/news/2023/10/18/general-election-mi5-fbi-deep-fake-ai-terrorism/,en,The Telegraph,"['Robert Mendick', 'Maighna Nanu', 'Nataliya Vasilyeva', 'Candela Orobitg-Baena', 'Michael Murphy', 'Tony Diver', 'Telegraph Reporters', 'Chief Reporter', 'In Palo Alto']","The head of MI5 has warned that “deep fake” artificial intelligence (AI) could be deployed by Britain’s enemies to influence the coming general election.
Ken McCallum, the director general of MI5, said that the intelligence agencies were on alert to “spot” the use of “more sophisticated technologies” ahead of the election.
Mr McCallum also issued a warning that AI carried a “range of risks,” including “enabling terrorism and the spread of dangerous knowledge in ways that we would all regret”.
The fake clip went viral and attracted 1.5 million views on X, formerly known as Twitter.
Speaking at a two-day security summit in Silicon Valley in California, Mr McCallum said: “Deep fake technologies do clearly have potential to cause all kinds of confusion and dissension and chaos in our societies.",381,"['technologies', 'deep', 'mccallum', 'general', 'election', 'ways', 'intelligence', 'warns', 'ai', 'mi5', 'wray', 'threaten', 'chief', 'mr', 'fake']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-18,1.6008403361344539
2023-10-01,A shocking new report has lifted the lid on the depraved world of deep fake porn forums.,EXCLUSIVE: Celebrity deep fake porn doubles in a year thanks to sophisticated AI as stars including Taylor Swi,https://www.dailymail.co.uk/news/article-12545433/Celebrity-deep-fake-porn-doubles-year-thanks-sophisticated-AI-stars-including-Taylor-Swift-Natalie-Portman-Emma-Watson-targeted.html,en,Daily Mail,"['Miles Dilworth', 'Senior Reporter For Dailymail.Com']","Activity on forums dedicated to celebrity deep fake porn has almost doubled in a year as sophisticated artificial intelligence (AI) becomes widely available to the public, DailyMail.com can reveal.
ActiveFence said the number of forums on the open web discussing or sharing celebrity deep fake porn between February and August this year was up by 87 per cent compared to the same period last year.
It is no coincidence that ActiveFence detected a spike in deep fake porn from February this year, a moment it describes as 'The AI Boom'.
Deep fake videos featuring singer Taylor Swift have been viewed hundreds of thousands of times.
MrDeepFakes is one of the most popular deep fake porn websites, and comes out top of a Google search for the term.",1291,"['taylor', 'create', 'explicit', 'images', 'deep', 'swift', 'porn', 'users', 'content', 'fake', 'portman', 'sophisticated', 'thanks', 'watson', 'ai', 'stars', 'celebrity', 'targeted', 'natalie']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-01,5.42436974789916
2023-10-05,Computing wants to be as invisible as the engine of your car.,"This Week In XR: Wearable AI That Can ‘See’ And ‘Talk,’ New Celeb Deep Fakes Denounced",https://www.forbes.com/sites/charliefink/2023/10/05/this-week-in-xr-wearable-ai-that-can-see-and-talk-new-celeb-deep-fakes-denounced/,en,Forbes,"['Charlie Fink', 'Kevin Payne', 'Cassidy Horton']","Meta founder and CEO Mark Zuckerberg speaks during the Meta Connect event at Meta headquarters in ... [+] Menlo Park, California, on September 27, 2023.
Last week, Meta showed us how that might work with its newly updated Ray-Ban audio smartglasses.
To make matters worse, 4Chan just published directions for making political deep fakes and distributing them on social media.
The graphic design giant just introduced Magic Studio which integrates Runway’s AI animation, enabling videos up to 18 seconds long.
A $200 million fund was also set up to pay creators if their work is used to train Canva's AI models.",882,"['virtual', 'meta', 'ai', 'deep', 'canva', 'life', 'wearable', 'denounced', 'la', 'fakes', 'animation', 'xr', 'celeb', 'week', 'work', 'talk']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-05,3.7058823529411766
