Categoría: Todas las categorías

Semana,vpn: (Todo el mundo)
2018-11-04,29
2018-11-11,33
2018-11-18,30
2018-11-25,31
2018-12-02,32
2018-12-09,30
2018-12-16,31
2018-12-23,32
2018-12-30,29
2019-01-06,31
2019-01-13,31
2019-01-20,32
2019-01-27,32
2019-02-03,31
2019-02-10,31
2019-02-17,31
2019-02-24,30
2019-03-03,29
2019-03-10,31
2019-03-17,29
2019-03-24,30
2019-03-31,31
2019-04-07,32
2019-04-14,35
2019-04-21,41
2019-04-28,34
2019-05-05,33
2019-05-12,40
2019-05-19,66
2019-05-26,35
2019-06-02,35
2019-06-09,37
2019-06-16,37
2019-06-23,39
2019-06-30,39
2019-07-07,36
2019-07-14,35
2019-07-21,33
2019-07-28,32
2019-08-04,31
2019-08-11,35
2019-08-18,35
2019-08-25,35
2019-09-01,34
2019-09-08,31
2019-09-15,35
2019-09-22,35
2019-09-29,35
2019-10-06,35
2019-10-13,32
2019-10-20,33
2019-10-27,32
2019-11-03,32
2019-11-10,33
2019-11-17,34
2019-11-24,35
2019-12-01,35
2019-12-08,33
2019-12-15,32
2019-12-22,34
2019-12-29,34
2020-01-05,33
2020-01-12,32
2020-01-19,33
2020-01-26,35
2020-02-02,35
2020-02-09,35
2020-02-16,37
2020-02-23,39
2020-03-01,34
2020-03-08,38
2020-03-15,55
2020-03-22,51
2020-03-29,47
2020-04-05,45
2020-04-12,41
2020-04-19,39
2020-04-26,36
2020-05-03,35
2020-05-10,37
2020-05-17,36
2020-05-24,33
2020-05-31,34
2020-06-07,33
2020-06-14,33
2020-06-21,33
2020-06-28,36
2020-07-05,33
2020-07-12,34
2020-07-19,35
2020-07-26,35
2020-08-02,34
2020-08-09,35
2020-08-16,32
2020-08-23,33
2020-08-30,40
2020-09-06,34
2020-09-13,34
2020-09-20,34
2020-09-27,45
2020-10-04,40
2020-10-11,38
2020-10-18,37
2020-10-25,44
2020-11-01,46
2020-11-08,38
2020-11-15,34
2020-11-22,33
2020-11-29,35
2020-12-06,36
2020-12-13,34
2020-12-20,35
2020-12-27,35
2021-01-03,35
2021-01-10,37
2021-01-17,39
2021-01-24,35
2021-01-31,38
2021-02-07,37
2021-02-14,37
2021-02-21,35
2021-02-28,35
2021-03-07,34
2021-03-14,35
2021-03-21,36
2021-03-28,37
2021-04-04,33
2021-04-11,35
2021-04-18,35
2021-04-25,33
2021-05-02,38
2021-05-09,38
2021-05-16,38
2021-05-23,35
2021-05-30,37
2021-06-06,37
2021-06-13,35
2021-06-20,35
2021-06-27,35
2021-07-04,35
2021-07-11,35
2021-07-18,34
2021-07-25,36
2021-08-01,34
2021-08-08,37
2021-08-15,34
2021-08-22,34
2021-08-29,36
2021-09-05,35
2021-09-12,36
2021-09-19,34
2021-09-26,35
2021-10-03,36
2021-10-10,33
2021-10-17,35
2021-10-24,33
2021-10-31,34
2021-11-07,37
2021-11-14,38
2021-11-21,35
2021-11-28,35
2021-12-05,34
2021-12-12,35
2021-12-19,35
2021-12-26,36
2022-01-02,42
2022-01-09,40
2022-01-16,38
2022-01-23,42
2022-01-30,41
2022-02-06,42
2022-02-13,41
2022-02-20,41
2022-02-27,50
2022-03-06,50
2022-03-13,54
2022-03-20,47
2022-03-27,43
2022-04-03,45
2022-04-10,43
2022-04-17,41
2022-04-24,41
2022-05-01,42
2022-05-08,40
2022-05-15,37
2022-05-22,40
2022-05-29,40
2022-06-05,41
2022-06-12,39
2022-06-19,43
2022-06-26,41
2022-07-03,40
2022-07-10,40
2022-07-17,40
2022-07-24,39
2022-07-31,40
2022-08-07,39
2022-08-14,40
2022-08-21,40
2022-08-28,41
2022-09-04,39
2022-09-11,40
2022-09-18,75
2022-09-25,100
2022-10-02,91
2022-10-09,74
2022-10-16,78
2022-10-23,64
2022-10-30,63
2022-11-06,57
2022-11-13,58
2022-11-20,55
2022-11-27,51
2022-12-04,50
2022-12-11,58
2022-12-18,53
2022-12-25,54
2023-01-01,60
2023-01-08,62
2023-01-15,59
2023-01-22,55
2023-01-29,56
2023-02-05,57
2023-02-12,54
2023-02-19,49
2023-02-26,50
2023-03-05,49
2023-03-12,49
2023-03-19,50
2023-03-26,51
2023-04-02,52
2023-04-09,47
2023-04-16,51
2023-04-23,49
2023-04-30,44
2023-05-07,52
2023-05-14,50
2023-05-21,49
2023-05-28,49
2023-06-04,48
2023-06-11,48
2023-06-18,47
2023-06-25,45
2023-07-02,49
2023-07-09,48
2023-07-16,48
2023-07-23,47
2023-07-30,46
2023-08-06,47
2023-08-13,47
2023-08-20,46
2023-08-27,47
2023-09-03,46
2023-09-10,46
2023-09-17,50
2023-09-24,45
2023-10-01,46
2023-10-08,45
2023-10-15,45
2023-10-22,42
2023-10-29,44
