,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,chatGPT,Text length,0,Duration,0,518,651,990,206,0.9724099544824709,0.9629582660208746,4.763972365808425,0.9845982892460333,0.9795053787827449,4.519447072761111
1,chatGPT,Text length,0,Duration,25,84,651,990,206,0.9662540420850079,0.9547387961603853,5.176919863132599,0.9850403206944796,0.9800846202338586,4.591369265752697
2,chatGPT,Text length,0,Duration,50,26,651,990,206,0.9684934556392703,0.9577235834153517,4.345250934189561,0.9888012420102278,0.9851995332274259,3.4235019485015843
3,chatGPT,Text length,0,Duration,75,14,651,990,206,0.9523049066917092,0.9361904257714924,5.993698597797132,0.9832407700792527,0.9777103426064824,5.11950289147426
4,chatGPT,Text length,0,Duration,100,9,651,990,206,0.9209544430590075,0.8962346824218959,8.347326975827018,0.9773773391520333,0.9697410620245756,7.2258264892307995
5,chatGPT,Text length,0,Duration,125,6,651,990,206,0.9358207666153353,0.9155419690526544,8.658491558609331,0.9785210337635369,0.971297505063349,8.07889303188246
6,chatGPT,Text length,0,Duration,150,3,651,990,206,0.9458520352584916,0.928189741373674,9.172058656472624,0.9818868428270462,0.9757926507287324,8.728868590968371
7,chatGPT,Text length,100,Duration,0,518,646,990,206,0.9722232706290772,0.9627155389047148,4.776326567032825,0.9844716226310761,0.979317502800967,4.506916382947791
8,chatGPT,Text length,100,Duration,25,84,646,990,206,0.9662713658050126,0.9547787192401574,5.1661286759439236,0.9849883044971289,0.9800009827158493,4.580423918747041
9,chatGPT,Text length,100,Duration,50,26,646,990,206,0.9685919934689557,0.9578698675241339,4.352902148614828,0.988892599807995,0.9853016984288694,3.4101738914013255
10,chatGPT,Text length,100,Duration,75,14,646,990,206,0.9525930369817313,0.9366066106811392,5.9764709402824625,0.9834301015913492,0.977949085683164,5.1074831344400184
11,chatGPT,Text length,100,Duration,100,9,646,990,206,0.9214944851799295,0.8970026330521852,8.3201077723828,0.9776770113095808,0.9701449771721271,7.2227313675208675
12,chatGPT,Text length,100,Duration,125,6,646,990,206,0.9360410625894594,0.9159012353294893,8.649581525843589,0.9787531007178275,0.9716163406213637,8.075797910172529
13,chatGPT,Text length,100,Duration,150,3,646,990,206,0.9462667074089657,0.9287890563347783,9.163148623706883,0.9821957424995689,0.9762055152527699,8.725773469258439
14,chatGPT,Text length,1000,Duration,0,518,618,990,206,0.9724059541496003,0.9629673132469602,4.586740659147726,0.9851525151545546,0.9802288534946454,4.252096614753847
15,chatGPT,Text length,1000,Duration,25,84,618,990,206,0.9664331689416076,0.9550075426222642,5.155033208884991,0.9854870873164456,0.9806672086306448,4.578041051173173
16,chatGPT,Text length,1000,Duration,50,26,618,990,206,0.9684708881443213,0.9577207628472069,4.365430938985941,0.9891292956181882,0.9856082888104478,3.406900097110619
17,chatGPT,Text length,1000,Duration,75,14,618,990,206,0.9531550525303268,0.9373769671226501,5.974689532656318,0.9840288833319217,0.978748058061524,5.086981493685123
18,chatGPT,Text length,1000,Duration,100,9,618,990,206,0.922136784339236,0.897870608113814,8.278790850625908,0.9786763049458376,0.971485519053203,7.1698599222993895
19,chatGPT,Text length,1000,Duration,125,6,618,990,206,0.9358457751826827,0.9156949332590752,8.60518144587941,0.9792759282287361,0.9723182644383697,8.023882447445876
20,chatGPT,Text length,1000,Duration,150,3,618,990,206,0.9465084845298841,0.9291411111812444,9.104094951150541,0.9829304025176338,0.9771903728300395,8.66295425384692
21,chatGPT,Text length,2000,Duration,0,518,565,990,206,0.9734703248080306,0.9644152103945908,4.529934060928943,0.9867121265277311,0.9823080324771462,4.183206896103662
22,chatGPT,Text length,2000,Duration,25,84,565,990,206,0.9673467866272111,0.9562648577408034,4.968151743864211,0.9869440445919699,0.9826112733964125,4.306182168771979
23,chatGPT,Text length,2000,Duration,50,26,565,990,206,0.9686449074746752,0.9579946153924166,4.401692431466757,0.9904686617680446,0.9873827570174825,3.2778333222244442
24,chatGPT,Text length,2000,Duration,75,14,565,990,206,0.9526393053470031,0.936792276046631,6.043804111977288,0.9852598519939865,0.9803810457326297,5.06401078832907
25,chatGPT,Text length,2000,Duration,100,9,565,990,206,0.9208758788239653,0.8964822313116196,8.371853246621956,0.9787078045180526,0.9715362161121616,7.184126575899039
26,chatGPT,Text length,2000,Duration,125,6,565,990,206,0.9358383318456798,0.9158738017768544,8.672725684102355,0.9792715996263293,0.9723400841743133,8.040658018914316
27,chatGPT,Text length,2000,Duration,150,3,565,990,206,0.9463181168998662,0.9290477114049295,9.152850045492851,0.9830695691845687,0.9773788427859127,8.680193485201553
28,chatGPT,Text length,3000,Duration,0,518,452,990,206,0.9771262026946332,0.9693153800628784,3.9118230556900904,0.9871103072998179,0.9828340886425573,3.6250052736617455
29,chatGPT,Text length,3000,Duration,25,84,452,990,206,0.9687805236506105,0.9581818609034818,4.996947169997659,0.9865413422876279,0.982057676511427,4.376840464441829
30,chatGPT,Text length,3000,Duration,50,26,452,990,206,0.9695746307992134,0.9592437902298996,4.190657184411966,0.9897925550156769,0.986450039012249,3.289872008283118
31,chatGPT,Text length,3000,Duration,75,14,452,990,206,0.9551824225267271,0.9401555017540925,5.874021467115609,0.9845244053359793,0.9793721208830466,4.984285904596531
32,chatGPT,Text length,3000,Duration,100,9,452,990,206,0.9200103768771706,0.8954610203073444,8.361751102964684,0.9765760784906042,0.9687005264503756,7.162740672853847
33,chatGPT,Text length,3000,Duration,125,6,452,990,206,0.9359082000064253,0.9160304630639481,8.634070717753143,0.9781573325887614,0.970879178048323,8.033812184028516
34,chatGPT,Text length,3000,Duration,150,3,452,990,206,0.9491533035117015,0.9327571462377383,9.075742713098283,0.9822157069169455,0.976243238587651,8.644384982868733
35,chatGPT,Text length,5000,Duration,0,518,271,990,206,0.9707726728677213,0.9608043372324455,4.499514755747757,0.9824358860481293,0.976538526882601,4.0079505884563575
36,chatGPT,Text length,5000,Duration,25,84,271,990,206,0.9644912840790634,0.9524637662407726,5.492437182578028,0.98283286413375,0.9770686620984399,4.807131307131307
37,chatGPT,Text length,5000,Duration,50,26,271,990,206,0.9649949609709357,0.9531358155522054,4.827471767402478,0.9855304335789985,0.9807052243258622,3.8764213532436425
38,chatGPT,Text length,5000,Duration,75,14,271,990,206,0.9551951870479249,0.940128350120086,6.08378010605328,0.9819028004165832,0.9758386411022751,5.228804418173186
39,chatGPT,Text length,5000,Duration,100,9,271,990,206,0.9251902365406425,0.901830427431821,8.136327710509953,0.9775716636738254,0.9700149149359547,7.171979919096689
40,chatGPT,Text length,5000,Duration,125,6,271,990,206,0.9400282672548284,0.9210854424025827,8.388832111683396,0.9781300251901941,0.9708085853544964,7.9105645942503235
41,chatGPT,Text length,5000,Duration,150,3,271,990,206,0.9521401469644891,0.9364971747104806,8.577557654462645,0.9819248475018668,0.975845191226212,8.200891204859623
42,chatGPT,Text length,7500,Duration,0,518,134,990,206,0.9404672275222471,0.9202818225224274,7.129489446569922,0.9667851449670576,0.9554881052471885,6.591975830175169
43,chatGPT,Text length,7500,Duration,25,84,134,990,206,0.934322587033148,0.9123491977854041,7.340244843487985,0.9673182398131501,0.9562100563002804,6.589142512544769
44,chatGPT,Text length,7500,Duration,50,26,134,990,206,0.9387663096867229,0.9180969286454632,6.762294115467153,0.9694990912264407,0.9591467606911529,5.812279925799832
45,chatGPT,Text length,7500,Duration,75,14,134,990,206,0.9229423568249061,0.897357305345317,8.029821890785191,0.9649820226392656,0.9530563470757809,7.097587629999095
46,chatGPT,Text length,7500,Duration,100,9,134,990,206,0.9040192241386135,0.873938971402369,9.380795669812764,0.962107215603554,0.9492422049738755,8.566906556214942
47,chatGPT,Text length,7500,Duration,125,6,134,990,206,0.9166073784719945,0.8902196914517512,9.661121124041646,0.9609847218826678,0.9478368288245489,9.138259112532419
48,chatGPT,Text length,7500,Duration,150,3,134,990,206,0.9208188289710272,0.8952185518860819,10.145501213839072,0.9642221529800599,0.9520812090936814,9.706919319682436
49,chatGPT,Text length,10000,Duration,0,518,74,990,206,0.9312614289345407,0.9088748900223855,6.677387503993789,0.9658755233009235,0.9543250623380317,5.677341658722656
50,chatGPT,Text length,10000,Duration,25,84,74,990,206,0.9351602877364434,0.9139623840854041,7.262147208888063,0.9706242352212923,0.9606819744440082,6.573408231353895
51,chatGPT,Text length,10000,Duration,50,26,74,990,206,0.9360387927568119,0.9150860548238857,7.036409496290732,0.9747868007253783,0.9662596205361073,5.880288581134772
52,chatGPT,Text length,10000,Duration,75,14,74,990,206,0.9155577668605516,0.8886498197668224,8.386779928741745,0.9691483983015918,0.9586768547795891,7.3020107196009585
53,chatGPT,Text length,10000,Duration,100,9,74,990,206,0.8815130344692877,0.8472321006836969,10.14712371717975,0.9610221243230792,0.9479578421144601,9.067568051102306
54,chatGPT,Text length,10000,Duration,125,6,74,990,206,0.8930643560326176,0.862052228980474,10.440809777479608,0.9592378219530302,0.9457979921330204,9.740039110812413
55,chatGPT,Text length,10000,Duration,150,3,74,990,206,0.9002013256643225,0.8703698062785371,10.881520624284768,0.9613612810136077,0.94847476234757,10.335802261706407
