,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,chatGPT,Track time,0,Text length,0,518,651,990,206,0.9724099544824709,0.9629582660208746,4.763972365808425,0.9845982892460333,0.9795053787827449,4.519447072761111
1,chatGPT,Track time,0,Text length,100,518,646,990,206,0.9722232706290772,0.9627155389047148,4.776326567032825,0.9844716226310761,0.979317502800967,4.506916382947791
2,chatGPT,Track time,0,Text length,1000,518,618,990,206,0.9724059541496003,0.9629673132469602,4.586740659147726,0.9851525151545546,0.9802288534946454,4.252096614753847
3,chatGPT,Track time,0,Text length,2000,518,565,990,206,0.9734703248080306,0.9644152103945908,4.529934060928943,0.9867121265277311,0.9823080324771462,4.183206896103662
4,chatGPT,Track time,0,Text length,3000,518,452,990,206,0.9771262026946332,0.9693153800628784,3.9118230556900904,0.9871103072998179,0.9828340886425573,3.6250052736617455
5,chatGPT,Track time,0,Text length,5000,518,271,990,206,0.9707726728677213,0.9608043372324455,4.499514755747757,0.9824358860481293,0.976538526882601,4.0079505884563575
6,chatGPT,Track time,0,Text length,7500,518,134,990,206,0.9404672275222471,0.9202818225224274,7.129489446569922,0.9667851449670576,0.9554881052471885,6.591975830175169
7,chatGPT,Track time,0,Text length,10000,518,74,990,206,0.9312614289345407,0.9088748900223855,6.677387503993789,0.9658755233009235,0.9543250623380317,5.677341658722656
8,chatGPT,Track time,5,Text length,0,518,651,934,206,0.9721549572379247,0.9623370016763798,4.8173163676875985,0.9841173870923288,0.9786936405324412,4.519431836094345
9,chatGPT,Track time,5,Text length,100,518,646,934,206,0.9719525305621074,0.9620717989315156,4.829992293777812,0.9839870634038741,0.9785005087854826,4.506570859988216
10,chatGPT,Track time,5,Text length,1000,518,618,934,206,0.9720831866738533,0.9622556985567728,4.752540442681662,0.9846380442170236,0.9793782125645413,4.377728316683409
11,chatGPT,Track time,5,Text length,2000,518,565,934,206,0.9731405277006796,0.9637060594681293,4.704841847249025,0.9862640193058746,0.981564479314872,4.322052170924316
12,chatGPT,Track time,5,Text length,3000,518,452,934,206,0.9767142986073386,0.9685306847742733,3.962402692922659,0.986689638287826,0.9821323897301444,3.6474413371104006
13,chatGPT,Track time,5,Text length,5000,518,271,934,206,0.9694479796745465,0.9587337120211186,4.708212093574651,0.9817728572915259,0.9754638521213017,4.275675565515779
