,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Filter 3,Threshold 3,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,chatGPT,Track time,0,Text length,0,Duration,0,518,651,990,206,0.9724099544824709,0.9629582660208746,4.763972365808425,0.9845982892460333,0.9795053787827449,4.519447072761111
1,chatGPT,Track time,0,Text length,0,Duration,5,433,651,990,206,0.961370941836509,0.9483187244683409,6.277679035309916,0.9761768669799784,0.9681340800709999,5.997964144070221
2,chatGPT,Track time,0,Text length,0,Duration,10,336,651,990,206,0.9684922081305877,0.9577175607517917,4.8114919233042315,0.9814978446191454,0.9752970365329571,4.386760521678114
3,chatGPT,Track time,0,Text length,0,Duration,15,207,651,990,206,0.9716217535646963,0.9619206568155754,4.435926549355381,0.985164550532262,0.9802292829600313,3.7699657702443705
4,chatGPT,Track time,0,Text length,0,Duration,20,122,651,990,206,0.9669707428454222,0.9557814613609751,4.795440648439436,0.9853910166460146,0.9805041700544942,3.8691953608452327
5,chatGPT,Track time,0,Text length,0,Duration,25,84,651,990,206,0.9662540420850079,0.9547387961603853,5.176919863132599,0.9850403206944796,0.9800846202338586,4.591369265752697
6,chatGPT,Track time,0,Text length,0,Duration,30,56,651,990,206,0.9694439274940306,0.9589736486461528,4.3375335933168575,0.9877133654620412,0.9837546796474623,3.5699149657084646
7,chatGPT,Track time,0,Text length,0,Duration,40,33,651,990,206,0.9583411843829653,0.9443133433059896,6.10648767188231,0.9854813264062083,0.9806609007465865,5.202289657792733
8,chatGPT,Track time,0,Text length,0,Duration,50,26,651,990,206,0.9684934556392703,0.9577235834153517,4.345250934189561,0.9888012420102278,0.9851995332274259,3.4235019485015843
9,chatGPT,Track time,0,Text length,0,Duration,75,14,651,990,206,0.9523049066917092,0.9361904257714924,5.993698597797132,0.9832407700792527,0.9777103426064824,5.11950289147426
10,chatGPT,Track time,0,Text length,0,Duration,100,9,651,990,206,0.9209544430590075,0.8962346824218959,8.347326975827018,0.9773773391520333,0.9697410620245756,7.2258264892307995
11,chatGPT,Track time,0,Text length,0,Duration,125,6,651,990,206,0.9358207666153353,0.9155419690526544,8.658491558609331,0.9785210337635369,0.971297505063349,8.07889303188246
12,chatGPT,Track time,0,Text length,0,Duration,150,3,651,990,206,0.9458520352584916,0.928189741373674,9.172058656472624,0.9818868428270462,0.9757926507287324,8.728868590968371
13,chatGPT,Track time,0,Text length,100,Duration,0,518,646,990,206,0.9722232706290772,0.9627155389047148,4.776326567032825,0.9844716226310761,0.979317502800967,4.506916382947791
14,chatGPT,Track time,0,Text length,100,Duration,5,433,646,990,206,0.9610842429310968,0.9479671953048939,6.287258724477708,0.9759429385763372,0.9678262269724355,5.988247602200034
15,chatGPT,Track time,0,Text length,100,Duration,10,336,646,990,206,0.9683366942724401,0.9575229830965395,4.822430173220234,0.9813354477029564,0.9750698665521332,4.3756660110490255
16,chatGPT,Track time,0,Text length,100,Duration,15,207,646,990,206,0.9715273018491951,0.961805128777334,4.424209854224785,0.9850515081525719,0.980065702358055,3.758081693754767
17,chatGPT,Track time,0,Text length,100,Duration,20,122,646,990,206,0.9669483335589182,0.9557716088330932,4.784982555712897,0.9852611727206327,0.9803234621819312,3.8585878667940303
18,chatGPT,Track time,0,Text length,100,Duration,25,84,646,990,206,0.9662713658050126,0.9547787192401574,5.1661286759439236,0.9849883044971289,0.9800009827158493,4.580423918747041
19,chatGPT,Track time,0,Text length,100,Duration,30,56,646,990,206,0.9696605084304805,0.9592737732262494,4.317722615867122,0.9878135764984598,0.98386928628334,3.5571429794319713
20,chatGPT,Track time,0,Text length,100,Duration,40,33,646,990,206,0.9583232808979919,0.9443223200626873,6.117278859070986,0.9855540657333678,0.9807469447675768,5.191344310787077
21,chatGPT,Track time,0,Text length,100,Duration,50,26,646,990,206,0.9685919934689557,0.9578698675241339,4.352902148614828,0.988892599807995,0.9853016984288694,3.4101738914013255
22,chatGPT,Track time,0,Text length,100,Duration,75,14,646,990,206,0.9525930369817313,0.9366066106811392,5.9764709402824625,0.9834301015913492,0.977949085683164,5.1074831344400184
23,chatGPT,Track time,0,Text length,100,Duration,100,9,646,990,206,0.9214944851799295,0.8970026330521852,8.3201077723828,0.9776770113095808,0.9701449771721271,7.2227313675208675
24,chatGPT,Track time,0,Text length,100,Duration,125,6,646,990,206,0.9360410625894594,0.9159012353294893,8.649581525843589,0.9787531007178275,0.9716163406213637,8.075797910172529
25,chatGPT,Track time,0,Text length,100,Duration,150,3,646,990,206,0.9462667074089657,0.9287890563347783,9.163148623706883,0.9821957424995689,0.9762055152527699,8.725773469258439
26,chatGPT,Track time,0,Text length,1000,Duration,0,518,618,990,206,0.9724059541496003,0.9629673132469602,4.586740659147726,0.9851525151545546,0.9802288534946454,4.252096614753847
27,chatGPT,Track time,0,Text length,1000,Duration,5,433,618,990,206,0.9619118244880179,0.9490786431313095,6.077546777382305,0.9769065578389202,0.9691180717762141,5.7860906796793286
28,chatGPT,Track time,0,Text length,1000,Duration,10,336,618,990,206,0.9685968177119287,0.9578807211012008,4.6314570025204205,0.9821144143321274,0.9761157044933425,4.150397428046994
29,chatGPT,Track time,0,Text length,1000,Duration,15,207,618,990,206,0.9716006068005489,0.9619117340866622,4.3176457181945995,0.9855169022963188,0.9806874831372745,3.5790753626462877
30,chatGPT,Track time,0,Text length,1000,Duration,20,122,618,990,206,0.9669447453357841,0.9557807145826707,4.7627358856651725,0.9856221414898786,0.9808059952161298,3.8421927830980724
31,chatGPT,Track time,0,Text length,1000,Duration,25,84,618,990,206,0.9664331689416076,0.9550075426222642,5.155033208884991,0.9854870873164456,0.9806672086306448,4.578041051173173
32,chatGPT,Track time,0,Text length,1000,Duration,30,56,618,990,206,0.9698695069114138,0.9595622410234783,4.302639283632151,0.9882744326100017,0.9844805116004094,3.5250595064044323
33,chatGPT,Track time,0,Text length,1000,Duration,40,33,618,990,206,0.9588188656391009,0.9449981556420769,6.068610143532036,0.9859830127123203,0.9813188184813991,5.158333818543616
34,chatGPT,Track time,0,Text length,1000,Duration,50,26,618,990,206,0.9684708881443213,0.9577207628472069,4.365430938985941,0.9891292956181882,0.9856082888104478,3.406900097110619
35,chatGPT,Track time,0,Text length,1000,Duration,75,14,618,990,206,0.9531550525303268,0.9373769671226501,5.974689532656318,0.9840288833319217,0.978748058061524,5.086981493685123
36,chatGPT,Track time,0,Text length,1000,Duration,100,9,618,990,206,0.922136784339236,0.897870608113814,8.278790850625908,0.9786763049458376,0.971485519053203,7.1698599222993895
37,chatGPT,Track time,0,Text length,1000,Duration,125,6,618,990,206,0.9358457751826827,0.9156949332590752,8.60518144587941,0.9792759282287361,0.9723182644383697,8.023882447445876
38,chatGPT,Track time,0,Text length,1000,Duration,150,3,618,990,206,0.9465084845298841,0.9291411111812444,9.104094951150541,0.9829304025176338,0.9771903728300395,8.66295425384692
39,chatGPT,Track time,0,Text length,2000,Duration,0,518,565,990,206,0.9734703248080306,0.9644152103945908,4.529934060928943,0.9867121265277311,0.9823080324771462,4.183206896103662
40,chatGPT,Track time,0,Text length,2000,Duration,5,433,565,990,206,0.9626794796258625,0.9501560180736544,6.052556339866808,0.978111560643713,0.9707408857536618,5.737236937220154
41,chatGPT,Track time,0,Text length,2000,Duration,10,336,565,990,206,0.9696706324343729,0.9593456362221694,4.562262206602761,0.9834137749919845,0.9778525434586374,4.089057819797567
42,chatGPT,Track time,0,Text length,2000,Duration,15,207,565,990,206,0.9728388364498316,0.9635929422850591,4.093118812529545,0.9869270487456548,0.9825695151337858,3.3225059742771204
43,chatGPT,Track time,0,Text length,2000,Duration,20,122,565,990,206,0.9676649163870931,0.9567836160705094,4.792723625962696,0.9869108208090114,0.982528233884327,3.92875125810057
44,chatGPT,Track time,0,Text length,2000,Duration,25,84,565,990,206,0.9673467866272111,0.9562648577408034,4.968151743864211,0.9869440445919699,0.9826112733964125,4.306182168771979
45,chatGPT,Track time,0,Text length,2000,Duration,30,56,565,990,206,0.9700097819407049,0.9597793165769389,4.3069686399384075,0.9896085901349154,0.9862495732234906,3.421223514846148
46,chatGPT,Track time,0,Text length,2000,Duration,40,33,565,990,206,0.9586588459702813,0.9448690965012726,5.93694495681097,0.9871595159426994,0.9828837115944896,4.928920442407274
47,chatGPT,Track time,0,Text length,2000,Duration,50,26,565,990,206,0.9686449074746752,0.9579946153924166,4.401692431466757,0.9904686617680446,0.9873827570174825,3.2778333222244442
48,chatGPT,Track time,0,Text length,2000,Duration,75,14,565,990,206,0.9526393053470031,0.936792276046631,6.043804111977288,0.9852598519939865,0.9803810457326297,5.06401078832907
49,chatGPT,Track time,0,Text length,2000,Duration,100,9,565,990,206,0.9208758788239653,0.8964822313116196,8.371853246621956,0.9787078045180526,0.9715362161121616,7.184126575899039
50,chatGPT,Track time,0,Text length,2000,Duration,125,6,565,990,206,0.9358383318456798,0.9158738017768544,8.672725684102355,0.9792715996263293,0.9723400841743133,8.040658018914316
51,chatGPT,Track time,0,Text length,2000,Duration,150,3,565,990,206,0.9463181168998662,0.9290477114049295,9.152850045492851,0.9830695691845687,0.9773788427859127,8.680193485201553
52,chatGPT,Track time,0,Text length,3000,Duration,0,518,452,990,206,0.9771262026946332,0.9693153800628784,3.9118230556900904,0.9871103072998179,0.9828340886425573,3.6250052736617455
53,chatGPT,Track time,0,Text length,3000,Duration,5,433,452,990,206,0.9654192074849174,0.9537884275807113,5.6144533084503285,0.9778209280339388,0.9703600407761491,5.365692533543779
54,chatGPT,Track time,0,Text length,3000,Duration,10,336,452,990,206,0.9722377176994403,0.9627763120743597,4.165599867590241,0.9833327977128558,0.9777382476659495,3.6419866634383244
55,chatGPT,Track time,0,Text length,3000,Duration,15,207,452,990,206,0.9748897050676523,0.9663374240133265,4.018139272505578,0.9866846799443122,0.9822353827916894,3.3075923777249523
56,chatGPT,Track time,0,Text length,3000,Duration,20,122,452,990,206,0.9691198953053966,0.9587231977087449,4.58322060748803,0.9867066221347588,0.9822506935806065,3.6160307501477584
57,chatGPT,Track time,0,Text length,3000,Duration,25,84,452,990,206,0.9687805236506105,0.9581818609034818,4.996947169997659,0.9865413422876279,0.982057676511427,4.376840464441829
58,chatGPT,Track time,0,Text length,3000,Duration,30,56,452,990,206,0.9711257401094354,0.9612773805304717,4.205851084805974,0.9889595176884776,0.9853518450642657,3.421463216149207
59,chatGPT,Track time,0,Text length,3000,Duration,40,33,452,990,206,0.9584894481503691,0.9446739842004688,5.9909198197179965,0.985915688910909,0.9812005075444696,5.065107975321833
60,chatGPT,Track time,0,Text length,3000,Duration,50,26,452,990,206,0.9695746307992134,0.9592437902298996,4.190657184411966,0.9897925550156769,0.986450039012249,3.289872008283118
61,chatGPT,Track time,0,Text length,3000,Duration,75,14,452,990,206,0.9551824225267271,0.9401555017540925,5.874021467115609,0.9845244053359793,0.9793721208830466,4.984285904596531
62,chatGPT,Track time,0,Text length,3000,Duration,100,9,452,990,206,0.9200103768771706,0.8954610203073444,8.361751102964684,0.9765760784906042,0.9687005264503756,7.162740672853847
63,chatGPT,Track time,0,Text length,3000,Duration,125,6,452,990,206,0.9359082000064253,0.9160304630639481,8.634070717753143,0.9781573325887614,0.970879178048323,8.033812184028516
