,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,deep fake,Duration,0,Text length,0,532,403,934,300,0.8821968250424211,0.7823599654846793,14.120057577442488,0.9178000654182091,0.8768005888590223,12.57147190811427
1,deep fake,Duration,0,Text length,100,532,399,934,300,0.8819004408959193,0.7805331622281092,14.120057577442488,0.917779888217227,0.8755409818004941,12.615751641879324
2,deep fake,Duration,0,Text length,1000,532,390,934,300,0.8831817274010111,0.7812493308041663,14.070532434099023,0.9201735462020351,0.8787172218758054,12.53457212997673
3,deep fake,Duration,0,Text length,2000,532,333,934,300,0.882418591031836,0.7852672264510008,14.241009590294865,0.919515041944997,0.8805541641212872,12.486451847743593
4,deep fake,Duration,0,Text length,3000,532,262,934,300,0.8777266717199244,0.7701566358663979,14.44510820109034,0.9200168005299291,0.8738711907231762,12.379767077004406
5,deep fake,Duration,0,Text length,5000,532,151,934,300,0.8652592394903181,0.75172799868627,15.185311811532243,0.9113585206349972,0.8559176405261891,12.686058971789933
6,deep fake,Duration,0,Text length,7500,532,75,934,300,0.8306873299007299,0.6747381357454021,17.077802434088316,0.8934901617823932,0.7977263007283759,14.474340618260184
7,deep fake,Duration,0,Text length,10000,532,39,934,300,0.8360926177843118,0.6497944681589537,16.12854923992417,0.9026924536552061,0.7939780952408221,13.893834400629355
8,deep fake,Duration,5,Text length,0,210,403,934,300,0.8793925572402398,0.7832673680290493,14.544799312320842,0.9144913950468158,0.8768312614010507,13.11196625639608
9,deep fake,Duration,5,Text length,100,210,399,934,300,0.8789684414203451,0.7812930032121783,14.594104940130777,0.9143371940542815,0.8753645359016798,13.152145746287049
10,deep fake,Duration,5,Text length,1000,210,390,934,300,0.8801984828778966,0.7820224916835706,14.599785655482593,0.916703334445042,0.878552044192172,13.078483348153615
11,deep fake,Duration,5,Text length,2000,210,333,934,300,0.8799889244288079,0.7867279225172473,14.601721058749243,0.9164584545569533,0.8810499913572954,12.99488896716927
12,deep fake,Duration,5,Text length,3000,210,262,934,300,0.8759325772030332,0.7731845440133199,14.722919612798226,0.9166705661705511,0.8740658372338541,12.892734281684417
13,deep fake,Duration,5,Text length,5000,210,151,934,300,0.8639736637059164,0.7561522887726688,15.293927575171418,0.9079671439198393,0.856982555267539,12.867928825961537
14,deep fake,Duration,5,Text length,7500,210,75,934,300,0.8325925056107377,0.6858361249340296,16.888108375450155,0.8922960217182594,0.8055052394135149,14.19464488101578
15,deep fake,Duration,5,Text length,10000,210,39,934,300,0.838376350373382,0.6652438403014824,16.173160913059213,0.9013836815911015,0.8046453755630476,14.264044143098563
16,deep fake,Duration,10,Text length,0,110,403,934,300,0.8751160542074887,0.7671342815558917,14.77998419202078,0.9144576487303234,0.8687513353625188,13.259971664055362
17,deep fake,Duration,10,Text length,100,110,399,934,300,0.8748253663327811,0.7653301805488704,14.77998419202078,0.9143900735063045,0.8673908911454001,13.30089205371883
