,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,deep fake,Installs,0,View count,0,532,403,934,300,0.8821968250424211,0.7823599654846793,14.120057577442488,0.9178000654182091,0.8768005888590223,12.57147190811427
1,deep fake,Installs,0,View count,100,499,403,934,300,0.883309037440001,0.7839207512785799,13.989740582577998,0.9182118875150004,0.8772865370001737,12.499714967933595
2,deep fake,Installs,0,View count,1000,483,403,934,300,0.8839387887148701,0.784726104993704,13.897062262859386,0.9183623709596578,0.8772818869228631,12.456810085706813
3,deep fake,Installs,0,View count,10000,408,403,934,300,0.8869379014105703,0.7817954988741305,13.705246178787124,0.9210781091584567,0.8745052313929,12.44050069819969
4,deep fake,Installs,0,View count,20000,357,403,934,300,0.8871143614529647,0.775690506480631,13.818633569958681,0.9235076042871392,0.8731125075319508,12.513254715713492
5,deep fake,Installs,0,View count,35000,322,403,934,300,0.8874136690091945,0.768012011682536,13.821512325054181,0.9261457438980997,0.8717056646823006,12.533544233935032
6,deep fake,Installs,0,View count,50000,295,403,934,300,0.8879531078391053,0.760632808525113,13.578289578228688,0.9285208377301253,0.8685474898937421,12.015753931333947
7,deep fake,Installs,0,View count,75000,263,403,934,300,0.8860737405495805,0.7573608002186896,13.583393419341713,0.9283380428853862,0.8691061661090027,11.961412495067927
8,deep fake,Installs,0,View count,100000,237,403,934,300,0.8835552649978884,0.7504931083148637,13.748551876393478,0.9282256933379849,0.8660300999246262,11.836535276301213
9,deep fake,Installs,0,View count,200000,180,403,934,300,0.8850547798595543,0.7561714448346314,13.999339214996434,0.9310697791139183,0.8701175221712281,11.980725034935768
10,deep fake,Installs,0,View count,300000,149,403,934,300,0.8778426884081654,0.7300480174592292,14.28709252169713,0.9295263867564846,0.8507570587831351,11.993952850530032
11,deep fake,Installs,0,View count,400000,127,403,934,300,0.8773244204666891,0.7259321104163597,14.283248593823233,0.9296703246680135,0.8496985778923376,12.145323721368797
12,deep fake,Installs,0,View count,500000,116,403,934,300,0.8741407861204954,0.7246101236958911,14.505173522501714,0.9271845177589595,0.8492164464159124,12.557292317147725
13,deep fake,Installs,0,View count,750000,79,403,934,300,0.8717862309898342,0.7241779895624842,14.834690594095207,0.926140678727844,0.8482486661373271,12.959855489433204
14,deep fake,Installs,0,View count,1000000,67,403,934,300,0.8762120277112477,0.7405990286639015,14.868116677950798,0.927087892603754,0.858468070001435,13.276215542915375
15,deep fake,Installs,0,View count,10000000,7,403,934,300,0.8778365266679836,0.7695862290442874,14.436649313018751,0.918537470011013,0.8716334883923259,12.519133567801351
16,deep fake,Installs,100,View count,0,532,403,934,248,0.8818647895176166,0.7814192040210322,14.132682281380829,0.9177506699319579,0.8766526466507918,12.589176630267165
17,deep fake,Installs,100,View count,100,499,403,934,248,0.8829715612324287,0.782974213149474,13.999317265267278,0.9181566344754671,0.8771251740546256,12.514046471074584
18,deep fake,Installs,100,View count,1000,483,403,934,248,0.88359432396314,0.7837710122709117,13.908883927359591,0.9182999324660736,0.877104352187006,12.470376774516252
19,deep fake,Installs,100,View count,10000,408,403,934,248,0.886587397987712,0.7808305133964407,13.726188710159246,0.9209982311282682,0.8742690307637386,12.453851528171478
20,deep fake,Installs,100,View count,20000,357,403,934,248,0.8867837981236453,0.7747457510162593,13.8441345160548,0.9234416347085131,0.8728894643844604,12.535276716656583
21,deep fake,Installs,100,View count,35000,322,403,934,248,0.8870570370364019,0.7669972767205107,13.85332768300656,0.9260614497034029,0.8714204828007417,12.559991078009197
22,deep fake,Installs,100,View count,50000,295,403,934,248,0.88759869975321,0.7596069970806641,13.596113780881147,0.9284368919241907,0.8682423260992671,12.037540431019933
23,deep fake,Installs,100,View count,75000,263,403,934,248,0.8856931977531691,0.7562926664339923,13.605176141702476,0.9282441883813715,0.8687804752845067,11.985032085090436
24,deep fake,Installs,100,View count,100000,237,403,934,248,0.8831720482707099,0.7494270116313002,13.763736865517727,0.9281257309620043,0.8656846832251446,11.854466019102404
25,deep fake,Installs,100,View count,200000,180,403,934,248,0.8846452030342639,0.7550472180972084,14.03061043000147,0.9309898827052688,0.8698075081790739,12.005071952336563
26,deep fake,Installs,100,View count,300000,149,403,934,248,0.8774206383222255,0.7288891986495426,14.31754752228116,0.9294391358052365,0.8503910173459798,12.020649991510593
27,deep fake,Installs,100,View count,400000,127,403,934,248,0.87693363542557,0.7248063216699154,14.31657196437602,0.9296020916736087,0.8493678133212682,12.179450261728539
28,deep fake,Installs,100,View count,500000,116,403,934,248,0.8737269816788155,0.7234567168650055,14.538585818146629,0.9271175846752056,0.8489016829592324,12.59136736119483
29,deep fake,Installs,100,View count,750000,79,403,934,248,0.8714446778582756,0.7231642227904072,14.864634157286188,0.926082019623845,0.847953769035828,12.997364574624482
30,deep fake,Installs,100,View count,1000000,67,403,934,248,0.8758718247139486,0.7395915358943377,14.898274053679458,0.9270493781934084,0.8582388228403377,13.315054509376866
31,deep fake,Installs,100,View count,10000000,7,403,934,248,0.8774914586128656,0.7685937541037378,14.44923597049335,0.918482642824648,0.8714495176521854,12.539321074117625
32,deep fake,Installs,1000,View count,0,532,403,934,244,0.8819011346215707,0.7812954861261461,14.135305798600765,0.9178151468889117,0.876563350329025,12.58702344304996
33,deep fake,Installs,1000,View count,100,499,403,934,244,0.8830092118863432,0.7828586280376052,14.001917922372462,0.9182210556870981,0.8770426648464955,12.51034433293921
34,deep fake,Installs,1000,View count,1000,483,403,934,244,0.8836330850036404,0.7836622301544363,13.907759158814642,0.9183645253958329,0.8770278509228392,12.466743709438735
35,deep fake,Installs,1000,View count,10000,408,403,934,244,0.8866254777380022,0.7807381004445705,13.724088662341675,0.9210626185572006,0.8742156953164514,12.45041655294315
36,deep fake,Installs,1000,View count,20000,357,403,934,244,0.8868233923242149,0.7746533365447756,13.845916067333755,0.9235028529855215,0.8728281654466241,12.53314904710536
37,deep fake,Installs,1000,View count,35000,322,403,934,244,0.8871091674991224,0.766928052448017,13.851344452008167,0.9261268327435321,0.8713714964841177,12.559121153974663
38,deep fake,Installs,1000,View count,50000,295,403,934,244,0.8876546894268345,0.759546723459116,13.59413054988276,0.9285056255727189,0.8682063190688735,12.035444371255009
39,deep fake,Installs,1000,View count,75000,263,403,934,244,0.8857610789457796,0.7562556033125168,13.603229980442375,0.9283165876364454,0.8687546186910231,11.981713323795969
40,deep fake,Installs,1000,View count,100000,237,403,934,244,0.8832403819103707,0.7493908670895605,13.760400121019586,0.9282027767632918,0.8656718406246573,11.851159734354153
41,deep fake,Installs,1000,View count,200000,180,403,934,244,0.8846959713476452,0.7549740832221672,14.028553059526507,0.931059378899923,0.8697723198460153,12.004186117554962
42,deep fake,Installs,1000,View count,300000,149,403,934,244,0.8774168082309702,0.7287042265915472,14.319122986158387,0.9294819374375737,0.8502819185990123,12.02345721441004
43,deep fake,Installs,1000,View count,400000,127,403,934,244,0.8769457282839044,0.7246407066531497,14.318428482251798,0.9296318078361403,0.8492156419395956,12.182608749284238
44,deep fake,Installs,1000,View count,500000,116,403,934,244,0.8737436081979211,0.7232975358828782,14.540454448007015,0.9271481301131327,0.8487476953361692,12.595831955551244
45,deep fake,Installs,1000,View count,750000,79,403,934,244,0.8714324222150477,0.7229484476412332,14.866518016186038,0.9261082948397598,0.8477825590172464,13.003376245856536
46,deep fake,Installs,1000,View count,1000000,67,403,934,244,0.8758708958809729,0.7393961852406926,14.900187034777595,0.927087871342208,0.8580958224178729,13.321083176123587
47,deep fake,Installs,1000,View count,10000000,7,403,934,244,0.8775158717572511,0.7684299537380719,14.451906588842936,0.9185412755963254,0.8713269576756731,12.538744036902722
48,deep fake,Installs,10000,View count,0,532,403,934,240,0.881924138458984,0.7813492087569858,14.135546848365005,0.9178136417496111,0.8765481077147768,12.588925047527363
49,deep fake,Installs,10000,View count,100,499,403,934,240,0.8830405320730673,0.7829280147060313,14.00218460965762,0.9182235655777572,0.877036675537148,12.510583467067018
50,deep fake,Installs,10000,View count,1000,483,403,934,240,0.8836712870768794,0.783744615981529,13.908025609784675,0.9183704593901711,0.8770297709518212,12.466980641779315
51,deep fake,Installs,10000,View count,10000,408,403,934,240,0.8866796742784689,0.7808501271181856,13.723948500554926,0.9210757536149761,0.8742339937167021,12.450281769532872
52,deep fake,Installs,10000,View count,20000,357,403,934,240,0.8868718746074731,0.7747535220920849,13.845779263081099,0.9235168589576632,0.8728477229749738,12.532951715034951
53,deep fake,Installs,10000,View count,35000,322,403,934,240,0.8871629349664879,0.7670374993764605,13.847430224642617,0.9261482424968925,0.871407961876244,12.558853853423827
54,deep fake,Installs,10000,View count,50000,295,403,934,240,0.8877032599138497,0.7596450843316761,13.59021632251721,0.928523680745356,0.8682345546094333,12.035215256497146
55,deep fake,Installs,10000,View count,75000,263,403,934,240,0.8858085362222416,0.7563510603944865,13.599353571698707,0.9283344479229146,0.8687825768486673,11.981509666233425
56,deep fake,Installs,10000,View count,100000,237,403,934,240,0.8832854662084754,0.7494804763825884,13.756523712275923,0.9282239601926302,0.8657075701839366,11.850968805389282
57,deep fake,Installs,10000,View count,200000,180,403,934,240,0.8847048327329935,0.7549947304091407,14.030094168368505,0.9310599935419205,0.8697578133763643,12.006464536535841
