,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,deep fake,Track time,0,Text length,0,532,403,934,300,0.8821968250424211,0.7823599654846793,14.120057577442488,0.9178000654182091,0.8768005888590223,12.57147190811427
1,deep fake,Track time,0,Text length,100,532,399,934,300,0.8819004408959193,0.7805331622281092,14.120057577442488,0.917779888217227,0.8755409818004941,12.615751641879324
2,deep fake,Track time,0,Text length,1000,532,390,934,300,0.8831817274010111,0.7812493308041663,14.070532434099023,0.9201735462020351,0.8787172218758054,12.53457212997673
3,deep fake,Track time,0,Text length,2000,532,333,934,300,0.882418591031836,0.7852672264510008,14.241009590294865,0.919515041944997,0.8805541641212872,12.486451847743593
4,deep fake,Track time,0,Text length,3000,532,262,934,300,0.8777266717199244,0.7701566358663979,14.44510820109034,0.9200168005299291,0.8738711907231762,12.379767077004406
5,deep fake,Track time,0,Text length,5000,532,151,934,300,0.8652592394903181,0.75172799868627,15.185311811532243,0.9113585206349972,0.8559176405261891,12.686058971789933
6,deep fake,Track time,0,Text length,7500,532,75,934,300,0.8306873299007299,0.6747381357454021,17.077802434088316,0.8934901617823932,0.7977263007283759,14.474340618260184
7,deep fake,Track time,0,Text length,10000,532,39,934,300,0.8360926177843118,0.6497944681589537,16.12854923992417,0.9026924536552061,0.7939780952408221,13.893834400629355
8,deep fake,Track time,5,Text length,0,532,403,884,300,0.8830792050277384,0.7840611203321126,13.975609483072976,0.9187564197138767,0.8789540258978611,12.141447550967545
9,deep fake,Track time,5,Text length,100,532,399,884,300,0.8828280900101385,0.7822825516648134,13.975609483072976,0.9188130392982926,0.8778329575390825,12.138936960794217
10,deep fake,Track time,5,Text length,1000,532,390,884,300,0.8840434330087318,0.7828312975670383,13.90808392929926,0.9212426520221836,0.8810534720293556,12.035622652748831
11,deep fake,Track time,5,Text length,2000,532,333,884,300,0.8832105005172685,0.7868674042393964,14.216820566841703,0.9204061412509331,0.8825734933145812,12.148447858876725
12,deep fake,Track time,5,Text length,3000,532,262,884,300,0.877878633451286,0.7703534557121359,14.344693871833918,0.9207214355858917,0.8752532513317267,12.093776837851921
13,deep fake,Track time,5,Text length,5000,532,151,884,300,0.8641319870345141,0.7497626403829194,15.193415984451647,0.9116620557860615,0.8563799307220907,12.747088583437245
14,deep fake,Track time,5,Text length,7500,532,75,884,300,0.8270401364311825,0.6684370279174191,17.337497636390253,0.8934924919563365,0.7968042457743255,14.678493643287585
15,deep fake,Track time,5,Text length,10000,532,39,884,300,0.8326214996920093,0.6422005372397922,16.46838682470282,0.9024388342809596,0.7913833583515614,14.369948119413197
16,deep fake,Track time,10,Text length,0,532,403,803,300,0.8789882237452241,0.7774369799162153,14.278436832868936,0.9183796659073062,0.8802398454750816,12.118824719211482
17,deep fake,Track time,10,Text length,100,532,399,803,300,0.8788285647924566,0.7758219510160536,14.278436832868934,0.9185164895078364,0.8792908907419729,12.101731870859231
