,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Filter 3,Threshold 3,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,deep fake,Track time,0,Text length,0,Duration,0,532,403,934,300,0.8821968250424211,0.7823599654846793,14.120057577442488,0.9178000654182091,0.8768005888590223,12.57147190811427
1,deep fake,Track time,0,Text length,0,Duration,5,210,403,934,300,0.8793925572402398,0.7832673680290493,14.544799312320842,0.9144913950468158,0.8768312614010507,13.11196625639608
2,deep fake,Track time,0,Text length,0,Duration,10,110,403,934,300,0.8751160542074887,0.7671342815558917,14.77998419202078,0.9144576487303234,0.8687513353625188,13.259971664055362
3,deep fake,Track time,0,Text length,0,Duration,15,50,403,934,300,0.8778487642356017,0.7705083451491576,14.875487034608465,0.9171474860004362,0.8700943114379615,13.354075439262965
4,deep fake,Track time,0,Text length,0,Duration,20,28,403,934,300,0.8768309281723343,0.7721259022304282,14.820716906458033,0.916270275342753,0.871493521182779,13.198064232837723
5,deep fake,Track time,0,Text length,0,Duration,25,18,403,934,300,0.8758954347175352,0.7668505700599678,14.568583889566844,0.9158864967807219,0.8679943725573198,12.82068493412294
6,deep fake,Track time,0,Text length,0,Duration,30,14,403,934,300,0.8753482406336033,0.7655952690582126,14.583164561481665,0.9157565784856664,0.8674503461210717,12.797123786581862
7,deep fake,Track time,0,Text length,0,Duration,40,9,403,934,300,0.873638843268219,0.7662456684952285,14.595922649407125,0.9142205270950005,0.8676623600865597,12.94961295348345
8,deep fake,Track time,0,Text length,0,Duration,50,5,403,934,300,0.8717910860598259,0.7677728949958853,15.104865435669945,0.9123237243866074,0.8682612594117188,13.691250712939485
9,deep fake,Track time,0,Text length,0,Duration,75,3,403,934,300,0.8769724467523708,0.7741945365310692,14.532132209779801,0.9157434430455373,0.8735247065553534,12.885203189199549
10,deep fake,Track time,0,Text length,0,Duration,100,3,403,934,300,0.8769724467523708,0.7741945365310692,14.532132209779801,0.9157434430455373,0.8735247065553534,12.885203189199549
11,deep fake,Track time,0,Text length,0,Duration,125,2,403,934,300,0.8769724467523708,0.7741945365310692,14.532132209779801,0.9157434430455373,0.8735247065553534,12.885203189199549
12,deep fake,Track time,0,Text length,0,Duration,150,1,403,934,300,0.876972446752371,0.7741945365310694,14.5321322097798,0.9157434430455373,0.8735247065553529,12.885203189199549
13,deep fake,Track time,0,Text length,100,Duration,0,532,399,934,300,0.8819004408959193,0.7805331622281092,14.120057577442488,0.917779888217227,0.8755409818004941,12.615751641879324
14,deep fake,Track time,0,Text length,100,Duration,5,210,399,934,300,0.8789684414203451,0.7812930032121783,14.594104940130777,0.9143371940542815,0.8753645359016798,13.152145746287049
15,deep fake,Track time,0,Text length,100,Duration,10,110,399,934,300,0.8748253663327811,0.7653301805488704,14.77998419202078,0.9143900735063045,0.8673908911454001,13.30089205371883
16,deep fake,Track time,0,Text length,100,Duration,15,50,399,934,300,0.8774696705246623,0.7684716703556337,14.947769295902017,0.9170392809174464,0.8685663842162246,13.402023044114415
17,deep fake,Track time,0,Text length,100,Duration,20,28,399,934,300,0.8763693700550186,0.7699333440085845,14.863840355384438,0.9161890852111677,0.8700193508344608,13.241606356025557
18,deep fake,Track time,0,Text length,100,Duration,25,18,399,934,300,0.8754935324942107,0.764724104890205,14.573222011977334,0.915885717582165,0.8666586821878427,12.867528399056683
19,deep fake,Track time,0,Text length,100,Duration,30,14,399,934,300,0.8749370941466331,0.76345330157499,14.587802683892155,0.9157576318882475,0.8661186298693578,12.843967251515606
20,deep fake,Track time,0,Text length,100,Duration,40,9,399,934,300,0.8732318120395932,0.7641320359263203,14.600560771817616,0.9142396274756013,0.8663825164661685,12.996456418417193
21,deep fake,Track time,0,Text length,100,Duration,50,5,399,934,300,0.8713670373363189,0.7656634140334512,15.159340874760767,0.9123621226048261,0.867049010709028,13.733926483770597
22,deep fake,Track time,0,Text length,100,Duration,75,3,399,934,300,0.8766250552736916,0.7721834539822132,14.536770332190292,0.9157751284628834,0.872280103273532,12.932046654133293
23,deep fake,Track time,0,Text length,100,Duration,100,3,399,934,300,0.8766250552736916,0.7721834539822132,14.536770332190292,0.9157751284628834,0.872280103273532,12.932046654133293
24,deep fake,Track time,0,Text length,100,Duration,125,2,399,934,300,0.8766250552736916,0.7721834539822132,14.536770332190292,0.9157751284628834,0.872280103273532,12.932046654133293
25,deep fake,Track time,0,Text length,100,Duration,150,1,399,934,300,0.8766250552736917,0.7721834539822132,14.53677033219029,0.9157751284628834,0.872280103273532,12.932046654133291
26,deep fake,Track time,0,Text length,1000,Duration,0,532,390,934,300,0.8831817274010111,0.7812493308041663,14.070532434099023,0.9201735462020351,0.8787172218758054,12.53457212997673
27,deep fake,Track time,0,Text length,1000,Duration,5,210,390,934,300,0.8801984828778966,0.7820224916835706,14.599785655482593,0.916703334445042,0.878552044192172,13.078483348153615
28,deep fake,Track time,0,Text length,1000,Duration,10,110,390,934,300,0.8760917189300808,0.765942398759073,14.78690134482464,0.916950799347865,0.8708659484039962,13.241533677572814
29,deep fake,Track time,0,Text length,1000,Duration,15,50,390,934,300,0.8784363207540299,0.7684539425218401,14.978858721134374,0.9194111858014616,0.8715483546606805,13.351803871750867
30,deep fake,Track time,0,Text length,1000,Duration,20,28,390,934,300,0.8774076358892381,0.7700458884825088,14.861121512044889,0.918489236780519,0.8728024984473679,13.196826882832033
31,deep fake,Track time,0,Text length,1000,Duration,25,18,390,934,300,0.8767340443680118,0.7651281730106032,14.513960332965196,0.9182558695312074,0.8695195449493391,12.781648713344822
32,deep fake,Track time,0,Text length,1000,Duration,30,14,390,934,300,0.8762190105595852,0.7639285834857509,14.528541004880017,0.9181870276837127,0.8691097504344112,12.758087565803743
33,deep fake,Track time,0,Text length,1000,Duration,40,9,390,934,300,0.8745952408261206,0.7647777633909703,14.54129909280548,0.9167800484862564,0.869604604544656,12.91057673270533
34,deep fake,Track time,0,Text length,1000,Duration,50,5,390,934,300,0.8729866566500762,0.7668207402391577,14.874500455606126,0.9152027190876099,0.8709333007674486,13.321063889835905
35,deep fake,Track time,0,Text length,1000,Duration,75,3,390,934,300,0.8778613520616882,0.7726320136605236,14.477508653178154,0.9181170870721196,0.8751062893507957,12.84616696842143
36,deep fake,Track time,0,Text length,1000,Duration,100,3,390,934,300,0.8778613520616882,0.7726320136605236,14.477508653178154,0.9181170870721196,0.8751062893507957,12.84616696842143
37,deep fake,Track time,0,Text length,1000,Duration,125,2,390,934,300,0.8778613520616882,0.7726320136605236,14.477508653178154,0.9181170870721196,0.8751062893507957,12.84616696842143
38,deep fake,Track time,0,Text length,1000,Duration,150,1,390,934,300,0.8778613520616882,0.7726320136605238,14.477508653178155,0.9181170870721197,0.8751062893507959,12.846166968421429
39,deep fake,Track time,0,Text length,2000,Duration,0,532,333,934,300,0.882418591031836,0.7852672264510008,14.241009590294865,0.919515041944997,0.8805541641212872,12.486451847743593
40,deep fake,Track time,0,Text length,2000,Duration,5,210,333,934,300,0.8799889244288079,0.7867279225172473,14.601721058749243,0.9164584545569533,0.8810499913572954,12.99488896716927
41,deep fake,Track time,0,Text length,2000,Duration,10,110,333,934,300,0.8766669594366179,0.7724958709002506,14.809678116658874,0.9167804786650527,0.8738052427541683,13.13488656314941
