,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,oscars,Duration,0,Track time,0,527,783,987,158,0.1591005530919358,0.050955359269984,13.921452544838056,0.3957149395095139,0.2947077746302106,12.594057383278694
1,oscars,Duration,0,Track time,5,527,783,953,158,0.15970510008634517,0.05190844396031684,13.948743748638341,0.39614277338750525,0.29534106708265084,12.626643136764658
2,oscars,Duration,0,Track time,10,527,783,919,158,0.16046500535622563,0.05270187970323566,13.884949357835282,0.39432198848849415,0.2924960350264892,12.580985817519837
3,oscars,Duration,0,Track time,15,527,783,881,158,0.15984016571950527,0.05173905350790885,13.866534050665623,0.3929925413437002,0.29036865566294257,12.559118281542535
4,oscars,Duration,0,Track time,20,527,783,849,158,0.15947919036264097,0.05116348521182844,13.850685376932743,0.39340920676082464,0.29111560541147746,12.54144226850051
5,oscars,Duration,0,Track time,25,527,783,809,158,0.160906793376756,0.05293420598907382,13.795642311541824,0.39214988142230583,0.28915582207468915,12.502464393587335
6,oscars,Duration,0,Track time,30,527,783,757,158,0.16264457175886218,0.05567418702904449,13.79406007568341,0.3961052736506315,0.29554093044587226,12.4994428528964
7,oscars,Duration,0,Track time,40,527,783,655,158,0.16465673964186742,0.05858140401518439,13.737792342919647,0.3998434679802449,0.30175639950940325,12.447674853708872
8,oscars,Duration,5,Track time,0,166,783,987,158,0.15925519009829514,0.05185458849470044,13.122284609711466,0.4114252739716449,0.3204289428926159,11.746641214907761
9,oscars,Duration,5,Track time,5,166,783,953,158,0.1598186040292784,0.05274887102743636,13.146784367675759,0.41179170938374454,0.32093578120158883,11.773100710680513
10,oscars,Duration,5,Track time,10,166,783,919,158,0.1605610791996137,0.05351857918020447,13.089515104451165,0.4101700784511178,0.3184815321306306,11.73623555637094
11,oscars,Duration,5,Track time,15,166,783,881,158,0.1599857814383723,0.052619577011317704,13.072983383395675,0.40893650011291555,0.3165328619292364,11.719282517181767
12,oscars,Duration,5,Track time,20,166,783,849,158,0.15961029009859298,0.052055257455268344,13.058755770962298,0.40936353772005746,0.31732572443478535,11.703414472500693
13,oscars,Duration,5,Track time,25,166,783,809,158,0.16097268295696895,0.05374057121320289,13.009342715035599,0.4082201839593097,0.3156025164521414,11.668423399614225
14,oscars,Duration,5,Track time,30,166,783,757,158,0.1626389754595886,0.05634396832325302,13.007579761969911,0.4119574645319067,0.3215789272809564,11.665710913343956
15,oscars,Duration,5,Track time,40,166,783,655,158,0.16462282394678157,0.059148744161994914,12.961394266271151,0.4156010364653458,0.3276693909934589,11.615216938158962
16,oscars,Duration,10,Track time,0,92,783,987,158,0.15934067227515752,0.052496906717642844,13.075207950924554,0.3967821856926913,0.29603328125201533,11.803564304185274
17,oscars,Duration,10,Track time,5,92,783,953,158,0.15988891489412174,0.05337542115165016,13.099707708888847,0.39718747253014663,0.29663205051652053,11.830023799958031
18,oscars,Duration,10,Track time,10,92,783,919,158,0.16063069258913512,0.05414528077937192,13.046262394897633,0.3954798502106756,0.2939838133746569,11.793158645648461
