,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,oscars,Track time,0,Text length,0,527,783,987,158,0.1591005530919358,0.050955359269984,13.921452544838056,0.3957149395095139,0.2947077746302106,12.594057383278694
1,oscars,Track time,0,Text length,100,527,783,987,158,0.1591005530919358,0.050955359269984,13.921452544838056,0.3957149395095139,0.2947077746302106,12.594057383278694
2,oscars,Track time,0,Text length,1000,527,746,987,158,0.16088785568346387,0.05377528073449946,13.791489136000866,0.3984080122458315,0.29901581976218805,12.466896195672692
3,oscars,Track time,0,Text length,2000,527,597,987,158,0.16005908287474072,0.052450972802751364,13.934645168023476,0.39666727988393596,0.2964304708746508,12.603171178531504
4,oscars,Track time,0,Text length,3000,527,413,987,158,0.15757049832641606,0.05218318464690583,13.621536629968036,0.3955902015576561,0.29378777218270113,12.2470781416137
5,oscars,Track time,0,Text length,5000,527,197,987,158,0.15201706945162582,0.05137502948752051,12.133050981498734,0.4103435415374078,0.31514554538011785,10.767925348428783
6,oscars,Track time,0,Text length,7500,527,92,987,158,0.15233510042712708,0.05648695960753567,12.095583535238703,0.405110884319151,0.3060622208244429,10.772539191394223
7,oscars,Track time,0,Text length,10000,527,51,987,158,0.16657409659826172,0.0797548579743699,10.643773618657068,0.4308877381234692,0.34303229643559874,9.403890014867772
8,oscars,Track time,5,Text length,0,527,783,953,158,0.15970510008634517,0.05190844396031684,13.948743748638341,0.39614277338750525,0.29534106708265084,12.626643136764658
9,oscars,Track time,5,Text length,100,527,783,953,158,0.15970510008634517,0.05190844396031684,13.948743748638341,0.39614277338750525,0.29534106708265084,12.626643136764658
10,oscars,Track time,5,Text length,1000,527,746,953,158,0.16150069514516058,0.05472146070162077,13.818449137574687,0.39882319655033166,0.299623329336047,12.498779770486877
11,oscars,Track time,5,Text length,2000,527,597,953,158,0.16068750898339,0.053402472478698754,13.961428718542164,0.39709326782368704,0.29706120493603994,12.634632128694559
12,oscars,Track time,5,Text length,3000,527,413,953,158,0.15826015486960066,0.05320714681784694,13.651649313983834,0.39613410210565864,0.29461668009011904,12.282539092355043
13,oscars,Track time,5,Text length,5000,527,197,953,158,0.15272921800162761,0.052435274435406756,12.163926623896408,0.4106887680798157,0.31560207894896186,10.80585180899027
14,oscars,Track time,5,Text length,7500,527,92,953,158,0.1530519676256471,0.0575535594085204,12.147045177045182,0.40551346594481447,0.3066281676700958,10.81697007056231
15,oscars,Track time,5,Text length,10000,527,51,953,158,0.16716900466375775,0.08061958401935558,10.58787667261465,0.43095783505327795,0.3430614784994949,9.34396600282036
16,oscars,Track time,10,Text length,0,527,783,919,158,0.16046500535622563,0.05270187970323566,13.884949357835282,0.39432198848849415,0.2924960350264892,12.580985817519837
17,oscars,Track time,10,Text length,100,527,783,919,158,0.16046500535622563,0.05270187970323566,13.884949357835282,0.39432198848849415,0.2924960350264892,12.580985817519837
18,oscars,Track time,10,Text length,1000,527,746,919,158,0.16225601972966913,0.05552454201380506,13.755428946562313,0.39701635193206863,0.2968112310604616,12.45407325548285
19,oscars,Track time,10,Text length,2000,527,597,919,158,0.1614265125973524,0.054183758401247346,13.89882098964216,0.39530926184657583,0.29427445215021575,12.590432163460141
20,oscars,Track time,10,Text length,3000,527,413,919,158,0.15908078543868617,0.054058616475240566,13.582374062273967,0.394166635126409,0.2915711897579455,12.229968870595085
21,oscars,Track time,10,Text length,5000,527,197,919,158,0.1536954774057206,0.053386539573430036,12.091753450011256,0.4087053968782018,0.31267936291332804,10.75628513714533
22,oscars,Track time,10,Text length,7500,527,92,919,158,0.15415616012548639,0.058641739581411056,12.064615014615011,0.4033340505449455,0.3034253345413736,10.759329214474844
23,oscars,Track time,10,Text length,10000,527,51,919,158,0.16840275721323797,0.08191057727529251,10.792855566958988,0.42902763558305956,0.3403576264338081,9.563215635458233
24,oscars,Track time,25,Text length,0,527,783,809,158,0.160906793376756,0.05293420598907382,13.795642311541824,0.39214988142230583,0.28915582207468915,12.502464393587335
25,oscars,Track time,25,Text length,100,527,783,809,158,0.160906793376756,0.05293420598907382,13.795642311541824,0.39214988142230583,0.28915582207468915,12.502464393587335
