,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,social media,Duration,0,Text length,0,503,937,972,209,0.8517118301449953,0.4228115359057708,24.336839610118467,0.90276330275344,0.5408921782330096,20.552371423360498
1,social media,Duration,0,Text length,100,503,936,972,209,0.8515000200404462,0.42132992840258127,24.371122894209883,0.9027256107715492,0.5394391205486724,20.564341272947868
2,social media,Duration,0,Text length,1000,503,885,972,209,0.8536157582154615,0.4265786705193786,24.1829530933108,0.9038587815135893,0.5417006342835876,21.037552335776798
3,social media,Duration,0,Text length,2000,503,763,972,209,0.8414472892956184,0.4150156367087076,25.67684811085478,0.9009633037500219,0.5410684162397871,22.437042998851012
4,social media,Duration,0,Text length,3000,503,611,972,209,0.8531153105639677,0.4322551802940634,24.141975379291406,0.9022641544723566,0.5445360353792055,21.212022859156324
5,social media,Duration,0,Text length,5000,503,328,972,209,0.8272364927782433,0.4058781012165112,29.61166439415389,0.8927664662195719,0.550975019862572,27.47809916026198
6,social media,Duration,0,Text length,7500,503,154,972,209,0.7677939606887648,0.34543303489005345,32.47074438710097,0.8693034668646821,0.5243352904417877,29.848091986173635
7,social media,Duration,0,Text length,10000,503,79,972,209,0.7118107128993652,0.3187458504723792,35.68530417414911,0.8478027115690467,0.5243224408453403,33.357885661436036
8,social media,Duration,5,Text length,0,323,937,972,209,0.8552692388523272,0.4275022743023522,24.066200000651072,0.9051265459909567,0.5469605431345858,20.59853982991987
9,social media,Duration,5,Text length,100,323,936,972,209,0.855067796034559,0.4260508657446354,24.09920062686242,0.9050774587350174,0.5455142922541648,20.631860850560447
10,social media,Duration,5,Text length,1000,323,885,972,209,0.8573520952772204,0.4315645440011123,23.860197540152505,0.9060540186960646,0.5475052093549475,20.685987788095524
11,social media,Duration,5,Text length,2000,323,763,972,209,0.8458504948623582,0.4203253430237052,25.104752663916596,0.903419745982768,0.5472101357659002,21.998309139862062
12,social media,Duration,5,Text length,3000,323,611,972,209,0.8571462500979783,0.4375424457307324,23.72957523713472,0.9045150999582837,0.5502186496315407,20.84936289880976
13,social media,Duration,5,Text length,5000,323,328,972,209,0.8327172965240313,0.41184377884649315,28.57020860182199,0.8962449003600803,0.5581605147210856,26.39542826480426
14,social media,Duration,5,Text length,7500,323,154,972,209,0.7775025022294649,0.3533160789285199,31.947586314609758,0.8743034119279295,0.5323356326275596,29.513386546792123
15,social media,Duration,5,Text length,10000,323,79,972,209,0.7248570946949859,0.32704503837014476,35.12313626335726,0.8558215736569054,0.5348753090883706,32.94784971175564
16,social media,Duration,10,Text length,0,221,937,972,209,0.857375753735872,0.44291502357479917,24.361431783917727,0.9052601891463636,0.5629499794430999,21.513832055929647
17,social media,Duration,10,Text length,100,221,936,972,209,0.8571929120067777,0.441537467339416,24.3918295051902,0.9051906861544738,0.5615303983872515,21.544524900709618
18,social media,Duration,10,Text length,1000,221,885,972,209,0.8592835796469763,0.4473530187738244,23.58811606521826,0.9058167034358977,0.5634718539674852,20.252481717181546
19,social media,Duration,10,Text length,2000,221,763,972,209,0.8472935408356709,0.4355566135988946,24.65605450949094,0.9027812618724308,0.5630857282140039,21.176876043661462
20,social media,Duration,10,Text length,3000,221,611,972,209,0.8578797300375787,0.4512335999660952,23.311666766956826,0.9035399079416104,0.5642082778788559,20.10858475580722
21,social media,Duration,10,Text length,5000,221,328,972,209,0.8327551492002917,0.42489293708305553,28.598599245630652,0.8946509435437102,0.5713131404784056,26.630012345883014
22,social media,Duration,10,Text length,7500,221,154,972,209,0.7802072122562305,0.3708454531075344,32.0221621471684,0.8719198740267393,0.5474437801299783,29.615888750999673
23,social media,Duration,10,Text length,10000,221,79,972,209,0.7278644147722024,0.34287489839742324,35.010972850678726,0.8531440387515457,0.5487507497468921,32.88870814219832
24,social media,Duration,15,Text length,0,131,937,972,209,0.8517793858477366,0.4457344168644894,25.582561570233118,0.9043414465506037,0.5806152389967203,23.356379791681327
25,social media,Duration,15,Text length,100,131,936,972,209,0.8515039679846811,0.4442879306129212,25.609296772110714,0.9042082250598948,0.5791306791219494,23.383374558625697
26,social media,Duration,15,Text length,1000,131,885,972,209,0.8528589829753676,0.4492833491792105,24.198072282586566,0.904500104616391,0.5811764159873729,21.371087140540418
27,social media,Duration,15,Text length,2000,131,763,972,209,0.8398654382444124,0.4370403329254396,25.594753310257758,0.9003760194895963,0.5793411373983482,22.486468253554285
28,social media,Duration,15,Text length,3000,131,611,972,209,0.8516692785195475,0.4533034459149536,23.83772109205025,0.9004075686429126,0.5774932504736908,20.711939382859583
