,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,social media,Installs,0,View count,0,503,937,972,209,0.8517118301449953,0.4228115359057708,24.336839610118467,0.90276330275344,0.5408921782330096,20.552371423360498
1,social media,Installs,0,View count,100,503,937,972,209,0.8517118301449953,0.4228115359057708,24.336839610118467,0.90276330275344,0.5408921782330096,20.552371423360498
2,social media,Installs,0,View count,1000,498,937,972,209,0.8518470146880976,0.4232109683380604,24.324621004806485,0.9028505688325209,0.5413306304140986,20.53535736683469
3,social media,Installs,0,View count,10000,450,937,972,209,0.8544639450225303,0.43007734934859027,24.106603215462172,0.9042723647253943,0.5477984333113597,20.273300595722027
4,social media,Installs,0,View count,20000,407,937,972,209,0.8569350813208403,0.43664381619177034,23.902133179501277,0.9060088846578257,0.5548786273338114,19.942857505749068
5,social media,Installs,0,View count,35000,371,937,972,209,0.8563132025038495,0.43728491518346935,23.956474439458617,0.9063196962441671,0.5569416331308463,20.20512531761846
6,social media,Installs,0,View count,50000,345,937,972,209,0.8578925820825563,0.44321090587753176,23.737405887738202,0.9076765883247195,0.5640431725636449,19.83946828967266
7,social media,Installs,0,View count,75000,318,937,972,209,0.8599337299424785,0.45331317324898973,23.6267801592207,0.9092907886571688,0.5764028964914777,20.084916224595062
8,social media,Installs,0,View count,100000,298,937,972,209,0.8629331867209024,0.4667491123453478,23.332965930030575,0.9118062803218937,0.5929068632043483,19.435779302967653
9,social media,Installs,0,View count,200000,252,937,972,209,0.8576859241372355,0.4835002278545492,25.643589186046164,0.9117521106304681,0.6203679988943339,23.26895529054145
10,social media,Installs,0,View count,300000,219,937,972,209,0.8536408942916133,0.4659700684925745,25.681387955499574,0.9110006310231853,0.6086654168843258,23.265866701930708
11,social media,Installs,0,View count,400000,200,937,972,209,0.8545227687626508,0.4709659916408741,24.465793979915766,0.9101344471931097,0.6112927414301552,21.511380373830136
