,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,windows 11,Track time,0,Duration,0,540,1349,984,37,0.750934673021067,0.3585849347132469,21.426386778741634,0.7887455113835338,0.42825428218294714,19.92600253699647
1,windows 11,Track time,0,Duration,25,29,1349,984,37,0.7422191974132255,0.3404171078074566,21.702602952602945,0.7847168149141142,0.4168279337555369,20.45231047805741
2,windows 11,Track time,0,Duration,50,14,1349,984,37,0.7442996835694439,0.3481357166136669,22.090280106119145,0.7878139331615032,0.4264097978208878,19.747702565397756
3,windows 11,Track time,0,Duration,75,10,1349,984,37,0.740993323585601,0.3557020001853314,22.41345890596961,0.7971876122636571,0.45798120317002544,19.694435222875867
4,windows 11,Track time,0,Duration,100,6,1349,984,37,0.7382440783429626,0.34487375669256565,22.41866846895378,0.7907520752540317,0.43913028778578295,20.43999496182923
5,windows 11,Track time,0,Duration,125,4,1349,984,37,0.7442022249365859,0.3543530948575067,22.13692199678746,0.789684736658545,0.4343018085891182,20.394271711264167
6,windows 11,Track time,0,Duration,150,2,1349,984,37,0.7441617969956136,0.349844098705466,22.080781077417843,0.7868446070163919,0.42507595263695025,20.652825437535256
7,windows 11,Track time,5,Duration,0,540,1349,909,37,0.7469311195435506,0.34737567502465716,21.650796681430073,0.7846400970522684,0.41511400759159733,20.27891145990738
8,windows 11,Track time,5,Duration,25,29,1349,909,37,0.7373816496492803,0.3280748958783297,21.988066782038022,0.7801221195626252,0.4026017501553834,20.798631632358752
9,windows 11,Track time,5,Duration,50,14,1349,909,37,0.7394837631739221,0.3359823313785605,22.293046527628036,0.7830625716597923,0.41192754093610173,20.076261236605124
10,windows 11,Track time,5,Duration,75,10,1349,909,37,0.7356582451884337,0.34314474721309224,22.708943326321368,0.7924780827809723,0.4439486450614857,19.841027091500685
11,windows 11,Track time,5,Duration,100,6,1349,909,37,0.733056753737342,0.3321614085066191,22.682463412265236,0.7860659663166099,0.42500098412925547,20.579813945756396
12,windows 11,Track time,5,Duration,125,4,1349,909,37,0.7388670489114952,0.3410763595281284,22.475569418504204,0.7849935091309239,0.4199214603715009,20.679053799568788
13,windows 11,Track time,5,Duration,150,2,1349,909,37,0.7389786752368122,0.33649051841189204,22.420016577625272,0.7822747521403417,0.4108042069860626,20.935251528328777
14,windows 11,Track time,10,Duration,0,540,1349,772,37,0.7530554940966626,0.36782647041515626,21.258928618844973,0.7938029700820415,0.4438086155469265,19.719941036203807
15,windows 11,Track time,10,Duration,25,29,1349,772,37,0.7424207049903512,0.34664106840827996,21.65952462288669,0.7887898579853986,0.43000090848741973,20.300012173965985
16,windows 11,Track time,10,Duration,50,14,1349,772,37,0.7439008399550339,0.3535336632138417,21.860532591022587,0.791233897708462,0.4381805829093431,19.762339504027167
17,windows 11,Track time,10,Duration,75,10,1349,772,37,0.7388188167431358,0.357491058011457,22.44688873323768,0.7997203556794459,0.46700307018086273,19.525392841264047
18,windows 11,Track time,10,Duration,100,6,1349,772,37,0.7366891933337987,0.34748638340083116,22.429597641633183,0.7935257837637997,0.4486910449389262,20.292219580140912
19,windows 11,Track time,10,Duration,125,4,1349,772,37,0.7431172040482575,0.3575862627800823,22.2336685482889,0.7928246761357365,0.4447029391570379,20.47918789296207
20,windows 11,Track time,10,Duration,150,2,1349,772,37,0.7433051604657224,0.35328192581364404,22.205158644980934,0.7901553620412335,0.4358026474890637,20.74582528179781
21,windows 11,Track time,25,Duration,0,540,1349,361,37,0.7331104904106501,0.32457205023455904,21.93250187199872,0.783622839860127,0.4145218139813198,20.634419962219432
22,windows 11,Track time,25,Duration,25,29,1349,361,37,0.719103999306719,0.29998610221825783,22.38129942226831,0.7771572566139907,0.39763145802355987,21.351005995289917
23,windows 11,Track time,25,Duration,50,14,1349,361,37,0.7233742043238212,0.3114709629903242,23.04084073820916,0.7807417811420786,0.4087319765334034,19.865691000080368
24,windows 11,Track time,25,Duration,75,10,1349,361,37,0.720215826240016,0.3275505447690837,23.365303321250455,0.7903505025797464,0.443702546804738,20.35546935358748
25,windows 11,Track time,25,Duration,100,6,1349,361,37,0.7210558609375975,0.3198685754291531,23.297604561371074,0.7863670403923336,0.4295179969371765,21.11758849922315
26,windows 11,Track time,25,Duration,125,4,1349,361,37,0.7307794746461277,0.33339400850923184,22.636130536130533,0.7878391719570437,0.42951717624396096,20.333182962309163
27,windows 11,Track time,25,Duration,150,2,1349,361,37,0.7306240695169299,0.32748160822187855,22.564840714840713,0.7853124901089644,0.42029974034929063,20.57611715864142
28,windows 11,Track time,50,Duration,0,540,1349,214,37,0.7233380311823389,0.31060612697776313,22.64018357906959,0.7749669714067552,0.39491399045404435,21.640477633010935
