publishedAt,description,title,URL,language,mediaTitle,authors,summary,textLength,keywords,cancerTypes_breast,cancerTypes_prostate,cancerTypes_colorectal,cancerTypes_hodgkin,cancerTypes_pediatric,cancerTypes_bone,cancerTypes_rare,cancerTypes_melanoma,cancerTypes_lung,cancerTypes_pancreatic,cancerTypes_stomach,cancerTypes_bladder,cancerTypes_non-hodgkin,cancerTypes_liver,cancerTypes_kidney,cancerTypes_multiple myeloma,cancerTypes_thyroid,cancerTypes_oral cavity,cancerTypes_esophagus,cancerTypes_larynx,cancerTypes_corpus uteri,cancerTypes_ovarian,cancerTypes_endometrial,cancerTypes_testicular,cancerTypes_neuroblastoma,cancerTypes_wilms,thematicAreas_adverseEvents,thematicAreas_nutrition,thematicAreas_mentalHealth,thematicAreas_qol,thematicAreas_jobSecurityAccessToEmployment,thematicAreas_survivorshipCare,thematicAreas_AYACare,thematicAreas_lateEffects,thematicAreas_wellbeing,thematicAreas_meditation,thematicAreas_co-morbidity,thematicAreas_rehabilitation,thematicAreas_physicalActivity,thematicAreas_socialRehabilitation,thematicAreas_sexualLife,thematicAreas_lifeStyle,thematicAreas_empowermentOfCancerSurvivorship,thematicAreas_inequalitiesInSurvivorship,thematicAreas_prevention,thematicAreas_cancerInformation,thematicAreas_personalExperiences,targetGroups_adult,targetGroups_child,targetGroups_man,targetGroups_woman,time,duration
2023-11-02,Brave is rolling out Leo — a native AI assistant that it claims provides “unparalleled privacy” compared to typical AI chatbot services.,Brave responds to Bing and ChatGPT with a new “anonymous and secure” AI chatbot,https://www.theverge.com/2023/11/2/23943193/brave-leo-ai-assistant-chatbot-release-date-price,en,The Verge,['Jess Weatherbed'],"Brave, the privacy-focused browser that automatically blocks unwanted ads and trackers, is rolling out Leo — a native AI assistant that the company claims provides “unparalleled privacy” compared to some other AI chatbot services.
Following several months of testing, Leo is now available to use for free by all Brave desktop users running version 1.60 of the web browser.
Image: BraveThe standard version of Leo utilizes Meta’s Llama 2 large language model and is free to use by default.
For users who prefer to access a different AI language model, Brave is also introducing Leo Premium, a $15 monthly subscription that features Anthropic’s AI assistant, Claude Instant — a faster and cheaper version of Anthropic’s Claude 2 large language model.
We believe that more models will be offered over time and that users should be able to choose among them.”",399,"['language', 'access', 'chatbot', 'features', 'version', 'leo', 'models', 'secure', 'chatgpt', 'responds', 'brave', 'privacy', 'bing', 'anonymous', 'users', 'ai']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-02,1.6764705882352942
2023-10-31,OpenAI's recent update may spark fear among many AI investors and founders who offer easily replicated services.,A ChatGPT change may have just wrecked a bunch of AI startups,https://www.businessinsider.com/openai-chatgpt-pdfs-ai-startups-wrappers-2023-10,en,Business Insider,['Hasan Chowdhury'],"AdvertisementAdvertisementDid OpenAI just kill a bunch of startups by making a small update to ChatGPT?
Specifically, he referred to ""wrapper startups.""
AdvertisementAdvertisementIt isn't necessarily the case that founders who build AI wrapper businesses are doing this to exploit a weakness in ChatGPT.
In May, data scientist Alex Reibman announced ChatOCR , a ChatGPT plugin that ""reads text from PDFs, including scans and handwriting.""
Following the ChatGPT update at the weekend, he ran a poll on X that asked users what would happen to his plugin ""now that ChatGPT has built in PDF processing.""",671,"['chatgpt', 'pdfs', 'ai', 'startup', 'wrapper', 'tech', 'warning', 'founders', 'pdf', 'minor', 'valuation', 'big', 'update', 'blow', 'sign', 'plugin', 'startups']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-10-31,2.819327731092437
2023-10-31,"OpenAI recently introduced a new feature named 'Advanced data analysis', which, as the name suggests, lets users upload documents and get them analysed from the AI powered chatbot.","ChatGPT now lets users upload and analyse PDF files, other documents",https://indianexpress.com/article/technology/artificial-intelligence/chatgpt-now-lets-users-upload-and-analyse-pdf-files-and-other-documents-9007461/,en,The Indian Express,"['Var Template_Content', 'Sso_Login_Box', 'Xwelcome Backorenter The Email Address Or Mobile Number Associated With Your Account To Sign In. Show Passwordsign Innew To The Indian Express Signupxcreate Your Account It Is Quick', 'Easy.Or Show Passwordnextvalidate Otpregisteralready Have An Account', 'Signin', 'Sso_Social_Box', 'Sign In Withgmailfacebookapple', 'Var Follow_Widget_Data', 'Af_Article_Count', 'Ie_Mobile_Check']","OpenAI, the company that made ChatGPT, recently introduced a new feature for the chatbot that lets users upload PDF files and get them analysed.
The functionality is currently in beta and available for ChatGPT Plus members.
The new feature works with various types of documents like PDFs, data files and other files.
ChatGPT’s latest feature can come in handy for those who don’t want to go through lengthy documents and want to get information like summaries, understand various data points and generate graphs and charts based on the data in a file.",92,"['chatgpt', 'analyse', 'documents', 'lets', 'files', 'upload', 'feature', 'users', 'pdf', 'works', 'data', 'various', 'understand']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-31,0.3865546218487395
2023-11-02,"Since the release of ChatGPT nearly a year ago, teachers have debated whether to ban the tool (over fears that students will use it to cheat) or ...",Teens Need Parent Permission to Use ChatGPT. Could That Slow Its Use in Schools?,https://www.edsurge.com/news/2023-11-02-teens-need-parent-permission-to-use-chatgpt-could-that-slow-its-use-in-schools,en,EdSurge,[],"But most students at K-12 schools are not old enough to use ChatGPT without permission from a parent or guardian, according to the tool’s own rules.
In my eighteen years of working in education … I’ve never encountered a platform that requires such a bizarre consent letter.
“It seems like their only reference to academic integrity is buried under a parental consent clause,” he told EdSurge.
ChatGPT does not check whether users between the ages of 13 and 17 have the obtained permission of their parents, Felix confirmed.
Not everyone thinks requiring parental consent for minors to use AI tools is a bad idea.",814,"['consent', 'students', 'ai', 'need', 'teens', 'parent', 'schools', 'tool', 'permission', 'tools', 'parental', 'chatgpt', 'openai', 'slow']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-02,3.4201680672268906
2023-11-01,"In the last year, chatbots powered by large language models are everywhere and even … useful. But how do they work?",How AI chatbots like ChatGPT or Bard work – visual explainer,https://www.theguardian.com/technology/ng-interactive/2023/nov/01/how-ai-chatbots-like-chatgpt-or-bard-work-visual-explainer,en,The Guardian,"['Seán Clarke', 'Dan Milmo', 'Garry Blight']","The siblings are unhappy The sibling s are un happy A tidy thing to eat pasta with is A nice thing to eat pasta with is A tidy thing to eat pasta with is a fork.
A nice thing to eat pasta with is pesto.
A tidy thing to eat pasta with A nice thing to eat pasta with What is a tidy thing to eat pasta with?
What is a nice thing to eat pasta with?
and (in a different chat ... ) ""What is a nice thing to eat pasta with?""",947,"['eat', 'tidy', 'words', 'chatgpt', 'bard', 'visual', 'llm', 'ai', 'word', 'thing', 'models', 'nice', 'vectors', 'explainer', 'work', 'chatbots', 'pasta']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-01,3.9789915966386555
2023-11-01,"Chinese search engine giant Baidu launched on Wednesday a paid version of its ChatGPT-like product Ernie bot, charging 59.9 yuan ($8.18) per month.",Baidu launches paid version of ChatGPT-like Ernie Bot,https://www.reuters.com/technology/baidu-launches-paid-version-chatgpt-like-ernie-bot-2023-11-01/,en,Reuters,[],"[1/2] The logo of Baidu's AI chatbot Ernie Bot is displayed near a screen showing the Baidu logo, in this illustration picture taken June 28, 2023.
REUTERS/Florence Lo/Illustration Acquire Licensing RightsBEIJING, Nov 1 (Reuters) - Chinese search engine giant Baidu launched on Wednesday a paid version of its ChatGPT-like product Ernie bot, charging 59.9 yuan ($8.18) per month.
Ernie bot, which like ChatGPT is powered by generative artificial intelligence, was the first of many Chinese AI-powered chatbots to be unveiled this year.
($1 = 7.3191 Chinese yuan)Reporting by Eduardo Baptista; Editing by Jacqueline WongOur Standards: The Thomson Reuters Trust Principles.",103,"['chatgptlike', 'yuan', 'baidu', 'wongour', 'year1', 'chinese', 'version', 'ernie', 'launches', 'logo', 'paid', 'bot', 'yuanreporting']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-01,0.4327731092436975
2023-11-02,"Yes, AI may destroy the world as we know it. But it can also make your working day a hell of a lot easier.",How to Use ChatGPT in Non-Evil Ways,https://www.vice.com/en/article/n7e95z/how-to-use-chatgpt-vice-guide,en,VICE,"['Maxwell Strachan', 'Claire Woodcock', 'Nick Thompson', 'Matthew Gault']","In a world where work is constantly evolving, there's a disruptive force making its mark in offices everywhere: ChatGPT .
In fact, a recent survey found that 43% of working professionals have used AI tools such as ChatGPT to accomplish tasks at work.
ChatGPT is basically the latest shiniest efficiency hackNeed help scheduling meetings, booking flights, or ordering office supplies?
In the interest of your work emails and uni essays, VICE has chatted to ChatGPT gurus about how to get the most out of it.
In the interest of your work emails and uni essays, VICE has chatted to ChatGPT gurus about how to get the most out of it.",603,"['emails', 'chatgpt', 'work', 'assistant', 'ai', 'whats', 'chatgpts', 'youve', 'come', 'generate', 'nonevil', 'ways']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-02,2.533613445378151
2023-11-02,One BYU professor is using AI in unprecedented ways in his classroom this semester.,BYU professor teaches writing with ChatGPT - The Daily Universe,https://universe.byu.edu/2023/11/02/byu-professor-teaches-writing-with-chatgpt/,en,Universe.byu.edu,['Annika Ohran'],"Hooke is enrolled in Robert Walz’ public relations writing class, where students are writing about 200 articles this semester using AI.
(Annika Ohran)One BYU professor is using AI in unprecedented ways in his classroom this semester.
According to Walz, in years past, the PR writing class has focused on teaching grammar, punctuation, spelling and AP style rules.
For Lauren Felker, a senior enrolled in Walz’s writing class and visual communications class, there were mixed feelings about the classes at first.
Walz expressed he is excited about being able to focus more on storytelling in his writing class.",1025,"['teaches', 'students', 'chatgpt', 'class', 'articles', 'hooke', 'byu', 'professor', 'walz', 'things', 'writing', 'ai', 'using', 'relations']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-02,4.30672268907563
2023-11-02,"Feeling perplexed about how to write effective prompts for AI models like ChatGPT? In this week's roundup from Advisory Board's Thomas Seay, learn about an easy-to-use technique that lets ChatGPT create its own prompts. Plus, catch up on all the latest developments in healthcare AI, from ethical decision-making to a major executive order.",AI Roundup: Can ChatGPT act as its own 'prompt engineer'?,https://www.advisory.com/daily-briefing/2023/11/02/ai-roundup,en,The Daily Briefing,[],"We've previously dived into prompt engineering, the art and science of writing effective prompts for large language models (LLMs).
But do you really need to go to all the work of writing a big, fancy prompt — or could an LLM just write your prompt for you?
ChatGPT has existed for less than a year, and developers already are finding ways that AI can transform ""meh"" prompts into great ones.
Other top AI links from this weekCan ChatGPT put ""The Ethicist"" out of business?
We've already seen how ChatGPT can navigate the ethics of bread theft, but can it parse more complex ethical conundrums?",600,"['really', 'prompts', 'paper', 'act', 'roundup', 'chatgpt', 'prompt', 'llms', 'bread', 'written', 'engineer', 'ai', 'task']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-02,2.5210084033613445
2023-11-02,Use these five ChatGPT prompts to become more present and less stressed in your working week. Boost your business and feel more connected to your work.,5 ChatGPT Prompts To Be More Present And Less Stressed In Your Business,https://www.forbes.com/sites/jodiecook/2023/11/02/5-chatgpt-prompts-to-be-more-present-and-less-stressed-in-your-business/,en,Forbes,"['Jodie Cook', 'Senior Contributor']","5 ChatGPT prompts to be more present and less stressed in your business gettyDo you find yourself distracted by notifications when you’re on Zoom calls with clients?
Use these five ChatGPT prompts to become more present in your business activities, whatever they may be.
Be more present in your business with these ChatGPT promptsRecognize your distractionsThe first step is self-awareness.
Additionally, what introspective questions should I pose during these moments to ensure I remain present and aligned with my business goals?”ChatGPT prompts to become a more present business ownerStay grounded in your business with these five prompts for ChatGPT.
By being more present, you'll boost your business and feel more connected to your work.",1014,"['past', 'chatgpt', 'stressed', 'youll', 'help', 'present', 'specific', 'business', 'tasks', 'mindfulness', 'prompts', 'youre']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-02,4.260504201680672
