publishedAt,description,title,URL,language,mediaTitle,authors,summary,textLength,keywords,cancerTypes_breast,cancerTypes_prostate,cancerTypes_colorectal,cancerTypes_hodgkin,cancerTypes_pediatric,cancerTypes_bone,cancerTypes_rare,cancerTypes_melanoma,cancerTypes_lung,cancerTypes_pancreatic,cancerTypes_stomach,cancerTypes_bladder,cancerTypes_non-hodgkin,cancerTypes_liver,cancerTypes_kidney,cancerTypes_multiple myeloma,cancerTypes_thyroid,cancerTypes_oral cavity,cancerTypes_esophagus,cancerTypes_larynx,cancerTypes_corpus uteri,cancerTypes_ovarian,cancerTypes_endometrial,cancerTypes_testicular,cancerTypes_neuroblastoma,cancerTypes_wilms,thematicAreas_adverseEvents,thematicAreas_nutrition,thematicAreas_mentalHealth,thematicAreas_qol,thematicAreas_jobSecurityAccessToEmployment,thematicAreas_survivorshipCare,thematicAreas_AYACare,thematicAreas_lateEffects,thematicAreas_wellbeing,thematicAreas_meditation,thematicAreas_co-morbidity,thematicAreas_rehabilitation,thematicAreas_physicalActivity,thematicAreas_socialRehabilitation,thematicAreas_sexualLife,thematicAreas_lifeStyle,thematicAreas_empowermentOfCancerSurvivorship,thematicAreas_inequalitiesInSurvivorship,thematicAreas_prevention,thematicAreas_cancerInformation,thematicAreas_personalExperiences,targetGroups_adult,targetGroups_child,targetGroups_man,targetGroups_woman,time,duration
2023-11-01,This technological development is more significant than the public may realize,Zuckerberg's AI Metaverse Is Beginning to Look Like a Bond Villain's Dream,https://themessenger.com/opinion/mark-zuckerberg-metaverse-ai-virtual-reality-biometric-data,en,The Messenger,[],"Remember back in 2022, when many laughed as the media reported that Mark Zuckerberg’s “Metaverse” was a multi-billion-dollar failure?
To streamline the process, Zuckerberg stated that he intends to replace the Meta Quest Pro headsets with Meta sunglasses.
So, why care about Zuckerberg’s virtual technology?
Because Zuckerberg has set his sights on dominating the landscape of virtual reality, mixed reality, and AI.
Now there is reality.” Zuckerberg is about to create — and own — our new virtual reality.",701,"['villains', 'beginning', 'dream', 'virtual', 'bond', 'metaverse', 'ai', 'reality', 'media', 'zuckerbergs', 'world', 'look', 'zuckerberg', 'meta', 'sunglasses']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-01,2.9453781512605044
2023-11-01,This arena is already a major source of revenue growth for Meta Platforms.,"Mark Zuckerberg Says That This Will Be ""the Next Major Pillar"" of Meta's Business -- and It's Not the Metaverse",https://www.fool.com/investing/2023/11/01/mark-zuckerberg-next-meta-platforms-business/,en,The Motley Fool,['Keith Speights'],"CEO Mark Zuckerberg recently weighed in on this question and, surprisingly, he didn't say the ""next major pillar"" of Meta's business would be the metaverse.
Meta's next big businessIn Meta's Q3 earnings call, Zuckerberg told analysts that the company's next major business will be ... business messaging.
Over time, Zuckerberg believes that Meta will be able to ""grow the business messaging business in a big way.""
While people across the world use WhatsApp for personal messaging, business messaging has become an increasingly important service for the platform.
CFO Susan Li said that this impressive growth was ""driven by strong business messaging revenue growth from our WhatsApp Business Platform.""",707,"['zuckerberg', 'messaging', 'pillar', 'metaverse', 'metas', 'revenue', 'ai', 'business', 'growth', 'major', 'meta', 'q3', 'mark']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-01,2.9705882352941178
2023-11-02,"The unofficial game has carried 80,000 passengers on more than a million flights – our writer gave it a try",I played the metaverse Ryanair simulator and was detained at Bristol Airport,https://www.telegraph.co.uk/travel/travel-truths/gen-z-addicted-to-ryanair-simulator-roblox-virtual-reality/,en,The Telegraph,"['Jack Rear', 'David Farley', 'Telegraph Ski', 'Sophie Dickinson', 'Teresa Levonian Cole', 'Hazel Plush', 'Jo']","I don’t even feel the hands on me as I’m hauled out of the queue by a heavy-set security guard in front of all my fellow travellers at Bristol Airport and frogmarched to a private security office.
This is every traveller’s worst nightmare.
“I’m so sorry, I’ve never done this before, please don’t kick me out of the airport,” I beg.
As I look to my left, I see the Duolingo mascot being escorted into the room by another security guard, Homer Simpson leers in from the corridor outside.
“I don’t know what I’m doing, I’m playing this in virtual reality,” I moan.",176,"['security', 'worst', 'simulator', 'welling', 'played', 'ryanair', 'dont', 'queue', 'walked', 'metaverse', 'airport', 'detained', 'bristol', 'travellers', 'im', 'guard']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-02,0.7394957983193278
2023-10-31,Spyglass Media Group and Sony Pictures have teamed up with MeetKai to create a horror metaverse experience for an upcoming film.,"Sony Pictures, Spyglass Media and MeetKai create Survive Thanksgiving horror metaverse",https://venturebeat.com/games/sony-pictures-spyglass-media-and-meetkai-create-survive-thanksgiving-horror-metaverse/,en,VentureBeat,['Dean Takahashi'],"Watch NowSpyglass Media Group and Sony Pictures have teamed up with AI and metaverse company MeetKai to create a horror metaverse experience for the upcoming horror film Thanksgiving.
Dubbed Survive Thanksgiving, the metaverse experience is the first one created by the parties to help launch a theatrical movie release.
Survive Thanksgiving, developed on MeetKai’s metaverse platform, transports players into a nightmarish reality set in the peaceful town of Plymouth, Massachusetts.
The metaverse world of Survive Thanksgiving, created by Spyglass Media Group, Sony Pictures, and MeetKai, launches today on Halloween.
For an exclusive cinematic experience, the film Thanksgiving will be available in theaters starting November 17, 2023.",419,"['world', 'meetkai', 'pictures', 'sony', 'spyglass', 'horror', 'metaverse', 'ondemand', 'players', 'gamesbeat', 'thanksgiving', 'media', 'create', 'film', 'experience', 'survive']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-31,1.7605042016806722
2023-10-27,"Meta has lost $46.5 billion on the metaverse since 2019, more than the revenue of Best Buy or United Airlines.",Mark Zuckerberg’s $46.5 billion loss on the metaverse is so huge it would be a Fortune 100 company—but his net worth is up even more than that,https://fortune.com/2023/10/27/mark-zuckerberg-net-worth-metaverse-losses-46-billion-earnings-stock/,en,Fortune,[],"Meta’s Reality Labs division, which houses its efforts to break into the metaverse, has lost around $46.5 billion since 2019, the company revealed in its latest earnings report.
That $46.5 billion figure is more than the entire revenue for Best Buy, which ranks 94 on the Fortune 100.
The company had $95 billion in revenue through the third quarter of this year and $30 billion in profits.
Almost all—99%—of Meta’s revenue comes from the company’s family of apps.
This year, Meta released two new products from Reality Labs: Quest 3, a new VR headset; and Ray Ban–branded smart glasses.",687,"['metas', 'company', 'metaverse', 'huge', 'mark', 'worth', 'companybut', 'earnings', 'reality', 'zuckerbergs', 'revenue', 'labs', 'billion', 'losses', 'fortune', 'net', 'loss', 'meta']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-27,2.8865546218487395
2023-10-26,"His long-term bet still stands, though | Business",How Mark Zuckerberg escaped a metaverse-sized hole,https://www.economist.com/business/2023/10/26/ai-has-rescued-mark-zuckerberg-from-a-metaverse-size-hole,en,The Economist,[],"In response to investor pressure, Mr Zuckerberg performed one of the fastest pivots in tech history.
When Mr Zuckerberg realised he had incensed investors, those around him say, he did not panic.
As Nick Clegg, a close adviser to Mr Zuckerberg, explains, his boss doesn’t like people around him “shouting and yelling”.
When asked to describe Mr Zuckerberg, she says he is “bright, driven but perhaps a bit too fond of his own ideas”.
Still, Mr Zuckerberg has “not resiled at all” from his long-term bet, Mr Clegg says.",1307,"['meta', 'escaped', 'hole', 'ad', 'technology', 'metaversesized', 'business', 's', 'zuckerberg', 'metaverse', 'mr', 'metas', 'ai', 'mark']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-26,5.491596638655462
2023-10-27,"Facebook-parent Meta has lost $47 billion in its metaverse division in under five years, a sum that's close to the market value of Chipotle or Target.","Zuckerberg's $47 Billion Metaverse Loss Is Bigger Than Ford, Hershey",https://markets.businessinsider.com/news/stocks/mark-zuckerberg-facebook-meta-stock-metaverse-losses-big-tech-investments-2023-10,en,Markets Insider,['Theron Mohamed'],"Mark Zuckerberg's Meta has recorded nearly $50 billion of metaverse losses in under five years.
""We expect our RL operating losses to increase meaningfully in 2024,"" they noted in Meta's third-quarter earnings.
Meta's metaverse losses to date exceed the market capitalization of Ford ($45 billion), Keurig Dr. Pepper ($41 billion), Hershey ($39 billion), Kraft Heinz ($39 billion), and many other large companies.
They could soon overtake Lululemon ($49 billion), Chipotle ($50 billion), Target ($51 billion), and Monster Beverage ($52 billion) in size.
They would also be worth nearly half as much as Zuckerberg ($105 billion).",552,"['sign', 'operating', 'meta', 'nearly', 'heinz', 'hershey', 'billion', 'losses', 'worth', 'lost', 'mark', 'zuckerbergs', 'total', 'kraft', 'metaverse']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-27,2.319327731092437
2023-11-02,GlobalData analyst Suneet Muru discusses key topics around the metaverse for the banking industry.,The metaverse in banking: Q&A with GlobalData thematic analyst,https://www.privatebankerinternational.com/comment/metaverse-in-banking-qa-with-globaldata-thematic-analyst/,en,Private Banker International,['Lara Virrey'],"Lara Virrey: How can the metaverse help banking & payments companies meet some of the sector’s challenges today?
Another way that the metaverse can help banking and payments companies is by focusing on demographics.
Lara Virrey: What are the most promising applications of the metaverse in the banking & payments industry?
Lara Virrey: Who are the leading banking & payments companies in the metaverse right now, and why?
Lara Virrey: What are the barriers to implementation of the metaverse in the banking & payments industry?",1750,"['financial', 'analyst', 'islands', 'banks', 'thematic', 'globaldata', 'metaverse', 'companies', 'users', 'qa', '2022', 'payments', 'banking', 'virtual']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-02,7.352941176470588
2023-11-03,"The global aerospace, defence & security industry experienced a 4% decline in the number of metaverse related patent applications in Q3 2023 compared with the previous quarter, according to GlobalData's Patent Analytics.","Metaverse related patent filings increased in the aerospace, defence ...",https://www.airforce-technology.com/dashboards/patents/q3-2023-update-metaverse-related-patent-activity-in-the-aerospace-defence-security-industry/,en,Airforce Technology,[],"The global aerospace, defence & security industry experienced a 4% rise in the number of metaverse-related patent applications in Q3 2023 compared with the previous quarter.
Notably, the number of metaverse-related patent applications in the aerospace, defence & security industry was 82 in Q3 2023, versus 79 in the prior quarter.
The top five companies accounted for 43% of patenting activityAnalysis of patenting activity by companies shows that Boeing filed the most metaverse patents within the aerospace, defence & security industry in Q3 2023.
It was followed by Safran with 3 metaverse patent filings, U.S. Department of Defence (3 filings), and State Farm Mutual Automobile Insurance (2 filings) in Q3 2023.
For further understanding of GlobalData's Aerospace, Defense & Security: Patents Trends Q3 2023, buy the databook here.",308,"['2023', 'q3', 'industry', 'metaverse', 'filings', 'patents', 'patent', 'increased', 'security', 'metaverserelated', 'related', 'share', 'defence', 'aerospace']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-03,1.2941176470588236
2023-11-01,,Paul Merage School of Business launches digital twin 'metaversity',https://news.uci.edu/2023/11/01/paul-merage-school-of-business-launches-digital-twin-metaversity/,en,UCI News,[],"A new era of immersive and 3D classrooms will enable students in UCI’s Paul Merage School of Business to learn in a virtual reality environment.
In partnership with VictoryXR, the school is creating a cutting-edge digital twin, known as a metaversity, that will facilitate collaboration between students and professors in a simulated campus setting.
The digital twin of the Merage School offers a faithful representation of the physical campus and extends its possibilities into the virtual realm.
On Thursday, Nov. 2, the Merage School will host a virtual ribbon-cutting ceremony to celebrate the launch of the metaversity.
“The digital twin of the Merage School represents the start of a journey for our university,” said Tom Andriola, UCI vice chancellor for data and information technology.",328,"['virtual', 'university', 'merage', 'school', 'paul', 'metaversity', 'twin', 'digital', 'business', 'representation', 'students', 'technology', 'launches']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-01,1.3781512605042017
