publishedAt,description,title,URL,language,mediaTitle,authors,summary,textLength,keywords,cancerTypes_breast,cancerTypes_prostate,cancerTypes_colorectal,cancerTypes_hodgkin,cancerTypes_pediatric,cancerTypes_bone,cancerTypes_rare,cancerTypes_melanoma,cancerTypes_lung,cancerTypes_pancreatic,cancerTypes_stomach,cancerTypes_bladder,cancerTypes_non-hodgkin,cancerTypes_liver,cancerTypes_kidney,cancerTypes_multiple myeloma,cancerTypes_thyroid,cancerTypes_oral cavity,cancerTypes_esophagus,cancerTypes_larynx,cancerTypes_corpus uteri,cancerTypes_ovarian,cancerTypes_endometrial,cancerTypes_testicular,cancerTypes_neuroblastoma,cancerTypes_wilms,thematicAreas_adverseEvents,thematicAreas_nutrition,thematicAreas_mentalHealth,thematicAreas_qol,thematicAreas_jobSecurityAccessToEmployment,thematicAreas_survivorshipCare,thematicAreas_AYACare,thematicAreas_lateEffects,thematicAreas_wellbeing,thematicAreas_meditation,thematicAreas_co-morbidity,thematicAreas_rehabilitation,thematicAreas_physicalActivity,thematicAreas_socialRehabilitation,thematicAreas_sexualLife,thematicAreas_lifeStyle,thematicAreas_empowermentOfCancerSurvivorship,thematicAreas_inequalitiesInSurvivorship,thematicAreas_prevention,thematicAreas_cancerInformation,thematicAreas_personalExperiences,targetGroups_adult,targetGroups_child,targetGroups_man,targetGroups_woman,time,duration
2023-11-02,"Practicing mindfulness focused on healthy eating can be good for the heart, a new study shows, because it improves self-awareness and helps people stick to a heart-healthy diet.",Mindfulness can help improve heart health by promoting healthy eating,https://www.news-medical.net/news/20231102/Mindfulness-can-help-improve-heart-health-by-promoting-healthy-eating.aspx,en,News-Medical.Net,[],"Practicing mindfulness focused on healthy eating can be good for the heart, a new study shows, because it improves self-awareness and helps people stick to a heart-healthy diet.
""Almost everyone has the power to control blood pressure through changes in diet and physical activity, adherence to antihypertensive medications, minimizing alcohol intake and monitoring stress reactivity,"" he said.
What makes the program unique, he said, is that participants learn how to direct those skills toward behaviors known to lower blood pressure.
The ""usual care"" control group received educational brochures on controlling high blood pressure.
After six months, the mindfulness group showed a 0.34-point improvement in the DASH diet score.",805,"['improve', 'healthy', 'blood', 'program', 'selfawareness', 'promoting', 'participants', 'pressure', 'group', 'diet', 'mindfulness', 'eating', 'help', 'health', 'study', 'heart', 'control']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-02,3.3823529411764706
2023-10-24,A luxury cruise incorporates Deepak Chopra wellness teachings in this multiyear partnership for self-care at sea.,"Deepak Chopra, a global icon in alternative medicine and meditation, is getting into the $814 billion wellness tourism business",https://fortune.com/well/2023/10/24/deepak-chopra-wellness-tourism-cruise/,en,Fortune,[],"Chopra, a world-renowned leader in medicine, preventive health care, meditation, and mindfulness, today announced his integrative health company and namesake’s multiyear partnership with Swan Hellenic, a luxury cruise company.
The partnership marks Swan Hellenic’s first endeavor into wellness tourism.
The wellness voyage capitalizes on consumers’ heightened interest in preventive health care like stress management and mindfulness—even on PTO.
Welcome to the era of wellness tourism, an $814.6 billion industry expected to grow by over 12% each year for the next decade.
This type of venture is a first for Chopra, who recently sold his company Chopra Global for a reported $20 million to a conglomerate called the Healing Company.",675,"['mindfulness', 'leader', 'experience', 'wellness', 'travel', 'tourism', 'deepak', 'work', 'trips', 'company', 'yoga', 'meditation', 'medicine', 'getting', 'global', 'health', 'chopra']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['meditation'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-24,2.8361344537815127
2023-10-07,What is the employment rate of a stress-free population?,Practicing mindfulness at work means labor power,https://www.vox.com/future-perfect/23904723/mindfulness-meditation-economy-mcmindfulness-capitalism-stress,en,Vox.com,"['Oshan Jarow', 'Li Zhou', 'Rajaa Elidrissi', 'Keren Landman', 'Sigal Samuel', 'Vox Staff', 'Vox Communications', 'Oct']","And since the business of business is business, not well-being for well-being’s sake, the corporate vision of mental health is necessarily bound by productivity.
What if the real road to better mental health involves letting productivity fall?
A boost in mental health isn’t enough; employers must be convinced that it’s good for business, too.
That means workers won’t just be subject to the corporate vision of mental health, but they can help shape it.
Maybe the future of mental health relies on freedom from work.",1313,"['economy', 'meditation', 'business', 'transform', 'health', 'real', 'better', 'workers', 'mcmindfulness', 'stress', 'mindfulness', 'mental', 'corporate']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-07,5.516806722689076
2023-09-19,"When we think of the best ways to reduce stress, we might picture activities such as exercise or meditation.",This Simple Activity Lowers Stress Without Exercise or Meditation,https://www.sciencealert.com/this-simple-activity-lowers-stress-without-exercise-or-meditation,en,ScienceAlert,['The Conversation'],"When we think of the best ways to reduce stress, we might picture activities such as exercise or meditation.
However, some people didn't like having instructions while colouring, which reduced the benefits of mindful colouring.
In another experiment, we investigated what effect using videos to teach mindful colouring had on 35 teachers from the UK.
We looked at mindful colouring versus a specific type of meditation practice called loving-kindness meditation.
If you want to try mindful colouring yourself, start by finding a quiet and comfortable place where you can focus without distractions.",855,"['present', 'help', 'thoughts', 'group', 'simple', 'activity', 'reduce', 'practice', 'lowers', 'mindful', 'meditation', 'exercise', 'mindfulness', 'colouring', 'stress']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['meditation'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-09-19,3.592436974789916
2023-10-19,"But Robert W. Coleman Elementary School has been doing something different when students act out: offering meditation.Instead of punishing disruptive kids or sending them to the principal's office, the Baltimore school has something called the Mindful Moment Room instead.",A school replaced detention with meditation. The results are stunning.,https://www.upworthy.com/this-school-replaced-detention-with-meditation-the-results-are-stunning-rp2,en,Upworthy,"['Upworthy Staff', 'Annie', 'Heather Wake', 'Jacalyn Wetzel', 'Tod Perry']","""People will be referencing it as one of the all time best SNL skits for years.”",16,"['best', 'stunning', 'school', 'skits', 'results', 'detention', 'meditation', 'replaced', 'snl', 'referencing']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['meditation'],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-10-19,0.06722689075630252
2023-11-02,A study led by Brown University researchers found that participants in a mindfulness-based blood pressure reduction program improved health behaviors that lower blood pressure.,Practicing mindfulness can help people make heart-healthy eating ...,https://www.brown.edu/news/2023-11-02/mindfulness-hypertension,en,Brown University,[],"PROVIDENCE, R.I. [Brown University] — Practicing mindfulness focused on healthy eating can be good for the heart, a new study shows, because it improves self-awareness and helps people stick to a heart-healthy diet.
Loucks said the study helps explain the mechanism by which a customized mindfulness training program adapted toward improving diet can affect blood pressure.
The “usual care” control group received educational brochures on controlling high blood pressure.
After six months, the mindfulness group showed a 0.34-point improvement in the DASH diet score.
“The program gives participants the tools to make heart-healthy diet changes that can lower their blood pressure and decrease their risk of cardiovascular disease,” Loucks said.",812,"['choices', 'program', 'blood', 'selfawareness', 'study', 'group', 'pressure', 'eating', 'help', 'participants', 'practicing', 'mindfulness', 'hearthealthy', 'control', 'diet']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-02,3.411764705882353
2023-10-27,,"Yes, you can practice mindfulness with your diet, too: Mindful eating ...",https://www.themanual.com/fitness/mindfulness-while-eating/,en,The Manual,"['Christine Vandoren', 'October']","Mindful eating comes from the comprehensive ideology behind mindfulness.
Mindful eating springs forth from that and requires you to focus on what you’re eating to fully experience and understand it.
What is mindful eating?
Reduces stressMindful meditations, mindful eating, and mindful exercise all reduce cortisol levels.
How mindful eating affects fitness goalsMindful eating goes hand-in-hand with mindful exercising.",1070,"['youll', 'mindful', 'mindfulness', 'food', 'understand', 'tips', 'body', 'yes', 'diet', 'practice', 'youre', 'eating', 'fully', 'meals', 'stick', 'eat']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-27,4.495798319327731
2023-10-30,We’re inundated with messaging about “mindfulness” in our culture. But how can it benefit your diabetes management? Learn more here.,Mindfulness: Seeing Diabetes As It Is,https://beyondtype1.org/mindfulness-t1d-diabetessangha/,en,Beyond Type 1,"['Written', 'Sam Tullman']","Mindfulness: Seeing Diabetes As It IsWRITTEN BY: Sam TullmanWe’re inundated with messaging about “mindfulness” in our culture.
Interestingly enough, mindfulness training allows us to get better at finding this clear mindset more of the time.
In fact, mindfulness training is, at its core, about learning how to find that mind over and over again.
Benefits of mindfulnessResearch has shown that people with T1D who undergo just a few weeks of mindfulness training consistently reduce their diabetes distress.
Research in the broader population shows that mindfulness training can reduce anxiety and depression, slow the process of biological aging, and improve sleep quality.",1341,"['practice', 't1d', 'blood', 'meditation', 'diabetes', 'mind', 'training', 'seeing', 'start', 'sugar', 'way', 'mindfulness']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-10-30,5.6344537815126055
2023-11-01,,Mindfulness in Motion: Shannon Mulhearn dedicated to surfing the ...,https://unknews.unk.edu/2023/11/01/mindfulness-in-motion-shannon-mulhearn-dedicated-to-surfing-the-waves-shaping-physical-education/,en,University of Nebraska at Kearney,[],"Thanks to their mentorship, Mulhearn found she wanted to explore Comprehensive School Physical Activity Program (CSPAP) and physical education teacher effectiveness, while also continuing to pursue research into mindfulness and the school-to-prison pipeline.
At UNK, Mulhearn found even more support from Terese Sheridan, Megan Adkins and Erin Sweeney.
“My intention is to continue looking at a specific model for teaching resilience and coping through physical education,” she said.
Years at UNK: ThreeAreas of Research/Specialization: Promotion of healthy and active schools; Role of mindfulness in building resilience; Bridging research and practice in K-12 physical education.
Courses Taught: Principles of Physical Education, Teaching Sport Skills & Non-Rhythmic Activities, Rhythmic Activities for Physical Education, Motor Development, Non-Rhythmic Physical Education, Integrating Movement & Dance, Elementary Physical Education Methods, Curriculum and Assessment in Physical Education, Practical Experience in Health & Physical Education, Senior Seminar in Health & Physical Education, Secondary Physical Education Methods, Curriculum Development in Physical Education, Elementary Physical Education Methods, Motor Development and Learning.",1543,"['research', 'mindfulness', 'education', 'mulhearn', 'university', 'motion', 'teachers', 'teaching', 'shaping', 'physical', 'waves', 'school', 'surfing', 'shannon', 'unk']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-01,6.483193277310924
2023-10-30,Let’s begin with the difference between fear and anxiety.,"The Difference Between Fear And Anxiety, And How A 3-Step Mindfulness Practice Can Help",https://www.forbes.com/sites/janicemarturano/2023/10/30/the-difference-between-fear-and-anxiety-and-how-a-3-step-mindfulness-practice-can-help/,en,Forbes,"['Janice Marturano', 'Kevin Payne', 'Cassidy Horton']","Let’s begin with the difference between fear and anxiety.
Your heart beats faster, adrenaline is released and the most reptilian part of your brain takes over your executive functioning of your brain.
No...we want the reactive part of our brain and body to be focused on just one thing...MOVE!
You might say to yourself ‘this is anxiety, this is what anxiety feels like for me’.
This noticing and naming brings the executive functioning part of our brains back into the picture which is what we need to be responsive rather than reactive.",552,"['physical', 'mindfulness', 'fear', 'threat', 'need', 'notice', 'body', 'difference', 'practice', 'help', 'anxiety', 'thoughts', 'functioning', '3step', 'executive', 'brain']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-30,2.319327731092437
