id,title,releaseDate,description,trackTime,trackViewUrl,languages,provider,cancerTypes_breast,cancerTypes_prostate,cancerTypes_colorectal,cancerTypes_hodgkin,cancerTypes_pediatric,cancerTypes_bone,cancerTypes_rare,cancerTypes_melanoma,cancerTypes_lung,cancerTypes_pancreatic,cancerTypes_stomach,cancerTypes_bladder,cancerTypes_non-hodgkin,cancerTypes_liver,cancerTypes_kidney,cancerTypes_multiple myeloma,cancerTypes_thyroid,cancerTypes_oral cavity,cancerTypes_esophagus,cancerTypes_larynx,cancerTypes_corpus uteri,cancerTypes_ovarian,cancerTypes_endometrial,cancerTypes_testicular,cancerTypes_neuroblastoma,cancerTypes_wilms,thematicAreas_adverseEvents,thematicAreas_nutrition,thematicAreas_mentalHealth,thematicAreas_qol,thematicAreas_jobSecurityAccessToEmployment,thematicAreas_survivorshipCare,thematicAreas_AYACare,thematicAreas_lateEffects,thematicAreas_wellbeing,thematicAreas_meditation,thematicAreas_co-morbidity,thematicAreas_rehabilitation,thematicAreas_physicalActivity,thematicAreas_socialRehabilitation,thematicAreas_sexualLife,thematicAreas_lifeStyle,thematicAreas_empowermentOfCancerSurvivorship,thematicAreas_inequalitiesInSurvivorship,thematicAreas_prevention,thematicAreas_cancerInformation,thematicAreas_personalExperiences,targetGroups_adult,targetGroups_child,targetGroups_man,targetGroups_woman,time
7AsILoFSdyz65ssMKbNU48,Meditación para DORMIR: Mindfulness para un sueño reparador,2022-06-24,"A continuación, vas a disfrutar de una meditación realizada por la experta Instructora de Mindfulness del Instituto Europeo de Psicología Positiva Aroa Ruiz.  Te invitamos a realizar esta breve meditación que puedes practicarla acostado con la intención de desarrollar tu Atención Plena antes de ir a dormir y que de esta manera te predispongas a tener un sueño reparador.  Esta meditación es parte de nuestro curso de gratuito al que te invitamos a acceder desde este enlace: https://bit.ly/3ash8fG  También podrás encontrar la cuarta clase que acompaña esta meditación aquí:  https://www.iepp.es/curso-gratuito-mindfulness-clase-4/",10.65,https://open.spotify.com/episode/7AsILoFSdyz65ssMKbNU48,['es-ES'],Spotify,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['meditacion'],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2022-06-24
4rgu1OJxq5cYVfuxdQRfWg,Mindfulness para calmar la mente,2023-08-21,Este ejercicio está pensando para volver a nuestro eje. Son tiempos intensos y el mindfulness es una herramienta fundamental para experimentar nuestros días de una mejor manera.,15.77,https://open.spotify.com/episode/4rgu1OJxq5cYVfuxdQRfWg,['es'],Spotify,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['calma'],[],[],['ejercicio'],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-08-21
2oOTe2bJjgXjfmlts4H3RK,Mindfulness para dormir... profundamente (20 min),2021-09-18,"Duerme bien.  Duerme profundamente.  Gracias por tu práctica. ----- Si esta iniciativa te parece valiosa y quieres apoyarla, te invito a visitar patreon.com/todomente y elegir la opción de patrocinio con la que te sientas cómodo. Además, como patrocinador tendrás acceso a sesiones exclusivas de hasta una hora, series temáticas completas, y la opción de compartir algunas sesiones en vivo. Nuestra propuesta aquí en todomente es que juntos, como comunidad, financiemos esta iniciativa, de manera que sea autosuficiente y sostenible en el tiempo. Queremos seguir compartiendo la práctica con más personas y necesitamos tu apoyo para hacerlo. Gracias por estar aquí. Andrés Acevedo. ----- Disponible en: Spotify, Apple Podcast, Google Podcast, Stitcher, Podimo, Anchor y todomente.org. Instagram: @todomente. ----- Todas las meditaciones guiadas de todomente están inspiradas en la práctica y enseñanzas de profesores, maestros, filósofos y científicos como: Joseph Goldstein, Sharon Salzberg, Sam Harris, Annaka Harris, Alexis Santos, David Vago, Judson Brewer, y Oren Jay Sofer, entre otros. Para ellos todo el crédito por muchas de las ideas expresadas en este canal. Imagen: Ann Danilina #todomente #mindfulness #meditación #meditacionguiada #atenciónplena",19.9,https://open.spotify.com/episode/2oOTe2bJjgXjfmlts4H3RK,['es'],Spotify,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['meditacion'],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2021-09-18
343nTu5DAV2OYggxBLgY94,"4x01 Mindfulness, un remedio natural",2023-10-26,"El Mindfulness es un estilo de meditación que conecta nuestro pensamiento a las sensaciones corporales y al momento presente. Lejos de quedarse en un aspecto espiritual o religioso, esta práctica cuenta con un gran consenso y evidencia científica sobre los efectos beneficiosos para la salud. En este episodio aprendemos cómo funciona la atención en nuestro cerebro y cómo la meditación puede ayudarnos a regular el estrés, la ansiedad, la presión arterial, etc... Hosted on Acast. See acast.com/privacy for more information.",32.83,https://open.spotify.com/episode/343nTu5DAV2OYggxBLgY94,['es'],Spotify,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['meditacion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-26
2bTjGSYBZdSVPldfEjrAl0,Mindfulness meditation,2022-07-20,Mindfulness meditation music for Positive energy,15.01,https://open.spotify.com/episode/2bTjGSYBZdSVPldfEjrAl0,['en'],Spotify,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['meditation'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2022-07-20
0UEqivw9L2mHSMDUhubm18,La manera amable de Darse Cuenta. Práctica mindfulness,2022-08-26,"Meditar con atención plena (la meditación mindfulness) tiene múltiples beneficios. Una de ellas es que nos entrena en la capacidad de darnos cuenta de lo que sucede en este preciso momento con nuestros pensamientos, emociones y sensaciones. Esto nos es sumamente útil para ser capaces de separarnos y ver todo con claridad cuando nos sentimos abrumados por las circunstancias. En esta meditación te explico cómo hacerlo.  Espero que te sirva de ayuda 🙏💕 Subscribe to Meditaciones guiadas on Soundwise",9.0,https://open.spotify.com/episode/0UEqivw9L2mHSMDUhubm18,['es'],Spotify,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['meditacion'],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2022-08-26
5BsC2XwnMuMSbPlw162wVr,PRACTICA MINDFULNESS -  MARIO ALONSO PUIG (completa ),2022-08-15,009. PRACTICA MINDFULNESS -  MARIO ALONSO PUIG (completa ),13.52,https://open.spotify.com/episode/5BsC2XwnMuMSbPlw162wVr,['es'],Spotify,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2022-08-15
3CvePl0Xew58dXlsUTfuXJ,Meditación Guiada para la ANSIEDAD: Mindfulness,2022-06-16,"A continuación, vas a disfrutar de una meditación realizada por la experta Instructora de Mindfulness del Instituto Europeo de Psicología Positiva Aroa Ruiz. ""Meditación para percibir y puntuar la ansiedad del cuerpo"". Esta es una meditación adaptada del Manual ""50 técnicas de Mindfulness para la ansiedad, la depresión, el estrés y el dolor: Mindfulness como terapia"" de Donald Altman. Con este ejercicio irás aprendiendo poco a poco a prestar atención a las sensaciones de ansiedad que se manifiestan en el cuerpo. Es una práctica que puede acompañarte siempre que sientas esa ansiedad. Esta meditación es parte de nuestro curso de gratuito al que te invitamos a acceder desde este enlace: https://bit.ly/3ash8fG También podrás encontrar la tercera clase que acompaña esta meditación aquí: https://youtu.be/30x8qFoQjvQ",11.25,https://open.spotify.com/episode/3CvePl0Xew58dXlsUTfuXJ,['es-ES'],Spotify,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['terapia'],[],[],[],[],[],[],['meditacion'],[],[],['ejercicio'],[],[],[],[],[],[],[],[],[],[],['man'],[],2022-06-16
6m0br4dDTHRGqAi2EUNHVm,Plenitud • Mindfulness al despertar (10 min),2021-09-27,"En esta sesión guiada de meditación mindfulness investigamos la forma más profunda de plenitud. Aquella que es posible encontrar en cualquier experiencia... sea agradable o desagradable.  Gracias por tu práctica.  -----------  Recuerda que la mejor forma en la que puedes apoyar a todomente es compartiendo las sesiones con amigos o familiares y suscribiéndote al canal.  También tenemos una comunidad privada a través de la cual puedes convertirte en patrocinador eligiendo el aporte que prefieras. Puedes convertirte en patrocinador a través de YouTube, Patreon o todomente.org/patrocinio.  Tu patrocinio es para que podamos seguir compartiendo sesiones gratuitas con todo el mundo a través de nuestros diferentes canales y así poder tener un sustento en el tiempo. De ante mano, gracias por tu apoyo.  Como patrocinador también tendrás acceso a sesiones exclusivas de meditación, cursos, programas, y series temáticas completas, y la opción de compartir algunas sesiones en vivo.  -----------  Es un honor para mí estar construyendo una comunidad de personas que valoran lo que ofrezco aquí en todomente.  Tu apoyo hace posible que esta iniciativa siga creciendo y llegando a más personas.  Mi propuesta es que juntos, como comunidad, financiemos esta iniciativa, de manera que sea autosuficiente y sostenible en el tiempo.  Quiero seguir compartiendo la práctica con más personas y cuento con tu apoyo para hacerlo.  -----------  Encuentra a @todomente en YouTube, Spotify, Apple Podcast, Google Podcast, Stitcher, Podimo, Anchor y en todomente.org.  #todomente #mindfulness #meditation",9.98,https://open.spotify.com/episode/6m0br4dDTHRGqAi2EUNHVm,['es'],Spotify,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['meditation', 'meditacion']",[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2021-09-27
09bhEcMFCnzJDBrzpiQtex,Mindfulness,2022-07-20,Mindfulness meditation music,3.33,https://open.spotify.com/episode/09bhEcMFCnzJDBrzpiQtex,['en'],Spotify,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['meditation'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2022-07-20
