appId,title,description,url,genres,developer,developerWebsite,score,ratings,currentVersionReleaseDate,languageCodesISO2A,os,privacyPolicyUrl,contentRating,price,installs,inAppProductPrice,cancerTypes_breast,cancerTypes_prostate,cancerTypes_colorectal,cancerTypes_hodgkin,cancerTypes_pediatric,cancerTypes_bone,cancerTypes_rare,cancerTypes_melanoma,cancerTypes_lung,cancerTypes_pancreatic,cancerTypes_stomach,cancerTypes_bladder,cancerTypes_non-hodgkin,cancerTypes_liver,cancerTypes_kidney,cancerTypes_multiple myeloma,cancerTypes_thyroid,cancerTypes_oral cavity,cancerTypes_esophagus,cancerTypes_larynx,cancerTypes_corpus uteri,cancerTypes_ovarian,cancerTypes_endometrial,cancerTypes_testicular,cancerTypes_neuroblastoma,cancerTypes_wilms,thematicAreas_adverseEvents,thematicAreas_nutrition,thematicAreas_mentalHealth,thematicAreas_qol,thematicAreas_jobSecurityAccessToEmployment,thematicAreas_survivorshipCare,thematicAreas_AYACare,thematicAreas_lateEffects,thematicAreas_wellbeing,thematicAreas_meditation,thematicAreas_co-morbidity,thematicAreas_rehabilitation,thematicAreas_physicalActivity,thematicAreas_socialRehabilitation,thematicAreas_sexualLife,thematicAreas_lifeStyle,thematicAreas_empowermentOfCancerSurvivorship,thematicAreas_inequalitiesInSurvivorship,thematicAreas_prevention,thematicAreas_cancerInformation,thematicAreas_personalExperiences,targetGroups_adult,targetGroups_child,targetGroups_man,targetGroups_woman,time
free.vpn.unblock.proxy.turbovpn,Turbo VPN - Secure VPN Proxy,"<b>Turbo VPN is a free and unlimited VPN proxy, offering you a fast VPN connection and stable VPN servers. </b> Turbo VPN help you secure your online activities and enjoy the web and app resources with ease, freedom and security. Download Turbo VPN now to enjoy fast, private and safe internet.<b> Install Turbo VPN now: </b><b>✔ Unlimited and free VPN</b> The best unlimited free VPN proxy for android. You can enjoy unlimited free VPN service and free VPN proxy servers anytime, anywhere. <b>✔Access websites with secure Turbo VPN</b> Access sites and apps at super stable and fast VPN speed. No worry about the unvaliable access problem, because when the network condition is unsatisfying, you can connect to Turbo VPN free vpn proxy servers or dedicated servers to access the web resources, forum, news, social network, shopping websites or the streaming services at stable and fast speed. <b>✔ Anonymous connection by Turbo VPN</b> Turbo VPN protects your network under WiFi hotspot or any network condition. You can browse anonymously and securely without being tracked. Military-grade AES 128-bit encryption to secure WiFi hotspot. Multiple protocols like IPsec, ISSR, SSR, OpenVPN (UDP / TCP) to ensure your network connection and mask your online identity. Secure your internet connection and guard your sensitive data wherever you are. <b>✔Streaming and gaming with super fast VPN</b> Stream videos, live sports and TV shows on any streaming platform without buffering. Listen to popular songs from anywhere on any music player. Improve your gaming experience by connecting to the fastest VPN game server. <b>✔User-friendly VPN experience</b> One tap to connect to a free VPN proxy server. Turbo VPN works with WiFi, LTE, 3G, and all mobile data carriers and is compatible with all kinds of browsers.<b>As an Turbo VPN user you will enjoy</b>* Unlimited and free VPN servers * Access web and app resources with ease* Anonymous and secure internet * Stream anything you want * Specialized video and game servers* Advanced protections on your devices* Military-grade network traffic encryption <b>Download the secure, fast and free Turbo VPN! Secure your online activities and enjoy the web and app resources with ease, freedom and security now! </b>User Terms:By downloading and/or using this product, you acknowledge and agree to the end user license agreement and Privacy Statement at:https://www.turbovpn.co/static/privacy_policy_turbovpn.htmlOur 24/7 customer support team is always here with you. Contact us If you have any queries: turbovpn@inconnecting.com",https://play.google.com/store/apps/details?id=free.vpn.unblock.proxy.turbovpn&hl=en&gl=ES,['Tools'],Innovative Connecting,https://www.turbovpn.co,4.62585,8054587,"Oct 24, 2023",['EN'],Android,https://turbovpn.com/policy,PEGI 3,0,100000000,€0.99 - €69.99 if billed through Play,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-24
com.kms.free,Kaspersky: VPN & Antivirus,"Free antivirus, malware scan, phone security and VPN for Android™, from Kaspersky.Kaspersky: VPN & Antivirus for Android is a FREE-to-download antivirus solution, virus scanner and virus cleaner that protects your phones and tablets. Get premium features that work effortlessly on Android. Enjoy essential security such as malware scan and Anti-Phishing, and privacy protection including Password Manager, Data Leak Checker and unlimited VPN.Features include:►Antivirus Protection—acts as a virus scanner and virus cleaner, and automatically blocks malware, viruses, spyware and more on your phones and tablets.►Background Scan—scans on-demand in real-time* for viruses, spyware, ransomware and Trojans.►Secure QR Scanner—warns about viruses hidden in barcodes (It’s a virus scanner for codes!).►Where Is My Device—lets you locate, lock and wipe your device of data if its lost or stolen.►Anti-Phishing¹—protects you from phishing activity designed to steal your sensitive data.►Safe Browsing¹—blocks malicious websites, downloads and extensions.►Safe Messaging¹—blocks malicious URLs in text messages and instant chats.►Kaspersky Password Manager¹—protects your passwords and digital info, and allows instant sign-in to your accounts.►Kaspersky VPN: unlimited & super-fast²—encrypts your Wifi traffic, comes with IP location changer for private Internet access, and lets you access global content in a private browser via super-fast connections. (Works like a VPN proxy!)►Social Privacy²—makes it easy for you to manage your privacy settings in Google and Facebook. Helping you disable location tracking to prevent targeted ads.►Smart Home Monitor³—alerts you when a new device joins your home network to help you guard your smart home devices from hackers.►Quick Scan—uses a malware scan to check objects in your OS and memory, identifies threats, and removes them like a virus cleaner.►Full Scan—performs antivirus and malware scan for every part of your device, including apps and files.►File Antivirus—performs a safety check against all files on your Android device – works like a virus scanner.►Unused Apps Cleanup—shows the apps you use least often, so you can delete them and free up space.►Data Leak Checker³—tells you if private accounts linked to your email addresses or phone number are leaking data online.►Stalkerware Detection—alerts you about spyware apps secretly installed on your device by a third party to monitor your social media activity, chats, geo-location, and more.►Call Filter—lets you add contacts to “Ignore” list, so certain calls are rejected.►Apps Permission Manager—makes it easy for you to change app permissions, and boost security.►App Lock— protects sensitive apps with a secret PIN code, so only you can get in!►Identity Protection Wallet—protects your ID documents, such as your passport, in encrypted storage, and lets you access them from any device.¹Functionality is available for paid subscribers only²Unlimited VPN is available for paid subscribers only, starting with «Plus» plan³Automatic and unlimited Data Leak Checker & Smart Home Monitor are available for paid subscribers only, starting with «Plus» plan (available in a limited number of countries). This functionality is also available with Kaspersky Security Cloud – Personal & Kaspersky Security Cloud – Family licenses.Due to legal restrictions on using a virtual private network (VPN), Kaspersky Secure Connection cannot be installed in Russia, Belarus, China, Saudi Arabia, Iran, Oman, Pakistan and Qatar.Limitations apply: https://support.kaspersky.com/help/Kaspersky/Android_knownissues/en-US/195522.htmThis app uses the Device Administrator permission, Accessibility & VPN services. Accessibility is used for the following purposes:• Device lock in case of theft• Web and chat protection• Blocking unwanted apps• VPN adaptabilityEnd User License Agreement:https://usa.kaspersky.com/end-user-license-agreement",https://play.google.com/store/apps/details?id=com.kms.free&hl=en&gl=ES,['Tools'],Kaspersky ME,https://www.kaspersky.com/android-antivirus,4.7938614,4111489,"Oct 12, 2023",['EN'],Android,https://www.kaspersky.com/products-and-services-privacy-policy,PEGI 3,0,100000000,€0.59 - €139.99 if billed through Play,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-10-12
com.fast.free.unblock.secure.vpn,Secure VPN－Safer Internet,"Secure VPN is a lightning-fast app provide free VPN service. Not need any configuration, just simply click one button, you can access the Internet securely and anonymously.Secure VPN encrypts your Internet connection so that third parties can’t track your online activity, making it more secure than a typical proxy, make your Internet's safety and security, especially when you using public free Wi-Fi.We have built a global VPN network included America, Europe and Asia, and expand to more country soon. Most servers are free to use, you can click the flag and change server as any times as you want.<b>Why choose Secure VPN?</b>✅ Large number of servers, high-speed bandwidth✅ Choose apps which using VPN (Android 5.0+ required)✅ Works with Wi-Fi, 5G, LTE/4G, 3G and all mobile data carriers✅ Strict no-logging policy✅ Smart choose server✅ Well-designed UI, a few ADs✅ No usage and time limit✅ No registration or configuration required✅ No additional permissions required✅ Tiny size, more saferDownload Secure VPN, the world's fastest secure virtual private network, and enjoy it all!If Secure VPN connect failed, don't worry, you can follow these steps to fix it:1) Click the flag icon2) Click the refresh button to check servers3) Choose the fastest and most stable server to reconnectHoping you suggestion and good rating to keep it growing and make it better :-)VPN related introductionA virtual private network (VPN) extends a private network across a public network, and enables users to send and receive data across shared or public networks as if their computing devices were directly connected to the private network. Applications running across the VPN may therefore benefit from the functionality, security, and management of the private network.Individual Internet users may secure their transactions with a VPN, to circumvent geo-restrictions and censorship, or to connect to proxy servers for the purpose of protecting personal identity and location. However, some Internet sites block access to known VPN technology to prevent the circumvention of their geo-restrictions.VPNs cannot make online connections completely anonymous, but they can usually increase privacy and security. To prevent disclosure of private information, VPNs typically allow only authenticated remote access using tunneling protocols and encryption techniques.Mobile virtual private networks are used in settings where an endpoint of the VPN is not fixed to a single IP address, but instead roams across various networks such as data networks from cellular carriers or between multiple Wi-Fi access points. Mobile VPNs have been widely used in public safety, where they give law enforcement officers access to mission-critical applications, such as computer-assisted dispatch and criminal databases, while they travel between different subnets of a mobile network.",https://play.google.com/store/apps/details?id=com.fast.free.unblock.secure.vpn&hl=en&gl=ES,['Tools'],Signal Lab,https://secure.free-signal.com/,4.4547415,1700545,"Oct 13, 2023",['EN'],Android,https://secure.free-signal.com/Terms%20of%20Service.html,PEGI 3,0,100000000,€2.19 - €64.99 if billed through Play,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-10-13
com.brave.browser,"Brave Private Web Browser, VPN","Browse 3X faster on Brave Browser! Brave is a lightning fast, safe and private web browser with Adblock. Loved by 50 million users, Brave has Firewall + VPN, Brave Search, and night mode.<b>NEW App Features</b>✓ Firewall. Protects everything you do online, even outside the Brave Browser. ✓ VPN. Works on both Mobile and Desktop. ✓ Brave Search. Private, independent search engine. No tracking. ✓ Night Mode. Easily read in low light. ✓ Import/export bookmarks from/to another browser.✓ Blocks cookie consent notifications by default. <b>Additional Features</b>✓ Free built-in Adblock✓ Private internet browser with pop-up blocker✓ Saves data and battery ✓ Sync Bookmarks securely✓ Free tracking protection✓ Https Everywhere (for security)✓ Script Blocker✓ Private bookmarks ✓ Browsing history✓ Recent and private tabsSupports Android 7 and above. <b>🔎 Brave Search</b>Brave Search is the world’s most complete, independent, private search engine. It doesn’t track you, your searches, or clicks. <b>🙈 Private Browsing</b>Enjoy fast, secure, private browsing. Get free ad blocker, anonymous browsing history, personalized private search, and private tabs. Browse the internet without saving your history.<b>🚀 Browse Faster</b>Brave is a fast web browser! Brave reduces page loading times, improves web browser performance and blocks ads infected with malware. <b>🔒 Privacy Protection</b>Be protected with leading privacy and security features such as HTTPS Everywhere (encrypted data traffic), script blocking, cookie blocking, and private incognito tabs. All other browsers fall short of the level of the privacy and security protection that Brave provides.<b>🏆 Brave Rewards</b>With your old web browser, you paid to browse the internet by viewing ads. Now, Brave welcomes you to the new internet. One where your time is valued, your personal data is kept private, and you actually get paid for your attention.<b>About Brave</b>Our mission is to protect your privacy online by making a safe, fast, and private browser while growing ad revenue for content creators. Brave aims to transform the online ad ecosystem with micropayments and a new revenue-sharing solution to give users and publishers a better deal.To learn more about Brave Web Browser, please go to www.brave.com.<b>Questions/support?</b>Contact us at http://brave.com/msupport. We love hearing from you.Terms of Use: https://brave.com/terms-of-use/Privacy Policy: https://brave.com/privacy/Download the best private web browser app for Android today! Securely browse the internet with confidence.",https://play.google.com/store/apps/details?id=com.brave.browser&hl=en&gl=ES,['Communication'],Brave Software,https://www.brave.com,4.736499,1590389,"Nov 02, 2023",['EN'],Android,https://brave.com/privacy/,PEGI 3,0,100000000,€10.49 - €105.99 if billed through Play,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-11-02
com.fast.free.unblock.thunder.vpn,"Thunder VPN - Fast, Safe VPN","Thunder VPN is a lightning-fast app provide free VPN service. Not need any configuration, just simply click one button, you can access the Internet securely and anonymously.Thunder VPN encrypts your Internet connection so that third parties can’t track your online activity, making it more secure than a typical proxy, make your Internet's safety and security, especially when you using public free Wi-Fi.We have built a global VPN network included America, Europe and Asia, and expand to more country soon. Most servers are free to use, you can click the flag and change server as any times as you want.<b>Why choose Thunder VPN?</b>✅ Large number of servers, high-speed bandwidth✅ Choose apps which using VPN (Android 5.0+ required)✅ Works with Wi-Fi, 5G, LTE/4G, 3G and all mobile data carriers✅ Strict no-logging policy✅ Smart choose server✅ Well-designed UI, a few ADs✅ No usage and time limit✅ No registration or configuration required✅ No additional permissions required✅ Tiny size with high performanceUser privacy is very important to us. If you compare to other similar apps, you will find that our app has almost the fewest permission required and the smallest package size, which means that less sensitive information is collected and less uncontrollable risks from third-party code. This app is a very good choice for privacy.Download Thunder VPN, the world's fastest secure virtual private network, and enjoy it all!If Thunder VPN connect failed, don't worry, you can follow these steps to fix it:1) Click the flag icon2) Click the refresh button to check servers3) Choose the fastest and most stable server to reconnectHoping you suggestion and good rating to keep it growing and make it better :-)VPN related introductionA virtual private network (VPN) extends a private network across a public network, and enables users to send and receive data across shared or public networks as if their computing devices were directly connected to the private network. Applications running across the VPN may therefore benefit from the functionality, security, and management of the private network.Individual Internet users may secure their transactions with a VPN, to circumvent geo-restrictions and censorship, or to connect to proxy servers for the purpose of protecting personal identity and location. However, some Internet sites block access to known VPN technology to prevent the circumvention of their geo-restrictions.VPNs cannot make online connections completely anonymous, but they can usually increase privacy and security. To prevent disclosure of private information, VPNs typically allow only authenticated remote access using tunneling protocols and encryption techniques.Mobile virtual private networks are used in settings where an endpoint of the VPN is not fixed to a single IP address, but instead roams across various networks such as data networks from cellular carriers or between multiple Wi-Fi access points. Mobile VPNs have been widely used in public safety, where they give law enforcement officers access to mission-critical applications, such as computer-assisted dispatch and criminal databases, while they travel between different subnets of a mobile network.",https://play.google.com/store/apps/details?id=com.fast.free.unblock.thunder.vpn&hl=en&gl=ES,['Tools'],Signal Lab,https://thunder.free-signal.com/,4.557047,1413642,"Oct 13, 2023",['EN'],Android,https://thunder.free-signal.com/Terms%20of%20Service.html,PEGI 3,0,50000000,€2.19 - €64.99 if billed through Play,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-10-13
com.free.vpn.super.hotspot.open,VPN - Super Unlimited Proxy,"■ VPN Super Unlimited Proxy - free VPN for Android100% free Proxy! Totally unlimited bandwidth! Super fast and high VPN speed! The best unlimited free Proxy clients for android.VPN Super Unlimited Proxy- Free Proxy VPN, super fast VPN to proxy sites, watch videos and movies, protect WiFi security and protect privacy. Turbo charge your video streaming experience.■ Why choose VPN Super Unlimited Proxy?  - Large number of servers, high-speed bandwidth  - Choose apps which using VPN (Android 5.0+ required)  - Unlimited time, Unlimited data, Unlimited bandwidth  - No registration or login required  - No Log is saved from any users  - Simple, one tap connect to VPN  - Protect your security and privacy  - No additional permissions required■ What can I do with a VPN?  - Enhance your online privacy and enable you to safely and anonymously browse the Internet  - Protect you when using a public WiFi hotspot  - Allows you to create a secure connection to another network over the Internet■ Suggest:  - In most countries, it is recommended to use the IKEv2 protocol first, for better stability and connection speed.  - When the connection fails, please switch to OpenVPN UDP and OpenVPN TCP protocol in turn.  - Switching to different countries may also increase access speed or connection success rate■ Privacy Policy:*When the user is in normal use, we will not log any logs related to the user.  - Only when the user actively fails to connect the connection (requires the user to click the feedback button), we will collect the necessary user connection failure log.  *The connection failure log collected is limited to the success rate of our engineers to improve the VPN connection, and will not be shared with any individual or organization.Download VPN Super Unlimited Proxy, the world's fastest secure virtual private network, and enjoy it all!",https://play.google.com/store/apps/details?id=com.free.vpn.super.hotspot.open&hl=en&gl=ES,['Tools'],VPN Super Inc,https://mobilejump.mobi/,4.752187,932316,"Oct 27, 2023",['EN'],Android,https://legal.mobilejump.mobi/about/privacy.html,PEGI 3,0,50000000,€7.99 - €84.99 if billed through Play,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-27
free.vpn.unblock.proxy.vpn.master.pro,VPN Proxy Master - Safer Vpn,"VPN Proxy Master - super secure and  free VPN! With VPN Proxy Master, you can go online securely, enjoy private internet access, accelerate mobile games and watch online videos smoothly! Best VPN for streaming and broadcasting!Everything you need is in VPN Proxy Master:• Worldwide stable and fast VPN servers• Dedicated servers for movies, series and games• Hide your ip address and location• Stay secure connecting to Wi-Fi hotspot• High-level encryption protocols: IPsec, ISSR, OpenVPN, SSR• Strict no-log policy• Simple to use, one tap connect to VPN• Unlimited free vpn service• Compatible with all browsersWhy VPN Proxy Master?✔Unlimited free VPN proxy service- Connect to free vpn proxy servers anytime and anywhere.- One tap to set up the stable and fast connection without paying.- Enjoy private internet access with best free vpn proxy master on your device!✔Military-grade secure vpn protection for online security & privacy- AES 128-bit encryption to secure your online activities, no one can track your browsing history.- IPsec protocols and OpenVPN protocols (UDP / TCP) to hide your ip address under WiFi hotspot or any other network condition.- Protect your 5 devices simultaneously, compatible with other device systems (iOS/ Mac/ Windows).✔Go online freely with 6700+ fast vpn proxy servers- Browse websites, apps, iplayer, social network, streaming services without being tracked. Access global content on browser securely under encrypted protection.- Watch global videos, movies, TV shows, series and live broadcast with the dedicated servers for streaming platform, enjoy your favorite show at super fast speed.- Reduce game's latency, play global games and accelerate mobile games by connecting to the fastest server of different regions. Optimize your gaming experience.- Smartly select the optimal free vpn server for you. Surf social network on any browser anonymously at fast speed.What can you do with VPN Proxy Master?- Set up the safest protection for online security and privacy to enjoy a secure and private browsing experience even under public WiFi hotspot.- Set up private internet access to videos, streaming services, games, social network, apps and websites no matter where you are. Browse freely with best free vpn proxy master. What is VPN? What does a vpn do?A VPN is the acronym for Virtual Private Network. This technology is used for ciphering the internet connection. It helps to protect your private information and transmit it confidentially between two different locations so you will get a private internet access.Download VPN Proxy Master - the trusted and unlimited free VPN proxy! Start a secure and private browsing with this free online vpn! Enjoy the best free vpn service for android.User Terms:By downloading and using this product, you acknowledge and agree to the end user license agreement and Privacy Statement at: https://vpnproxymaster.com/static/privacy_policy.htmlWe value every user’s feedback please contact us whenever you need: vpnproxymaster-support@inconnecting.com",https://play.google.com/store/apps/details?id=free.vpn.unblock.proxy.vpn.master.pro&hl=en&gl=ES,['Tools'],LEMON CLOVE PTE. LIMITED,https://vpnproxymaster.com/,4.57,921432,"Oct 25, 2023",['EN'],Android,https://vpnproxymaster.com/static/privacy_policy.html,PEGI 3,0,50000000,€1.09 - €84.99 if billed through Play,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-25
com.cloudflare.onedotonedotonedotone,1.1.1.1 + WARP: Safer Internet,"✌️✌️1.1.1.1 w/ WARP – the free app that makes your Internet more private – ✌️✌️1.1.1.1 w/ WARP makes your Internet more private and safer. No one should be able to snoop 🔍 on what you do on the Internet. We’ve created 1.1.1.1 so that you can connect to the Internet securely anytime, anywhere.A better way to connect 🔑1.1.1.1 with WARP replaces the connection between your phone and the Internet with a modern, optimized, protocol. Greater privacy 🔒1.1.1.1 with WARP prevents anyone from snooping on you by encrypting more of the traffic leaving your phone. We believe privacy is a right. We won't sell your data. Better security 🛑1.1.1.1 with WARP protects your phone from security threats like malware, phishing, crypto mining and other security threats. Enable 1.1.1.1 for Families option from the DNS settings inside the app.Easy to use ✌️One-touch setup to make your Internet more safe and private. Install it today, get a more private Internet, it’s that simple.The only way to get WARP+ 🚀We test thousands of paths over the Internet every second to find which have the best performance. Skip right past Internet traffic jams using the same technology that we use to make thousands of websites 30% faster (on average).  ---------------------Subscription Information for WARP+• 1.1.1.1 with WARP is free, but WARP+ is a paid feature which can be enabled at any time.• Subscribe on a monthly basis to receive unlimited WARP+ data for the duration of the subscription.• Your subscription will automatically renew for the same package length at the same price until you cancel in settings in the Google Play Store at least 24 hours prior to the end of the current period. • Any unused portion of a free trial period and/or WARP+ data transfer credits, if offered, will be forfeited when you purchase a subscription, where applicable.",https://play.google.com/store/apps/details?id=com.cloudflare.onedotonedotonedotone&hl=en&gl=ES,['Tools'],"Cloudflare, Inc.",https://www.cloudflare.com/,4.257143,889462,"Sep 29, 2023",['EN'],Android,https://www.cloudflare.com/application/privacypolicy/,PEGI 3,0,100000000,€3.99 - €5.49 if billed through Play,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-09-29
com.psiphon3.subscription,Psiphon Pro,"Psiphon Pro gives you unprecedented access to your favourite news broadcast or social media platforms. By its nature, Psiphon Pro also protects you when accessing WiFi hotspots by creating a secure, private tunnel between you and the Internet. Psiphon Pro is the best VPN tool for accessing everything on the Internet.<b>Features:</b>• Global network featuring thousands of servers and diverse entry points, keeping you connected at all times• No registration required, just download and connect for free• Wider selection of protocols than a VPN, offering unparalleled access to everything on the Internet through our global Psiphon server network• In-app usage stats• Configuration options - make Psiphon your own VPN with customized proxy settings• Choose which apps to exclude from the VPN tunnel• Open-source, peer-reviewed and trustworthy. Find out more at https://github.com/Psiphon-Inc/psiphon, and read a full audit here - https://psiphon3.net/assets/Psiphon-3-iSEC-Partners-v1.1-08-2014.pdfYou can pay a subscription fee through Google Play to enjoy a further optimized use of Psiphon Pro, the best VPN out there.",https://play.google.com/store/apps/details?id=com.psiphon3.subscription&hl=en&gl=ES,['Communication'],Psiphon Inc.,https://psiphon.ca/,4.4152045,837861,"Oct 30, 2023",['EN'],Android,https://psiphon.ca/en/privacy.html,PEGI 3,0,100000000,€0.79 - €84.99 if billed through Play,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-30
com.nordvpn.android,NordVPN – fast VPN for privacy,"Get yourself an ultra-fast VPN connection and never stop for anything. Download NordVPN and you’ll get a fast and encrypted internet connection wherever you go. It will hide your data from cybercriminals and other people online. One tap is all it takes to have a private and secure internet in an instant. It’s an easy-to-use VPN app for Android, trusted by millions of users worldwide.<b>✔ Use a VPN for privacy </b>When you browse the internet without a VPN, your IP address can reveal where you live. But once you connect to NordVPN, no one knows where you are, what websites you visit or files you download. ✔ <b>Shield yourself from malware</b>Surf the web in confidence with Threat Protection Lite. It blocks your access to malicious websites and protects your device from accidentally joining a botnet.<b>✔ Stay safe on public Wi-Fi hotspots</b>A coffee shop serves the best espresso but its Wi-Fi is unsecured? Use NordVPN to secure your internet connection and get stuff done without worrying about your information being leaked.<b>✔ Guard your sensitive data</b>With NordVPN, your online traffic travels through a secure encrypted tunnel. This way, it’s out of reach for cybercriminals eager to snatch your private data. No proxy server or privacy browser will give you this level of security.<b>✔ Stay one step ahead</b>Enable the Dark Web Monitor to get an alert if your credentials are exposed online. This way, you can take immediate action and protect your compromised accounts before anyone can get to them.<b>✔ Enjoy high-speed connection with NordLynx</b>It’s our fastest VPN protocol built on the backbone of WireGuard to bring you blazing speeds and bulletproof privacy. All you need to do is tap “Quick Connect” – you’ll be connected to one of our 5,400+ servers in seconds. It’s almost like traveling on a virtual express train!<b>✔ Fail-safe protection</b>Working with sensitive information? Turn the Kill Switch on – your data will stay safe even if your VPN connection drops.<b>✔ For everyone and everything</b>Protect your family, friends, and all their devices with a single NordVPN account. Install it on your Wi-Fi router and enjoy an encrypted connection 24/7. <b>FEATURES</b>• Strong VPN encryption for bulletproof security• VPN protocols: OpenVPN, NordLynx based on WireGuard• Unlimited data for internet freedom• 5400+ servers worldwide for turbo speeds• Protection of 6 devices with a single account• Double VPN for ultimate privacy• VPN auto-connect for effortless online protection• 24/7 customer support by our award-winning team<b>If you want to go more advanced...</b>Enjoy these extra features without additional costs or premium subscriptions:• Split tunneling: select apps you don’t want to run through the encrypted VPN connection• Custom DNS: set a custom DNS server address• Switch between TCP and UDP protocols• Specialty servers optimized for your individual needs<b>Ready to experience a better internet?</b>If you’re looking for a single all-around cybersecurity app, VPN is a solid choice. Wind down, connect to NordVPN, and enjoy safe and private internet access wherever you go. Online security is just a tap away!<i>WireGuard® is a registered trademark of Jason A. Donenfeld.</i>Nord Security General Terms of Service, including the end-user license agreement, which governs a user's rights to the NordVPN app, among other things: https://my.nordaccount.com/legal/terms-of-service/",https://play.google.com/store/apps/details?id=com.nordvpn.android&hl=en&gl=ES,['Tools'],Nord Security,https://nordvpn.com,4.0795727,808511,"Oct 16, 2023",['EN'],Android,https://nordvpn.com/app-privacy-policy/,PEGI 3,0,50000000,€2.99 - €199.99 if billed through Play,[],[],[],[],[],['bone'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-16
