publishedAt,description,title,URL,language,mediaTitle,authors,summary,textLength,keywords,cancerTypes_breast,cancerTypes_prostate,cancerTypes_colorectal,cancerTypes_hodgkin,cancerTypes_pediatric,cancerTypes_bone,cancerTypes_rare,cancerTypes_melanoma,cancerTypes_lung,cancerTypes_pancreatic,cancerTypes_stomach,cancerTypes_bladder,cancerTypes_non-hodgkin,cancerTypes_liver,cancerTypes_kidney,cancerTypes_multiple myeloma,cancerTypes_thyroid,cancerTypes_oral cavity,cancerTypes_esophagus,cancerTypes_larynx,cancerTypes_corpus uteri,cancerTypes_ovarian,cancerTypes_endometrial,cancerTypes_testicular,cancerTypes_neuroblastoma,cancerTypes_wilms,thematicAreas_adverseEvents,thematicAreas_nutrition,thematicAreas_mentalHealth,thematicAreas_qol,thematicAreas_jobSecurityAccessToEmployment,thematicAreas_survivorshipCare,thematicAreas_AYACare,thematicAreas_lateEffects,thematicAreas_wellbeing,thematicAreas_meditation,thematicAreas_co-morbidity,thematicAreas_rehabilitation,thematicAreas_physicalActivity,thematicAreas_socialRehabilitation,thematicAreas_sexualLife,thematicAreas_lifeStyle,thematicAreas_empowermentOfCancerSurvivorship,thematicAreas_inequalitiesInSurvivorship,thematicAreas_prevention,thematicAreas_cancerInformation,thematicAreas_personalExperiences,targetGroups_adult,targetGroups_child,targetGroups_man,targetGroups_woman,time,duration
2023-11-02,The privacy-focused infrastructure project says that the new NymVPN will disperse traffic across a network of nodes rather than running data through single servers as centralized VPNs do.,Privacy Technology Firm Nym Plans Early 2024 Rollout of 'Decentralized VPN',https://www.coindesk.com/tech/2023/11/02/nym-plans-early-2024-rollout-of-decentralized-vpn/,en,CoinDesk,[],"""This brings together a decentralized VPN and a mixnet on the same network to offer users the highest level of privacy and security for all their online activities,"" according to a press release.
""Unlike centralized VPNs, which funnel all your data through a single server, the NymVPN disperses your traffic across a network of nodes.""",55,"['unlike', '2024', 'privacy', 'firm', 'security', 'vpns', 'plans', 'traffic', 'technology', 'single', 'nym', 'release', 'server', 'users', 'early', 'rollout', 'vpn', 'network', 'decentralized']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-02,0.23109243697478993
2023-11-02,"A vulnerability of medium severity, identified as CVE-2023-20042, with a CVSS score of 6.8, was found in the AnyConnect SSL VPN feature of Cisco Adaptive Security Appliance (ASA) Software and Cisco Firepower Threat Defence (FTD) Software.",Cisco AnyConnect SSL VPN Flaw Let Attacker Launch DoS Attack,https://gbhackers.com/cisco-anyconnect-ssl-vpn-flaw/,en,GBHackers,"['Balaji Is An Ex-Security Researcher', 'Threat Research Labs', 'At Comodo Cybersecurity. Editor-In-Chief', 'Co-Founder - Cyber Security News', 'Gbhackers On Security.']","A vulnerability of medium severity, identified as CVE-2023-20042, with a CVSS score of 6.8, was found in the AnyConnect SSL VPN feature of Cisco Adaptive Security Appliance (ASA) Software and Cisco Firepower Threat Defence (FTD) Software.
This vulnerability could potentially enable an unauthenticated, remote attacker to cause a denial of service (DoS) condition.
Details of the Cisco AnyConnect SSL VPN FlawAn implementation issue in the SSL/TLS session handling procedure, which could prevent the release of a session handler under certain circumstances, is the cause of the vulnerability discovered.
Affected ProductsCisco stated that this flaw impacted Cisco ASA and FTD software that had been configured for AnyConnect SSL/TLS VPN connections.
Indicators of CompromiseAccording to Cisco, the command shows SSL objects may be used to identify the presence of leaking session handlers.",316,"['vpn', 'session', 'plus', 'anyconnect', 'software', 'launch', 'ssltls', 'attacker', 'thirdparty', 'let', 'patch', 'attack', 'vulnerability', 'cisco', 'ssl', 'flaw', 'dos']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-02,1.3277310924369747
2023-11-02,Google Play is more prominently surfacing independent security reviews as a banner when searching for VPN apps...,Google Play highlighting VPNs that have undergone security review,https://9to5google.com/2023/11/02/google-play-vpn-security-review/,en,9to5Google,"['Abner Li', 'Ben Schoon', 'Andrew Romero']","One aspect of the Data Safety section that the Play Store introduced last year is the ability to feature “Independent security reviews.” Google Play is more prominently surfacing that badge when you search for VPN apps.
Google is now telling Android users to look for this Independent Security Review badge when they search for a VPN.
Tapping “Learn More” takes you to the App Validation Directory to “view all VPN apps that have been independently security reviewed” and find additional technical assessment details.
We encourage and anticipate additional VPN app developers to undergo independent security testing, bringing even more transparency to users.
Google acknowledges that baseline security standards don’t “imply that a product is free of vulnerabilities” but hopes the “badge associated with these validated apps helps users see at-a-glance that a developer has prioritized security and privacy practices and committed to user safety.”More on Google Play:",305,"['developers', 'validated', 'highlighting', 'undergone', 'apps', 'independent', 'vpn', 'security', 'vpns', 'badge', 'review', 'users', 'play', 'google']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-02,1.281512605042017
2023-11-02,More than 167 VPNs have already reportedly been blocked in Russia. How could HideMyName's victory in Court affect this trend?,First ever Russia VPN lawsuit filed against Kremlin's censorship machine,https://www.techradar.com/computing/cyber-security/first-ever-russia-vpn-lawsuit-filed-against-kremlins-censorship-machine,en,TechRadar,"['Chiara Castro', 'Senior Staff Writer', 'Social Links Navigation']","A VPN in Russia has just become the first ever provider to file a lawsuit against the Kremlin's infamous censorship body regulator.
No traces of the VPN service's domain name on Roskomnadzor's list of blocking sites could be found either.
The VPN provider decided to then take things into its own hands.
According to decisions of different courts, websites of VPN services were blocked at different times, but you could still download the application and safely use the VPN service.""
(Image credit: Getty Images)HideMyName is just one of the many VPN services to have encountered the iron fist of the Kremlin censorship machine.",605,"['lawsuit', 'machine', 'services', 'censorship', 'russian', 'russia', 'filed', 'blocking', 'kremlins', 'legal', 'provider', 'protocol', 'vpn']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-02,2.542016806722689
2023-11-03,Google has added a new security banner to the Google Play Store that shows you which apps have been verified by a third party security assessment.,Sceptical about that free VPN app? Google Play Store will now tell you if it’s secure,https://indianexpress.com/article/technology/tech-news-technology/google-play-store-security-banner-vpn-apps-9011627/,en,The Indian Express,"['Var Template_Content', 'Sso_Login_Box', 'Xwelcome Backorenter The Email Address Or Mobile Number Associated With Your Account To Sign In. Show Passwordsign Innew To The Indian Express Signupxcreate Your Account It Is Quick', 'Easy.Or Show Passwordnextvalidate Otpregisteralready Have An Account', 'Signin', 'Sso_Social_Box', 'Sign In Withgmailfacebookapple', 'Var Follow_Widget_Data', 'Af_Article_Count', 'Ie_Mobile_Check']","Starting today, Google is rolling out a new security banner for certain types of apps in the Google Play Store.
The banner will show you which apps have been verified by the Mobile App Security Assessment (MASA), a standard that Google introduced last year to evaluate the security and privacy practices of mobile apps.
The banner will first appear for VPN apps, which handle a lot of sensitive and personal data from users.
The banner will explain that the app has been validated for the minimum global security standard, and it will display a badge that indicates the app’s MASA status.
You can also find the badge in the data safety section of the app, where you can learn more about how the app protects your data.",127,"['banner', 'apps', 'vpn', 'app', 'play', 'tell', 'free', 'standard', 'security', 'masa', 'secure', 'badge', 'mobile', 'google', 'sceptical', 'store', 'data']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-03,0.5336134453781513
2023-11-02,"Google announced that it is adding a new banner to the Google Play store for specific app types, starting with VPNs.",Is that VPN app on the Play Store safe? Google will now help inform you.,https://www.androidauthority.com/google-play-store-vpn-3381728/,en,Android Authority,[],"Edgar Cervantes / Android AuthorityTL;DR Google is introducing a new banner in the Google Play store for specific app types.
Last month, Google announced it was introducing real-time app scanning to Google Play Protect for Android app installs.
Now the company is making it easier to see which apps have undergone an independent security review in the Google Play store.
Today, Google announced that it is adding a new banner to the Google Play store for specific app types.
The security review is conducted by a third party using the Mobile App Security Assessment (MASA), an assessment that was introduced last year.",301,"['play', 'vpn', 'app', 'security', 'safe', 'apps', 'banner', 'store', 'user', 'review', 'independent', 'help', 'inform', 'google', 'assessment']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-02,1.2647058823529411
2023-11-02,A Swiss startup named Nym will soon launch a decentralised VPN. The company expects the tech to eventually go mainstream.,A new decentralised VPN aims to patch a gaping security hole,https://thenextweb.com/news/nym-accounces-decentralised-vpn-privacy-protection,en,TNW,"['Thomas Macaulay', 'Story By']","Instead of funnelling all user data through a single server, they disperse the traffic across a network run by multiple users.
The Swiss startup today announced that it will launch a new decentralised (dVPN) in the first quarter of next year.
Each of these operators routs a user’s internet traffic through various stages of the information pathway, known as hops.
The internet internet may come to look like a very different place.
The value of the worldwide data privacy market, meanwhile, is projected to reach $30bn by 2030.",870,"['user', 'vpn', 'data', 'vpns', 'nym', 'aims', 'brekke', 'online', 'patch', 'traffic', 'hole', 'privacy', 'security', 'internet', 'gaping', 'decentralised']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-02,3.6554621848739495
2023-11-02,"Nym Technologies, the privacy infrastructure project with backing from a16z and Chelsea Manning, shares the release of its decentraized VPN for Q1 2024, which is said to disperse user traffic across a network of nodes.",Chelsea Manning-backed Nym releases privacy-first VPN powered ...,https://crypto.news/chelsea-manning-backed-nym-releases-privacy-first-vpn-powered-by-blockchain/,en,crypto.news,"['Sarah Jansen', 'Brian Stone']","Nym Technologies, the privacy infrastructure project with backing from a16z and Chelsea Manning, shares the release of its decentraized VPN for Q1 2024, which is said to disperse user traffic across a network of nodes.
Alongside this launch, the project is also releasing the VPN’s lightpaper, providing insights into the solution’s privacy mechanism.
Enhancing online privacyIn a Nov. 2 announcement shared with crypto.news, the contrast is highlighted between conventional centralized VPN services that channel data through a single server and the NymVPN, which employs a decentralized approach, distributing user traffic across a network of nodes.
The architectural change is said to enhance online privacy, rendering it more difficult for potential eavesdroppers to monitor user activities.
At the time, Halpin shared that Manning could help Nym fix holes in its design.",251,"['nym', 'chelsea', 'privacy', 'technologies', 'traffic', 'shared', 'releases', 'user', 'users', 'powered', 'manning', 'privacyfirst', 'online', 'blockchain', 'vpn', 'manningbacked']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-11-02,1.0546218487394958
2023-11-01,,ReasonLabs Unveils RAV VPN for Apple iOS,https://www.darkreading.com/endpoint/reasonlabs-unveils-rav-vpn-for-apple-ios,en,Dark Reading,"['Becky Bracken', 'Editor', 'Dark Reading', 'Kristina Beek', 'Associate Editor', 'Nate Nelson', 'Contributing Writer']","As Wi-Fi security is a common unresolved issue in many households, with RAV VPN, Apple iPhone users can enjoy a secured encrypted connection to any Wi-Fi network.
You can download RAV VPN for iOS on the App Store here.
RAV VPN enables iOS users to safeguard their online activities and protect sensitive data from prying eyes.
""RAV VPN for iOS empowers users to take control of their online experiences, ensuring they can connect online with confidence and peace of mind.
For more information about RAV VPN for iOS, Android, or Windows, and ReasonLabs' other products and services, please visit www.reasonlabs.com.",396,"['rav', 'ios', 'reasonlabs', 'vpn', 'security', 'unveils', 'users', 'protection', 'apple', 'products', 'cybersecurity', 'online']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-01,1.6638655462184875
2023-10-11,A VPN protocol provides a secure tunnel for data transmission to keep your online activities confidential. Learn about six common VPN protocols.,X Common VPN Protocols Explained – Forbes Advisor,https://www.forbes.com/advisor/business/software/vpn-protocols/,en,Forbes,"['Monique Danao', 'Kiran Aditham', 'Published', 'Oct']","VPN protocols are used to establish secure and encrypted connections between a user’s device and a VPN server.
Here are some of the most common types of VPN protocols.
L2TP/IPsecL2TP/IPsec is a virtual private network (VPN) protocol that is a combination of two protocols—layer 2 tunneling protocol (L2TP) and internet protocol security (IPsec).
PPTP is one of the earliest VPN protocols but it still relies on the outdated MS-CHAP v2 to transmit data.
While it supports other platforms—macOS, Linux or mobile devices—may be more limited compared to other VPN protocols.",795,"['protocols', 'explained', 'vpn', 'data', 'encryption', 'pptp', 'devices', 'secure', 'common', 'security', 'protocol', 'windows']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-11,3.3403361344537816
