appId,title,description,url,genres,developer,developerWebsite,score,ratings,currentVersionReleaseDate,languageCodesISO2A,os,privacyPolicyUrl,contentRating,price,installs,inAppProductPrice,cancerTypes_breast,cancerTypes_prostate,cancerTypes_colorectal,cancerTypes_hodgkin,cancerTypes_pediatric,cancerTypes_bone,cancerTypes_rare,cancerTypes_melanoma,cancerTypes_lung,cancerTypes_pancreatic,cancerTypes_stomach,cancerTypes_bladder,cancerTypes_non-hodgkin,cancerTypes_liver,cancerTypes_kidney,cancerTypes_multiple myeloma,cancerTypes_thyroid,cancerTypes_oral cavity,cancerTypes_esophagus,cancerTypes_larynx,cancerTypes_corpus uteri,cancerTypes_ovarian,cancerTypes_endometrial,cancerTypes_testicular,cancerTypes_neuroblastoma,cancerTypes_wilms,thematicAreas_adverseEvents,thematicAreas_nutrition,thematicAreas_mentalHealth,thematicAreas_qol,thematicAreas_jobSecurityAccessToEmployment,thematicAreas_survivorshipCare,thematicAreas_AYACare,thematicAreas_lateEffects,thematicAreas_wellbeing,thematicAreas_meditation,thematicAreas_co-morbidity,thematicAreas_rehabilitation,thematicAreas_physicalActivity,thematicAreas_socialRehabilitation,thematicAreas_sexualLife,thematicAreas_lifeStyle,thematicAreas_empowermentOfCancerSurvivorship,thematicAreas_inequalitiesInSurvivorship,thematicAreas_prevention,thematicAreas_cancerInformation,thematicAreas_personalExperiences,targetGroups_adult,targetGroups_child,targetGroups_man,targetGroups_woman,time
com.whatsapp,WhatsApp Messenger,"WhatsApp from Meta is a FREE messaging and video calling app. It’s used by over 2B people in more than 180 countries. It’s simple, reliable, and private, so you can easily keep in touch with your friends and family. WhatsApp works across mobile and desktop even on slow connections, with no subscription fees*.Private messaging across the worldYour personal messages and calls to friends and family are end-to-end encrypted. No one outside of your chats, not even WhatsApp, can read or listen to them.Simple and secure connections, right awayAll you need is your phone number, no user names or logins. You can quickly view your contacts who are on WhatsApp and start messaging.High quality voice and video callsMake secure video and voice calls with up to 8 people for free*. Your calls work across mobile devices using your phone’s Internet service, even on slow connections.Group chats to keep you in contactStay in touch with your friends and family. End-to-end encrypted group chats let you share messages, photos, videos and documents across mobile and desktop.Stay connected in real timeShare your location with only those in your individual or group chat, and stop sharing at any time. Or record a voice message to connect quickly.Share daily moments through StatusStatus allows you to share text, photos, video and GIF updates that disappear after 24 hours. You can choose to share status posts with all your contacts or just selected ones.Use WhatsApp on your Wear OS watch to continue conversations, reply to messages, and take calls - all from your wrist. And, leverage tiles and complications to easily access your chats and send voice messages.*Data charges may apply. Contact your provider for details.---------------------------------------------------------If you have any feedback or questions, please go to WhatsApp > Settings > Help > Contact Us",https://play.google.com/store/apps/details?id=com.whatsapp&hl=en&gl=ES,['Communication'],WhatsApp LLC,http://www.whatsapp.com/,4.140134,184262408,"Nov 30, 2023",['EN'],Android,https://www.whatsapp.com/legal/privacy-policy,PEGI 3,0,5000000000,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-30
com.google.android.youtube,YouTube,"Get the official YouTube app on Android phones and tablets. See what the world is watching -- from the hottest music videos to what’s popular in gaming, fashion, beauty, news, learning and more. Subscribe to channels you love, create content of your own, share with friends, and watch on any device.Watch and subscribe ● Browse personal recommendations on Home● See the latest from your favorite channels in Subscriptions ● Look up videos you’ve watched, liked, and saved for later in Library Explore different topics, what’s popular, and on the rise (available in select countries)● Stay up to date on what’s popular in music, gaming, beauty, news, learning and more● See what’s trending on YouTube and around the world on Explore● Learn about the coolest Creators, Gamers, and Artists on the Rise (available in select countries)Connect with the YouTube community● Keep up with your favorites creators with Posts, Stories, Premieres, and Live streams● Join the conversation with comments and interact with creators and other community membersCreate content from your mobile device● Create or upload your own videos directly in the app ● Engage with your audience in real time with live streaming right from the appFind the experience that fits you and your family (available in select countries)● Every family has their own approach to online video. Learn about your options: the YouTube Kids app or a new parent supervised experience on YouTube at youtube.com/myfamilySupport creators you love with channel memberships (available in select countries)● Join channels that offer paid monthly memberships and support their work● Get access to exclusive perks from the channel & become part of their members community● Stand out in comments and live chats with a loyalty badge next to your usernameUpgrade to YouTube Premium (available in select countries)● Watch videos uninterrupted by ads, while using other apps, or when the screen is locked● Save videos for when you really need them – like when you’re on a plane or commuting● Get access to YouTube Music Premium as part of your benefits",https://play.google.com/store/apps/details?id=com.google.android.youtube&hl=en&gl=ES,['Video Players & Editors'],Google LLC,https://www.youtube.com,3.953887,152903473,"Dec 02, 2023",['EN'],Android,http://www.google.com/policies/privacy,Parental guidance,0,10000000000,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-12-02
com.instagram.android,Instagram,"Little moments lead to big friendships. Share yours on Instagram. —From MetaConnect with friends, find other fans, and see what people around you are up to and into. Explore your interests and post what's going on, from your daily moments to life's highlights.Share what you’re up to and into.- Keep up with friends on the fly with Stories and Notes that disappear after 24 hours.- Start group chats and share unfiltered moments with your Close Friends.- Share memories from recent events or trips in Feed.- Turn your life into a movie and discover short, entertaining videos on Instagram with Reels.- Customize your posts with exclusive templates, music, stickers and filtersDive into your interests.- Watch videos from your favorite Creators and discover new content that’s personalized to your interests.- Get inspired by photos and videos from new accounts in Explore.- Discover brands and small businesses, and shop products that are relevant to your personal style.Some Instagram features may not be available in your country or region.Terms and Policies - https://help.instagram.com/581066165581870",https://play.google.com/store/apps/details?id=com.instagram.android&hl=en&gl=ES,['Social'],Instagram,http://help.instagram.com/,4.0965295,149967611,"Dec 09, 2023",['EN'],Android,http://instagram.com/legal/privacy/,Parental guidance,0,5000000000,"€0.09 - €1,249.99 if billed through Play",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-12-09
com.facebook.katana,Facebook,"Whether you’re looking for a spark of inspiration with reels or want to dive deeper into something you already love with Marketplace or in groups, you can discover ideas, experiences and people that fuel your interests and help you make progress on the things that matter to you on Facebook.Explore and expand your interests* Shop for affordable and uncommon stuff on Marketplace and take your hobbies to the next level* Personalize your Feed to see more of what you like, less of what you don’t* Watch reels for quick entertainment that sparks inspiration* Discover creators, small businesses and communities who can help you dive deeper into the things you care aboutConnect with people and communities* Join groups to learn tips and tricks from real people who’ve been there, done that* Catch up with friends, family and influencers through Feed and stories* Share the things that matter to you with easy in-app access to your Messenger chatsShare your world* Effortlessly create reels from trending templates, or let your creativity shine with a full suite of editing tools* Customize your profile to choose how you show up and who you share your posts with* Turn your hobby into a side hustle by becoming a creator or selling things on Marketplace* Celebrate everyday, candid moments with stories, which disappear in 24 hours",https://play.google.com/store/apps/details?id=com.facebook.katana&hl=en&gl=ES,['Social'],"Meta Platforms, Inc.",https://www.facebook.com/facebook,3.3636324,137489174,"Dec 05, 2023",['EN'],Android,https://www.facebook.com/about/privacy/,Parental guidance,0,5000000000,"€0.09 - €2,799.99 if billed through Play",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-12-05
com.facebook.orca,Messenger,"Be together whenever, with our free* all-in-one communication app, complete with unlimited text, voice, video calling and group video chat features. PRIVACY SETTINGS New privacy settings let you choose who can reach you, and where your messages are delivered. CUSTOM REACTIONS Lost for words? You can customize your reactions, with lots more emojis to choose from. CHAT THEMES Choose from fun themes and colors, like Tie-Dye or Love, to make your chats more personal. WATCH TOGETHER Watch videos, tv shows, and movies with your friends over Messenger Video Chat and Rooms when you can't be together. Capture every moment and reaction in real-time. FREE* VIDEO CALLS TO STAY CONNECTED Keep your friends and family close with unlimited live video chatting.Host group video calls with up to 8 people, with high-quality audio, high definition video, and interactive video features like face filters. UNLIMITED FREE* TEXT & PHONE CALLS Skip exchanging phone numbers and simply send a message to your Facebook friends, even if they’re across the world. Enjoy high-quality voice and text messaging on mobile, tablet, and desktop. TURN OFF THE LIGHTS IN DARK MODE Give your eyes some rest with a sleek new look that darkens the colors of the chat interface. RECORD AND SEND VOICE AND VIDEO MESSAGES When text just won't cut it, just hit record and send. Say, sing, show, or shout it out loud. EXPRESS YOURSELF WITH STICKERS, GIFS, AND EMOJIS Use custom stickers to show your creative side. You can even add effects and filters to video calls. SEND FILES, PHOTOS, AND VIDEOS There’s no limit to the number of files you want to share with your friends. PLAN AND MAKE IT HAPPEN Make plans to get together with polls and more. Suggest a meeting spot or tell friends where you are by sharing your location with just a few taps. SEND AND REQUEST MONEY WITH NO FEES Send and receive money securely and quickly—right in the app. Split payments in group chats to share rent, travel, and other expenses. Start sending money to friends and family by adding your debit card, PayPal account (fees may apply), or prepaid card. Only available in the US. CHAT WITH BUSINESSES Easily connect with your favorite businesses to make reservations, get customer support, find deals and more. COMPATIBLE ACROSS PLATFORMS Chat with friends across an array of devices, like desktop, Portal, and others. Privacy Policy: https://www.facebook.com/about/privacy/ LEARN MORE about Messenger texting and group video chat at: http://messenger.com * Data rates apply Some Messenger features may not be available in your country or region.",https://play.google.com/store/apps/details?id=com.facebook.orca&hl=en&gl=ES,['Communication'],"Meta Platforms, Inc.",https://www.facebook.com/games/fbmessenger_android/,4.04363,87893886,"Dec 05, 2023",['EN'],Android,https://m.facebook.com/policy.php,Parental guidance,0,5000000000,€0.09 - €349.99 if billed through Play,[],[],[],[],[],[],[],[],[],[],[],[],[],['liver'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-12-05
com.google.android.apps.photos,Google Photos,"Google Photos is the home for all your photos and videos, automatically organized and easy to share.- “The best photo product on Earth” – The Verge- “Google Photos is your new essential picture app” – WiredThe official Google Photos app is made for the way you take photos today and includes essential features like shared albums, automatic creations and an advanced editing suite. Additionally every Google Account comes with 15 GB of storage and you can choose to automatically back up all your photos and videos in High quality or Original quality. You can then access them from any connected device and on photos.google.com.With the official app, you get:15 GB OF STORAGE: Back up 15 GB of photos and videos and access them from any device and photos.google.com—your photos are safe, secure, and private to you. All photos and videos you back up in high quality before June 1, 2021 will not count toward your Google Account storage.FREE UP SPACE: Never worry about running out of space on your phone again. Photos that are safely backed up can be removed from your device's storage in just a tap.NO ADS: Google Photos doesn't sell your photos, videos, or personal information to anyone and we don't use your photos and videos for advertising.FAST AND POWERFUL SEARCH: Your photos are now searchable by the people, places and things in them — no tagging required.GOOGLE LENS: Search the hard-to-describe and get stuff done, right from a photo. Copy and translate text, identify plants and animals, add events to your calendar, find products online, and more.ADVANCED EDITING SUITE: Transform photos with a tap. Use intuitive and powerful photo editing tools to apply content-aware filters, adjust lighting, and more.AUTOMATIC CREATIONS: Bring photos to life with automatically created movies, collages, animations, panoramas, and more from your photos. Or easily create them yourself.SHARING SUGGESTIONS: With smart sharing suggestions, giving your friends the photos you took of them is painless. And they can add their photos, too, so you’ll finally get the photos you’re actually in.LIVE ALBUMS: Select the people and pets you want to see and Google Photos will automatically add photos of them as you take them, no manual updates needed.*PHOTO BOOKS: Create a photo book in just minutes from your phone or computer. You can also see suggested photo books based on your best shots from a trip or period of time.*SEND PHOTOS IN SECONDS: Instantly share photos with any contact, email, or phone number.SHARED LIBRARIES: Grant a trusted person access to all of your photos.You can also upgrade storage for your Google Account, used for Original Quality photos and videos by subscribing to Google One. Subscriptions start at $1.99/month for 100 GB in the US. Pricing and availability can vary by region.- Google One Terms of Service: https://one.google.com/terms-of-service- One Google Pricing: https://one.google.com/aboutFor additional help visit https://support.google.com/photosGoogle Photos is also available on Wear OS for the Google Pixel Watch. Set your favorite photos as your watch face.*Face grouping, live albums and photo books are not available in all countries.",https://play.google.com/store/apps/details?id=com.google.android.apps.photos&hl=en&gl=ES,['Photography'],Google LLC,https://support.google.com/photos,4.4301124,49231439,"Dec 06, 2023",['EN'],Android,http://www.google.com/policies/privacy,PEGI 3,0,5000000000,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-12-06
com.android.chrome,Google Chrome: Fast & Secure,"Google Chrome is a fast, easy to use, and secure web browser. Designed for Android, Chrome brings you personalized news articles, quick links to your favorite sites, downloads, and Google Search and Google Translate built-in. Download now to enjoy the same Chrome web browser experience you love across all your devices.                <b>Browse fast and type less.</b> Choose from personalized search results that instantly appear as you type and quickly browse previously visited web pages. Fill in forms quickly with Autofill.                <b>Incognito Browsing.</b> Use Incognito mode to browse the internet without saving your history. Browse privately across all your devices.                <b>Access your Chrome across devices.</b> When you sign in to Chrome, you can save bookmarks, passwords and more in your Google Account, so you can access them on your other devices.                <b>All your favorite content, one tap away.</b> Chrome is not just fast for Google Search, but designed so you are one tap away from all your favorite content. You can tap on your favorite news sites or social media directly from the new tab page. Chrome also has the “Tap to Search”- feature on most webpages. You can tap on any word or phrase to start a Google search while still in the page you are enjoying.                <b>Protect your phone with Google Safe Browsing.</b> Chrome has Google Safe Browsing built-in. It keeps your phone safe by showing warnings to you when you attempt to navigate to dangerous sites or download dangerous files.                <b>Fast downloads and view web pages and videos offline</b> Chrome has a dedicated download button, so you can easily download videos, pictures, and entire webpages with just one tap. Chrome also has downloads home right inside Chrome, where you can access all the content you downloaded, even when you are offline.                <b>Google Voice Search.</b> Chrome gives you an actual web browser you can talk to. Use your voice to find answers on-the-go without typing and go hands free. You can browse and navigate quicker using your voice anywhere, anytime.                <b>Google Translate built-in: Quickly translate entire web pages.</b> Chrome has Google Translate built in to help you to translate entire web to your own language with one tap.                        <b>Smart personalized recommendations.</b> Chrome creates an experience that is tailored to your interests.  On the new tab page, you will find articles that Chrome selected based on your previous browsing history.",https://play.google.com/store/apps/details?id=com.android.chrome&hl=en&gl=ES,['Communication'],Google LLC,http://www.google.com/chrome/android,3.8476603,44176395,"Dec 06, 2023",['EN'],Android,https://policies.google.com/privacy,PEGI 3,0,10000000000,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-12-06
com.snapchat.android,Snapchat,"Snapchat is a fast and fun way to share the moment with your friends and family 👻SNAP • Snapchat opens right to the Camera — just tap to take a photo, or press and hold for video.• Express yourself with Lenses, Filters, Bitmoji and more! • Try out new Lenses daily created by the Snapchat community!CHAT • Stay in touch with friends through live messaging, or share your day with Group Stories.• Video Chat with up to 16 friends at once — you can even use Lenses and Filters when chatting!• Express yourself with Friendmojis — exclusive Bitmoji made just for you and a friend.STORIES• Watch friends' Stories to see their day unfold.• See Stories from the Snapchat community that are based on your interests.• Discover breaking news and exclusive Original Shows.SPOTLIGHT• Spotlight showcases the best of Snapchat!• Submit your own Snaps or sit back, relax, and watch.• Pick your favorites and share them with friends.MAP • Share your location with your best friends or go off the grid with Ghost Mode.• See what your friends are up to on your most personal map when they share their location with you. • Explore live Stories from the community nearby or across the world!MEMORIES • Save unlimited photos and videos of all your favorite moments.• Edit and send old moments to friends or save them to your Camera Roll.• Create Stories from your favorite Memories to share with friends and family.FRIENDSHIP PROFILE • Every friendship has its own special profile to see the moments you’ve saved together.• Discover new things you have in common with Charms — see how long you’ve been friends, your astrological compatibility, your Bitmoji fashion sense, and more!• Friendship Profiles are just between you and a friend, so you can bond over what makes your friendship special.Happy Snapping!• • •Please note: Snapchatters can always capture or save your messages by taking a screenshot, using a camera, or otherwise. Be mindful of what you Snap!For a full description of our privacy practices, please see our Privacy Center.",https://play.google.com/store/apps/details?id=com.snapchat.android&hl=en&gl=ES,['Communication'],Snap Inc,http://www.snapchat.com,4.237814,33826345,"Dec 07, 2023",['EN'],Android,http://www.snapchat.com/privacy,Parental guidance,0,1000000000,€0.29 - €349.99 if billed through Play,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-12-07
com.facebook.lite,Facebook Lite,"Whether you’re looking for a spark of inspiration with reels or want to dive deeper into something you already love with Marketplace or in groups, you can discover ideas, experiences and people that fuel your interests and help you make progress on the things that matter to you on Facebook.The Facebook Lite app is small. It lets you save space on your phone and use Facebook in 2G conditions without sacrificing the core features and functionality of the app. Explore and expand your interests* Shop for affordable and uncommon stuff on Marketplace and take your hobbies to the next level* Personalize your Feed to see more of what you like, less of what you don’t* Watch reels for quick entertainment that sparks inspiration* Discover creators, small businesses and communities who can help you dive deeper into the things you care aboutConnect with people and communities* Join groups to learn tips and tricks from real people who’ve been there, done that* Catch up with friends, family and influencers through Feed and stories* Share the things that matter to you with easy in-app access to your Messenger chatsShare your world* Let your creativity shine by making reels with trending audio and a suite of editing tools* Customize your profile to choose how you show up and who you share your posts with* Turn your hobby into a side hustle by becoming a creator or selling things on Marketplace* Celebrate everyday, candid moments with stories, which disappear in 24 hoursProblems with downloading or installing the app? See https://www.facebook.com/help/fblite Still need help? Please tell us more about the issue: https://www.facebook.com/help/contact/640732869364975Facebook is only available to people aged 13 and over.Terms of Service: http://m.facebook.com/terms.php",https://play.google.com/store/apps/details?id=com.facebook.lite&hl=en&gl=ES,['Social'],"Meta Platforms, Inc.",https://www.facebook.com/facebook,3.5071762,25446379,"Dec 10, 2023",['EN'],Android,https://www.facebook.com/about/privacy/,Parental guidance,0,1000000000,€0.09 - €3.39 if billed through Play,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-12-10
com.google.android.apps.maps,Google Maps,"Navigate your world faster and easier with Google Maps.  Over 220 countries and territories mapped and hundreds of millions of businesses and places on the map.  Get real-time GPS navigation, traffic, and transit info, and explore local neighborhoods by knowing where to eat, drink and go - no matter what part of the world you’re in.Get there faster with real-time updates• Beat traffic with real-time ETAs and traffic conditions• Catch your bus, train, or ride-share with real-time transit info• Save time with automatic rerouting based on live traffic, incidents, and road closuresDiscover places and explore like a local• Discover local restaurant, events, and activities that matter to you• Know what’s trending and new places that are opening in the areas you care about• Decide more confidently with “Your match,” a number on how likely you are to like a place• Group planning made easy.  Share a shortlist of options and vote in real-time• Create lists of your favorite places and share with friends• Follow must-try places recommended by local experts, Google, and publishers• Review places you’ve visited. Add photos, missing roads and places.More experiences on Google Maps• Offline maps to search and navigate without an internet connection• Street View and indoor imagery for restaurants, shops, museums and more• Indoor maps to quickly find your way inside big places like airports, malls and stadiums* Some features not available in all countries* Also available for Wear OS* Navigation isn't intended to be used by oversized or emergency vehicles",https://play.google.com/store/apps/details?id=com.google.android.apps.maps&hl=en&gl=ES,['Travel & Local'],Google LLC,http://maps.google.com/about/,3.9211223,17492425,"Dec 08, 2023",['EN'],Android,http://www.google.com/policies/privacy,PEGI 3,0,10000000000,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-12-08
