appId,title,description,url,genres,developer,developerWebsite,score,ratings,currentVersionReleaseDate,languageCodesISO2A,os,privacyPolicyUrl,contentRating,price,installs,inAppProductPrice,cancerTypes_breast,cancerTypes_prostate,cancerTypes_colorectal,cancerTypes_hodgkin,cancerTypes_pediatric,cancerTypes_bone,cancerTypes_rare,cancerTypes_melanoma,cancerTypes_lung,cancerTypes_pancreatic,cancerTypes_stomach,cancerTypes_bladder,cancerTypes_non-hodgkin,cancerTypes_liver,cancerTypes_kidney,cancerTypes_multiple myeloma,cancerTypes_thyroid,cancerTypes_oral cavity,cancerTypes_esophagus,cancerTypes_larynx,cancerTypes_corpus uteri,cancerTypes_ovarian,cancerTypes_endometrial,cancerTypes_testicular,cancerTypes_neuroblastoma,cancerTypes_wilms,thematicAreas_adverseEvents,thematicAreas_nutrition,thematicAreas_mentalHealth,thematicAreas_qol,thematicAreas_jobSecurityAccessToEmployment,thematicAreas_survivorshipCare,thematicAreas_AYACare,thematicAreas_lateEffects,thematicAreas_wellbeing,thematicAreas_meditation,thematicAreas_co-morbidity,thematicAreas_rehabilitation,thematicAreas_physicalActivity,thematicAreas_socialRehabilitation,thematicAreas_sexualLife,thematicAreas_lifeStyle,thematicAreas_empowermentOfCancerSurvivorship,thematicAreas_inequalitiesInSurvivorship,thematicAreas_prevention,thematicAreas_cancerInformation,thematicAreas_personalExperiences,targetGroups_adult,targetGroups_child,targetGroups_man,targetGroups_woman,time
com.quizgames.movies-quiz,Trivial Películas Quiz,"¡Un quiz adictivo con las mejores películas, actores, realizadores, escenas y mucho más!¿TE GUSTA EL CINE?Si eres aquel amigo que sabe todo de cine, incluyendo las mejores películas de siempre y hasta te puedes recordar las frases más famosas que ya se han dicho en la gran pantalla, entonces este juego es para ti!En este concurso encontrarás miles de preguntas, escenas de las mejores películas, actores, realizadores, premios Óscares, bandas sonoras y mucho más! ¡Pon a prueba tu conocimiento y juega sin parar!FOTOGRAFÍAS, ESCENAS, BANDAS SONORASJuega con fotografías de los actores y actrices, adivina a qué película pertenece la escena mostrada y déjate llevar por la banda sonora de las mejores películas de siempre, mientras juegas y muestras lo que sabes!¿CÓMO JUGAR?- Cada ronda tiene 10 preguntas- Responde a cada pregunta en el menor tiempo posible para ganar más puntos. Tienes un máximo de 30 segundos para cada pregunta. - Y no te preocupes si fallas, tienes 3 vidas para que no te pierdas puntos¿MUY FÁCIL?Si crees que es fácil, no te dejes engañar. ¡El juego se adapta a ti! Es verdad, a medida que juegas, van surgiendo más desafíos con preguntas de las mejores películas de siempre como los clásicos ""El Padrino"", ""Casablanca"", ""James Bond"", o más recientes como ""El Señor de los Anillos"", ""Batman”, “Piratas del Caribe"" y mucho más! ¡EL MUNDO DEL CINEMA NO PARA Y EL QUIZ LO ACOMPAÑA! Las preguntas están siempre actualizadas con las últimas novedades del mundo del cine. Regularmente recibirás actualizaciones de preguntas y nuevos contenidos para que la diversión no pare!¡EN CUALQUIER ALTURA Y CUALQUIER LUGAR!Puedes jugar siempre que quieras: el juego es 100% GRATIS y no necesitas Internet! Juega en la publicidad antes de comenzar la película o en el intervalo! Disfruta con tus amigos, en familia o desafíate a ti mismo.¡TU OPINIÓN CUENTA!Si crees que el juego todavía puede mejorar mucho con otro tipo de preguntas o si encuentras algún error en una pregunta o respuesta (sabemos que eres experto!), Ayúdanos! Al final del juego, puedes revisar, evaluar y reportar todas las preguntas.3,2,1 .... ¡ACCIÓN! : D",https://apps.apple.com/es/app/trivial-pel%C3%ADculas-quiz/id1312877208?uo=4,"['Juegos', 'Trivia', 'Entretenimiento', 'Familiar']",Pedro Gomes,https://mobilesolutions.pt/,4.277,213,"Sep 14, 2021","['EN', 'FR', 'DE', 'IT', 'PT', 'ES']",iOS,None,4+,0.0,0.0,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['mejora'],[],[],[],[],[],[],[],['conocimiento'],[],[],[],['man'],[],2021-09-14
com.visionborne.FaceOscar,FaceOscar,"The photos used to produce the clips will not be shared or used by us for any commercial purpose.  After the processed clips are sent back to the users, the photos will be automatically erased from our servers. We don't collect any data from your pics! ===============================¿Siempre has deseado verte en el lugar de una Estrella?Con FaceOscar puedes interpretar los papeles de tus actores preferidos.¡Basta un selfie!Haz una foto, elige quién quieres ser y mírate en las escenas más divertidas y emocionantes en las que nunca hubieras pensado participar.Los clips son actualizados constantemente: puedes convertirte en un actor.No son simples fotomontages; ¡podrás sorprender a tus amigos enseñandoles verdaderas escenas famosas en las que tu eres el protagonista!",https://apps.apple.com/es/app/faceoscar/id1347933872?uo=4,"['Entretenimiento', 'Foto y vídeo']",Visionborne,None,4.25122,203,"Nov 26, 2019",['EN'],iOS,None,12+,2.99,0.0,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2019-11-26
com.lazyboydevelopments.boxingsuperstar,Boxing Superstar,"Can you become the world heavyweight champion?The makers of Football Superstar proudly present our new game... Boxing Superstar.Boxing Superstar focuses on character development and strategy rather than quick reflexes. You start as at 16 year old flyweight full of potential and battle until you retire... what happens in-between is up to you!IMPROVE YOUR ABILITIESUpgrade abilities that suit your fighting style. Perhaps you become a power puncher looking to knockout your opponent?  Maybe you prefer to use your fitness to grind an opponent down over time? The choice is yours.CONTROL YOUR DESTINYAs you build your career, various decisions and events will mould you as a person and boxer.  Do you chase the money or focus on becoming the best boxer you can be?  How do you handle fame and fortune?  And then there's the media and fans to worry about!INCREASE YOUR WEALTHAs you earn more money, why not buy some businesses to make more?  After all, you can put that extra cash to good use!LIVE THE LIFEAs you work your way up the rankings you'll make more and more cash.  Why not buy lifestyle items such a supercar or perhaps even a Yacht?  Your lifestyle will make you more appealing to big endorsement deals!HELP IS AT HANDOne thing is for sure, you’ll need help.    • Hire managers to get you a bigger cut of the fight purse.    • Coaches will help improve your fighting skills.    • Doctors will help you recover and get you back into the ring as soon as possible.ARE YOU THE BEST?Battle against thousands of boxers and progress from the flyweight division all the way to heavyweight. Can you reach the top?Prove it…",https://apps.apple.com/es/app/boxing-superstar/id1550517987?uo=4,"['Juegos', 'Deportes', 'Simulación', 'Deportes']",Lazy Boy Developments,None,4.53636,110,"Sep 10, 2023",['EN'],iOS,None,12+,0.0,0.0,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['lifestyle'],[],[],[],[],[],[],[],['man'],[],2023-09-10
com.oscarthecat.myvirtualpet,My Talking Oscar the Cat,"¡Es blanco, esponjado y completamente adorable! Gato que Habla Oscar es lo más nuevo en juegos de gatos, es tu nuevo amigo virtual que te robará el corazón. Este gato virtual viene con un álbum de estampas, mini juegos, juegos de vestir y dibujos de gatos para colorear para niños, entre otras cosas. Este pequeño animal virtual es lo mejor para un amigo virtual. Tal vez ya habías probado con una gata que habla, pero no era lo que buscabas, ¡pero este gato hablador puede que sea tu mascota virtual ideal!GATO QUE HABLA OSCAR CONTIENE:◆ GENIALES GRÁFICOS y lindas animaciones◆ POCIONES DIVERTIDAS – haz que tu mascota virtual beba pociones para ver qué hace◆ COLECCIONA ESTAMPAS y guárdalas en un álbum y◆ GANA PREMIOS por cada página del álbum que completes o por las estampas raras que tu amigo virtual encuentre◆ ADORABLES DIBUJOS DE GATOS PARA COLOREAR PARA NIÑOS◆ JUEGOS DE VESTIR – compra decoraciones o ropa para tu mascota virtual◆ BONO DIARIO – juega todos los días con tu gato hablador y recibe bonos diarios◆ MISIONES DIARIAS – si tú y tu mascota virtual completan las misiones diarias ganarán muchas monedas y diamantes◆ GIRA LA RUEDA Y PRUEBA TU SUERTE: puedes ganar increíbles premios como estampas raras, muchas monedas o ropa para tu amigo virtual◆ MINI JUEGOS – gana monedas mientras juegas con tu gato virtualLA LIGA DE LAS MASCOTAS EXTRAORDINARIASSi hubiera algo como una liga de mascotas parlantes, seguro que el Gato que Habla Oscar sería un miembro. Oscar es amigo de otros famosos animales virtuales como Emma, la gata que habla y el perro hablador Charlie. Oscar es el nuevo animal virtual que se ganará el cariño de todos, pues parece que los juegos de gatos son muy populares y nadie puede resistirse a esta linda mascota virtual. ¡Es que mira sus ojos tiernos! ¡Descarga la app de Gato que Habla Oscar y diviértete con tu nuevo gato virtual! Seguro que adorarás a este gato hablador.INFORMACIÓN LEGALGato que Habla Oscar, un juego de animal virtual, es propiedad intelectual de Peaksel.",https://apps.apple.com/es/app/my-talking-oscar-the-cat/id1250412726?uo=4,"['Juegos', 'Familiar', 'Entretenimiento', 'Juegos de rol']",Peaksel,http://peaksel.com,4.48421,95,"Sep 29, 2023","['AR', 'HR', 'CS', 'DA', 'NL', 'EN', 'FR', 'DE', 'HU', 'ID', 'IT', 'JA', 'KO', 'MS', 'NB', 'PL', 'PT', 'RO', 'RU', 'SR', 'ZH', 'ES', 'SV', 'TH', 'TR', 'VI']",iOS,None,4+,0.0,0.0,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['nino'],['man'],[],2023-09-29
com.oscar.clientApp,OSCAR: servicios a domicilio,"¡Ahora es superfácil cuidar de tu hogar! Solicite un servicio en menos de 2 minutos.- Elija entre +150 servicios de mantenimiento, limpieza y lavandería- Servicios a precio fijo (compruebe el precio antes de solicitarlo)- Tenemos más de 500 técnicos cerca de usted - Reserve o llame inmediatamente (tarda 30 minutos)- Siga al técnico en el mapa- Chatea con nosotros",https://apps.apple.com/es/app/oscar-servicios-a-domicilio/id1465742509?uo=4,['Estilo de vida'],ROUTINEDISPLAY,http://oscar-app.com,4.86667,60,"Oct 01, 2023",['EN'],iOS,None,4+,0.0,0.0,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-10-01
com.omartin.RcTiming,RC Timing,"Esta App ha sido creada por un entusiasta (yo mismo) de los coches de RadioControl  y Slot Racing que tenía una necesidad: Quería conocer mis tiempos por vueltas cuando iba a la pista de mi Club local y el caro Sistema Cuentavueltas no estaba instalado. Así, desarrollé RC Timing.RC Timing es una App que permite detectar los tiempos por vuelta de los coches de RadioControl/SlotRacing. Puede ser usado en pistas interiores y exteriores.Esta App no pretende reemplazar tu Sistema Cuentavueltas local. Está pensado para ser usado cuando quieres entrenar, solo o en compañía de algún amigo, y quieres saber los tiempos que hacéis.Usa procesamiento de video para detectar el color del coche y ofrece una configuración fácil e intuitiva.- Uso para pistas de RadioControl y Slot- Gestiona pilotos/coches/circuitos- No requiere intervención humana- No requiere sistemas externos- Modo entrenamiento/Modo carrera- Sintetizador de voz (puedes conectarlo a un altavoz Bluetooth)- Detecta las vueltas de hasta 10 coches simultáneamente- Almacena todas los tiempos por vueltas registrados- Diseñado para hacer un uso eficiente de la batería- Sesiones de entrenamiento y de carrera- Guía detallada explicando cómo usar la App- Exporta tus tiempos por vuelta en CSV- Ofrece estadísticas básicas por piloto/coche/circuito- Ofrece gráficas para mejor análisis de rendimiento- Soporte para clasificación de coches por categorías- Pitstops",https://apps.apple.com/es/app/rc-timing/id1092261747?uo=4,"['Utilidades', 'Deportes']",Oscar Martin,None,4.68085,47,"May 16, 2023","['EN', 'IT', 'ES']",iOS,None,4+,0.0,0.0,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-05-16
com.Chorrus.SuperOscar,Super Oscar - Jump and Run!,"Super Oscar es el mejor juego de plataformas para tu dispositivo iOS con increibles gráficos HD! Todo ha sido diseñado cuidadosamente para que tu te lo pases genial! Te avisamos de que este no es un juego fácil y sera todo un reto así que buena suerte :)El juego incluye:- 6 mundos increibles(mas se añadiran pronto)- 35 increibles niveles(mas se añadiran pronto)- Mas de 50 enemigos- 4 protagonistas- 6 disfraces- 8 bolas- Puedes mejorar los protagonistas- Logros-Leaderboards- ¡Y mucho mas!Super Oscar ha traído 6 nuevos disfraces! Además se sentía un poco solo por lo que ha decidido traer a 3 nuevos amigos :)Para completar todos los niveles tendrás que superar innumerables obstáculos y enemigos, prepárate para uno de los mejores juegos de plataformas que jamas hayas jugado!Queremos aprovechar para dar las gracias a  los 15 millones de jugadores de Super Oscar, sin vosotros esta clase de actualizaciones no serían posibles!¡Todo esto totalmente gratis, asi que por lo menos deberias probarlo!¡Esperamos que todos los jugadores de Super Oscar queden satisfechos, por favor valorar el juego y comentar cualquier cosa que queráis añadir!",https://apps.apple.com/es/app/super-oscar-jump-and-run/id955143850?uo=4,"['Juegos', 'Aventura', 'Entretenimiento', 'Recreativos']",CHORRUS GAMES S.L.,https://chorrusgames.com/media/,4.57895,38,"Apr 28, 2023",['EN'],iOS,None,9+,0.0,0.0,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['mejora'],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-04-28
com.mashathedog.myvirtualpet,Perro que Habla Masha,"¡Hola! ¿Siempre quisiste un perro que habla virtual? ¿Te encantan los juegos de cachorros? ¡Pues ha llegado una nueva amiga a los juegos de cuidar mascotas virtuales! No, no es un gato que habla, ¡es la perrita Masha, la nueva mascota virtual con la que podrás jugar! Masha - Mi Mascota Virtual que habla tiene funciones que no habías visto antes en los juegos de cuidar perros virtuales. Adopta a esta linda mascota virtual y mírala crecer cada día. Con este juego de perro que habla virtual podrás completar misiones diarias, coleccionar joyas, jugar mini juegos ¡y poner bonita a tu mascota virtual en el salón de uñas o darle un nuevo peinado en el salón de peinados! ¡Y esto no es todo lo diferente de otros juegos de cuidar mascotas virtuales!¡MASHA, TU PERRO QUE HABLA VIRTUAL QUE ADORA LAS JOYAS !Masha - Mi Mascota Virtual tiene más para ti que otros juegos de animales que hablan. Sí, debes alimentarla, lavar sus dientes, asearla y jugar con ella, como en otros juegos de cachorros virtuales. Sin embargo, este perro que habla virtual es especial porque Masha te llevará a vivir aventuras. Esta mascota virtual quiere ropa y accesorios nuevos, pero los tiene que ganar. A este perro que habla virtual le encanta buscar joyas, y a diferencia de otros juegos de cuidar perros se pueden ganar de muchas formas: sube de nivel, gana bonos diarios, usa la rueda de la fortuna, etc. ¡Estás ante uno de los más completos y emocionantes juegos de cuidar mascotas virtuales!NOTA: Las joyas son la única manera de poder tener más ropa y accesorios para tu perro que habla virtual.CARACTERÍSTICAS DE MASHA - MI MASCOTA VIRTUAL:- BUSCA JOYAS – ¡colecciona todas las joyas para desbloquear nuevas prendas y accesorios para tu perro que habla virtual!- DIBUJOS DE PERROS PARA COLOREAR – a diferencia de otros juegos de cuidar perros, aquí también podrás acceder a lindas imagenes para colorear que sacará tu lado más creativo- DISFRÁZATE – puedes comprar ropa nueva para tu perro que habla - GALLETA DE LA FORTUNA – compra una galleta para tu mascota virtual y recibe mensajes inspiradores, motivadores o simplemente graciosos- BONO DIARIO – juega diario con tu perro que habla virtual y recibe bonos- SALÓN DE UÑAS – Cuando llegues al nivel 8 Masha podrá ir al salón de uñas. Si no quieres esperar mucho puedes tomar pociones para crecer.- MISIONES DIARIAS – completa las misiones diarias con tu perro que habla y gana muchos diamantes y monedas- SALÓN DE MAQUILLAJE – cuando llegues al nivel 12, podrás abrir el salón de maquillaje, seguro eso no lo tienen otros juegos de cuidar perros. Si no quieres esperar tanto para entrar a esta área puedes tomar poción de crecimiento- MINI JUEGOS – gana monedas cada vez que juegues con tu perro que habla virtualMASHA - MI MASCOTA VIRTUAL SERÁ TU JUEGO FAVORITO DE LOS JUEGOS DE CUIDAR MASCOTAS VIRTUALESCon Masha descubrirás lo divertidos que son los juegos de animales que hablan. Sí, puedes tener un gato que habla, pero los juegos de cachorros son más divertidos si prefieres un perro que habla virtual. Ya sea en tu teléfono o tableta, que prefieras un perro o un gato que habla, los juegos de cuidar mascotas virtuales no reemplazan a las mascotas reales, pero son divertidos.NOTA: Masha - Mi Mascota Virtual juego encontrarás artículos que pueden comprarse con dinero real. Algunas características mencionadas puede que necesiten comprarse con dinero real. ¡Sin embargo, eso no impedirá que disfrutes del resto de opciones ofrecidas por Masha - Mi Mascota Virtual!Este juego de mascota virtual ha sido desarrollado por Peaksel.",https://apps.apple.com/es/app/perro-que-habla-masha/id1240089537?uo=4,"['Juegos', 'Entretenimiento', 'Familiar', 'Juegos de rol']",Peaksel,https://peaksel.com/,4.3125,32,"Feb 24, 2023","['AR', 'HR', 'CS', 'DA', 'NL', 'EN', 'FR', 'DE', 'HU', 'ID', 'IT', 'JA', 'KO', 'MS', 'NB', 'PL', 'PT', 'RO', 'RU', 'SR', 'ZH', 'ES', 'SV', 'TH', 'TR', 'VI']",iOS,None,4+,0.0,0.0,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-02-24
es.fluido.Discographic,Discographic for Discogs,"Discographic is the best and most complete vinyl collector app currently available with Apple Music, Spotify integration & Last.fm scrobbling.Wether it’s adding a disc to an existing collection, starting a new discography or checking out album details in-store, Discographic does it all.Featured in WaxTimes (http://bit.ly/1bf3Min), Fact Magazine (http://bit.ly/1GOngnz), AppSpezis (http://bit.ly/1HKO9xS), etc.DISCLAIMER: This application uses Discogs’ API but is not affiliated with, sponsored or endorsed by Discogs. ‘Discogs’ is a trademark of Zink Media, LLC.With Discographic you can:• Catalog Your Collection -Add and remove items from your Collection, move them between folders.-Use its barcode scanner to add record easily or search for them by catalog number, artist or title.-Create folders, rename or delete them.-Order your listings by artist, title, date, etc. and filter them by keywords.-Add custom notes and edit condition grades. All of your Collection custom user fields are displayed and editable, including ratings.-Calculate your Collection Value.• Add to Your Wantlist -Carry your Wantlist everywhere you go. -Add and remove items from your Wantlist on the go.-All your Collection and Wantlist will be always synced between your device and server.• Search the whole Discogs database -Search the world's largest database of physical music. Browse records, artists or labels with all the detailed information available on Discogs.-Filter your searches by category to make them more powerful.-Display full band/artist discographies. -Browse image galleries of releases, masters, artists and labels where available.-Save your search results for offline display.• Get your custom user lists always available .• List items in Discogs Marketplace with only two finger taps :-Take with you all your Inventory with all the info available.• View Marketplace Pricing-Check the marketplace for releases you want to acquire and compare prices.- All Discogs prices are saved and always available on the app, including History Sales stats.-Check to see if you already own a record before you buy.• Full offline support available-Your Collection, Wantlist, Seller Inventory and every bit of data displayed by the app is conveniently cached in order to make every record on your collection available at any time. -This includes masters, releases, artists, labels, Marketplace info, Sales History, your Collection Value Range, your custom searches, etc.-You can remove all cached files at any time if you need you free space on your device.• Data Export-You can export your Collection, Wantlist and Inventory to Excel-compatible format directly from the app, including custom notes and comments.• Last.FM Scrobbling-You can scrobble tracks or albums directly from the app (a Last.FM account is needed to use this feature).• A built-in full Apple Music/Spotify Player to listen to your records.• Customizable display-Dark mode, color schemes and display options.",https://apps.apple.com/es/app/discographic-for-discogs/id979196369?uo=4,"['Música', 'Referencia']",Oscar Adan,https://www.fluido.es/discographic,4.31034,29,"Nov 14, 2023",['EN'],iOS,None,4+,0.0,0.0,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-11-14
com.waterpower.russian,Block vs Block,"We modify the world most attractive puzzle game on PC / NES / FC / PS.  How to play it is no need to explain. iOS ""Block vs Block"" allow you play against computer, or human (iPad only).- 16 different shapes- 4 different special items- VS modeVery attractive graphic, very easy to control, very strong computer player. What are you waiting for? Download and enjoy it now!Preview video: https://www.youtube.com/watch?v=AlUCP7t1Ii0----------------------------------Enjoy play as God to create an universe, start to playmyDream UniverseiOS : https://apps.apple.com/app/mydream-universe/id1447861806macOS : https://apps.apple.com/app/mydream-universe/id1447861778",https://apps.apple.com/es/app/block-vs-block/id500909640?uo=4,"['Entretenimiento', 'Salud y forma física']",Oscar Tsang,https://unknownprojectx.blogspot.com/,4.17856,28,"Oct 10, 2023","['EN', 'ZH', 'ZH']",iOS,None,4+,0.0,0.0,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-10-10
