appId,title,description,url,genres,developer,developerWebsite,score,ratings,currentVersionReleaseDate,languageCodesISO2A,os,privacyPolicyUrl,contentRating,price,installs,inAppProductPrice,cancerTypes_breast,cancerTypes_prostate,cancerTypes_colorectal,cancerTypes_hodgkin,cancerTypes_pediatric,cancerTypes_bone,cancerTypes_rare,cancerTypes_melanoma,cancerTypes_lung,cancerTypes_pancreatic,cancerTypes_stomach,cancerTypes_bladder,cancerTypes_non-hodgkin,cancerTypes_liver,cancerTypes_kidney,cancerTypes_multiple myeloma,cancerTypes_thyroid,cancerTypes_oral cavity,cancerTypes_esophagus,cancerTypes_larynx,cancerTypes_corpus uteri,cancerTypes_ovarian,cancerTypes_endometrial,cancerTypes_testicular,cancerTypes_neuroblastoma,cancerTypes_wilms,thematicAreas_adverseEvents,thematicAreas_nutrition,thematicAreas_mentalHealth,thematicAreas_qol,thematicAreas_jobSecurityAccessToEmployment,thematicAreas_survivorshipCare,thematicAreas_AYACare,thematicAreas_lateEffects,thematicAreas_wellbeing,thematicAreas_meditation,thematicAreas_co-morbidity,thematicAreas_rehabilitation,thematicAreas_physicalActivity,thematicAreas_socialRehabilitation,thematicAreas_sexualLife,thematicAreas_lifeStyle,thematicAreas_empowermentOfCancerSurvivorship,thematicAreas_inequalitiesInSurvivorship,thematicAreas_prevention,thematicAreas_cancerInformation,thematicAreas_personalExperiences,targetGroups_adult,targetGroups_child,targetGroups_man,targetGroups_woman,time
com.healthtap.userhtexpress,HealthTap - Telehealth Doctors,"HealthTap is a telehealth app that revolutionizes primary care by providing ongoing, affordable care with a dedicated, online primary care doctor you love. With or without insurance, HealthTap is your go-to solution for personalized medical care that saves you time and money. Find the best online doctors with HealthTap, and schedule your doctor appointment same-day or same-week!Enjoy the convenience of meeting your primary care doctor regularly for health checkups, prescriptions, lab tests, results, treatment plans, and specialist referrals. Our top U.S. board-certified doctors, available for virtual telehealth appointments 7 days a week across all 50 states, focus on building long-lasting, trusted relationships with their patients, ensuring comprehensive healthcare for Americans.MEMBERSHIP BENEFITSFor just $15/month* (billed annually), enjoy significant savings and:• Same-day or weekly video telehealth appointments with your primary care virtual doctor for $44/visit or less**• Free text consultations with your doctor for follow-ups and clarifications• Access to the first available doctor during off-hours and while traveling out-of-state for urgent care at $59/visit or less**• Prescriptions, lab tests, specialist referrals, and doctor's notes for school or work• Up to 75% off prescriptions with local pharmacy coupons• No additional cost for setting up child profilesWe accept numerous healthcare insurance plans, HSA/FSA cards, and some insurance plans may cover your membership.*Membership may be covered by select insurance plans**Insurance coverage may reduce your out-of-pocket costNON-MEMBERSHIP OPTIONS$129 Urgent Care Telehealth Doctor Visits: Consult the first available doctor within minutes (7 days a week) via telemedicine video or text for advice, prescriptions, test orders, and referrals. Pay just $129 per visit (retail price) or your insurance copay.FREE Educational Doctor Answers: Get text responses to your health questions from our network of over 90,000 U.S. doctors across 147 specialties who volunteer their time to help millions like you for FREE! Search millions of answers or post your own for responses from real doctors within hours.CONDITIONS WE TREATOur telehealth and telemedicine services cover a wide range of medical issues, including:• Chronic condition management (diabetes, asthma, etc…)• Women's health• Children's health (ages 2+)• Men's health• Senior health (ages 65+)• Wellness & prevention• Sexual health• Mental & behavioral health…and much more!MEMBER TESTIMONIALSRead what our members say about the convenience, affordability, and quality of HealthTap's telehealth and telemedicine primary care services.“Great prices, very friendly doctor, very convenient, and I was able to get a same or next-day appointment and prescriptions that I needed.” – Joe C“Super quick and efficient. Doctor was very personable and made me feel comfortable through the telehealth visit. She explained everything and made sure I understood.”  – Katlyn A“When I moved I lost my medical insurance.  I found HealthTap and it was a lifesaver.  I have told many people about it.” – Steven B“My doctor is extremely accommodating. She has multiple appointment times open throughout the weekend. She is never in a hurry and very thorough. HealthTap is a wonderful service!” – Diana C100% SECURE & CONFIDENTIALWe prioritize your medical privacy. Your consultation with the doctor is confidential and HIPAA compliant.NEED HELP?For responsive and helpful support, contact us at support@healthtap.com.",https://play.google.com/store/apps/details?id=com.healthtap.userhtexpress&hl=en&gl=ES,['Medical'],HealthTap,https://www.healthtap.com/,3.925,18404,"Oct 03, 2023",['EN'],Android,https://www.healthtap.com/privacy/statement,PEGI 3,0,1000000,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['prevention'],[],[],[],['child'],['man'],[],2023-10-03
es.juntadeandalucia.msspa.saludandalucia,Salud Andalucía,Salud Andalucía es una aplicación que le da acceso a toda información del Sistema Sanitario Público de Andalucía (SSPA) y agrupa las apps que el SSPA dispone para el conjunto de los usuarios. La aplicación incluye una sección específica sobre el coronavirus COVID-19.El uso de esta aplicación no sustituye la relación médico-paciente.Para cualquier consulta de la información ofrecida por la aplicación puede ponerse en contacto a través del siguiente enlace: https://www.sspa.juntadeandalucia.es/servicioandaluzdesalud/ciudadania/reclamaciones-sugerencias-y-agradecimientosPolítica de privacidadhttps://www.sspa.juntadeandalucia.es/servicioandaluzdesalud/politica-de-privacidadAviso legalhttps://www.sspa.juntadeandalucia.es/servicioandaluzdesalud/aviso-legal,https://play.google.com/store/apps/details?id=es.juntadeandalucia.msspa.saludandalucia&hl=en&gl=ES,['Health & Fitness'],Sistema Sanitario Público de Andalucía,https://www.sspa.juntadeandalucia.es/servicioandaluzdesalud/contacto/sugerencias/registro?idp=4A36EE9174873%7C2BB345%7C146AD2&ctrl=[51531361359229],3.7662745,12634,"Oct 13, 2023",['EN'],Android,https://www.sspa.juntadeandalucia.es/servicioandaluzdesalud/politica-de-privacidad,PEGI 3,0,1000000,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-13
de.xikolo.openwho,OpenWHO: Knowledge for Health ,"OpenWHO is the World Health Organization's (WHO) interactive knowledge-transfer platform offering online courses to improve the response to health emergencies. OpenWHO enables the Organization and its key partners to transfer life-saving knowledge to large numbers of frontline responders.With OpenWHO, you have the flexibility to learn at your convenience. Watch the short video lectures and test your knowledge with self-tests when and where you like. The course forum and the collaboration space allow you to get in touch with other participants and experts around the world. Designed primarily for health care workers, frontline responders, and decision-makers, the app is also a source of information for those affected by disease outbreaks and health emergencies, or for those with a general interest in WHO's work in health emergencies. It features 6 channels:- The <b>Outbreak</b> channel addresses the management of infectious diseases and provides life-saving, scientific information.- The <b>Ready for Response</b> channel helps prepare personnel who are training for deployment to work in disease outbreaks and health emergencies.- The <b>Get Social</b> channel focuses on social science-based interventions and helps to communicate with affected communities.- The <b>Preparing for Pandemics</b> channel brings together courses on various aspects of preparedness, including surveillance, public health measures and risk communication during a pandemic.- The <b>COVID-19</b> channel provides learning resources in WHO's 6 official languages (Arabic, Chinese, English, French, Russian and Spanish) for health professionals, decision-makers and the public for the outbreak of coronavirus disease (COVID-19).- The <b>COVID-19 National Languages</b> channel provides the same learning resources as the COVID-19 channel but in national languages, such as Indonesian, Japanese and Portuguese.  OpenWHO courses are available in many languages, including WHO's 6 official languages.  Download the app now, and join the OpenWHO community.This app is developed in cooperation between the Hasso Plattner Institute and the WHO. The learning content is provided exclusively by the WHO.",https://play.google.com/store/apps/details?id=de.xikolo.openwho&hl=en&gl=ES,['Education'],HPI Knowledge Engineering Team,https://openwho.org/,4.9,4428,"Aug 07, 2023",['EN'],Android,https://openwho.org/pages/privacy,PEGI 3,0,1000000,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-08-07
air.com.sensely.asknhs,AskFirst (formerly Ask NHS),"Ask NHS is now AskFirst. AskFirst provides you with improved access to health and care advice. You can talk through your symptoms in complete confidence with Olivia, a virtual health assistant.If needed, Olivia will arrange for a call back from a clinician to discuss your symptoms further. You can also search healthcare advice, schedule GP appointments and search opening times/locations of local healthcare services. Our service is available to all NHS patients in England over 16. Parents or guardians can create accounts on behalf of patients under 16 years of age.Please note for immediate life-threatening emergencies call 999.When to use AskFirst:- Abdominal pain- Back pain- Cough- Cold or flu symptoms- Chest pain- Dizziness- Fever- Headache- Pregnant and vomiting- Rash- Sore throat- Urinary symptoms- General medical questions, ""Should I go in for this or not?""",https://play.google.com/store/apps/details?id=air.com.sensely.asknhs&hl=en&gl=ES,['Medical'],Sensely Corporation,https://sensely.com/askfirst/,4.25,4317,"Oct 23, 2023",['EN'],Android,https://www.sensely.com/privacy-centre/transparency-notice/,PEGI 3,0,100000,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-23
com.dkvservicios.quierocuidarmemas,DKV Quiero cuidarme Más,"These are the functionalities that you can access from I want to take care of myself More, whether or not you are a DKV customer:• Health and wellness content from the “Home” screen to keep you up to date with the latest trends and topics of interest.• My diary: the summary of your recent activity and the most relevant information about your health management.• My health: from where you can keep track of your health indicators, such as physical activity, weight, blood pressure, among others; being able to connect with Apple Health, Google Fit, Garmin and Fitbit. In addition to being able to calculate your Healthy Life Index, a value that allows you to know if you lead a healthy lifestyle.• Challenges: where you can see and sign up for different challenges to improve your health, check your achievements and compare yourself with other users of the application.As a DKV client you also have access to:• DKV Club Salud y Bienestar: where you can enjoy discounts, raffles and promotions on health and wellness products and services. From I want to take care of myself More you can view offers and the reservations you have made.With a health policy, DKV Selection or DKV Famedic Professional, you can also access:• Consultations: from where you can search for the specialty you want and you will see all the possibilities of care, face-to-face or video consultation with professionals from the medical staff or the DKV Virtual Health Space by video, chat and voice (depending on the specialty). In addition, you will be able to check your symptoms.• My health: with the Folder section, to store and consult your health documents, such as clinical tests, prescriptions or medical reports. In addition, you can share your entire portfolio with our doctors so you can get their opinion on your reports and test results.In addition, you can use the services for your minor relatives included in the policyAnd exclusively for health customers:From Home you can access:• Digital card, you will no longer need to carry your insurance health card with you, because you will have it on your mobile, available from the Home section, in the upper left corner.• My pharmacy: in the ""Featured"" section, to request new prescriptions, view your medications and electronic prescription, as well as chat with a pharmacy professional to answer your questions. In addition, you will see the related discounts of the DKV Health and Wellness Club.• Take care of your mind: in the ""Featured"" section, in which we group information on the state of your mental health and the possibility of receiving psychological guidance to solve those issues that concern you. In addition, you will see the related discounts of the DKV Health and Wellness Club.In addition, you can also enjoy:• Consultations: where in addition to the above, you can also request a consultation with a Coach who will help you lead healthy lifestyle habits (quit smoking, lose weight, etc.). You can also consult with a digital midwife, who will advise you via chat about your health and that of your baby during pregnancy and postpartum. And you can also request information on second medical opinion.• My health: personalized prevention plans with which you can complete questionnaires, which will be evaluated by a health professional who will guide you.If you have questions, you can contact us at support@dkvservicios.comI want to take care of myself More is managed by DKV Servicios SA, which provides digital health services for DKV Seguros y Reaseguros SAE. Your data is treated securely in compliance with current legislation.",https://play.google.com/store/apps/details?id=com.dkvservicios.quierocuidarmemas&hl=en&gl=ES,['Health & Fitness'],DKV Servicios,https://dkvseguros.es,3.874214,1677,"Jul 22, 2023",['EN'],Android,http://quierocuidarmemas.dkvsalud.es/AvisoLegal/AvisoLegal.aspx,PEGI 3,0,100000,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['salud mental'],[],[],[],[],[],['bienestar'],[],[],[],[],[],[],['lifestyle'],[],[],['prevention'],[],[],[],[],['man'],[],2023-07-22
com.teckelmedical.mediktor,Mediktor,"Solve your health questions from the first symptom.Check your symptoms for FREE.The symptom checker allows you to input how you feel with your own words. Its artificial intelligence picks the questions a professional would ask to get to a list of possible conditions and a recommendation.See the description of diseases in our dictionary.Please do not hesitate to send us your suggestions or comments: info@mediktor.comSpecs:- Artificial intelligence and natural language interpretation.-CE - 7074-PS LicenseMediktor is a sanitary licensed medical device. It complies with all the essential requirements and with the conformity assessment procedures that are applicable to it according to AEMPS and European Union regulations.This tool does not offer medical advice. It is provided for informational purposes only.Do not use it to replace professional medical advice, diagnosis or treatment.If you believe you may have a medical emergency, call your doctor or the Emergency Medical Services immediately.",https://play.google.com/store/apps/details?id=com.teckelmedical.mediktor&hl=en&gl=ES,['Medical'],Teckel Medical s.l.,https://www.mediktor.com,3.81,1057,"Mar 30, 2023",['EN'],Android,https://www.mediktor.com/cmd/privacyPolicy,PEGI 3,0,50000,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-03-30
app.HealthLynked.COVAID19Tracker,HEALTHLYNKED COVID-19 Tracker,"HealthLynked has developed its own Corona-virus tracker app that allows users to self-report symptoms, report positive tests for the virus, and alert contacts so that they can seek medical care to prevent spread. The app includes an interactive map of COVID cases and deaths from around the world, the latest worldwide COVID-19 related news, user forums, and live chat. in addition, you can learn about the Omicron variant and use an interactive map for the US.We continue to report the latest WHO data indicated by the following Criteria:WHO confirmed infections are shown in RED, WHO confirmed deaths are shown in BLACK. User can self-report and they are divided into three categories:Users that have NOT tested positive for the virus and are asymptomatic are shown as DARK GREENUsers that have NOT tested Positive for the virus but have symptoms such as a fever, cough or shortness of breath are shown as YELLOWUsers who Self Report that they have tested Positive for the Corona Virus are shown as PINKUsers can update their Information as symptoms change and these changes are reflected on the Map. The tracker also shows all the latest news about the virus from around the world to keep users updated on the Virus. Users can also engage in real-time chat with the chat feature. Data sources: COVID- USAFacts (https://usafacts.org/data-sources/)OMICRON- CDC (https://covid.cdc.gov/covid-data-tracker/#variant-proportions)Privacy Policy: https://www.healthlynked.com/privacy-policy/Terms of Use: https://www.healthlynked.com/terms-of-services/Contact Us: https://www.healthlynked.com/contact-us/",https://apps.apple.com/es/app/healthlynked-covid-19-tracker/id1500575377?uo=4,"['Medicina', 'Noticias']",HealthLynked Corp.,https://www.healthlynked.com,4.51733,808,"Sep 29, 2023",['EN'],iOS,None,4+,0.0,0.0,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-09-29
es.gva.coronavirus,GVA Coronavirus,"Aplicación móvil oficial de la Conselleria de Sanitat Universal i Salut Pública para solicitar cita con tu centro de salud en caso de presentar síntomas clínicos compatibles con infección por COVID-19.A través de la APP también se puede acceder a una amplia información sobre la infección causada por coronavirus COVID-19. Los síntomas compatibles con infección por COVID-19 son síntomas de infección de vías respiratorias, estando presente uno o más de los siguientes: - fiebre (más de 37º)- tos- estornudos- dolor de garganta - dificultad respiratoriaSi se han presentado estos síntomas en los últimos 14 días debes solicitar la cita mediante esta App.Si los síntomas que padeces revisten gravedad o tienes una emergencia llama al teléfono 112.Las citas a través de esta App están dirigidas a los casos posibles de infección COVID-19.La cita se solicita mediante la introducción de tu número SIP y la fecha de nacimiento, y realizando la confirmación del teléfono de contacto. Recibirás una llamada en el plazo máximo de 24 horas desde la confirmación de la creación de la cita. En el caso de no recibirse la llamada en el plazo de 24 horas se puede volver a realizar la petición mediante la App o mediante llamada al teléfono 900 300 555.A través de la App se te informará del estado de la cita: solicitada, confirmada, realizada. Si durante la primera llamada telefónica el profesional sanitario de tu centro de salud identifica tu caso como posible de COVID-19, el resto de citas telefónicas para efectuar el seguimiento de tu caso serán programadas por el profesional sanitario. A partir de ese momento, recibirás llamadas periódicas para verificar tu estado de salud y ayudarte en todas las dudas y necesidades que puedas presentar.Si presentas otros síntomas diferentes a los indicados, ponte en contacto con tu centro de salud a través de los teléfonos de cita previa habituales. La Conselleria de Sanidad Universal y salud Pública  es la responsable y autora de la información que se muestra en la aplicación, además, garantiza la privacidad y protección de tus datos (http://coronavirusautotest.san.gva.es/proteccion-datos-es.html). Asimismo, la Conselleria garantiza que se almacenará y utilizará la información personal de un modo suficientemente seguro, durante el tiempo necesario y solo para proporcionarte los servicios personalizados anteriormente descritos.Para salvaguardar la información de la persona usuaria/paciente, esta aplicación usa el protocolo seguro HTTPS para todas las comunicaciones con los servidores.",https://play.google.com/store/apps/details?id=es.gva.coronavirus&hl=en&gl=ES,['Health & Fitness'],Generalitat Valenciana,http://infocoronavirus.gva.es/,3.06,264,"Sep 28, 2020",['EN'],Android,http://coronavirusautotest.san.gva.es/proteccion-datos-es.html,PEGI 3,0,100000,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['seguimiento'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2020-09-28
covid19.osakidetza.eus,COVID-19.eus,"COVID-19.eus es una aplicación colaborativa para gestionar la pandemia del COVID-19 en el ámbito de la comunidad autónoma vasca. La aplicación permite hacer un autodiagnóstico del contagio de COVID-19. En caso de ser positivo, el usuario se considerará POSIBLE contagio (según terminología de la OMS) y avisará a todo el círculo de personas, de tal forma que se considerarán en riesgo.Junto a esta información el sistema registrará ese dato, de tal forma que se puede seguir un rastro de contagios con esta funcionalidad de círculos. Se solicitará el Código Postal, y en caso de infección comunitaria, se podrían también detectar focos de contagio.Esta información es muy útil para un estudio epidemiológico.No se guarda ningún dato y los estudios serán anónimos y se podrán compartir con la Autoridad Sanitaria Vasca.A partir de la versión 3.1 se incluye la funcionalidad Empresas que permite a los empleados compartir, si así lo desean,  su estado con la Empresa.",https://apps.apple.com/es/app/covid-19-eus/id1504249338?uo=4,"['Utilidades', 'Redes sociales']",Osakidetza,None,2.55932,177,"Feb 05, 2021","['EU', 'EN', 'ES']",iOS,None,12+,0.0,0.0,None,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2021-02-05
com.tonicapp.mobile,Tonic: Medicina para Médicos,"¡Tonic App es gratuita y combina todos los recursos profesionales para la práctica clínica! Es un dispositivo médico certificado para toda Europa para garantizar la seguridad y calidad de sus calculadoras. Actualmente, Tonic solo está disponible para médicos, pero tenemos la intención de extender su uso a todos los profesionales de la salud y estudiantes. De momento no disponemos de recursos suficientes para adaptarnos a los diferentes colectivos con la calidad que estimamos necesaria. ¡Esperamos que lo entiendas!Diseñada por médicos, para médicos: grupos de discusión de casos clínicos, receta electrónica, Covid-19: información actualizada (artículos científicos, vacunas, webinars, consensos de sociedades médicas y protocolos del Ministerio de Sanidad), +50 calculadoras (inc. pediátricas)*, TNM, congresos, conversión de fármacos, vademecum, algoritmos de diagnóstico, tratamiento y derivación**, empleo médico y noticias semanales de salud.Estamos en constante mejora. Actualizamos nuestra app para responder a las necesidades inmediatas y reales del colectivo médico. Próximamente: videoconsulta, información para pacientes y CIE-10. *Dosis de antibióticos, brecha aniónica, calcio corregido en hipoalbuminemia, Child-Pugh, CRB-65, CURB-65, diámetro del tubo endotraqueal, dosis de antibióticos y antipiréticos, talla diana, escala de coma de Glasgow, edad gestacional, índice de masa corporal (IMC), colesterol LDL, MELD, mMRC, NIHSS (AVC), peso estimado pediatría, presión tobillo-brazo, score CRUSADE, Sheridan, área de superficie corporal, ecuación CKD-EPI, entre otras.**Algoritmos más utilizados en el último año: fibromialgia, depresión, amigdalitis, infección urinaria, diarrea, infecciones de la piel y de los tejidos blandos, neumonía, anemia y trombosis venosa profunda. ¡Publicamos una patología nueva todas las semanas!Útil para todas las especialidades: alergología, análisis clínicos, anatomía patológica, anestesiología y reanimación, angiología y cirugía vascular, aparato digestivo, bioquímica clínica, cardiología, cirugía cardiovascular, cirugía general y del aparato digestivo, cirugía oral y maxilofacial, cirugía ortopédica y traumatología, cirugía pediátrica, cirugía plástica, estética y reparadora, cirugía torácica, dermatología médico-quirúrgica y venereología, endocrinología y nutrición, estomatología, farmacología clínica, geriatría, hematología y hemoterapia, hidrología médica, inmunología, medicina de la educación física y el deporte, medicina espacial, medicina del trabajo, medicina familiar y comunitaria, medicina física y rehabilitación, medicina intensiva, medicina interna, medicina legal y forense, medicina nuclear, medicina preventiva y salud pública, microbiología y parasitología, nefrología, neumología, neurocirugía, neurofisiología clínica, neurología, obstetricia y ginecología, oftalmología, oncología médica, oncología radioterápica, otorrinolaringología, pediatría y sus áreas específicas, psiquiatría, radiodiagnóstico, reumatología y urología.Con Tonic App puedes:- Participar en grupos de discusión de casos clínicos o crearlos tú mismo- Pedir una segunda opinión profesional- Ponerte en contacto con otros colegas y ampliar tu red de contactos- Emitir recetas electrónicas y enviarlas al mail de tus pacientes- Usar calculadoras clínicas con garantía de seguridad- Consultar algoritmos de decisión realizados según las guías internacionales- Buscar fármacos y consultar tablas de conversión de medicamentos- Buscar congresos en todo el mundo- Estadificar a tus pacientes oncológicos con la clasificación TNM- Encontrar vacantes de empleo para médicos- Leer las noticias de actualidad sobre salud     El registro solo es necesario cuando se utiliza la aplicación por primera vez. Los datos que solicitamos durante el proceso sirven para verificar que eres médico.Tu opinión es importante. Puedes ponerte en contacto con nosotros en: soporte@tonicapp.com",https://apps.apple.com/es/app/tonic-medicina-para-m%C3%A9dicos/id1253561876?uo=4,"['Medicina', 'Productividad']",Tonic App S.A.,https://www.tonicapp.com/,3.93525,139,"Oct 09, 2023","['EN', 'FR', 'DE', 'EL', 'IT', 'PT', 'ES']",iOS,None,17+,0.0,0.0,None,[],[],[],[],['pediatric'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['nutricion'],['terapia'],[],"['seguridad en el trabajo', 'encontrar empleo']",[],[],[],[],[],[],"['rehabilitacion', 'mejora']",['deporte'],[],[],[],[],[],[],['educacion'],[],[],['child'],['man'],[],2023-10-09
