id,title,releaseDate,description,trackTime,trackViewUrl,languages,provider,cancerTypes_breast,cancerTypes_prostate,cancerTypes_colorectal,cancerTypes_hodgkin,cancerTypes_pediatric,cancerTypes_bone,cancerTypes_rare,cancerTypes_melanoma,cancerTypes_lung,cancerTypes_pancreatic,cancerTypes_stomach,cancerTypes_bladder,cancerTypes_non-hodgkin,cancerTypes_liver,cancerTypes_kidney,cancerTypes_multiple myeloma,cancerTypes_thyroid,cancerTypes_oral cavity,cancerTypes_esophagus,cancerTypes_larynx,cancerTypes_corpus uteri,cancerTypes_ovarian,cancerTypes_endometrial,cancerTypes_testicular,cancerTypes_neuroblastoma,cancerTypes_wilms,thematicAreas_adverseEvents,thematicAreas_nutrition,thematicAreas_mentalHealth,thematicAreas_qol,thematicAreas_jobSecurityAccessToEmployment,thematicAreas_survivorshipCare,thematicAreas_AYACare,thematicAreas_lateEffects,thematicAreas_wellbeing,thematicAreas_meditation,thematicAreas_co-morbidity,thematicAreas_rehabilitation,thematicAreas_physicalActivity,thematicAreas_socialRehabilitation,thematicAreas_sexualLife,thematicAreas_lifeStyle,thematicAreas_empowermentOfCancerSurvivorship,thematicAreas_inequalitiesInSurvivorship,thematicAreas_prevention,thematicAreas_cancerInformation,thematicAreas_personalExperiences,targetGroups_adult,targetGroups_child,targetGroups_man,targetGroups_woman,time
5xGtlJEhu3rmLu3qaJ9gsz,E21 ¿Qué tiene que ver la vacuna de la COVID-19 con el colonialismo?,2023-05-18,"La vacuna de Johnson & Johnson, que es una empresa con sede en Nueva Jersey, está súper conectada con Bélgica a finales del siglo XIX cuando su rey decidió colonizar el Congo y hacer una de las mayores atrocidades de la historia... ¿Cómo? ¡Hoy te lo explicamos en el podcast!See Privacy Policy at https://art19.com/privacy and California Privacy Notice at https://art19.com/privacy#do-not-sell-my-info.",13.49,https://open.spotify.com/episode/5xGtlJEhu3rmLu3qaJ9gsz,['es'],Spotify,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-05-18
2E21u9AY1dztg6muh59h7M,COVID-19 Prayer,2020-05-06,"We would like to lift up all those suffering from COVID-19, whether they have been diagnosed with the virus, are working on the front lines in the medical industry, suffering from the economic downturn, or feeling lost amidst the chaos. God is near and has promised to never abandon His children. We are praying for YOU! Find the full prayer below. Prayer Source: Pedro de la Cruz.  Please feel free to reach out to us, Matt and Sara, with any prayer requests or feedback. We'd love to hear from you! theprayerpodcast@gmail.com  To support this podcast: http://bit.ly/theprayerpodcast-donate  COVID-19 Prayer Lord Jesus Christ, our Divine Physician, we ask you to guard and protect us from COVId-19 and all serious illness.  For all that have died from it, have mercy; for those that are ill now, bring healing. For those searching for a remedy, enlighten them; for medical caregivers helping the sick, strengthen and shield them. For those working to contain the spread, grant them success; for the afraid, grant peace. May Your precious blood be our defense and salvation. By Your grace, may You turn the evil of disease into moments of consolation and hope. May we always fear the contagion of sin more than any illness. We abandon ourselves to Your infinite mercy. Amen.",0.91,https://open.spotify.com/episode/2E21u9AY1dztg6muh59h7M,['en'],Spotify,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['child'],[],[],2020-05-06
5YGFU48HvM6dN8rDCQ4Qkf,Le Covid-19 est-il de retour ?,2023-10-02,"Comme à chaque rentrée depuis plus de trois ans, le nombre de cas de Covid-19 augmente depuis le début du mois de septembre. Une reprise de l’épidémie qualifiée dans un premier temps de « lente et à faible intensité », par le ministre de la santé, Aurélien Rousseau, au début du mois.Mais le vendredi 15 septembre, « face aux incertitudes sur l’évolution de la circulation du virus », le ministre a décidé d’avancer la campagne de vaccination de deux semaines, conformément à l’avis du Covars, le nouveau comité de veille et d’anticipation des risques sanitaires.Si pour le moment, il n’y a pas de raison de s’inquiéter, à quoi ressemble cette reprise épidémique ? Quel est le portrait-robot des deux nouveaux variants majoritaires en France ? Et pourquoi est-il plus difficile d’avoir des données fiables sur l’incidence de l’épidémie aujourd’hui ?Dans cet épisode du podcast « L’Heure du Monde », Julien Lemaignen, journaliste en charge des questions de santé au Monde fait le point sur l’épidémie de Covid-19 en France.Un épisode d’Adélaïde Tenaglia. Réalisation et musiques : Amandine Robillard et Epidemic Sound. Présentation : Jean-Guillaume Santi. Rédaction en chef : Margaux Lannuzel.---Pour soutenir ""L'Heure du Monde"" et notre rédaction, abonnez-vous sur abopodcast.lemonde.fr",10.34,https://open.spotify.com/episode/5YGFU48HvM6dN8rDCQ4Qkf,['fr'],Spotify,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-10-02
3sb33ulN18MIVQCSB19NQL,Covid-19: The office after lockdown,2020-07-09,Companies are rushing to install technology to make offices safer. Neil and Sam discuss.,6.3,https://open.spotify.com/episode/3sb33ulN18MIVQCSB19NQL,['en'],Spotify,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2020-07-09
17NKG9AvhGYHC7E3pDZP9B,COVID-19 on the rise: What you need to know,2023-08-23,"Over the last month, the percentage of COVID tests coming back positive started going up again, and wastewater COVID signals are also rising, suggesting a fall COVID-19 wave could be starting in Canada.   Today on Front Burner, Dr. Allison McGeer, infectious disease specialist at Toronto’s Mount Sinai Hospital and professor at the University of Toronto’s Dalla Lana School of Public Health, discusses the state of COVID-19 in Canada and what you need to know.   Looking for a transcript of the show? They’re available here daily: https://www.cbc.ca/radio/frontburner/transcripts",21.74,https://open.spotify.com/episode/17NKG9AvhGYHC7E3pDZP9B,['en-CA'],Spotify,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-08-23
3VqYvxfJMuQNSGtNLHmPd6,"Le retour du Covid-19, X pourrait devenir payant, le Canada accuse l’Inde de me*rtre… Actus du jour",2023-09-19,"Chaque jour, en moins de 10 minutes, un résumé de l’actualité du jour. Rapide, facile, accessible.🔗 DES LIENS POUR EN SAVOIR PLUSVACCINS COVID-19 : Franceinfo, Le Monde, Le FigaroGABRIEL ATTAL HARCÈLEMENT SCOLAIRE : TF1, FranceinfoMENACE AL-QAÏDA : BFM, TF1CRISE DIPLOMATIQUE CANADA INDE : RFI, Le Monde8 CONDUCTEURS SUR 10 : Le Figaro, La ProvenceX (TWITTER) PAYANT ? : Le Parisien, Le FigaroMAISON CARRÉE DE NÎMES : France Bleu, HuffPostÉcriture : Samy Rabbata - Léah Boukobza - Hugo Travers Hébergé par Acast. Visitez acast.com/privacy pour plus d'informations.",9.7,https://open.spotify.com/episode/3VqYvxfJMuQNSGtNLHmPd6,['fr'],Spotify,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-09-19
58U5gmaFC78Gn6eRmy7gb9,Covid 19,2021-09-04,Covid 19  ---   Send in a voice message: https://podcasters.spotify.com/pod/show/islamiccenter/message Support this podcast: https://podcasters.spotify.com/pod/show/islamiccenter/support,4.32,https://open.spotify.com/episode/58U5gmaFC78Gn6eRmy7gb9,['id'],Spotify,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2021-09-04
2wxxq3snAo3Jywe2ZwRaYh,Will Covid-19 change cities?,2020-08-20,Rob and Neil discuss the future of our cities and teach you useful vocabulary.,6.06,https://open.spotify.com/episode/2wxxq3snAo3Jywe2ZwRaYh,['en'],Spotify,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2020-08-20
27KnFP6kfPsiiqbItWCcon,COVID One Of Top Three Causes Of Death In Australia 27/09/23,2023-09-27,"New figures show Australia’s inflation rate has gone up again, it’s been revealed that COVID is now one of Australia’s leading causes of death, behind heart disease and dementia and Donald Trump has been found guilty of committing fraud while building his business empire.  See omnystudio.com/listener for privacy information.",3.24,https://open.spotify.com/episode/27KnFP6kfPsiiqbItWCcon,['en-US'],Spotify,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-09-27
6O5f2u8lDkfRyeHOfx3jVR,"10 PM ET: Biden addresses Gaza crisis, hair chemical crackdown, Covid-19 vaccine studies & more",2023-10-14,"President Joe Biden gave some of his most direct public comments about the suffering inside Gaza in the war between Israel and Hamas. The BBC says the Israeli police assaulted and held some of its journalists at gunpoint. The FDA is proposing a rule to ban certain hair-straightening products that have been linked to health risks. We’ll tell you about a recall impacting some Ford Explorers. Lastly, the federal government is investing in potential Covid-19 vaccines and therapeutics that would go beyond the traditional jab in the arm.To learn more about how CNN protects listener privacy, visit cnn.com/privacy",5.06,https://open.spotify.com/episode/6O5f2u8lDkfRyeHOfx3jVR,['en-US'],Spotify,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-14
