publishedAt,channelId,title,description,channelTitle,licensedContent,duration,viewCount,video_id,video_URL,likeCount,commentCount,subscriberCount,tags,captions,cancerTypes_breast,cancerTypes_prostate,cancerTypes_colorectal,cancerTypes_hodgkin,cancerTypes_pediatric,cancerTypes_bone,cancerTypes_rare,cancerTypes_melanoma,cancerTypes_lung,cancerTypes_pancreatic,cancerTypes_stomach,cancerTypes_bladder,cancerTypes_non-hodgkin,cancerTypes_liver,cancerTypes_kidney,cancerTypes_multiple myeloma,cancerTypes_thyroid,cancerTypes_oral cavity,cancerTypes_esophagus,cancerTypes_larynx,cancerTypes_corpus uteri,cancerTypes_ovarian,cancerTypes_endometrial,cancerTypes_testicular,cancerTypes_neuroblastoma,cancerTypes_wilms,thematicAreas_adverseEvents,thematicAreas_nutrition,thematicAreas_mentalHealth,thematicAreas_qol,thematicAreas_jobSecurityAccessToEmployment,thematicAreas_survivorshipCare,thematicAreas_AYACare,thematicAreas_lateEffects,thematicAreas_wellbeing,thematicAreas_meditation,thematicAreas_co-morbidity,thematicAreas_rehabilitation,thematicAreas_physicalActivity,thematicAreas_socialRehabilitation,thematicAreas_sexualLife,thematicAreas_lifeStyle,thematicAreas_empowermentOfCancerSurvivorship,thematicAreas_inequalitiesInSurvivorship,thematicAreas_prevention,thematicAreas_cancerInformation,thematicAreas_personalExperiences,targetGroups_adult,targetGroups_child,targetGroups_man,targetGroups_woman,time
2023-04-20T14:43:05Z,UC6ixzODPAdgVdY9aoSlPPew,10 Most Common COVID-19 Symptoms Now,"For years, the world has seen the coronavirus behind the COVID-19 pandemic evolve into many variants, while vaccination and ...",Everyday Health,False,0.7,77067,OTrzXPTM0IE,https://www.youtube.com/watch?v=OTrzXPTM0IE,185,52,190000,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-04-20 14:43:05
2023-09-20T13:14:51Z,UC673WfesrYoCgG9VsekGlEQ,New variant of COVID-19 comes with symptoms not seen before,"The new variant of COVID-19 is bringing new symptoms that didn't come with the previous COVID-19 infections, and these ...",LOCAL 12,True,1.9,66331,Aw98NXua70o,https://www.youtube.com/watch?v=Aw98NXua70o,538,531,151000,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-09-20 13:14:51
2023-10-22T17:27:51Z,UCC1_Drela_P4MAW8pPcdjSw,ÚLTIMOS BOLETINS INFOGRIPE: ALTA DA COVID-19 VAI FICAR PIOR?,"O Blog NEUROCIRURGIABR tem o objetivo educacional com informações sobre neurocirurgia, tumor cerebral, metástases, ...",Julio Pereira - Neurocirurgião,True,4.25,9571,VG2uW2x6hA4,https://www.youtube.com/watch?v=VG2uW2x6hA4,750,83,859000,Metástase cerebral;Tratamento;Neurocirurgia;Cérebro;Câncer;dr;doutor;neurologista;neurologia;como tratar;Pergunte ao especialista;Pergunte ao médico;Médico Responde;neuro;saúde;causas de;tratamento de;bem estar;dicas de saúde;sintomas de;tratamento para;Neurocirurgião São Paulo;Neurocirurgião SP;cérebro;tratar,"<?xml version=""1.0"" encoding=""utf-8"" ?><transcript><text start=""0"" dur=""5.7"">É bem esse uma pergunta sem juros Como é</text><text start=""2.34"" dur=""5.55"">o tratamento do câncer metastático para</text><text start=""5.7"" dur=""5.13"">o cérebro primeiras oito você tem que</text><text start=""7.89"" dur=""5.19"">entender que paciente oncológico ele tem</text><text start=""10.83"" dur=""4.259"">uma doença oncológica então você não</text><text start=""13.08"" dur=""3.33"">trata só o câncer metastático Eu como</text><text start=""15.089"" dur=""3.03"">neurocirurgião quando chegou para mim</text><text start=""16.41"" dur=""3.449"">caminhado é porque um paciente vai</text><text start=""18.119"" dur=""4.351"">passar de uma radiocirurgia de uma</text><text start=""19.859"" dur=""4.861"">neurocirurgia para a retirada mas o mais</text><text start=""22.47"" dur=""4.29"">importante é o oncologista é o Central</text><text start=""24.72"" dur=""4.68"">nisso é dizer o tipo de tumor Qual o</text><text start=""26.76"" dur=""5.009"">subtipo com a expectativa quando estamos</text><text start=""29.4"" dur=""5.01"">alguns outros óculos então o tratamento</text><text start=""31.769"" dur=""5.281"">do câncer metastático ele é sistema ele</text><text start=""34.41"" dur=""4.2"">é de oncologista os especialistas no</text><text start=""37.05"" dur=""4.439"">caso eu me encaixo como neurocirurgião</text><text start=""38.61"" dur=""5.37"">eles resolvem problemas específicos que</text><text start=""41.489"" dur=""4.651"">aparecem então todo paciente que chega</text><text start=""43.98"" dur=""4.64"">com câncer metastático no cérebro que me</text><text start=""46.14"" dur=""5.399"">procurou que encontra eu falo isso o</text><text start=""48.62"" dur=""4.75"">Central é sempre tratamento oncológico</text><text start=""51.539"" dur=""4.351"">tratamento sistêmico com a doença como</text><text start=""53.37"" dur=""4.38"">todo dentro desse contexto pode</text><text start=""55.89"" dur=""3.149"">acontecer incêndios que eu chamo assim</text><text start=""57.75"" dur=""2.26"">que eu passei de entender problemas</text><text start=""59.039"" dur=""3.55"">específicos</text><text start=""60.01"" dur=""4.259"">a ser tratado de forma imediata é porque</text><text start=""62.589"" dur=""3.871"">eu passei tipo de correr risco de vidro</text><text start=""64.269"" dur=""4.38"">uma metade não seria bem o clássico</text><text start=""66.46"" dur=""4.199"">disso mas tem uma caixa fechada pois o</text><text start=""68.649"" dur=""4.381"">paciente Tutto moto é maior no pulmão e</text><text start=""70.659"" dur=""4.231"">outros órgãos ali tem espaço não vai</text><text start=""73.03"" dur=""3.629"">gerar um risco de vida iminente já não</text><text start=""74.89"" dur=""3.96"">cérebro vai fazer você tem que fazer</text><text start=""76.659"" dur=""3.951"">nenhuma cirurgia de retirada Às vezes</text><text start=""78.85"" dur=""4.379"">tem que fazer rádio cirurgia para tentar</text><text start=""80.61"" dur=""4.509"">controlar esse tipo de lesão então o</text><text start=""83.229"" dur=""4.411"">tratamento que metas tarde por serve</text><text start=""85.119"" dur=""4.771"">para coluna é isso controlar evitada não</text><text start=""87.64"" dur=""4.17"">secundário é vittar e pastores acreana</text><text start=""89.89"" dur=""4.289"">principalmente no cérebro cirurgia o</text><text start=""91.81"" dur=""4.47"">rádio cirurgia o as armas que a gente</text><text start=""94.179"" dur=""5.341"">tem para ajudar Além de oncologista com</text><text start=""96.28"" dur=""5.879"">a medicação as outras coisas a coluna</text><text start=""99.52"" dur=""4.01"">mesma coisa a coluna teu 5 outro detalhe</text><text start=""102.159"" dur=""4.591"">diferente da Hipertensão intracraniana</text><text start=""103.53"" dur=""6.07"">Você tem uma hipertensão pode a massa</text><text start=""106.75"" dur=""5.49"">comprimir e levar um dano e o paciente</text><text start=""109.6"" dur=""5.64"">perder a força ou aí tem outro problema</text><text start=""112.24"" dur=""5.43"">que a instabilidade a coluna da gente né</text><text start=""115.24"" dur=""4.78"">Ela é estável se você tem um fraturas</text><text start=""117.67"" dur=""5.259"">ósseas por isso tem muita metade de onça</text><text start=""120.02"" dur=""4.83"">de dentro de medula muito mais que você</text><text start=""122.929"" dur=""4.29"">pode era uma estabilidade o paciente uma</text><text start=""124.85"" dur=""4.82"">fratura e fica paraplégico com déficit</text><text start=""127.219"" dur=""4.74"">motor por causa dessa fratura patológica</text><text start=""129.67"" dur=""4.599"">secundária metálico R1 dele cirurgião</text><text start=""131.959"" dur=""4.741"">variar preciso estabilizar preciso</text><text start=""134.269"" dur=""4.44"">colocar um cimento preciso colocar fazer</text><text start=""136.7"" dur=""3.869"">uma artrodese preciso disso comprimir</text><text start=""138.709"" dur=""3.871"">uma série de fatores além do fator da</text><text start=""140.569"" dur=""4.2"">compressão você tem também esse infrator</text><text start=""142.58"" dur=""4.73"">da estabilidade tá bom Espero ter</text><text start=""144.769"" dur=""2.541"">ajudado obrigado</text></transcript>",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['educacion'],[],[],[],[],[],2023-10-22 17:27:51
2021-04-15T10:55:59Z,UCnyCrv8b7bu0oWFXGyHaPzg,Denmark official faints during Covid-19 conference,"The head of the Danish Medicines Agency, Tanja Erichsen, fainted during a press conference on live TV over the country's ...",TRT World Now,False,0.38333333333333336,9590325,KYtkbH8oKT4,https://www.youtube.com/watch?v=KYtkbH8oKT4,101665,17501,468000,denmark official faints;Tanja Erichsen faints;The head of the Danish Medicines Agency;Tanja Erichsen;trtworld now;trtworld news;trt news;trt international,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2021-04-15 10:55:59
2023-10-19T14:26:28Z,UCVhtkN7-c8mA8GXEoxS4YQw,"Silicon Valley CEO gets 8 years in prison after COVID-19, allergy test fraud conviction",A Silicon Valley executive who lied to investors about inventing technology that tested for allergies and COVID-19 using only a ...,KTVU FOX 2 San Francisco,True,0.6,8743,HkSyFtE1n44,https://www.youtube.com/watch?v=HkSyFtE1n44,66,27,218000,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-19 14:26:28
2023-10-16T00:08:30Z,UC-bk3CDvTwt2TqPHykduhcQ,Destapa el brazo: mañana inicia vacunación de influenza y COVID; ve en dónde,"Del 16 de octubre del 2023 al 31 de marzo de 2024, inicia la Campaña Nacional de Vacunación contra la influenza y COVID.",UnoTV,True,0.8666666666666667,237390,pxLu5K3xFOc,https://www.youtube.com/watch?v=pxLu5K3xFOc,1353,817,1200000,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['man'],[],2023-10-16 00:08:30
2023-10-16T15:57:37Z,UC8fQzKHIhSoZeSq3bwQx4mw,Can you get COVID-19 and the flu at the same time? A Mayo Clinic expert weighs in,"Influenza, COVID-19, the common cold, and respiratory syncytial virus (RSV) are among the respiratory viruses that will be ...",Mayo Clinic,False,1.2833333333333334,2099,86l7lGVGg2s,https://www.youtube.com/watch?v=86l7lGVGg2s,42,,1010000,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-16 15:57:37
2023-09-26T13:31:50Z,UCJFOER35ggIWwsXh2ZDnqyg,"Disease &#39;X&#39; deadlier than COVID-19, could kill 50 million people, says UK expert","UK expert issues warning saying '20 times deadlier than #Covid. Its a global health challenge, animals may be carriers of virus.",The Economic Times,True,1.3166666666666667,46193,8sdz7khqTv0,https://www.youtube.com/watch?v=8sdz7khqTv0,330,249,1960000,business news;economy news;economic times;ET Markets;ET;latest news;news today;news;trending;viral;trending videos;viral videos;trending news;big news,"<?xml version=""1.0"" encoding=""utf-8"" ?><transcript><text start=""0.199"" dur=""4.441"">news across the globe in terms of health</text><text start=""2.24"" dur=""5"">in fact the World Health Organization</text><text start=""4.64"" dur=""5.879"">has named the next potential pandemic as</text><text start=""7.24"" dur=""5.84"">disease X but that&amp;#39;s not all disease X</text><text start=""10.519"" dur=""4.441"">could be on its way British healthc Care</text><text start=""13.08"" dur=""5.08"">Professionals are gearing up for disease</text><text start=""14.96"" dur=""6.6"">X which they say may be deadlier than</text><text start=""18.16"" dur=""6.959"">coid 19 and may have a similar impact as</text><text start=""21.56"" dur=""5.879"">the Spanish Flu the who says disease X</text><text start=""25.119"" dur=""5.681"">could be a new agent a virus or a</text><text start=""27.439"" dur=""6.481"">bacterium or fungus without any known</text><text start=""30.8"" dur=""5.48"">treatments a report in the UK UK beg</text><text start=""33.92"" dur=""5.08"">your pardon Daily Mail quotes and expert</text><text start=""36.28"" dur=""4.68"">Kate Bingham who has issued a warning</text><text start=""39"" dur=""4.239"">claiming that the pandemic caused by the</text><text start=""40.96"" dur=""4.72"">disease X could claim at least 50</text><text start=""43.239"" dur=""4.561"">million lives she also mentioned that</text><text start=""45.68"" dur=""6.199"">the virus has the potential to result in</text><text start=""47.8"" dur=""6.36"">20 times more fertilities than coid 19</text><text start=""51.879"" dur=""4.241"">scientists from the UK are putting their</text><text start=""54.16"" dur=""4.48"">effort into developing a vaccine for</text><text start=""56.12"" dur=""5.439"">this potentially deadly pathogen after</text><text start=""58.64"" dur=""5.599"">the Potential Threat from disease X wh</text><text start=""61.559"" dur=""5.161"">has now considered outlining a research</text><text start=""64.239"" dur=""4.481"">and development blueprint that can focus</text><text start=""66.72"" dur=""4.96"">on the diseases and the pathogens which</text><text start=""68.72"" dur=""7.12"">needs to be prioritized for research of</text><text start=""71.68"" dur=""4.16"">course in the context of Public Health</text><text start=""77.6"" dur=""3"">emergencies</text></transcript>",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-09-26 13:31:50
2020-03-19T23:03:57Z,UCoMdktPbSTixAyNGwb-UYkQ,The shocking centre of the COVID-19 crisis,The crisis gripping the town at the centre of the global COVID-19 crisis in Italy has been witnessed by Sky News' Chief ...,Sky News,True,5.316666666666666,12544115,_J60fQr0GWo,https://www.youtube.com/watch?v=_J60fQr0GWo,33713,851,7030000,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2020-03-19 23:03:57
2023-10-03T22:25:33Z,UCrlIS7z20CnVaCrMvdkig_g,What to know about the recent rise in COVID-19 cases,ABC News medical contributor Dr. Darien Sutton shares the latest on what you need to know as COVID-19 cases rise. Check out ...,Eyewitness News ABC7NY,True,3.783333333333333,6310,Xq0Evr_nzag,https://www.youtube.com/watch?v=Xq0Evr_nzag,88,93,1400000,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-10-03 22:25:33
