Categoría: Todas las categorías

Semana,COVID-19: (Todo el mundo)
2018-11-04,<1
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,0
2019-01-20,<1
2019-01-27,0
2019-02-03,0
2019-02-10,0
2019-02-17,0
2019-02-24,0
2019-03-03,0
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,0
2019-04-07,0
2019-04-14,0
2019-04-21,<1
2019-04-28,0
2019-05-05,0
2019-05-12,0
2019-05-19,<1
2019-05-26,0
2019-06-02,0
2019-06-09,0
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,<1
2019-09-08,0
2019-09-15,<1
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,<1
2019-12-22,<1
2019-12-29,<1
2020-01-05,0
2020-01-12,<1
2020-01-19,<1
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,1
2020-02-23,3
2020-03-01,6
2020-03-08,25
2020-03-15,55
2020-03-22,73
2020-03-29,81
2020-04-05,94
2020-04-12,100
2020-04-19,71
2020-04-26,48
2020-05-03,45
2020-05-10,44
2020-05-17,39
2020-05-24,37
2020-05-31,33
2020-06-07,34
2020-06-14,34
2020-06-21,38
2020-06-28,38
2020-07-05,40
2020-07-12,41
2020-07-19,41
2020-07-26,43
2020-08-02,45
2020-08-09,36
2020-08-16,35
2020-08-23,33
2020-08-30,33
2020-09-06,31
2020-09-13,34
2020-09-20,34
2020-09-27,35
2020-10-04,36
2020-10-11,36
2020-10-18,38
2020-10-25,41
2020-11-01,36
2020-11-08,43
2020-11-15,46
2020-11-22,42
2020-11-29,39
2020-12-06,42
2020-12-13,43
2020-12-20,43
2020-12-27,46
2021-01-03,49
2021-01-10,48
2021-01-17,44
2021-01-24,43
2021-01-31,40
2021-02-07,38
2021-02-14,35
2021-02-21,37
2021-02-28,43
2021-03-07,41
2021-03-14,44
2021-03-21,46
2021-03-28,49
2021-04-04,54
2021-04-11,47
2021-04-18,49
2021-04-25,53
2021-05-02,46
2021-05-09,49
2021-05-16,45
2021-05-23,41
2021-05-30,43
2021-06-06,40
2021-06-13,37
2021-06-20,43
2021-06-27,42
2021-07-04,45
2021-07-11,51
2021-07-18,53
2021-07-25,55
2021-08-01,58
2021-08-08,53
2021-08-15,53
2021-08-22,52
2021-08-29,49
2021-09-05,43
2021-09-12,42
2021-09-19,36
2021-09-26,34
2021-10-03,33
2021-10-10,32
2021-10-17,32
2021-10-24,31
2021-10-31,31
2021-11-07,33
2021-11-14,35
2021-11-21,38
2021-11-28,40
2021-12-05,38
2021-12-12,53
2021-12-19,60
2021-12-26,67
2022-01-02,77
2022-01-09,65
2022-01-16,70
2022-01-23,45
2022-01-30,37
2022-02-06,34
2022-02-13,28
2022-02-20,25
2022-02-27,23
2022-03-06,21
2022-03-13,22
2022-03-20,22
2022-03-27,19
2022-04-03,19
2022-04-10,18
2022-04-17,17
2022-04-24,15
2022-05-01,15
2022-05-08,15
2022-05-15,15
2022-05-22,14
2022-05-29,14
2022-06-05,14
2022-06-12,14
2022-06-19,16
2022-06-26,16
2022-07-03,18
2022-07-10,18
2022-07-17,17
2022-07-24,15
2022-07-31,14
2022-08-07,12
2022-08-14,11
2022-08-21,11
2022-08-28,10
2022-09-04,9
2022-09-11,9
2022-09-18,9
2022-09-25,9
2022-10-02,9
2022-10-09,9
2022-10-16,9
2022-10-23,8
2022-10-30,7
2022-11-06,7
2022-11-13,8
2022-11-20,8
2022-11-27,8
2022-12-04,8
2022-12-11,9
2022-12-18,10
2022-12-25,10
2023-01-01,8
2023-01-08,7
2023-01-15,6
2023-01-22,5
2023-01-29,5
2023-02-05,4
2023-02-12,4
2023-02-19,4
2023-02-26,5
2023-03-05,4
2023-03-12,4
2023-03-19,4
2023-03-26,4
2023-04-02,4
2023-04-09,4
2023-04-16,4
2023-04-23,4
2023-04-30,4
2023-05-07,4
2023-05-14,3
2023-05-21,3
2023-05-28,3
2023-06-04,3
2023-06-11,3
2023-06-18,3
2023-06-25,2
2023-07-02,2
2023-07-09,2
2023-07-16,2
2023-07-23,3
2023-07-30,3
2023-08-06,3
2023-08-13,4
2023-08-20,4
2023-08-27,5
2023-09-03,5
2023-09-10,5
2023-09-17,5
2023-09-24,5
2023-10-01,4
2023-10-08,4
2023-10-15,3
2023-10-22,4
2023-10-29,3
