Categoría: Todas las categorías

Semana,deep fake: (Todo el mundo)
2018-11-04,11
2018-11-11,12
2018-11-18,11
2018-11-25,12
2018-12-02,10
2018-12-09,11
2018-12-16,10
2018-12-23,10
2018-12-30,23
2019-01-06,15
2019-01-13,12
2019-01-20,11
2019-01-27,47
2019-02-03,28
2019-02-10,21
2019-02-17,19
2019-02-24,17
2019-03-03,14
2019-03-10,13
2019-03-17,14
2019-03-24,12
2019-03-31,13
2019-04-07,12
2019-04-14,12
2019-04-21,14
2019-04-28,16
2019-05-05,15
2019-05-12,15
2019-05-19,20
2019-05-26,23
2019-06-02,20
2019-06-09,38
2019-06-16,28
2019-06-23,31
2019-06-30,34
2019-07-07,36
2019-07-14,31
2019-07-21,23
2019-07-28,23
2019-08-04,28
2019-08-11,43
2019-08-18,30
2019-08-25,27
2019-09-01,34
2019-09-08,27
2019-09-15,25
2019-09-22,25
2019-09-29,25
2019-10-06,34
2019-10-13,34
2019-10-20,27
2019-10-27,28
2019-11-03,25
2019-11-10,31
2019-11-17,27
2019-11-24,26
2019-12-01,25
2019-12-08,26
2019-12-15,27
2019-12-22,28
2019-12-29,29
2020-01-05,28
2020-01-12,24
2020-01-19,24
2020-01-26,22
2020-02-02,23
2020-02-09,23
2020-02-16,31
2020-02-23,26
2020-03-01,22
2020-03-08,24
2020-03-15,21
2020-03-22,24
2020-03-29,28
2020-04-05,29
2020-04-12,30
2020-04-19,29
2020-04-26,35
2020-05-03,29
2020-05-10,30
2020-05-17,29
2020-05-24,32
2020-05-31,31
2020-06-07,34
2020-06-14,31
2020-06-21,30
2020-06-28,25
2020-07-05,29
2020-07-12,29
2020-07-19,32
2020-07-26,36
2020-08-02,36
2020-08-09,37
2020-08-16,34
2020-08-23,38
2020-08-30,39
2020-09-06,35
2020-09-13,40
2020-09-20,34
2020-09-27,38
2020-10-04,34
2020-10-11,33
2020-10-18,38
2020-10-25,35
2020-11-01,33
2020-11-08,32
2020-11-15,34
2020-11-22,34
2020-11-29,27
2020-12-06,29
2020-12-13,34
2020-12-20,42
2020-12-27,40
2021-01-03,37
2021-01-10,35
2021-01-17,34
2021-01-24,32
2021-01-31,32
2021-02-07,31
2021-02-14,30
2021-02-21,36
2021-02-28,59
2021-03-07,49
2021-03-14,54
2021-03-21,38
2021-03-28,38
2021-04-04,37
2021-04-11,32
2021-04-18,33
2021-04-25,31
2021-05-02,30
2021-05-09,33
2021-05-16,33
2021-05-23,34
2021-05-30,34
2021-06-06,33
2021-06-13,32
2021-06-20,34
2021-06-27,32
2021-07-04,31
2021-07-11,32
2021-07-18,32
2021-07-25,36
2021-08-01,41
2021-08-08,36
2021-08-15,34
2021-08-22,30
2021-08-29,31
2021-09-05,34
2021-09-12,35
2021-09-19,33
2021-09-26,30
2021-10-03,30
2021-10-10,39
2021-10-17,41
2021-10-24,35
2021-10-31,34
2021-11-07,38
2021-11-14,34
2021-11-21,34
2021-11-28,32
2021-12-05,33
2021-12-12,33
2021-12-19,38
2021-12-26,37
2022-01-02,36
2022-01-09,34
2022-01-16,29
2022-01-23,30
2022-01-30,32
2022-02-06,31
2022-02-13,29
2022-02-20,29
2022-02-27,29
2022-03-06,29
2022-03-13,37
2022-03-20,36
2022-03-27,32
2022-04-03,32
2022-04-10,33
2022-04-17,35
2022-04-24,33
2022-05-01,37
2022-05-08,42
2022-05-15,33
2022-05-22,38
2022-05-29,39
2022-06-05,41
2022-06-12,42
2022-06-19,45
2022-06-26,43
2022-07-03,42
2022-07-10,40
2022-07-17,41
2022-07-24,40
2022-07-31,41
2022-08-07,42
2022-08-14,45
2022-08-21,45
2022-08-28,50
2022-09-04,43
2022-09-11,48
2022-09-18,46
2022-09-25,39
2022-10-02,41
2022-10-09,42
2022-10-16,42
2022-10-23,46
2022-10-30,42
2022-11-06,43
2022-11-13,41
2022-11-20,36
2022-11-27,40
2022-12-04,39
2022-12-11,47
2022-12-18,57
2022-12-25,54
2023-01-01,50
2023-01-08,51
2023-01-15,46
2023-01-22,50
2023-01-29,100
2023-02-05,71
2023-02-12,69
2023-02-19,60
2023-02-26,59
2023-03-05,58
2023-03-12,55
2023-03-19,62
2023-03-26,65
2023-04-02,62
2023-04-09,55
2023-04-16,54
2023-04-23,57
2023-04-30,57
2023-05-07,61
2023-05-14,52
2023-05-21,53
2023-05-28,63
2023-06-04,54
2023-06-11,59
2023-06-18,61
2023-06-25,64
2023-07-02,65
2023-07-09,78
2023-07-16,76
2023-07-23,84
2023-07-30,66
2023-08-06,59
2023-08-13,55
2023-08-20,55
2023-08-27,50
2023-09-03,53
2023-09-10,51
2023-09-17,49
2023-09-24,52
2023-10-01,55
2023-10-08,51
2023-10-15,57
2023-10-22,54
2023-10-29,57
