Categoría: Todas las categorías

Semana,mindfulness: (Todo el mundo)
2018-11-04,83
2018-11-11,79
2018-11-18,64
2018-11-25,79
2018-12-02,75
2018-12-09,70
2018-12-16,66
2018-12-23,52
2018-12-30,67
2019-01-06,83
2019-01-13,81
2019-01-20,70
2019-01-27,79
2019-02-03,93
2019-02-10,88
2019-02-17,81
2019-02-24,89
2019-03-03,85
2019-03-10,78
2019-03-17,85
2019-03-24,85
2019-03-31,86
2019-04-07,80
2019-04-14,65
2019-04-21,72
2019-04-28,83
2019-05-05,78
2019-05-12,77
2019-05-19,77
2019-05-26,74
2019-06-02,70
2019-06-09,73
2019-06-16,69
2019-06-23,70
2019-06-30,65
2019-07-07,70
2019-07-14,69
2019-07-21,67
2019-07-28,75
2019-08-04,62
2019-08-11,72
2019-08-18,76
2019-08-25,75
2019-09-01,80
2019-09-08,90
2019-09-15,96
2019-09-22,95
2019-09-29,81
2019-10-06,91
2019-10-13,93
2019-10-20,97
2019-10-27,85
2019-11-03,91
2019-11-10,86
2019-11-17,89
2019-11-24,75
2019-12-01,73
2019-12-08,74
2019-12-15,65
2019-12-22,61
2019-12-29,70
2020-01-05,85
2020-01-12,77
2020-01-19,81
2020-01-26,86
2020-02-02,87
2020-02-09,84
2020-02-16,81
2020-02-23,88
2020-03-01,82
2020-03-08,67
2020-03-15,72
2020-03-22,92
2020-03-29,97
2020-04-05,89
2020-04-12,98
2020-04-19,98
2020-04-26,100
2020-05-03,93
2020-05-10,95
2020-05-17,94
2020-05-24,85
2020-05-31,76
2020-06-07,88
2020-06-14,79
2020-06-21,73
2020-06-28,73
2020-07-05,72
2020-07-12,70
2020-07-19,70
2020-07-26,71
2020-08-02,69
2020-08-09,65
2020-08-16,73
2020-08-23,79
2020-08-30,87
2020-09-06,93
2020-09-13,92
2020-09-20,85
2020-09-27,79
2020-10-04,80
2020-10-11,70
2020-10-18,70
2020-10-25,69
2020-11-01,60
2020-11-08,67
2020-11-15,67
2020-11-22,71
2020-11-29,65
2020-12-06,64
2020-12-13,60
2020-12-20,47
2020-12-27,56
2021-01-03,69
2021-01-10,68
2021-01-17,69
2021-01-24,74
2021-01-31,72
2021-02-07,61
2021-02-14,68
2021-02-21,73
2021-02-28,71
2021-03-07,66
2021-03-14,64
2021-03-21,68
2021-03-28,63
2021-04-04,62
2021-04-11,64
2021-04-18,69
2021-04-25,61
2021-05-02,64
2021-05-09,64
2021-05-16,66
2021-05-23,65
2021-05-30,64
2021-06-06,61
2021-06-13,59
2021-06-20,58
2021-06-27,56
2021-07-04,61
2021-07-11,59
2021-07-18,56
2021-07-25,58
2021-08-01,60
2021-08-08,55
2021-08-15,60
2021-08-22,58
2021-08-29,55
2021-09-05,62
2021-09-12,60
2021-09-19,67
2021-09-26,61
2021-10-03,64
2021-10-10,60
2021-10-17,66
2021-10-24,61
2021-10-31,62
2021-11-07,62
2021-11-14,63
2021-11-21,58
2021-11-28,59
2021-12-05,64
2021-12-12,57
2021-12-19,48
2021-12-26,50
2022-01-02,66
2022-01-09,75
2022-01-16,67
2022-01-23,75
2022-01-30,70
2022-02-06,65
2022-02-13,71
2022-02-20,66
2022-02-27,71
2022-03-06,70
2022-03-13,67
2022-03-20,72
2022-03-27,74
2022-04-03,75
2022-04-10,62
2022-04-17,73
2022-04-24,72
2022-05-01,73
2022-05-08,70
2022-05-15,65
2022-05-22,63
2022-05-29,57
2022-06-05,61
2022-06-12,60
2022-06-19,56
2022-06-26,56
2022-07-03,53
2022-07-10,57
2022-07-17,56
2022-07-24,52
2022-07-31,59
2022-08-07,53
2022-08-14,52
2022-08-21,62
2022-08-28,56
2022-09-04,61
2022-09-11,64
2022-09-18,64
2022-09-25,63
2022-10-02,66
2022-10-09,66
2022-10-16,65
2022-10-23,61
2022-10-30,62
2022-11-06,69
2022-11-13,68
2022-11-20,56
2022-11-27,64
2022-12-04,59
2022-12-11,54
2022-12-18,47
2022-12-25,48
2023-01-01,59
2023-01-08,67
2023-01-15,59
2023-01-22,68
2023-01-29,71
2023-02-05,67
2023-02-12,61
2023-02-19,62
2023-02-26,75
2023-03-05,66
2023-03-12,65
2023-03-19,65
2023-03-26,65
2023-04-02,56
2023-04-09,59
2023-04-16,65
2023-04-23,65
2023-04-30,60
2023-05-07,61
2023-05-14,59
2023-05-21,57
2023-05-28,56
2023-06-04,57
2023-06-11,55
2023-06-18,55
2023-06-25,54
2023-07-02,53
2023-07-09,56
2023-07-16,54
2023-07-23,55
2023-07-30,50
2023-08-06,49
2023-08-13,50
2023-08-20,56
2023-08-27,58
2023-09-03,57
2023-09-10,64
2023-09-17,69
2023-09-24,65
2023-10-01,63
2023-10-08,61
2023-10-15,66
2023-10-22,64
2023-10-29,50
