Categoría: Todas las categorías

Semana,quantum computing: (Todo el mundo)
2018-11-04,25
2018-11-11,26
2018-11-18,23
2018-11-25,24
2018-12-02,25
2018-12-09,24
2018-12-16,24
2018-12-23,21
2018-12-30,21
2019-01-06,38
2019-01-13,31
2019-01-20,25
2019-01-27,23
2019-02-03,24
2019-02-10,25
2019-02-17,25
2019-02-24,26
2019-03-03,24
2019-03-10,30
2019-03-17,27
2019-03-24,24
2019-03-31,24
2019-04-07,23
2019-04-14,22
2019-04-21,22
2019-04-28,24
2019-05-05,21
2019-05-12,24
2019-05-19,23
2019-05-26,23
2019-06-02,22
2019-06-09,24
2019-06-16,25
2019-06-23,26
2019-06-30,22
2019-07-07,20
2019-07-14,25
2019-07-21,25
2019-07-28,19
2019-08-04,21
2019-08-11,21
2019-08-18,25
2019-08-25,23
2019-09-01,22
2019-09-08,24
2019-09-15,32
2019-09-22,51
2019-09-29,35
2019-10-06,29
2019-10-13,27
2019-10-20,100
2019-10-27,53
2019-11-03,41
2019-11-10,37
2019-11-17,35
2019-11-24,27
2019-12-01,37
2019-12-08,31
2019-12-15,29
2019-12-22,27
2019-12-29,30
2020-01-05,33
2020-01-12,33
2020-01-19,32
2020-01-26,32
2020-02-02,33
2020-02-09,34
2020-02-16,33
2020-02-23,33
2020-03-01,33
2020-03-08,31
2020-03-15,24
2020-03-22,24
2020-03-29,23
2020-04-05,29
2020-04-12,28
2020-04-19,27
2020-04-26,27
2020-05-03,29
2020-05-10,30
2020-05-17,28
2020-05-24,30
2020-05-31,26
2020-06-07,26
2020-06-14,31
2020-06-21,32
2020-06-28,28
2020-07-05,27
2020-07-12,27
2020-07-19,28
2020-07-26,30
2020-08-02,27
2020-08-09,30
2020-08-16,31
2020-08-23,32
2020-08-30,31
2020-09-06,31
2020-09-13,30
2020-09-20,29
2020-09-27,30
2020-10-04,26
2020-10-11,24
2020-10-18,27
2020-10-25,22
2020-11-01,23
2020-11-08,28
2020-11-15,24
2020-11-22,21
2020-11-29,30
2020-12-06,35
2020-12-13,29
2020-12-20,31
2020-12-27,28
2021-01-03,31
2021-01-10,31
2021-01-17,31
2021-01-24,30
2021-01-31,36
2021-02-07,32
2021-02-14,32
2021-02-21,31
2021-02-28,31
2021-03-07,33
2021-03-14,33
2021-03-21,37
2021-03-28,34
2021-04-04,33
2021-04-11,37
2021-04-18,31
2021-04-25,33
2021-05-02,32
2021-05-09,32
2021-05-16,35
2021-05-23,32
2021-05-30,31
2021-06-06,38
2021-06-13,34
2021-06-20,32
2021-06-27,30
2021-07-04,31
2021-07-11,35
2021-07-18,32
2021-07-25,32
2021-08-01,32
2021-08-08,31
2021-08-15,30
2021-08-22,32
2021-08-29,30
2021-09-05,32
2021-09-12,33
2021-09-19,39
2021-09-26,36
2021-10-03,35
2021-10-10,25
2021-10-17,27
2021-10-24,29
2021-10-31,30
2021-11-07,32
2021-11-14,43
2021-11-21,36
2021-11-28,37
2021-12-05,35
2021-12-12,29
2021-12-19,32
2021-12-26,26
2022-01-02,37
2022-01-09,32
2022-01-16,30
2022-01-23,37
2022-01-30,34
2022-02-06,32
2022-02-13,34
2022-02-20,32
2022-02-27,33
2022-03-06,32
2022-03-13,32
2022-03-20,37
2022-03-27,41
2022-04-03,33
2022-04-10,32
2022-04-17,37
2022-04-24,31
2022-05-01,31
2022-05-08,36
2022-05-15,30
2022-05-22,32
2022-05-29,32
2022-06-05,35
2022-06-12,32
2022-06-19,37
2022-06-26,31
2022-07-03,31
2022-07-10,32
2022-07-17,57
2022-07-24,45
2022-07-31,41
2022-08-07,36
2022-08-14,36
2022-08-21,42
2022-08-28,35
2022-09-04,35
2022-09-11,39
2022-09-18,43
2022-09-25,36
2022-10-02,41
2022-10-09,41
2022-10-16,40
2022-10-23,34
2022-10-30,42
2022-11-06,39
2022-11-13,41
2022-11-20,35
2022-11-27,42
2022-12-04,39
2022-12-11,41
2022-12-18,35
2022-12-25,33
2023-01-01,38
2023-01-08,42
2023-01-15,39
2023-01-22,44
2023-01-29,44
2023-02-05,47
2023-02-12,44
2023-02-19,47
2023-02-26,40
2023-03-05,39
2023-03-12,42
2023-03-19,41
2023-03-26,45
2023-04-02,40
2023-04-09,40
2023-04-16,42
2023-04-23,41
2023-04-30,47
2023-05-07,43
2023-05-14,42
2023-05-21,40
2023-05-28,43
2023-06-04,41
2023-06-11,47
2023-06-18,48
2023-06-25,44
2023-07-02,43
2023-07-09,51
2023-07-16,44
2023-07-23,45
2023-07-30,48
2023-08-06,42
2023-08-13,54
2023-08-20,46
2023-08-27,46
2023-09-03,43
2023-09-10,43
2023-09-17,48
2023-09-24,44
2023-10-01,43
2023-10-08,46
2023-10-15,48
2023-10-22,46
2023-10-29,45
