,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,artificial intelligence,Duration,0,Text length,0,503,816,987,228,0.8707428828561421,0.7397532678629589,15.1723979919706,0.898493770252693,0.785190584502177,14.725515020433056
1,artificial intelligence,Duration,0,Text length,100,503,816,987,228,0.8707428828561421,0.7397532678629589,15.1723979919706,0.898493770252693,0.785190584502177,14.725515020433056
2,artificial intelligence,Duration,0,Text length,1000,503,783,987,228,0.8709266913238976,0.7423338254280856,15.296030811908155,0.8998829501079151,0.7896499103310181,14.80616000086094
3,artificial intelligence,Duration,0,Text length,2000,503,725,987,228,0.8697052545689041,0.7419529828753455,15.265873044040447,0.8985695602881557,0.7886083774600556,14.784579364149588
4,artificial intelligence,Duration,0,Text length,3000,503,616,987,228,0.86746107347867,0.7434241037766355,15.520223986609155,0.8975961311107137,0.7911967887698861,14.963002486950858
5,artificial intelligence,Duration,0,Text length,5000,503,388,987,228,0.8622020882541692,0.7400649774427576,15.47437348179826,0.8975128398468576,0.7951323545100674,14.723509601008162
6,artificial intelligence,Duration,0,Text length,7500,503,186,987,228,0.8230678997559431,0.6791190932763708,17.635204596340195,0.8807862366638305,0.7631686667281439,16.744028611859434
7,artificial intelligence,Duration,0,Text length,10000,503,95,987,228,0.8175395994764536,0.6979569552488134,18.422071706762452,0.8848429797950753,0.7923425744667837,17.68673694362587
8,artificial intelligence,Duration,5,Text length,0,383,816,987,228,0.8872060807537137,0.777882974134766,14.244307799801604,0.915835935958174,0.8261527414419302,13.777755782200797
9,artificial intelligence,Duration,5,Text length,100,383,816,987,228,0.8872060807537137,0.777882974134766,14.244307799801604,0.915835935958174,0.8261527414419302,13.777755782200797
10,artificial intelligence,Duration,5,Text length,1000,383,783,987,228,0.8874161757495393,0.7803383043026111,14.375592036783292,0.9170349458938523,0.8301077023260964,13.85388102144616
11,artificial intelligence,Duration,5,Text length,2000,383,725,987,228,0.8861853635947488,0.7798237213706278,14.346648561113811,0.9156198590871223,0.8287956652145129,13.811608504313925
