,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,artificial intelligence,Installs,0,View count,0,503,816,987,228,0.8707428828561421,0.7397532678629589,15.1723979919706,0.898493770252693,0.785190584502177,14.725515020433056
1,artificial intelligence,Installs,0,View count,100,479,816,987,228,0.8751593601966322,0.7492508064139276,14.98965795245419,0.9027936812019689,0.7949079945417233,14.542463228972204
2,artificial intelligence,Installs,0,View count,1000,459,816,987,228,0.8859908824455253,0.7742355994631501,14.39206820233376,0.9133905757985585,0.8202073822666205,13.940627079272652
3,artificial intelligence,Installs,0,View count,10000,410,816,987,228,0.8901381637548117,0.7829701448517521,14.13255818533702,0.9181280468097913,0.8304449741338145,13.666764223666469
4,artificial intelligence,Installs,0,View count,20000,372,816,987,228,0.8947554506521022,0.7933272319690683,13.780653100283253,0.9239175867074101,0.8433074637692868,13.271641657761798
5,artificial intelligence,Installs,0,View count,35000,347,816,987,228,0.8953760373012463,0.7935428273952796,13.784251588371998,0.9243449282415249,0.8434199200415692,13.286771054113286
6,artificial intelligence,Installs,0,View count,50000,323,816,987,228,0.894531204669627,0.7907450696753658,13.819011462806689,0.924827347546376,0.8430103487824252,13.316775917610089
7,artificial intelligence,Installs,0,View count,75000,302,816,987,228,0.8939589020890563,0.7883518795278672,13.765081098052026,0.9243336299658909,0.8408322486491728,13.285897730110914
8,artificial intelligence,Installs,0,View count,100000,275,816,987,228,0.8889212906741817,0.7770489543091101,14.019807706518392,0.9206943178559359,0.8318559328728731,13.543553142289781
9,artificial intelligence,Installs,0,View count,200000,229,816,987,228,0.8889270334467144,0.77730621734996,13.854877260909461,0.9222899444481242,0.8348622721579831,13.34758987487733
10,artificial intelligence,Installs,0,View count,300000,198,816,987,228,0.8959314915728477,0.7925351423009153,13.402347361892916,0.9325483731751203,0.856882654424595,12.709200775288748
11,artificial intelligence,Installs,0,View count,400000,179,816,987,228,0.8952899951216413,0.7899863728907642,13.478196264045707,0.9307545203433523,0.8524926003774266,12.828207034517538
12,artificial intelligence,Installs,0,View count,500000,162,816,987,228,0.8907654247420871,0.7791139393746552,13.565206655829526,0.9301937115240274,0.8494283880494915,12.810092589290504
13,artificial intelligence,Installs,0,View count,750000,130,816,987,228,0.889329112811427,0.7768270462661562,13.339656627217446,0.9287547367542808,0.8467519253285759,12.387152349033531
14,artificial intelligence,Installs,0,View count,1000000,115,816,987,228,0.887333678340314,0.7707989562718077,13.367493743370071,0.9255767554215869,0.8387463669575952,12.36080136151778
15,artificial intelligence,Installs,0,View count,10000000,10,816,987,228,0.7808505211022018,0.5530879466519049,17.085494493784488,0.8380237923730828,0.6347814859449931,15.791618504151936
16,artificial intelligence,Installs,100,View count,0,503,816,987,28,0.8902695930574492,0.7502653793819062,13.209094042480968,0.9204537054689669,0.8134032629239616,12.001255546162513
17,artificial intelligence,Installs,100,View count,100,479,816,987,28,0.8927814673037321,0.7578377236012693,13.107381361751484,0.9231764327932453,0.8207322471128489,12.081906024470689
18,artificial intelligence,Installs,100,View count,1000,459,816,987,28,0.897996928146842,0.7761221020430275,13.290102955157762,0.9294297102341946,0.8387111372439229,12.471784100250263
19,artificial intelligence,Installs,100,View count,10000,410,816,987,28,0.9006322510715284,0.7839909512972377,13.549859434310362,0.9330073223706412,0.8479725247216077,12.77814447488066
20,artificial intelligence,Installs,100,View count,20000,372,816,987,28,0.9026076387165074,0.7916305241112961,13.127634251881288,0.9359703500290535,0.8566080764651941,12.14044724990416
21,artificial intelligence,Installs,100,View count,35000,347,816,987,28,0.9042426325348072,0.794093280407028,12.805614053837013,0.9373010947378225,0.8590870751663379,11.807950372101532
22,artificial intelligence,Installs,100,View count,50000,323,816,987,28,0.90239451748362,0.7892929575313775,12.852053423694299,0.938061856806655,0.8598747044290228,11.854478864189359
23,artificial intelligence,Installs,100,View count,75000,302,816,987,28,0.9020031697457491,0.7866872571755538,13.04346723507926,0.938302822376658,0.8593994566877196,12.105732721463598
24,artificial intelligence,Installs,100,View count,100000,275,816,987,28,0.8988514544282902,0.777791460080675,13.346960580691952,0.9370295531462829,0.8552413109453025,12.466507490883021
25,artificial intelligence,Installs,100,View count,200000,229,816,987,28,0.8963842129926805,0.7730899115505426,13.246258209452963,0.9388150579007823,0.8591528788783261,12.147408437476676
26,artificial intelligence,Installs,100,View count,300000,198,816,987,28,0.8958953201958764,0.7774678858097535,12.93070349269259,0.9421247229268496,0.8684847632726749,11.274694349998322
27,artificial intelligence,Installs,100,View count,400000,179,816,987,28,0.8993775865541019,0.7826051479234873,12.834444449737369,0.9425750475627427,0.8690080452112333,11.323694280603629
28,artificial intelligence,Installs,100,View count,500000,162,816,987,28,0.8949333693436298,0.7718942607964324,12.759863284411402,0.9416320562480787,0.8659552825832546,11.13953189033464
29,artificial intelligence,Installs,100,View count,750000,130,816,987,28,0.8873586301241327,0.7578233061410223,13.109462594074216,0.9387552351105156,0.8596556479568737,11.394595831920654
30,artificial intelligence,Installs,100,View count,1000000,115,816,987,28,0.8856389698897557,0.7518010212158142,13.352089948909047,0.9350314669606652,0.8503546192045185,11.735696066020889
31,artificial intelligence,Installs,100,View count,10000000,10,816,987,28,0.7271000594626889,0.390618347781347,17.820628049871814,0.8228784318390814,0.5465879897584598,16.250948758577213
32,artificial intelligence,Installs,1000,View count,0,503,816,987,28,0.8902695930574492,0.7502653793819062,13.209094042480968,0.9204537054689669,0.8134032629239616,12.001255546162513
33,artificial intelligence,Installs,1000,View count,100,479,816,987,28,0.8927814673037321,0.7578377236012693,13.107381361751484,0.9231764327932453,0.8207322471128489,12.081906024470689
34,artificial intelligence,Installs,1000,View count,1000,459,816,987,28,0.897996928146842,0.7761221020430275,13.290102955157762,0.9294297102341946,0.8387111372439229,12.471784100250263
35,artificial intelligence,Installs,1000,View count,10000,410,816,987,28,0.9006322510715284,0.7839909512972377,13.549859434310362,0.9330073223706412,0.8479725247216077,12.77814447488066
36,artificial intelligence,Installs,1000,View count,20000,372,816,987,28,0.9026076387165074,0.7916305241112961,13.127634251881288,0.9359703500290535,0.8566080764651941,12.14044724990416
37,artificial intelligence,Installs,1000,View count,35000,347,816,987,28,0.9042426325348072,0.794093280407028,12.805614053837013,0.9373010947378225,0.8590870751663379,11.807950372101532
38,artificial intelligence,Installs,1000,View count,50000,323,816,987,28,0.90239451748362,0.7892929575313775,12.852053423694299,0.938061856806655,0.8598747044290228,11.854478864189359
39,artificial intelligence,Installs,1000,View count,75000,302,816,987,28,0.9020031697457491,0.7866872571755538,13.04346723507926,0.938302822376658,0.8593994566877196,12.105732721463598
40,artificial intelligence,Installs,1000,View count,100000,275,816,987,28,0.8988514544282902,0.777791460080675,13.346960580691952,0.9370295531462829,0.8552413109453025,12.466507490883021
41,artificial intelligence,Installs,1000,View count,200000,229,816,987,28,0.8963842129926805,0.7730899115505426,13.246258209452963,0.9388150579007823,0.8591528788783261,12.147408437476676
42,artificial intelligence,Installs,1000,View count,300000,198,816,987,28,0.8958953201958764,0.7774678858097535,12.93070349269259,0.9421247229268496,0.8684847632726749,11.274694349998322
43,artificial intelligence,Installs,1000,View count,400000,179,816,987,28,0.8993775865541019,0.7826051479234873,12.834444449737369,0.9425750475627427,0.8690080452112333,11.323694280603629
44,artificial intelligence,Installs,1000,View count,500000,162,816,987,28,0.8949333693436298,0.7718942607964324,12.759863284411402,0.9416320562480787,0.8659552825832546,11.13953189033464
45,artificial intelligence,Installs,1000,View count,750000,130,816,987,28,0.8873586301241327,0.7578233061410223,13.109462594074216,0.9387552351105156,0.8596556479568737,11.394595831920654
46,artificial intelligence,Installs,1000,View count,1000000,115,816,987,28,0.8856389698897557,0.7518010212158142,13.352089948909047,0.9350314669606652,0.8503546192045185,11.735696066020889
47,artificial intelligence,Installs,1000,View count,10000000,10,816,987,28,0.7271000594626889,0.390618347781347,17.820628049871814,0.8228784318390814,0.5465879897584598,16.250948758577213
48,artificial intelligence,Installs,10000,View count,0,503,816,987,28,0.8902695930574492,0.7502653793819062,13.209094042480968,0.9204537054689669,0.8134032629239616,12.001255546162513
49,artificial intelligence,Installs,10000,View count,100,479,816,987,28,0.8927814673037321,0.7578377236012693,13.107381361751484,0.9231764327932453,0.8207322471128489,12.081906024470689
50,artificial intelligence,Installs,10000,View count,1000,459,816,987,28,0.897996928146842,0.7761221020430275,13.290102955157762,0.9294297102341946,0.8387111372439229,12.471784100250263
51,artificial intelligence,Installs,10000,View count,10000,410,816,987,28,0.9006322510715284,0.7839909512972377,13.549859434310362,0.9330073223706412,0.8479725247216077,12.77814447488066
52,artificial intelligence,Installs,10000,View count,20000,372,816,987,28,0.9026076387165074,0.7916305241112961,13.127634251881288,0.9359703500290535,0.8566080764651941,12.14044724990416
53,artificial intelligence,Installs,10000,View count,35000,347,816,987,28,0.9042426325348072,0.794093280407028,12.805614053837013,0.9373010947378225,0.8590870751663379,11.807950372101532
54,artificial intelligence,Installs,10000,View count,50000,323,816,987,28,0.90239451748362,0.7892929575313775,12.852053423694299,0.938061856806655,0.8598747044290228,11.854478864189359
