,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,artificial intelligence,Text length,0,Duration,0,503,816,987,228,0.8707428828561421,0.7397532678629589,15.1723979919706,0.898493770252693,0.785190584502177,14.725515020433056
1,artificial intelligence,Text length,0,Duration,25,107,816,987,228,0.8797009512490931,0.7701602699167915,14.654695161573333,0.911205450228119,0.821752463065291,14.173215378985615
2,artificial intelligence,Text length,0,Duration,50,53,816,987,228,0.8615594769213439,0.7221881351895219,15.21829090941719,0.8944620892695553,0.7763109727477462,14.767550311353984
3,artificial intelligence,Text length,0,Duration,75,24,816,987,228,0.8558319158125458,0.7184933224642305,15.065746393661005,0.9016651423674311,0.7925701085467363,14.575564545167857
4,artificial intelligence,Text length,0,Duration,100,17,816,987,228,0.8391535328605733,0.6880351213196434,15.495636601279147,0.889221075780935,0.7656963710724299,15.049882320451221
5,artificial intelligence,Text length,0,Duration,125,11,816,987,228,0.8357871334508509,0.6786565766885296,15.657870582557507,0.8819377047217375,0.7498419383885476,15.168461764272063
6,artificial intelligence,Text length,0,Duration,150,10,816,987,228,0.8334510731485734,0.6736807713189881,15.775309839418531,0.8790348814355873,0.7434128195485704,15.287041208092903
7,artificial intelligence,Text length,100,Duration,0,503,816,987,228,0.8707428828561421,0.7397532678629589,15.1723979919706,0.898493770252693,0.785190584502177,14.725515020433056
8,artificial intelligence,Text length,100,Duration,25,107,816,987,228,0.8797009512490931,0.7701602699167915,14.654695161573333,0.911205450228119,0.821752463065291,14.173215378985615
9,artificial intelligence,Text length,100,Duration,50,53,816,987,228,0.8615594769213439,0.7221881351895219,15.21829090941719,0.8944620892695553,0.7763109727477462,14.767550311353984
10,artificial intelligence,Text length,100,Duration,75,24,816,987,228,0.8558319158125458,0.7184933224642305,15.065746393661005,0.9016651423674311,0.7925701085467363,14.575564545167857
11,artificial intelligence,Text length,100,Duration,100,17,816,987,228,0.8391535328605733,0.6880351213196434,15.495636601279147,0.889221075780935,0.7656963710724299,15.049882320451221
12,artificial intelligence,Text length,100,Duration,125,11,816,987,228,0.8357871334508509,0.6786565766885296,15.657870582557507,0.8819377047217375,0.7498419383885476,15.168461764272063
13,artificial intelligence,Text length,100,Duration,150,10,816,987,228,0.8334510731485734,0.6736807713189881,15.775309839418531,0.8790348814355873,0.7434128195485704,15.287041208092903
14,artificial intelligence,Text length,1000,Duration,0,503,783,987,228,0.8709266913238976,0.7423338254280856,15.296030811908155,0.8998829501079151,0.7896499103310181,14.80616000086094
15,artificial intelligence,Text length,1000,Duration,25,107,783,987,228,0.8796068602742314,0.7723862355471607,14.79730864194823,0.9122957094931862,0.8257199863668546,14.278132383803584
16,artificial intelligence,Text length,1000,Duration,50,53,783,987,228,0.8616256835487772,0.7247169119637575,15.363294512560026,0.8959331238920065,0.7809965295221807,14.859952686816339
17,artificial intelligence,Text length,1000,Duration,75,24,783,987,228,0.8551631117429803,0.720026317028506,15.210749996803843,0.9028981705350289,0.7967972971067104,14.667966920630217
18,artificial intelligence,Text length,1000,Duration,100,17,783,987,228,0.8379135576024682,0.68892476748704,15.64064020442198,0.890471657581168,0.7700712020081472,15.142284695913581
19,artificial intelligence,Text length,1000,Duration,125,11,783,987,228,0.8346765568466055,0.6797192840089509,15.802874185700341,0.8832026548678049,0.754278346233176,15.260864139734418
20,artificial intelligence,Text length,1000,Duration,150,10,783,987,228,0.8324210712070035,0.6748868407047468,15.920313442561365,0.8802834763902347,0.74784459261103,15.379443583555258
21,artificial intelligence,Text length,2000,Duration,0,503,725,987,228,0.8697052545689041,0.7419529828753455,15.265873044040447,0.8985695602881557,0.7886083774600556,14.784579364149588
22,artificial intelligence,Text length,2000,Duration,25,107,725,987,228,0.8780376978686184,0.7716063699660158,14.783968624864215,0.9105411209711559,0.8241000974407139,14.229303279774962
23,artificial intelligence,Text length,2000,Duration,50,53,725,987,228,0.8601344293878287,0.7240420175115713,15.369469279536577,0.8946669693773159,0.7801039683100913,14.838248999105472
24,artificial intelligence,Text length,2000,Duration,75,24,725,987,228,0.8536139448325426,0.7194435565301115,15.18532255106993,0.9013281969761496,0.7953402464495684,14.641124446192313
25,artificial intelligence,Text length,2000,Duration,100,17,725,987,228,0.8365736119177614,0.6888315492463283,15.623362411972167,0.8890030684129336,0.7689192363280724,15.128138047507164
26,artificial intelligence,Text length,2000,Duration,125,11,725,987,228,0.8342041280006967,0.6808703272105184,15.801957726076942,0.8823611108341117,0.7542476676395068,15.24989144783588
27,artificial intelligence,Text length,2000,Duration,150,10,725,987,228,0.8316271064800053,0.6755805494339759,15.922540420633261,0.8791620663562573,0.7473580957915225,15.37164484816459
28,artificial intelligence,Text length,3000,Duration,0,503,616,987,228,0.86746107347867,0.7434241037766355,15.520223986609155,0.8975961311107137,0.7911967887698861,14.963002486950858
29,artificial intelligence,Text length,3000,Duration,25,107,616,987,228,0.8757837711187739,0.7731356781907934,15.057453130687673,0.9093911987017155,0.8264921159841416,14.46577334756031
30,artificial intelligence,Text length,3000,Duration,50,53,616,987,228,0.8571935442730907,0.7248615910123263,15.649094110559489,0.8935568280982918,0.7826896499443744,15.04050516873997
31,artificial intelligence,Text length,3000,Duration,75,24,616,987,228,0.8510198711144166,0.7211158774836858,15.491881942424119,0.9006199887337079,0.7984845006675738,14.84604101281511
32,artificial intelligence,Text length,3000,Duration,100,17,616,987,228,0.8333147504969075,0.6900918948981218,15.925702653125285,0.8874928343782925,0.7710991494425633,15.326481868629472
33,artificial intelligence,Text length,3000,Duration,125,11,616,987,228,0.8301411832281671,0.6809770006080735,16.106401360425536,0.8806246744789168,0.7562002728354209,15.446592082583056
34,artificial intelligence,Text length,3000,Duration,150,10,616,987,228,0.8272964454857124,0.6753999394156927,16.225356668475726,0.8774679086806358,0.7494882837591381,15.566702296536645
35,artificial intelligence,Text length,5000,Duration,0,503,388,987,228,0.8622020882541692,0.7400649774427576,15.47437348179826,0.8975128398468576,0.7951323545100674,14.723509601008162
36,artificial intelligence,Text length,5000,Duration,25,107,388,987,228,0.8689559502530535,0.767914856311305,15.027074573523477,0.9089306254445408,0.8301359207898078,14.191996163685577
37,artificial intelligence,Text length,5000,Duration,50,53,388,987,228,0.8470012407867946,0.7146522755261173,15.63195777923695,0.8912559846566369,0.7831125333082942,14.814655111353904
