,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,artificial intelligence,Track time,0,Duration,0,503,816,987,228,0.8707428828561421,0.7397532678629589,15.1723979919706,0.898493770252693,0.785190584502177,14.725515020433056
1,artificial intelligence,Track time,0,Duration,25,107,816,987,228,0.8797009512490931,0.7701602699167915,14.654695161573333,0.911205450228119,0.821752463065291,14.173215378985615
2,artificial intelligence,Track time,0,Duration,50,53,816,987,228,0.8615594769213439,0.7221881351895219,15.21829090941719,0.8944620892695553,0.7763109727477462,14.767550311353984
3,artificial intelligence,Track time,0,Duration,75,24,816,987,228,0.8558319158125458,0.7184933224642305,15.065746393661005,0.9016651423674311,0.7925701085467363,14.575564545167857
4,artificial intelligence,Track time,0,Duration,100,17,816,987,228,0.8391535328605733,0.6880351213196434,15.495636601279147,0.889221075780935,0.7656963710724299,15.049882320451221
5,artificial intelligence,Track time,0,Duration,125,11,816,987,228,0.8357871334508509,0.6786565766885296,15.657870582557507,0.8819377047217375,0.7498419383885476,15.168461764272063
6,artificial intelligence,Track time,0,Duration,150,10,816,987,228,0.8334510731485734,0.6736807713189881,15.775309839418531,0.8790348814355873,0.7434128195485704,15.287041208092903
7,artificial intelligence,Track time,5,Duration,0,503,816,921,228,0.8719908087751743,0.7445735274254125,15.202898040632405,0.8996403932135385,0.789593388418141,14.746141500254028
8,artificial intelligence,Track time,5,Duration,25,107,816,921,228,0.8803090422775766,0.7738972365998514,14.71304398970054,0.9118191069275993,0.8251808018666006,14.218673037920565
9,artificial intelligence,Track time,5,Duration,50,53,816,921,228,0.862398261696853,0.7265227126043001,15.264884843973265,0.8955752119002728,0.7807716689393751,14.795447909213092
10,artificial intelligence,Track time,5,Duration,75,24,816,921,228,0.8558659095959372,0.7216658537459035,15.112340328217085,0.9024647950324244,0.796396043217011,14.603462143026977
11,artificial intelligence,Track time,5,Duration,100,17,816,921,228,0.8392494341887736,0.6915467425585311,15.542230535835225,0.8902502902883669,0.7701245220562448,15.077779918310336
12,artificial intelligence,Track time,5,Duration,125,11,816,921,228,0.8360633820098521,0.6824578686478681,15.704464517113584,0.8829936329625997,0.7543991233970326,15.196359362131176
13,artificial intelligence,Track time,5,Duration,150,10,816,921,228,0.833797646937349,0.677624597435325,15.821903773974608,0.8800896662501018,0.7480135845287661,15.314938805952016
14,artificial intelligence,Track time,10,Duration,0,503,816,778,228,0.8730056090333619,0.750026862060651,15.269854511672852,0.9002027993017352,0.7939693120334854,14.79496000456319
15,artificial intelligence,Track time,10,Duration,25,107,816,778,228,0.8797410223876257,0.7764713527068774,14.80748434885923,0.9111225880656406,0.8270698945916088,14.280310196098636
16,artificial intelligence,Track time,10,Duration,50,53,816,778,228,0.863235308961168,0.7320088782551528,15.34017674363748,0.895935099504768,0.7850175120179916,14.846738905664843
17,artificial intelligence,Track time,10,Duration,75,24,816,778,228,0.8574047609576885,0.7282002418629947,15.16615999996791,0.9025483368415191,0.7999565015643875,14.656474494405238
18,artificial intelligence,Track time,10,Duration,100,17,816,778,228,0.8417864444655606,0.6999238159673431,15.591596052252065,0.8909717390177964,0.7752118602220213,15.12653951045837
19,artificial intelligence,Track time,10,Duration,125,11,816,778,228,0.8395116503832729,0.6923189934818275,15.746178161542035,0.8845186420255152,0.7610667506252777,15.244055764471657
20,artificial intelligence,Track time,10,Duration,150,10,816,778,228,0.837042132101572,0.6872644762114646,15.862564451574423,0.8814915831803601,0.7545786993935457,15.36157201848494
21,artificial intelligence,Track time,25,Duration,0,503,816,426,228,0.8675916729261582,0.7428384553894504,15.418946991421555,0.8956674598692347,0.7879730065138724,14.968920669079091
22,artificial intelligence,Track time,25,Duration,25,107,816,426,228,0.8743867586994066,0.7685194545439289,14.989728664750288,0.9059392113278147,0.8191690784527647,14.52712869588013
23,artificial intelligence,Track time,25,Duration,50,53,816,426,228,0.8576071251837611,0.7249625925094954,15.500424751222669,0.8908332648048858,0.778342161159462,15.033324011684858
24,artificial intelligence,Track time,25,Duration,75,24,816,426,228,0.8528770727572358,0.7227059916156572,15.304953084784177,0.8971841345247443,0.7924480403175983,14.861542075723056
25,artificial intelligence,Track time,25,Duration,100,17,816,426,228,0.8381668509123078,0.696433110167885,15.710585569936114,0.8861277545005917,0.7692633739833519,15.285944505746334
26,artificial intelligence,Track time,25,Duration,125,11,816,426,228,0.8366211199066634,0.6902155931558103,15.836593115607487,0.8808634421617246,0.7574959675129254,15.392045113252147
27,artificial intelligence,Track time,25,Duration,150,10,816,426,228,0.8347574047572336,0.6861964310908435,15.94167352496421,0.8777411759071053,0.7510468290222234,15.498145720757966
28,artificial intelligence,Track time,50,Duration,0,503,816,146,228,0.8707974282172328,0.7467075234661734,14.44211056710327,0.9076827321677858,0.8088490604626868,13.760995318409497
29,artificial intelligence,Track time,50,Duration,25,107,816,146,228,0.874165711535768,0.767611301325496,13.94111258107886,0.9139409967123675,0.8329542889877377,13.191810771346953
30,artificial intelligence,Track time,50,Duration,50,53,816,146,228,0.8612445973057681,0.7291998717535807,14.520088429033548,0.9049609447919907,0.8027085521359194,13.796852110161321
31,artificial intelligence,Track time,50,Duration,75,24,816,146,228,0.8469689717933859,0.7127359812212566,15.503413368320201,0.9069867073875688,0.8094120784145635,14.553682502033226
32,artificial intelligence,Track time,50,Duration,100,17,816,146,228,0.8295339717331148,0.6825327979057574,15.918576956361635,0.8984257214108626,0.7901621185495048,14.992520388860017
33,artificial intelligence,Track time,50,Duration,125,11,816,146,228,0.8306415078823752,0.6798735136581675,16.051378745478125,0.895795562281117,0.7827863293165623,15.102229860566712
34,artificial intelligence,Track time,50,Duration,150,10,816,146,228,0.8293264487430958,0.6765808368701344,16.16003331841841,0.8930949991520281,0.7769013597825182,15.211939332273413
35,artificial intelligence,Track time,100,Duration,0,503,816,31,228,0.846572949923745,0.7034958942802044,14.814240751975134,0.8938583958473617,0.7815865310465991,13.678622820029277
36,artificial intelligence,Track time,100,Duration,25,107,816,31,228,0.8528908169229762,0.7322055305027764,14.494093268393215,0.9017240606410716,0.8109202507969899,13.113044936531326
37,artificial intelligence,Track time,100,Duration,50,53,816,31,228,0.836368491023784,0.6849541647113232,15.028927519502373,0.8921574649013424,0.7769086861973689,13.864598601876954
38,artificial intelligence,Track time,100,Duration,75,24,816,31,228,0.8265007232974637,0.6770717522816189,16.23748081511937,0.8957628862171385,0.786937918211281,15.339034073353485
39,artificial intelligence,Track time,100,Duration,100,17,816,31,228,0.8091941524578682,0.6468393518881729,16.659214257953376,0.8855139696306589,0.7641365058963425,15.787822419866117
40,artificial intelligence,Track time,100,Duration,125,11,816,31,228,0.8081346259554738,0.6402078342380085,15.695253447595656,0.881843248493081,0.7544621062229911,14.16111841677571
41,artificial intelligence,Track time,100,Duration,150,10,816,31,228,0.8125453858873004,0.6445254101906194,15.605460635840055,0.8814189167727583,0.7522648885764798,14.307042308600067
42,artificial intelligence,Track time,150,Duration,0,503,816,9,228,0.8492996606577546,0.6989311115755316,16.38600846575264,0.8959842996235282,0.7766869841640649,15.307981188787748
43,artificial intelligence,Track time,150,Duration,25,107,816,9,228,0.8549258953822911,0.7292453585584361,16.20072803253806,0.9068784830819502,0.8131543832617979,15.14351217966846
44,artificial intelligence,Track time,150,Duration,50,53,816,9,228,0.8342709406972637,0.6718790954076995,16.95451240774077,0.8929185831307854,0.768932746335624,15.886845394942231
45,artificial intelligence,Track time,150,Duration,75,24,816,9,228,0.8290857634894835,0.671552825007636,16.286212029610926,0.9008856273566692,0.7875065636712281,15.090381796165579
46,artificial intelligence,Track time,150,Duration,100,17,816,9,228,0.8064473399562873,0.6321213776342566,16.752977670696136,0.8893550156347569,0.760751917441325,15.607374248767398
47,artificial intelligence,Track time,150,Duration,125,11,816,9,228,0.8006445042788822,0.6180290211860913,16.91946341371407,0.8810557344721345,0.7420845474025977,15.736622361917853
48,artificial intelligence,Track time,150,Duration,150,10,816,9,228,0.7971720670208017,0.6110818467983885,17.047468756545772,0.8777600518259934,0.7344744281733413,15.86587047506831
49,artificial intelligence,Track time,200,Duration,0,503,816,3,228,0.8475848625396183,0.6813953343920289,15.215367597716483,0.9043566869989328,0.7829042095921613,13.854563803013555
50,artificial intelligence,Track time,200,Duration,25,107,816,3,228,0.8581561870706427,0.7217023883175722,15.166643968071266,0.9174048857938234,0.8232855403216349,13.837997517380414
51,artificial intelligence,Track time,200,Duration,50,53,816,3,228,0.8360110370289372,0.6578653667896274,14.959075603485537,0.9051820714980461,0.7824730513788186,13.391533724404736
52,artificial intelligence,Track time,200,Duration,75,24,816,3,228,0.8286143232767039,0.6545563535343432,15.434167585309188,0.9059489161927248,0.7874711345572369,13.893470360876405
53,artificial intelligence,Track time,200,Duration,100,17,816,3,228,0.8060418749687762,0.6128079741196201,15.982768446030525,0.8934415056366686,0.7571562474871888,14.542165918722047
54,artificial intelligence,Track time,200,Duration,125,11,816,3,228,0.8006867850658718,0.598305452213459,15.76200068047893,0.8879883901367028,0.7429183579191073,14.084105238600802
55,artificial intelligence,Track time,200,Duration,150,10,816,3,228,0.7975492234069692,0.59123420792455,15.948688992167241,0.8853234697979376,0.7359959686681877,14.272606058169586
56,artificial intelligence,Track time,250,Duration,0,503,816,1,228,0.8726194033077228,0.723752767284982,14.681234092501853,0.9072004009079071,0.7879460367874473,13.824183504710545
57,artificial intelligence,Track time,250,Duration,25,107,816,1,228,0.8825606628767979,0.7622462747278491,13.842438442831533,0.9224307425682886,0.8329187733703561,12.802930373095016
58,artificial intelligence,Track time,250,Duration,50,53,816,1,228,0.8557877853818824,0.6899423725800672,14.79538835905295,0.9036357360976293,0.7784534974420829,13.829142642385117
59,artificial intelligence,Track time,250,Duration,75,24,816,1,228,0.8384582977347222,0.6699104000275145,15.433264512994892,0.9088199429647156,0.7925955288688322,14.424742935794674
60,artificial intelligence,Track time,250,Duration,100,17,816,1,228,0.8166223890725203,0.6279190432381955,15.981865373716232,0.895138358476812,0.759395471451965,15.073438493640317
61,artificial intelligence,Track time,250,Duration,125,11,816,1,228,0.8122909812161805,0.6143939389510378,15.695346320346317,0.8825873148247777,0.7307506252300789,14.521714156581186
62,artificial intelligence,Track time,250,Duration,150,10,816,1,228,0.8099050769905706,0.6081396430253894,15.882034632034628,0.8805117657947868,0.7248021214340487,14.710214976149967
