,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,chatGPT,Duration,0,Text length,0,518,651,990,206,0.9724099544824709,0.9629582660208746,4.763972365808425,0.9845982892460333,0.9795053787827449,4.519447072761111
1,chatGPT,Duration,0,Text length,100,518,646,990,206,0.9722232706290772,0.9627155389047148,4.776326567032825,0.9844716226310761,0.979317502800967,4.506916382947791
2,chatGPT,Duration,0,Text length,1000,518,618,990,206,0.9724059541496003,0.9629673132469602,4.586740659147726,0.9851525151545546,0.9802288534946454,4.252096614753847
3,chatGPT,Duration,0,Text length,2000,518,565,990,206,0.9734703248080306,0.9644152103945908,4.529934060928943,0.9867121265277311,0.9823080324771462,4.183206896103662
4,chatGPT,Duration,0,Text length,3000,518,452,990,206,0.9771262026946332,0.9693153800628784,3.9118230556900904,0.9871103072998179,0.9828340886425573,3.6250052736617455
5,chatGPT,Duration,0,Text length,5000,518,271,990,206,0.9707726728677213,0.9608043372324455,4.499514755747757,0.9824358860481293,0.976538526882601,4.0079505884563575
6,chatGPT,Duration,0,Text length,7500,518,134,990,206,0.9404672275222471,0.9202818225224274,7.129489446569922,0.9667851449670576,0.9554881052471885,6.591975830175169
7,chatGPT,Duration,0,Text length,10000,518,74,990,206,0.9312614289345407,0.9088748900223855,6.677387503993789,0.9658755233009235,0.9543250623380317,5.677341658722656
8,chatGPT,Duration,5,Text length,0,433,651,990,206,0.961370941836509,0.9483187244683409,6.277679035309916,0.9761768669799784,0.9681340800709999,5.997964144070221
9,chatGPT,Duration,5,Text length,100,433,646,990,206,0.9610842429310968,0.9479671953048939,6.287258724477708,0.9759429385763372,0.9678262269724355,5.988247602200034
10,chatGPT,Duration,5,Text length,1000,433,618,990,206,0.9619118244880179,0.9490786431313095,6.077546777382305,0.9769065578389202,0.9691180717762141,5.7860906796793286
11,chatGPT,Duration,5,Text length,2000,433,565,990,206,0.9626794796258625,0.9501560180736544,6.052556339866808,0.978111560643713,0.9707408857536618,5.737236937220154
12,chatGPT,Duration,5,Text length,3000,433,452,990,206,0.9654192074849174,0.9537884275807113,5.6144533084503285,0.9778209280339388,0.9703600407761491,5.365692533543779
