,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,chatGPT,Duration,0,Track time,0,518,651,990,206,0.9724099544824709,0.9629582660208746,4.763972365808425,0.9845982892460333,0.9795053787827449,4.519447072761111
1,chatGPT,Duration,0,Track time,5,518,651,934,206,0.9721549572379247,0.9623370016763798,4.8173163676875985,0.9841173870923288,0.9786936405324412,4.519431836094345
2,chatGPT,Duration,0,Track time,10,518,651,801,206,0.9722565113881874,0.9624974263056871,5.171999282813009,0.9856535886615141,0.9807499643134263,4.858870804202298
3,chatGPT,Duration,0,Track time,15,518,651,645,206,0.9679369267048833,0.9565187624217005,5.003978637109135,0.9838091116131824,0.9781081269390273,4.704209720091219
4,chatGPT,Duration,0,Track time,20,518,651,564,206,0.9679383720792839,0.9565374252026215,5.342461815007473,0.9841576487740853,0.9785797271216091,5.099825984298824
5,chatGPT,Duration,0,Track time,25,518,651,468,206,0.964369938222595,0.9517905199864832,6.453435055905706,0.9840235847185331,0.978389853277706,6.151368295089037
6,chatGPT,Duration,0,Track time,30,518,651,360,206,0.9639433241707701,0.9511984925334063,6.624241562765933,0.9854647875967913,0.9803580125643195,6.307475485516975
7,chatGPT,Duration,0,Track time,40,518,651,243,206,0.9595150068216588,0.945154116519814,6.666880862038491,0.980482579087669,0.9735884017578639,6.408895257190868
8,chatGPT,Duration,5,Track time,0,433,651,990,206,0.961370941836509,0.9483187244683409,6.277679035309916,0.9761768669799784,0.9681340800709999,5.997964144070221
9,chatGPT,Duration,5,Track time,5,433,651,934,206,0.9614983273956752,0.9481061544974018,6.363479015353315,0.9758637884227351,0.967475963092317,6.056328514753973
10,chatGPT,Duration,5,Track time,10,433,651,801,206,0.9614103974678915,0.9480622116234684,6.655342814839327,0.9771712334988268,0.9692525433315986,6.298946034825394
11,chatGPT,Duration,5,Track time,15,433,651,645,206,0.9567299382802974,0.9416732048048707,6.428370089671161,0.974398877623186,0.9653780992972287,6.052259243120343
12,chatGPT,Duration,5,Track time,20,433,651,564,206,0.9564365135531572,0.9413150031919335,6.050836890877849,0.9746086467259807,0.9656683699892372,5.649302117444036
13,chatGPT,Duration,5,Track time,25,433,651,468,206,0.9530674205511502,0.9369248874508279,6.288355942705681,0.974278162641246,0.9652473578518961,5.821608504704051
14,chatGPT,Duration,5,Track time,30,433,651,360,206,0.952804420433517,0.9365517602653184,6.705030484017629,0.9759286872426993,0.9674545359375186,6.162983319653268
15,chatGPT,Duration,5,Track time,40,433,651,243,206,0.9478968332798207,0.929910592470721,7.234316912494745,0.9703600846490436,0.9599083274843666,6.839388738008706
16,chatGPT,Duration,10,Track time,0,336,651,990,206,0.9684922081305877,0.9577175607517917,4.8114919233042315,0.9814978446191454,0.9752970365329571,4.386760521678114
17,chatGPT,Duration,10,Track time,5,336,651,934,206,0.9687964972504688,0.9578116122328283,4.844575883525434,0.9812778855696697,0.9748125716488453,4.396432648836308
18,chatGPT,Duration,10,Track time,10,336,651,801,206,0.9691898982816787,0.9583745519907755,5.117876469092146,0.9828783316214965,0.9769683585918281,4.697865851901778
19,chatGPT,Duration,10,Track time,15,336,651,645,206,0.9652519203571118,0.9529123721685697,4.909355082145797,0.9808822308447661,0.9741214878832647,4.332845499187954
20,chatGPT,Duration,10,Track time,20,336,651,564,206,0.9652522795008968,0.952930072172201,4.731274966557981,0.9809931578879273,0.9742718714931996,4.127811652643339
21,chatGPT,Duration,10,Track time,25,336,651,468,206,0.9624940956232664,0.9492746747074172,5.429641838071307,0.98127020542337,0.9746484963081911,4.998478107484332
22,chatGPT,Duration,10,Track time,30,336,651,360,206,0.9615223563007812,0.9479577425584959,5.6602754931476635,0.982526418411071,0.9763554761588602,5.0922152425757155
23,chatGPT,Duration,10,Track time,40,336,651,243,206,0.9573074234009818,0.9422169532598236,6.130059189689953,0.9776222186180569,0.9696900619871188,5.723542429953188
24,chatGPT,Duration,15,Track time,0,207,651,990,206,0.9716217535646963,0.9619206568155754,4.435926549355381,0.985164550532262,0.9802292829600313,3.7699657702443705
25,chatGPT,Duration,15,Track time,5,207,651,934,206,0.9716291048183688,0.961646622617082,4.383603408109347,0.9848831212987218,0.979697614354307,3.6308207395599577
26,chatGPT,Duration,15,Track time,10,207,651,801,206,0.9714441708314927,0.9614286244929499,4.470631505277826,0.986226466125822,0.981497932840496,3.684617551463511
27,chatGPT,Duration,15,Track time,15,207,651,645,206,0.9681041989760998,0.9567819717842069,4.724306000744137,0.9848372174687111,0.9794948015733361,3.977118018055577
28,chatGPT,Duration,15,Track time,20,207,651,564,206,0.9672922538642362,0.9557110819389577,4.841211468690832,0.9843351562820466,0.9788101953417709,4.160436163171937
29,chatGPT,Duration,15,Track time,25,207,651,468,206,0.9631029532344706,0.9501510134329534,5.594937329907324,0.9837624322471531,0.9780317473748467,4.846869609612621
30,chatGPT,Duration,15,Track time,30,207,651,360,206,0.9610418233919698,0.9473889220306966,6.156626252696214,0.9841572437831532,0.978567348167055,5.542464398561653
