,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,chatGPT,Installs,0,View count,0,518,651,990,206,0.9724099544824709,0.9629582660208746,4.763972365808425,0.9845982892460333,0.9795053787827449,4.519447072761111
1,chatGPT,Installs,0,View count,100,517,651,990,206,0.9722242214682689,0.9627093542517996,4.805909047886212,0.9844514414608285,0.9793051782796248,4.562234931000857
2,chatGPT,Installs,0,View count,1000,507,651,990,206,0.9699954651826517,0.9597283340533952,5.238481632567915,0.9827033329697702,0.976927958045923,5.003587310701016
3,chatGPT,Installs,0,View count,10000,450,651,990,206,0.9618424141448937,0.9489020667930417,6.519167033081334,0.9757534598762526,0.9675611651827962,6.203091139107542
4,chatGPT,Installs,0,View count,20000,420,651,990,206,0.9627059112820957,0.9500269729159629,6.583475131661417,0.9768442087466769,0.96902411017752,6.278214402640947
5,chatGPT,Installs,0,View count,35000,378,651,990,206,0.9637098825955794,0.9513059484744604,6.325178327433549,0.9773832463317105,0.9697564691207411,6.047464526820013
6,chatGPT,Installs,0,View count,50000,349,651,990,206,0.962019239297359,0.9490230180879888,6.092072557683951,0.9763405025960161,0.9683576637585877,5.822319095852883
7,chatGPT,Installs,0,View count,75000,314,651,990,206,0.9625148733509639,0.949632358763188,5.620283185067662,0.976023148215188,0.9679528168719181,5.2970491940264495
8,chatGPT,Installs,0,View count,100000,283,651,990,206,0.9592743627061106,0.9452780790821491,5.0372979666022575,0.97420829526369,0.9655069341081618,4.480890769006017
9,chatGPT,Installs,0,View count,200000,216,651,990,206,0.9543950731650866,0.9387211029006879,5.274807246175946,0.9718231243622297,0.9622972450266252,4.810822063681559
10,chatGPT,Installs,0,View count,300000,178,651,990,206,0.9500609456012149,0.9328369816176547,5.76019493054615,0.9685736494565055,0.957934782895658,5.32449394598221
11,chatGPT,Installs,0,View count,400000,152,651,990,206,0.949037365793819,0.931389273834833,6.267435021988852,0.9661918853479796,0.9547355870677414,5.911599574037016
12,chatGPT,Installs,0,View count,500000,130,651,990,206,0.9480232593408955,0.9300369400610211,6.836492699425433,0.9659617645338345,0.9544199971365869,6.43987126456826
13,chatGPT,Installs,0,View count,750000,96,651,990,206,0.9514775167607346,0.9346923418416271,6.584263158373513,0.9686750230916418,0.9580925385611954,6.088911170221829
14,chatGPT,Installs,0,View count,1000000,76,651,990,206,0.9428768290923587,0.9231701294902916,7.4372696817483215,0.9647813754992621,0.9528175874908816,7.002100585624212
15,chatGPT,Installs,0,View count,10000000,0,651,990,206,0.9762815710867557,0.9681723183063431,5.247550929797428,0.9880947490127198,0.9843500581482528,5.102401605344312
16,chatGPT,Installs,100,View count,0,518,651,990,8,0.9699196642411274,0.9595987560425613,4.577707384992044,0.9839713532839733,0.9786926023154217,4.074328638766376
17,chatGPT,Installs,100,View count,100,517,651,990,8,0.9697680709038007,0.9593957016569089,4.598470369468689,0.9838382932793872,0.9785103782834642,4.107234985730157
18,chatGPT,Installs,100,View count,1000,507,651,990,8,0.9678748670058198,0.9568643512688996,4.958690519753633,0.9822191109112518,0.9762996137012219,4.560855213542388
19,chatGPT,Installs,100,View count,10000,450,651,990,8,0.9602329921250695,0.9467162848157141,6.219012699599762,0.9754117705127652,0.9670996193915733,5.900162375668067
20,chatGPT,Installs,100,View count,20000,420,651,990,8,0.9611854386585819,0.9479593923644327,6.287742845140328,0.9765348622817764,0.9686109312612451,5.980451374256683
21,chatGPT,Installs,100,View count,35000,378,651,990,8,0.9617190341686006,0.9486131124197668,6.011684660569118,0.976707084315945,0.9688557700860221,5.742252456538172
22,chatGPT,Installs,100,View count,50000,349,651,990,8,0.9595858070628773,0.945739093516867,5.874084230060797,0.9751705869689942,0.9667896622534219,5.53686646733423
23,chatGPT,Installs,100,View count,75000,314,651,990,8,0.9601005013282343,0.9463708774208847,5.482496750413988,0.9746938799075605,0.9661711267970428,5.039578860059264
24,chatGPT,Installs,100,View count,100000,283,651,990,8,0.9566318547474719,0.9417112524100144,4.97105088682867,0.9728710511650013,0.9637124358988429,4.402707560948207
25,chatGPT,Installs,100,View count,200000,216,651,990,8,0.9495479818486617,0.932218002372454,5.640277830383504,0.9693140516744125,0.9589127231055992,5.033775349043446
26,chatGPT,Installs,100,View count,300000,178,651,990,8,0.944239335419566,0.925024665905997,6.154574312179738,0.9652686224293511,0.9534645278118962,5.58556953884717
27,chatGPT,Installs,100,View count,400000,152,651,990,8,0.943450426731422,0.9238663516146497,6.522085083732302,0.9629105424324447,0.9502926807946918,6.087171715638404
28,chatGPT,Installs,100,View count,500000,130,651,990,8,0.9414565738165037,0.9212139849973475,7.029384717441502,0.9621005341938643,0.9491888584301492,6.618147602683684
29,chatGPT,Installs,100,View count,750000,96,651,990,8,0.9454431166636961,0.9265707902680188,6.796675751611471,0.964981813402961,0.9530923745639311,6.268910314320827
30,chatGPT,Installs,100,View count,1000000,76,651,990,8,0.9363491086504058,0.9144179932905485,7.646014894026919,0.9605469134060497,0.9470811627295905,7.18222844693433
31,chatGPT,Installs,100,View count,10000000,0,651,990,8,0.9706645237929098,0.9605867878220796,5.709274122190644,0.985944231328453,0.9814854201264579,5.271700747310502
32,chatGPT,Installs,1000,View count,0,518,651,990,8,0.9699196642411274,0.9595987560425613,4.577707384992044,0.9839713532839733,0.9786926023154217,4.074328638766376
33,chatGPT,Installs,1000,View count,100,517,651,990,8,0.9697680709038007,0.9593957016569089,4.598470369468689,0.9838382932793872,0.9785103782834642,4.107234985730157
34,chatGPT,Installs,1000,View count,1000,507,651,990,8,0.9678748670058198,0.9568643512688996,4.958690519753633,0.9822191109112518,0.9762996137012219,4.560855213542388
35,chatGPT,Installs,1000,View count,10000,450,651,990,8,0.9602329921250695,0.9467162848157141,6.219012699599762,0.9754117705127652,0.9670996193915733,5.900162375668067
36,chatGPT,Installs,1000,View count,20000,420,651,990,8,0.9611854386585819,0.9479593923644327,6.287742845140328,0.9765348622817764,0.9686109312612451,5.980451374256683
37,chatGPT,Installs,1000,View count,35000,378,651,990,8,0.9617190341686006,0.9486131124197668,6.011684660569118,0.976707084315945,0.9688557700860221,5.742252456538172
