,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,chatGPT,Rating,0,Comment count,0,518,651,990,206,0.9724099544824709,0.9629582660208746,4.763972365808425,0.9845982892460333,0.9795053787827449,4.519447072761111
1,chatGPT,Rating,0,Comment count,100,337,651,990,206,0.9596094546069383,0.945782704056233,5.738652207120192,0.9749699411368554,0.9665149223296613,5.362894802014206
2,chatGPT,Rating,0,Comment count,1000,97,651,990,206,0.9444564118945494,0.9252823891353342,6.73059739140359,0.9659066989705117,0.9543406976524796,6.10990680294918
3,chatGPT,Rating,0,Comment count,10000,5,651,990,206,0.9139195622845268,0.8849036634672434,9.214200554985624,0.9547288831742183,0.9391964980204732,8.236061401368243
4,chatGPT,Rating,0,Comment count,100000,0,651,990,206,0.9762815710867557,0.9681723183063431,5.247550929797428,0.9880947490127198,0.9843500581482528,5.102401605344312
5,chatGPT,Rating,0,Comment count,1000000,0,651,990,206,0.9762815710867557,0.9681723183063431,5.247550929797428,0.9880947490127198,0.9843500581482528,5.102401605344312
6,chatGPT,Rating,0,Comment count,10000000,0,651,990,206,0.9762815710867557,0.9681723183063431,5.247550929797428,0.9880947490127198,0.9843500581482528,5.102401605344312
7,chatGPT,Rating,100,Comment count,0,518,651,990,22,0.9721598725455977,0.9626110632386401,4.409470099228922,0.983722771879861,0.9783499884780286,4.153961244366136
8,chatGPT,Rating,100,Comment count,100,337,651,990,22,0.9579233466430035,0.9434972516103646,5.623960475900347,0.9731796807407928,0.9641065740587199,5.1615888618707455
9,chatGPT,Rating,100,Comment count,1000,97,651,990,22,0.9397580913431155,0.9189575925277085,7.100104276936758,0.9614853376906696,0.9483499919456152,6.476045138498796
10,chatGPT,Rating,100,Comment count,10000,5,651,990,22,0.9091111666857777,0.8784518805461549,9.251854887269202,0.9495425868875701,0.9321702954406845,8.223527244612571
11,chatGPT,Rating,100,Comment count,100000,0,651,990,22,0.9751789930235725,0.9666936592290635,5.465406382616961,0.9864476285752113,0.9821676157226308,5.356697051819005
12,chatGPT,Rating,100,Comment count,1000000,0,651,990,22,0.9751789930235725,0.9666936592290635,5.465406382616961,0.9864476285752113,0.9821676157226308,5.356697051819005
13,chatGPT,Rating,100,Comment count,10000000,0,651,990,22,0.9751789930235725,0.9666936592290635,5.465406382616961,0.9864476285752113,0.9821676157226308,5.356697051819005
14,chatGPT,Rating,1000,Comment count,0,518,651,990,12,0.9711297488911411,0.9612257728936452,4.499196365386646,0.9837558892187874,0.9783956847424486,4.153961244366136
15,chatGPT,Rating,1000,Comment count,100,337,651,990,12,0.9573444592236344,0.9427258629457594,5.623960475900347,0.973239544164881,0.9641875842658969,5.161588861870748
16,chatGPT,Rating,1000,Comment count,1000,97,651,990,12,0.9387102738833937,0.9175658075638387,7.100104276936756,0.9614286303876572,0.9482731779715768,6.476045138498793
17,chatGPT,Rating,1000,Comment count,10000,5,651,990,12,0.9078443012759245,0.8768122549788275,9.251854887269204,0.9500625721591834,0.9328735548742632,8.223527244612567
