,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,covid-19,Duration,0,Text length,0,478,1005,974,119,0.8284101276770666,0.5130829700810823,15.146162431318688,0.8668482899515374,0.6120814950016666,13.43743257820928
1,covid-19,Duration,0,Text length,100,478,1002,974,119,0.8282972433207145,0.512941050818102,15.146162431318688,0.8668100953959884,0.6119355421445333,13.43045923871167
2,covid-19,Duration,0,Text length,1000,478,960,974,119,0.8278364141208853,0.5112902319035801,15.23415242165242,0.8664804039776476,0.6107587758938648,13.439578089416278
3,covid-19,Duration,0,Text length,2000,478,879,974,119,0.8292919508854633,0.5204609582829777,14.861075498575499,0.8703836301062226,0.6245377167231639,13.184489991609736
4,covid-19,Duration,0,Text length,3000,478,751,974,119,0.827259175357123,0.5169985170972635,14.999069940476193,0.8707901814125121,0.6259733361084606,13.107812259207892
5,covid-19,Duration,0,Text length,5000,478,506,974,119,0.8125748159440074,0.4907818053097257,15.103436627475086,0.8666821817859353,0.613079433610038,13.054751074168546
6,covid-19,Duration,0,Text length,7500,478,271,974,119,0.8080406770704718,0.486724494827991,17.049046541693595,0.8641624027956382,0.6073773092641709,14.077345825061421
7,covid-19,Duration,0,Text length,10000,478,161,974,119,0.7590834387607756,0.3944220017986583,18.70201184869552,0.8251484289728119,0.5017350761011731,16.078934208912408
8,covid-19,Duration,5,Text length,0,131,1005,974,119,0.8368172741583926,0.5412335926577906,14.232322025800293,0.8746810545481518,0.639804901043685,12.82553418159159
9,covid-19,Duration,5,Text length,100,131,1002,974,119,0.836708928118544,0.541091564827633,14.232322025800293,0.8746426319416373,0.6396429202625881,12.82553418159159
10,covid-19,Duration,5,Text length,1000,131,960,974,119,0.8362075267656653,0.5392758120852654,14.41563860667635,0.8741825855139318,0.6380479022987605,12.876198326921898
11,covid-19,Duration,5,Text length,2000,131,879,974,119,0.8376923636817852,0.5482717057904273,14.299773755656105,0.8784294286735529,0.6524443746180986,12.741576242147357
12,covid-19,Duration,5,Text length,3000,131,751,974,119,0.8355979146129788,0.5444933086709671,14.23327759197324,0.8785349878667316,0.6526639796203771,12.654837283161472
13,covid-19,Duration,5,Text length,5000,131,506,974,119,0.8206760710217285,0.5167719967014786,14.58350840336135,0.8743832633530283,0.6392685978268454,12.747735987598919
14,covid-19,Duration,5,Text length,7500,131,271,974,119,0.815188187184895,0.5112730935065397,15.712162837162843,0.8712338884448659,0.6315066465645869,13.09884559884559
15,covid-19,Duration,5,Text length,10000,131,161,974,119,0.7664751750303636,0.4211587730907256,17.398237179487175,0.8328002376524088,0.5292412580459759,14.833525967021119
16,covid-19,Duration,10,Text length,0,45,1005,974,119,0.8442893307355932,0.5634024260771111,14.334649259954135,0.8809863055486326,0.6624091417815056,12.711360188035542
17,covid-19,Duration,10,Text length,100,45,1002,974,119,0.8442013594250719,0.5632916811671338,14.334649259954135,0.8809587881047755,0.6622545460700437,12.703677392760987
18,covid-19,Duration,10,Text length,1000,45,960,974,119,0.8436717986426624,0.5613757363106647,14.37019230769231,0.8803389220099721,0.6601091549650133,12.688025889967639
19,covid-19,Duration,10,Text length,2000,45,879,974,119,0.8453526257877824,0.570555840181211,13.977884615384614,0.8850565504303756,0.6755900020511014,12.473139158576048
20,covid-19,Duration,10,Text length,3000,45,751,974,119,0.8436764485492182,0.5675012580420004,14.607142857142847,0.88557896995463,0.6769968502632483,12.49329634766528
