,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,covid-19,Duration,0,Track time,0,478,1005,974,119,0.8284101276770666,0.5130829700810823,15.146162431318688,0.8668482899515374,0.6120814950016666,13.43743257820928
1,covid-19,Duration,0,Track time,5,478,1005,858,119,0.8274655432412753,0.5107887102289093,15.11596314721315,0.8658398157601339,0.6084381171521402,13.421401030017535
2,covid-19,Duration,0,Track time,10,478,1005,727,119,0.8197982511384287,0.4884388827069439,15.42602449633699,0.8599516624320094,0.5872771526317757,13.595026198181541
3,covid-19,Duration,0,Track time,15,478,1005,625,119,0.8187440778331552,0.4872927687163269,15.463557276057275,0.8595182463161053,0.5858867022251599,13.602895284327314
4,covid-19,Duration,0,Track time,20,478,1005,534,119,0.8203276240527657,0.4932857367248654,15.399439102564102,0.8617493628810855,0.593977662354635,13.507657189089235
5,covid-19,Duration,0,Track time,25,478,1005,454,119,0.8248686098487752,0.5083980849274072,15.219665750915748,0.864271966170392,0.6032754013627509,13.41781283710895
6,covid-19,Duration,0,Track time,30,478,1005,369,119,0.8191844120311261,0.4937482168912059,15.53021728287801,0.8612053719635798,0.5926071434257782,13.690854733617602
7,covid-19,Duration,0,Track time,40,478,1005,251,119,0.8113425471644348,0.47330763476154764,15.702438186813184,0.8561131852821977,0.5751495717085114,13.810958930497765
8,covid-19,Duration,5,Track time,0,131,1005,974,119,0.8368172741583926,0.5412335926577906,14.232322025800293,0.8746810545481518,0.639804901043685,12.82553418159159
9,covid-19,Duration,5,Track time,5,131,1005,858,119,0.8358505820538403,0.5389327573400967,14.269613318526368,0.8736447644081123,0.6360514295538375,12.826367011044097
10,covid-19,Duration,5,Track time,10,131,1005,727,119,0.8286378569364883,0.5180839202341488,14.569995222169132,0.8683592236570723,0.6174044837161734,13.105586711960711
11,covid-19,Duration,5,Track time,15,131,1005,625,119,0.8276401566553246,0.5169754535391943,14.63589671198367,0.8679192799016161,0.6158821285898145,13.182054824308949
12,covid-19,Duration,5,Track time,20,131,1005,534,119,0.8292313132737589,0.5227068762600745,14.576777087646652,0.8700240250356917,0.6232897813638734,13.029710256599245
13,covid-19,Duration,5,Track time,25,131,1005,454,119,0.8333293809493857,0.5363136045052458,14.337673196368852,0.8722174442573634,0.6310199007051989,12.887243964702806
14,covid-19,Duration,5,Track time,30,131,1005,369,119,0.8281145000202346,0.5228815151395386,14.618261150614092,0.8693873179993351,0.6213220461011535,13.083378205651186
15,covid-19,Duration,5,Track time,40,131,1005,251,119,0.8203740078382541,0.5028142378684491,14.867833253702816,0.8644411523870704,0.6045535523118344,13.307754929747336
16,covid-19,Duration,10,Track time,0,45,1005,974,119,0.8442893307355932,0.5634024260771111,14.334649259954135,0.8809863055486326,0.6624091417815056,12.711360188035542
17,covid-19,Duration,10,Track time,5,45,1005,858,119,0.8436871902774336,0.5619578878856745,14.729655479655477,0.8803148310418456,0.6598693129550767,12.935256338168962
18,covid-19,Duration,10,Track time,10,45,1005,727,119,0.8366457172846813,0.5413512365457259,14.94826007326007,0.8752691756237864,0.6420789963608956,13.057558945908461
19,covid-19,Duration,10,Track time,15,45,1005,625,119,0.8358894852292987,0.5406438811997651,14.914460539460542,0.8751538099142234,0.6414800068448179,13.038834951456309
20,covid-19,Duration,10,Track time,20,45,1005,534,119,0.837580414481414,0.5465185880147185,14.876831501831504,0.8772692200339097,0.6487785718074325,12.945780038013059
21,covid-19,Duration,10,Track time,25,45,1005,454,119,0.841679555903832,0.5600144441058451,14.746224467622772,0.8795473763288488,0.6563049788169328,12.798210008593424
22,covid-19,Duration,10,Track time,30,45,1005,369,119,0.8363304217214715,0.546028096076568,14.51268684978503,0.8767647424934575,0.6466761980436995,12.843593160864753
23,covid-19,Duration,10,Track time,40,45,1005,251,119,0.8288118563587616,0.5260924445735053,15.234203296703296,0.8717970696588613,0.6295383432838026,13.262829403606101
24,covid-19,Duration,15,Track time,0,37,1005,974,119,0.8465413589024677,0.570487604119022,14.275158953512609,0.8829967104792376,0.6693338677906614,12.64424097315407
25,covid-19,Duration,15,Track time,5,37,1005,858,119,0.8460127017815611,0.5692305255711493,14.654235966735968,0.8823316781363971,0.6668118759238997,12.866914070797563
26,covid-19,Duration,15,Track time,10,37,1005,727,119,0.839080188900984,0.5489290530803169,14.896749084249082,0.8773605693147325,0.649379313633055,12.991678224687927
27,covid-19,Duration,15,Track time,15,37,1005,625,119,0.8383205700790562,0.548177989396003,14.850462037962044,0.877206894373143,0.6486130461441851,12.969612911360484
28,covid-19,Duration,15,Track time,20,37,1005,534,119,0.8400023833161826,0.5539833617329457,14.808226495726496,0.8792912962997403,0.6557463447614578,12.872964504032478
29,covid-19,Duration,15,Track time,25,37,1005,454,119,0.8439636011045728,0.5670634622879336,14.673484354628425,0.8814222076599055,0.66266704537616,12.726217249008101
30,covid-19,Duration,15,Track time,30,37,1005,369,119,0.838827153581737,0.553569052178295,14.443244725879401,0.8787390762200701,0.6534285213376737,12.773476841581394
31,covid-19,Duration,15,Track time,40,37,1005,251,119,0.8314344521211511,0.5338876563411901,15.169642857142852,0.8738502901372321,0.6366247031620259,13.190013869625512
32,covid-19,Duration,20,Track time,0,28,1005,974,119,0.8457771442240132,0.568830454531521,14.22825463831561,0.8835342135754768,0.6712709627798981,12.591619087711916
33,covid-19,Duration,20,Track time,5,28,1005,858,119,0.8452055989595506,0.5674851792802325,14.642207454707451,0.8828075041626787,0.6685066083948743,12.826667166472987
34,covid-19,Duration,20,Track time,10,28,1005,727,119,0.8381926422436219,0.5471164644469348,14.866529304029303,0.8780113055886242,0.6517263155091053,12.936199722607487
35,covid-19,Duration,20,Track time,15,28,1005,625,119,0.8372633027786277,0.5460107999529856,14.818494005994012,0.8778195714543241,0.6507973305518988,12.914134409280042
36,covid-19,Duration,20,Track time,20,28,1005,534,119,0.839150263035305,0.5522871026116822,14.77464896214896,0.8800091604703314,0.6583035328377187,12.795294601119856
37,covid-19,Duration,20,Track time,25,28,1005,454,119,0.8429787061597136,0.5650138336675539,14.618508257279444,0.8821564427471316,0.6652296285389705,12.700766094381363
38,covid-19,Duration,20,Track time,30,28,1005,369,119,0.8380842766255845,0.5521944280702105,14.39169534852637,0.8796745885778255,0.6566867197328549,12.69868610101248
39,covid-19,Duration,20,Track time,40,28,1005,251,119,0.8306842956364591,0.5326230774100278,15.12156593406593,0.8747976808963192,0.6398653301903817,13.112343966712894
40,covid-19,Duration,25,Track time,0,23,1005,974,119,0.8388424072867171,0.551914042187912,14.544024911402953,0.8781702374434521,0.651713198803068,12.746888731023233
41,covid-19,Duration,25,Track time,5,23,1005,858,119,0.8382096685082795,0.5505275396383537,15.004993317493314,0.8773260379282681,0.6486954355998451,13.071609751221404
42,covid-19,Duration,25,Track time,10,23,1005,727,119,0.8309729601571743,0.5303089214446627,15.199862637362639,0.8726854464755557,0.6325825987407196,13.071813838804127
43,covid-19,Duration,25,Track time,15,23,1005,625,119,0.8300520080871326,0.5294945686318089,15.156156343656349,0.8725057129319647,0.6319416757157985,13.037363930567814
44,covid-19,Duration,25,Track time,20,23,1005,534,119,0.8323902965423816,0.5366994415057901,15.079288766788764,0.8748538639726967,0.6400645425261641,12.934607284121853
45,covid-19,Duration,25,Track time,25,23,1005,454,119,0.8361804046029779,0.5492187455523682,14.578157839428323,0.877125657225914,0.6478348976256333,12.687516579128868
46,covid-19,Duration,25,Track time,30,23,1005,369,119,0.8316729006469373,0.5377457015193068,14.581154347390237,0.8748518602246066,0.6400951170053579,12.73644042936258
47,covid-19,Duration,25,Track time,40,23,1005,251,119,0.8246027326528793,0.5195220829715299,15.360576923076916,0.8698343890402876,0.6231656787858956,13.185390661118808
48,covid-19,Duration,30,Track time,0,18,1005,974,119,0.8373610594077286,0.5515046822577913,13.87256197593875,0.8765497773791908,0.6458735591424575,12.431049555974786
49,covid-19,Duration,30,Track time,5,18,1005,858,119,0.8367014248325858,0.5501464800223445,13.941902722001345,0.8755625467226615,0.6425495984390412,12.44696892133702
50,covid-19,Duration,30,Track time,10,18,1005,727,119,0.8296249282165944,0.5308858193236959,14.25412622506539,0.8711502440603591,0.6274891217258491,12.710319527913784
51,covid-19,Duration,30,Track time,15,18,1005,625,119,0.8287204712401033,0.5302345999767397,14.162453034318498,0.8710009891425015,0.6271304514986843,12.783000746608865
52,covid-19,Duration,30,Track time,20,18,1005,534,119,0.8309242279634745,0.5369706654329574,14.164385795948796,0.8732105865228674,0.6347051774512853,12.642542082525141
53,covid-19,Duration,30,Track time,25,18,1005,454,119,0.8343571766916459,0.5484416824547512,13.80725123500353,0.8752186735688404,0.6418151242966276,12.615346931504414
54,covid-19,Duration,30,Track time,30,18,1005,369,119,0.8305024818821204,0.5387429828355413,14.066431473114742,0.8734318609603123,0.6358019306013701,12.635000893291984
55,covid-19,Duration,30,Track time,40,18,1005,251,119,0.8238100947826131,0.5217848622406338,14.698111797528895,0.8683609763749632,0.6192379567483718,12.795512852759188
56,covid-19,Duration,40,Track time,0,11,1005,974,119,0.8360449585719,0.5447676863611158,14.62605534709193,0.8748875731584788,0.6401731033128547,12.931188114470146
57,covid-19,Duration,40,Track time,5,11,1005,858,119,0.8353154025561168,0.5431892594700232,15.04735298485298,0.8738209512533043,0.6365348163034651,13.22947357898814
58,covid-19,Duration,40,Track time,10,11,1005,727,119,0.8282001050308615,0.5233268658511133,15.270375457875454,0.8685374242389022,0.6183954328190617,13.280474649406687
59,covid-19,Duration,40,Track time,15,11,1005,625,119,0.8274111513320106,0.5229014094243805,15.23395354645355,0.8683447650332085,0.6179119106657933,13.23095027949397
60,covid-19,Duration,40,Track time,20,11,1005,534,119,0.8289977576026083,0.5284936087549852,15.176510989010989,0.8703963579543976,0.6250553315012249,13.11470693994967
61,covid-19,Duration,40,Track time,25,11,1005,454,119,0.8324089451595963,0.5402688231148194,15.066248370273794,0.8722402384441155,0.6317949076908606,13.038195015815552
62,covid-19,Duration,40,Track time,30,11,1005,369,119,0.8279298311825217,0.5290039690392943,14.760627603644554,0.8702298630828705,0.6250031205938842,12.905280994810564
63,covid-19,Duration,40,Track time,40,11,1005,251,119,0.8205464995981061,0.5103317480223986,15.502060439560431,0.8650084356963629,0.6079196107279595,13.360147942672214
64,covid-19,Duration,50,Track time,0,8,1005,974,119,0.8303571467409901,0.5261746034244335,14.738990514905145,0.8718062453658787,0.6295111211348356,13.008621218898277
65,covid-19,Duration,50,Track time,5,8,1005,858,119,0.8295532167958286,0.5243920944511996,15.140611078111077,0.8708490271360722,0.626177117056897,13.233909360122949
66,covid-19,Duration,50,Track time,10,8,1005,727,119,0.8221082183705163,0.5034701612757199,15.377060439560434,0.8652546755186907,0.6066485658005127,13.343658498998302
67,covid-19,Duration,50,Track time,15,8,1005,625,119,0.8215307452560705,0.5035611742005748,15.350836663336668,0.8652018958010537,0.6066087426007485,13.32110284537469
68,covid-19,Duration,50,Track time,20,8,1005,534,119,0.8226943828112313,0.5084494364530499,15.320589133089133,0.8671992561040047,0.6136952047300239,13.23403708840603
69,covid-19,Duration,50,Track time,25,8,1005,454,119,0.8268100632380605,0.5221301323408172,15.20053780964798,0.8696452672130454,0.6225067191290727,13.07474448284058
70,covid-19,Duration,50,Track time,30,8,1005,369,119,0.8216196354765632,0.5092057486935069,14.924108634632102,0.8671381073076656,0.6139646962208569,13.100686331570401
71,covid-19,Duration,50,Track time,40,8,1005,251,119,0.8129956392548758,0.4879408955330977,15.68887362637362,0.8615853357567291,0.595518321620936,13.529819694868236
72,covid-19,Duration,75,Track time,0,4,1005,974,119,0.8210585082851309,0.5005505540034954,14.498668879979952,0.8645834984893699,0.6041618525733009,13.06543120078429
73,covid-19,Duration,75,Track time,5,4,1005,858,119,0.8199623164315104,0.4981864873393554,14.501160244711068,0.8635056191862844,0.6004799651359815,13.047999847342604
74,covid-19,Duration,75,Track time,10,4,1005,727,119,0.8117233683544263,0.47578758942985744,14.886890490983992,0.8573130614179962,0.5787635256109602,13.300661171583542
75,covid-19,Duration,75,Track time,15,4,1005,625,119,0.8105523946580871,0.4748703355425931,15.014007453207311,0.8569411473044803,0.577818253700781,13.385627232876109
76,covid-19,Duration,75,Track time,20,4,1005,534,119,0.8122182695809229,0.48098440120891317,14.946916367192834,0.859155573477549,0.5858387878833443,13.246258987711462
77,covid-19,Duration,75,Track time,25,4,1005,454,119,0.8171216435918097,0.49648345470412997,14.702101139601147,0.8618730027899144,0.5960104183175048,13.073063817400385
78,covid-19,Duration,75,Track time,30,4,1005,369,119,0.8111422168967344,0.48223005260058555,14.963716775215632,0.8589960024801697,0.586194960062472,13.285911591981213
79,covid-19,Duration,75,Track time,40,4,1005,251,119,0.8027611409132483,0.4619227037577009,15.383779264214049,0.8537412549143667,0.5687280113504095,13.528633741381727
80,covid-19,Duration,100,Track time,0,3,1005,974,119,0.8210585082851309,0.5005505540034954,14.498668879979952,0.8645834984893699,0.6041618525733009,13.06543120078429
81,covid-19,Duration,100,Track time,5,3,1005,858,119,0.8199623164315104,0.4981864873393554,14.501160244711068,0.8635056191862844,0.6004799651359815,13.047999847342604
82,covid-19,Duration,100,Track time,10,3,1005,727,119,0.8117233683544263,0.47578758942985744,14.886890490983992,0.8573130614179962,0.5787635256109602,13.300661171583542
83,covid-19,Duration,100,Track time,15,3,1005,625,119,0.8105523946580871,0.4748703355425931,15.014007453207311,0.8569411473044803,0.577818253700781,13.385627232876109
84,covid-19,Duration,100,Track time,20,3,1005,534,119,0.8122182695809229,0.48098440120891317,14.946916367192834,0.859155573477549,0.5858387878833443,13.246258987711462
85,covid-19,Duration,100,Track time,25,3,1005,454,119,0.8171216435918097,0.49648345470412997,14.702101139601147,0.8618730027899144,0.5960104183175048,13.073063817400385
86,covid-19,Duration,100,Track time,30,3,1005,369,119,0.8111422168967344,0.48223005260058555,14.963716775215632,0.8589960024801697,0.586194960062472,13.285911591981213
87,covid-19,Duration,100,Track time,40,3,1005,251,119,0.8027611409132483,0.4619227037577009,15.383779264214049,0.8537412549143667,0.5687280113504095,13.528633741381727
88,covid-19,Duration,125,Track time,0,3,1005,974,119,0.8210585082851309,0.5005505540034954,14.498668879979952,0.8645834984893699,0.6041618525733009,13.06543120078429
89,covid-19,Duration,125,Track time,5,3,1005,858,119,0.8199623164315104,0.4981864873393554,14.501160244711068,0.8635056191862844,0.6004799651359815,13.047999847342604
90,covid-19,Duration,125,Track time,10,3,1005,727,119,0.8117233683544263,0.47578758942985744,14.886890490983992,0.8573130614179962,0.5787635256109602,13.300661171583542
91,covid-19,Duration,125,Track time,15,3,1005,625,119,0.8105523946580871,0.4748703355425931,15.014007453207311,0.8569411473044803,0.577818253700781,13.385627232876109
92,covid-19,Duration,125,Track time,20,3,1005,534,119,0.8122182695809229,0.48098440120891317,14.946916367192834,0.859155573477549,0.5858387878833443,13.246258987711462
93,covid-19,Duration,125,Track time,25,3,1005,454,119,0.8171216435918097,0.49648345470412997,14.702101139601147,0.8618730027899144,0.5960104183175048,13.073063817400385
94,covid-19,Duration,125,Track time,30,3,1005,369,119,0.8111422168967344,0.48223005260058555,14.963716775215632,0.8589960024801697,0.586194960062472,13.285911591981213
95,covid-19,Duration,125,Track time,40,3,1005,251,119,0.8027611409132483,0.4619227037577009,15.383779264214049,0.8537412549143667,0.5687280113504095,13.528633741381727
96,covid-19,Duration,150,Track time,0,3,1005,974,119,0.8210585082851309,0.5005505540034954,14.498668879979952,0.8645834984893699,0.6041618525733009,13.06543120078429
97,covid-19,Duration,150,Track time,5,3,1005,858,119,0.8199623164315104,0.4981864873393554,14.501160244711068,0.8635056191862844,0.6004799651359815,13.047999847342604
98,covid-19,Duration,150,Track time,10,3,1005,727,119,0.8117233683544263,0.47578758942985744,14.886890490983992,0.8573130614179962,0.5787635256109602,13.300661171583542
99,covid-19,Duration,150,Track time,15,3,1005,625,119,0.8105523946580871,0.4748703355425931,15.014007453207311,0.8569411473044803,0.577818253700781,13.385627232876109
100,covid-19,Duration,150,Track time,20,3,1005,534,119,0.8122182695809229,0.48098440120891317,14.946916367192834,0.859155573477549,0.5858387878833443,13.246258987711462
101,covid-19,Duration,150,Track time,25,3,1005,454,119,0.8171216435918097,0.49648345470412997,14.702101139601147,0.8618730027899144,0.5960104183175048,13.073063817400385
102,covid-19,Duration,150,Track time,30,3,1005,369,119,0.8111422168967344,0.48223005260058555,14.963716775215632,0.8589960024801697,0.586194960062472,13.285911591981213
103,covid-19,Duration,150,Track time,40,3,1005,251,119,0.8027611409132483,0.4619227037577009,15.383779264214049,0.8537412549143667,0.5687280113504095,13.528633741381727
