,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,covid-19,Installs,0,View count,0,478,1005,974,119,0.8284101276770666,0.5130829700810823,15.146162431318688,0.8668482899515374,0.6120814950016666,13.43743257820928
1,covid-19,Installs,0,View count,100,468,1005,974,119,0.8280168687786433,0.5118957424848997,15.15643808488332,0.8664894763400279,0.6107885095641942,13.447962766018264
2,covid-19,Installs,0,View count,1000,442,1005,974,119,0.8238884200240232,0.49950877934267696,15.258675069565623,0.8626495069301561,0.5969775557409945,13.556818835705458
3,covid-19,Installs,0,View count,10000,302,1005,974,119,0.8261260761037441,0.5067168363392528,14.987937843406597,0.8642103215095084,0.602623706136126,13.386984223300972
4,covid-19,Installs,0,View count,20000,251,1005,974,119,0.8289973805322727,0.516334304212112,14.73313803543395,0.8669979859269815,0.6125809224901949,13.218121090322402
5,covid-19,Installs,0,View count,35000,209,1005,974,119,0.8384783739769051,0.5450975502614589,14.353583916083917,0.8739180515187713,0.6370263445084625,12.9469696969697
6,covid-19,Installs,0,View count,50000,178,1005,974,119,0.8435782649472117,0.562498164057698,14.050541923829602,0.8782785452568992,0.6521020971772113,12.78678142356823
7,covid-19,Installs,0,View count,75000,155,1005,974,119,0.8429885050594439,0.5647235600665427,14.020296513830996,0.8787947668912578,0.6535189743931037,12.840387711830639
8,covid-19,Installs,0,View count,100000,138,1005,974,119,0.8416212014463007,0.5659427160579723,14.090058379120878,0.8798300592740237,0.6570697196976238,12.986621590383725
9,covid-19,Installs,0,View count,200000,105,1005,974,119,0.8470858627590514,0.5812087497903305,13.941706730769232,0.8867571519409799,0.6801377204861129,12.863904299583906
10,covid-19,Installs,0,View count,300000,93,1005,974,119,0.8476250409091531,0.5842042263001023,13.971754807692308,0.887101517148374,0.6811813101526468,12.853791030975492
11,covid-19,Installs,0,View count,400000,88,1005,974,119,0.8472717852237229,0.5830755462636371,14.001802884615387,0.8864520077121565,0.6790366720101104,12.884130836800736
12,covid-19,Installs,0,View count,500000,83,1005,974,119,0.8484052686996185,0.5862018690867178,13.97175480769231,0.8885048197981633,0.6858748759677606,12.853791030975497
13,covid-19,Installs,0,View count,750000,74,1005,974,119,0.8487251550978903,0.5865094037938016,14.001802884615383,0.8890456441530997,0.6877965456142111,12.89846278317152
14,covid-19,Installs,0,View count,1000000,67,1005,974,119,0.8476652899774887,0.5865843195730589,14.023437499999996,0.8897474887137937,0.6898529064849395,12.723792186777626
15,covid-19,Installs,0,View count,10000000,14,1005,974,119,0.8307593753968566,0.5472739419034959,14.486092032967031,0.8814455220754628,0.6631858006926131,13.142452612112805
