,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,covid-19,Rating,0,Comment count,0,478,1005,974,119,0.8284101276770666,0.5130829700810823,15.146162431318688,0.8668482899515374,0.6120814950016666,13.43743257820928
1,covid-19,Rating,0,Comment count,100,248,1005,974,119,0.8237245591114589,0.5003323709169036,14.992320179820178,0.8647136118369888,0.6043999802834146,13.380406001765227
2,covid-19,Rating,0,Comment count,1000,78,1005,974,119,0.8283452497296488,0.5313559468864453,14.734890109890115,0.8711394379128266,0.6286095721096899,13.47697064262598
3,covid-19,Rating,0,Comment count,10000,19,1005,974,119,0.8305254078581868,0.546986974343647,14.401785714285715,0.8817314287378417,0.664094246913777,13.238037447988903
4,covid-19,Rating,0,Comment count,100000,0,1005,974,119,0.8451735387873454,0.5663795282085947,14.200346570773396,0.8831710663845075,0.6701903696481416,12.642293963392708
5,covid-19,Rating,0,Comment count,1000000,0,1005,974,119,0.8451735387873454,0.5663795282085947,14.200346570773396,0.8831710663845075,0.6701903696481416,12.642293963392708
6,covid-19,Rating,0,Comment count,10000000,0,1005,974,119,0.8451735387873454,0.5663795282085947,14.200346570773396,0.8831710663845075,0.6701903696481416,12.642293963392708
7,covid-19,Rating,100,Comment count,0,478,1005,974,10,0.8251879459893599,0.5046054096402601,14.58453525641026,0.8657304092710624,0.6080520974837752,12.906014023732467
8,covid-19,Rating,100,Comment count,100,248,1005,974,10,0.8178625708729067,0.4859865371953153,14.714816433566432,0.8615341774931524,0.5931858423750227,13.215431009120334
9,covid-19,Rating,100,Comment count,1000,78,1005,974,10,0.8197701648091487,0.5153801319180331,15.206129807692305,0.8668384789554846,0.6161484043892681,14.105380258899684
10,covid-19,Rating,100,Comment count,10000,19,1005,974,10,0.8221724217294454,0.533625625638587,14.92067307692307,0.8800726801038031,0.6597982854729476,14.008697411003244
