,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,covid-19,Text length,0,Duration,0,478,1005,974,119,0.8284101276770666,0.5130829700810823,15.146162431318688,0.8668482899515374,0.6120814950016666,13.43743257820928
1,covid-19,Text length,0,Duration,25,23,1005,974,119,0.8388424072867171,0.551914042187912,14.544024911402953,0.8781702374434521,0.651713198803068,12.746888731023233
2,covid-19,Text length,0,Duration,50,8,1005,974,119,0.8303571467409901,0.5261746034244335,14.738990514905145,0.8718062453658787,0.6295111211348356,13.008621218898277
3,covid-19,Text length,0,Duration,75,4,1005,974,119,0.8210585082851309,0.5005505540034954,14.498668879979952,0.8645834984893699,0.6041618525733009,13.06543120078429
4,covid-19,Text length,0,Duration,100,3,1005,974,119,0.8210585082851309,0.5005505540034954,14.498668879979952,0.8645834984893699,0.6041618525733009,13.06543120078429
5,covid-19,Text length,0,Duration,125,3,1005,974,119,0.8210585082851309,0.5005505540034954,14.498668879979952,0.8645834984893699,0.6041618525733009,13.06543120078429
6,covid-19,Text length,0,Duration,150,3,1005,974,119,0.8210585082851309,0.5005505540034954,14.498668879979952,0.8645834984893699,0.6041618525733009,13.06543120078429
7,covid-19,Text length,100,Duration,0,478,1002,974,119,0.8282972433207145,0.512941050818102,15.146162431318688,0.8668100953959884,0.6119355421445333,13.43045923871167
8,covid-19,Text length,100,Duration,25,23,1002,974,119,0.8387342374266558,0.5517880682853948,14.544024911402953,0.8781236055115614,0.651524277786992,12.739205935748682
9,covid-19,Text length,100,Duration,50,8,1002,974,119,0.8302585762673977,0.5260916737568386,14.738990514905145,0.8717747885133729,0.6293993032305681,13.000938423623722
10,covid-19,Text length,100,Duration,75,4,1002,974,119,0.8209527628126421,0.500477667530445,14.498668879979952,0.8645499436085777,0.6040650910617151,13.06543120078429
11,covid-19,Text length,100,Duration,100,3,1002,974,119,0.8209527628126421,0.500477667530445,14.498668879979952,0.8645499436085777,0.6040650910617151,13.06543120078429
12,covid-19,Text length,100,Duration,125,3,1002,974,119,0.8209527628126421,0.500477667530445,14.498668879979952,0.8645499436085777,0.6040650910617151,13.06543120078429
13,covid-19,Text length,100,Duration,150,3,1002,974,119,0.8209527628126421,0.500477667530445,14.498668879979952,0.8645499436085777,0.6040650910617151,13.06543120078429
14,covid-19,Text length,1000,Duration,0,478,960,974,119,0.8278364141208853,0.5112902319035801,15.23415242165242,0.8664804039776476,0.6107587758938648,13.439578089416278
15,covid-19,Text length,1000,Duration,25,23,960,974,119,0.8385975141395358,0.5507762076864993,14.568269230769236,0.8775182911336996,0.6494419246172626,12.71477885652643
16,covid-19,Text length,1000,Duration,50,8,960,974,119,0.8298045630432074,0.5243546217928385,14.75673076923077,0.8713104573211214,0.6277790113955888,12.96051779935275
17,covid-19,Text length,1000,Duration,75,4,960,974,119,0.8207205518621197,0.49925866431756627,14.530645578030423,0.8642222281573342,0.6028811523475843,13.076452428426782
18,covid-19,Text length,1000,Duration,100,3,960,974,119,0.8207205518621197,0.49925866431756627,14.530645578030423,0.8642222281573342,0.6028811523475843,13.076452428426782
19,covid-19,Text length,1000,Duration,125,3,960,974,119,0.8207205518621197,0.49925866431756627,14.530645578030423,0.8642222281573342,0.6028811523475843,13.076452428426782
20,covid-19,Text length,1000,Duration,150,3,960,974,119,0.8207205518621197,0.49925866431756627,14.530645578030423,0.8642222281573342,0.6028811523475843,13.076452428426782
21,covid-19,Text length,2000,Duration,0,478,879,974,119,0.8292919508854633,0.5204609582829777,14.861075498575499,0.8703836301062226,0.6245377167231639,13.184489991609736
22,covid-19,Text length,2000,Duration,25,23,879,974,119,0.8395914356068964,0.5588177394133201,14.156730769230768,0.8824259864860801,0.6659308380080387,12.467961165048546
23,covid-19,Text length,2000,Duration,50,8,879,974,119,0.8317160267187492,0.5349715134667092,14.345192307692308,0.8757998606549712,0.6433078069761786,12.718446601941745
24,covid-19,Text length,2000,Duration,75,4,879,974,119,0.8223048240195043,0.5095553898006493,14.367812452019042,0.8685035593394766,0.6182532576685965,12.943194517114636
25,covid-19,Text length,2000,Duration,100,3,879,974,119,0.8223048240195043,0.5095553898006493,14.367812452019042,0.8685035593394766,0.6182532576685965,12.943194517114636
26,covid-19,Text length,2000,Duration,125,3,879,974,119,0.8223048240195043,0.5095553898006493,14.367812452019042,0.8685035593394766,0.6182532576685965,12.943194517114636
27,covid-19,Text length,2000,Duration,150,3,879,974,119,0.8223048240195043,0.5095553898006493,14.367812452019042,0.8685035593394766,0.6182532576685965,12.943194517114636
28,covid-19,Text length,3000,Duration,0,478,751,974,119,0.827259175357123,0.5169985170972635,14.999069940476193,0.8707901814125121,0.6259733361084606,13.107812259207892
29,covid-19,Text length,3000,Duration,25,23,751,974,119,0.8370166281681883,0.5541432230725903,14.891483516483502,0.8822561306836086,0.6651807267708395,12.655570966250579
30,covid-19,Text length,3000,Duration,50,8,751,974,119,0.8283207142385972,0.5288123407415686,14.967719780219769,0.8758538584245981,0.6435709947916222,12.754738788719374
31,covid-19,Text length,3000,Duration,75,4,751,974,119,0.8196769499082258,0.5054675060370544,14.520444767891187,0.868891367207531,0.6198445656170908,12.866611609300788
32,covid-19,Text length,3000,Duration,100,3,751,974,119,0.8196769499082258,0.5054675060370544,14.520444767891187,0.868891367207531,0.6198445656170908,12.866611609300788
