,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,covid-19,Track time,0,Text length,0,478,1005,974,119,0.8284101276770666,0.5130829700810823,15.146162431318688,0.8668482899515374,0.6120814950016666,13.43743257820928
1,covid-19,Track time,0,Text length,100,478,1002,974,119,0.8282972433207145,0.512941050818102,15.146162431318688,0.8668100953959884,0.6119355421445333,13.43045923871167
2,covid-19,Track time,0,Text length,1000,478,960,974,119,0.8278364141208853,0.5112902319035801,15.23415242165242,0.8664804039776476,0.6107587758938648,13.439578089416278
3,covid-19,Track time,0,Text length,2000,478,879,974,119,0.8292919508854633,0.5204609582829777,14.861075498575499,0.8703836301062226,0.6245377167231639,13.184489991609736
4,covid-19,Track time,0,Text length,3000,478,751,974,119,0.827259175357123,0.5169985170972635,14.999069940476193,0.8707901814125121,0.6259733361084606,13.107812259207892
5,covid-19,Track time,0,Text length,5000,478,506,974,119,0.8125748159440074,0.4907818053097257,15.103436627475086,0.8666821817859353,0.613079433610038,13.054751074168546
6,covid-19,Track time,0,Text length,7500,478,271,974,119,0.8080406770704718,0.486724494827991,17.049046541693595,0.8641624027956382,0.6073773092641709,14.077345825061421
7,covid-19,Track time,0,Text length,10000,478,161,974,119,0.7590834387607756,0.3944220017986583,18.70201184869552,0.8251484289728119,0.5017350761011731,16.078934208912408
8,covid-19,Track time,5,Text length,0,478,1005,858,119,0.8274655432412753,0.5107887102289093,15.11596314721315,0.8658398157601339,0.6084381171521402,13.421401030017535
9,covid-19,Track time,5,Text length,100,478,1002,858,119,0.8273646924963296,0.5106813106272075,15.115963147213149,0.8658081979145633,0.6083238671231919,13.415411684222365
10,covid-19,Track time,5,Text length,1000,478,960,858,119,0.8268730699791169,0.508953055067128,15.329123001351507,0.8654557726639424,0.6070607267966853,13.525365896582343
11,covid-19,Track time,5,Text length,2000,478,879,858,119,0.828023583826682,0.5175546024486452,15.192384121037094,0.8692215590915492,0.6204729091645351,13.377821179486583
12,covid-19,Track time,5,Text length,3000,478,751,858,119,0.8259222718064769,0.5140329547406187,15.045775170775178,0.8694591921459665,0.6214073643645771,13.170988299325678
13,covid-19,Track time,5,Text length,5000,478,506,858,119,0.8106433721654255,0.4871552765054626,15.131700636508334,0.865010660468498,0.6078884319023017,13.127459671148985
14,covid-19,Track time,5,Text length,7500,478,271,858,119,0.806839381308707,0.48467073285550427,16.931931972373143,0.8629429311250766,0.6039046644929186,14.007418142626598
15,covid-19,Track time,5,Text length,10000,478,161,858,119,0.7567181060286955,0.3912247567322533,18.63113181863182,0.8227417533745071,0.4966100785758895,16.044175399039677
16,covid-19,Track time,10,Text length,0,478,1005,727,119,0.8197982511384287,0.4884388827069439,15.42602449633699,0.8599516624320094,0.5872771526317757,13.595026198181541
17,covid-19,Track time,10,Text length,100,478,1002,727,119,0.8196885316365808,0.48833646669458664,15.42602449633699,0.8599297577553539,0.5872179514729768,13.592753120665746
18,covid-19,Track time,10,Text length,1000,478,960,727,119,0.8191250628723458,0.486487724770163,15.60080200719341,0.8595388940092394,0.585799080557794,13.703920104262766
19,covid-19,Track time,10,Text length,2000,478,879,727,119,0.8199230167304794,0.4948536312721887,15.503598209966132,0.8631509878131266,0.5992099738744042,13.569294335551898
20,covid-19,Track time,10,Text length,3000,478,751,727,119,0.8173996552944484,0.4908181463595779,15.347641941391936,0.8632647122528682,0.5999688235956724,13.456334758822624
21,covid-19,Track time,10,Text length,5000,478,506,727,119,0.8018476587693233,0.465545780255708,15.428275250390636,0.8587454443898587,0.5871843304284036,13.430427177999986
22,covid-19,Track time,10,Text length,7500,478,271,727,119,0.796981259126099,0.46155417457869546,17.11128393665158,0.8562626493769706,0.5826884551713167,14.113343395610668
23,covid-19,Track time,10,Text length,10000,478,161,727,119,0.7442519260484536,0.366354418875275,18.75232208267922,0.8136963590095669,0.47134025741869584,16.094866980541628
24,covid-19,Track time,25,Text length,0,478,1005,454,119,0.8248686098487752,0.5083980849274072,15.219665750915748,0.864271966170392,0.6032754013627509,13.41781283710895
25,covid-19,Track time,25,Text length,100,478,1002,454,119,0.8247737291907223,0.5083296085143313,15.202152014652011,0.8642535412030175,0.6032383160666258,13.405676914778855
