,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Filter 3,Threshold 3,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,covid-19,Track time,0,Text length,0,Duration,0,478,1005,974,119,0.8284101276770666,0.5130829700810823,15.146162431318688,0.8668482899515374,0.6120814950016666,13.43743257820928
1,covid-19,Track time,0,Text length,0,Duration,5,131,1005,974,119,0.8368172741583926,0.5412335926577906,14.232322025800293,0.8746810545481518,0.639804901043685,12.82553418159159
2,covid-19,Track time,0,Text length,0,Duration,10,45,1005,974,119,0.8442893307355932,0.5634024260771111,14.334649259954135,0.8809863055486326,0.6624091417815056,12.711360188035542
3,covid-19,Track time,0,Text length,0,Duration,15,37,1005,974,119,0.8465413589024677,0.570487604119022,14.275158953512609,0.8829967104792376,0.6693338677906614,12.64424097315407
4,covid-19,Track time,0,Text length,0,Duration,20,28,1005,974,119,0.8457771442240132,0.568830454531521,14.22825463831561,0.8835342135754768,0.6712709627798981,12.591619087711916
5,covid-19,Track time,0,Text length,0,Duration,25,23,1005,974,119,0.8388424072867171,0.551914042187912,14.544024911402953,0.8781702374434521,0.651713198803068,12.746888731023233
6,covid-19,Track time,0,Text length,0,Duration,30,18,1005,974,119,0.8373610594077286,0.5515046822577913,13.87256197593875,0.8765497773791908,0.6458735591424575,12.431049555974786
7,covid-19,Track time,0,Text length,0,Duration,40,11,1005,974,119,0.8360449585719,0.5447676863611158,14.62605534709193,0.8748875731584788,0.6401731033128547,12.931188114470146
8,covid-19,Track time,0,Text length,0,Duration,50,8,1005,974,119,0.8303571467409901,0.5261746034244335,14.738990514905145,0.8718062453658787,0.6295111211348356,13.008621218898277
9,covid-19,Track time,0,Text length,0,Duration,75,4,1005,974,119,0.8210585082851309,0.5005505540034954,14.498668879979952,0.8645834984893699,0.6041618525733009,13.06543120078429
10,covid-19,Track time,0,Text length,0,Duration,100,3,1005,974,119,0.8210585082851309,0.5005505540034954,14.498668879979952,0.8645834984893699,0.6041618525733009,13.06543120078429
11,covid-19,Track time,0,Text length,0,Duration,125,3,1005,974,119,0.8210585082851309,0.5005505540034954,14.498668879979952,0.8645834984893699,0.6041618525733009,13.06543120078429
12,covid-19,Track time,0,Text length,0,Duration,150,3,1005,974,119,0.8210585082851309,0.5005505540034954,14.498668879979952,0.8645834984893699,0.6041618525733009,13.06543120078429
13,covid-19,Track time,0,Text length,100,Duration,0,478,1002,974,119,0.8282972433207145,0.512941050818102,15.146162431318688,0.8668100953959884,0.6119355421445333,13.43045923871167
14,covid-19,Track time,0,Text length,100,Duration,5,131,1002,974,119,0.836708928118544,0.541091564827633,14.232322025800293,0.8746426319416373,0.6396429202625881,12.82553418159159
15,covid-19,Track time,0,Text length,100,Duration,10,45,1002,974,119,0.8442013594250719,0.5632916811671338,14.334649259954135,0.8809587881047755,0.6622545460700437,12.703677392760987
16,covid-19,Track time,0,Text length,100,Duration,15,37,1002,974,119,0.8464569543209444,0.5703817846420611,14.275158953512609,0.8829728312221276,0.6691890876543477,12.636558177879516
17,covid-19,Track time,0,Text length,100,Duration,20,28,1002,974,119,0.8456899910008437,0.5687229412076854,14.22825463831561,0.883509930178604,0.6711218391338319,12.583936292437363
18,covid-19,Track time,0,Text length,100,Duration,25,23,1002,974,119,0.8387342374266558,0.5517880682853948,14.544024911402953,0.8781236055115614,0.651524277786992,12.739205935748682
19,covid-19,Track time,0,Text length,100,Duration,30,18,1002,974,119,0.8372411827593332,0.5513690818789463,13.87256197593875,0.8764887254935374,0.6456699341247134,12.431049555974784
20,covid-19,Track time,0,Text length,100,Duration,40,11,1002,974,119,0.8359434018966049,0.5446700537944253,14.62605534709193,0.8748479778475184,0.6400380611308926,12.923505319195591
21,covid-19,Track time,0,Text length,100,Duration,50,8,1002,974,119,0.8302585762673977,0.5260916737568386,14.738990514905145,0.8717747885133729,0.6293993032305681,13.000938423623722
22,covid-19,Track time,0,Text length,100,Duration,75,4,1002,974,119,0.8209527628126421,0.500477667530445,14.498668879979952,0.8645499436085777,0.6040650910617151,13.06543120078429
