,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,deep fake,Duration,0,Track time,0,532,403,934,300,0.8821968250424211,0.7823599654846793,14.120057577442488,0.9178000654182091,0.8768005888590223,12.57147190811427
1,deep fake,Duration,0,Track time,5,532,403,884,300,0.8830792050277384,0.7840611203321126,13.975609483072976,0.9187564197138767,0.8789540258978611,12.141447550967545
2,deep fake,Duration,0,Track time,10,532,403,803,300,0.8789882237452241,0.7774369799162153,14.278436832868936,0.9183796659073062,0.8802398454750816,12.118824719211482
3,deep fake,Duration,0,Track time,15,532,403,738,300,0.879221223967682,0.7759717129120459,14.332381350409998,0.9189705017617007,0.8798964500630191,12.053091615621291
4,deep fake,Duration,0,Track time,20,532,403,687,300,0.8773197508043624,0.7755817521682106,14.46121701248929,0.9182252207107969,0.881219178062417,12.093874989197497
5,deep fake,Duration,0,Track time,25,532,403,606,300,0.8722897647397707,0.7693163901338849,14.762920238348174,0.9144454618631485,0.8759499505350168,12.427247809150943
6,deep fake,Duration,0,Track time,30,532,403,528,300,0.8673131097920512,0.7605760598888547,15.112799423401372,0.9110735517508046,0.8697971155636474,12.948200369566973
7,deep fake,Duration,0,Track time,40,532,403,418,300,0.8590732800874787,0.7572155025627822,15.900157933853585,0.907210383381001,0.8729937993582383,13.926164345011966
8,deep fake,Duration,5,Track time,0,210,403,934,300,0.8793925572402398,0.7832673680290493,14.544799312320842,0.9144913950468158,0.8768312614010507,13.11196625639608
9,deep fake,Duration,5,Track time,5,210,403,884,300,0.8803760041053179,0.7853090808004778,14.215074015331744,0.9153913950430451,0.8790253061061045,12.585494814500928
10,deep fake,Duration,5,Track time,10,210,403,803,300,0.8769510967205548,0.7800526822711131,14.450008662837627,0.9155586171975916,0.8815379228095026,12.501783415188104
11,deep fake,Duration,5,Track time,15,210,403,738,300,0.8773914880055455,0.7790937207285589,14.489209717320788,0.9164111404974561,0.881866287030492,12.409796986245889
12,deep fake,Duration,5,Track time,20,210,403,687,300,0.875701864201534,0.7789361259649762,14.633019232932137,0.9156629370264281,0.883027451029158,12.46464842078236
13,deep fake,Duration,5,Track time,25,210,403,606,300,0.8709930306111767,0.7733059040076745,14.917431016813401,0.912071727041951,0.8783055929589159,12.910933660997355
14,deep fake,Duration,5,Track time,30,210,403,528,300,0.8660917677378651,0.7649101129430094,15.343652905171842,0.9085514604551466,0.8720841037587346,13.525216318053678
15,deep fake,Duration,5,Track time,40,210,403,418,300,0.8581539938413255,0.7618422626332157,16.22513655785506,0.9044880992309762,0.8747242772395789,14.545157865854776
16,deep fake,Duration,10,Track time,0,110,403,934,300,0.8751160542074887,0.7671342815558917,14.77998419202078,0.9144576487303234,0.8687513353625188,13.259971664055362
17,deep fake,Duration,10,Track time,5,110,403,884,300,0.8758940884305227,0.768541192723105,14.42529007540488,0.9150492256192094,0.8700494010773839,12.54160843423269
18,deep fake,Duration,10,Track time,10,110,403,803,300,0.8712617948504616,0.761099643653745,14.778320962064974,0.9147401080583308,0.8714775193554999,12.511613774963067
19,deep fake,Duration,10,Track time,15,110,403,738,300,0.8714243289588108,0.7594931810185508,14.84421490327951,0.9154653896002842,0.8714161364243608,12.39674128444948
20,deep fake,Duration,10,Track time,20,110,403,687,300,0.869955044513776,0.7599829340670665,14.971141418555437,0.9148654967790587,0.8730727264740242,12.493192784612498
21,deep fake,Duration,10,Track time,25,110,403,606,300,0.864761724664159,0.7536101755139186,15.260350931586133,0.9108220746315242,0.8673157152495997,13.052874844378684
22,deep fake,Duration,10,Track time,30,110,403,528,300,0.8595471820750005,0.7446321445714293,15.650172696405576,0.9073818190513775,0.8610967775922113,13.71384635914494
23,deep fake,Duration,10,Track time,40,110,403,418,300,0.8497848928851088,0.7388854367590414,16.526536146909113,0.9025976719847913,0.8623763569037678,14.873649587070298
24,deep fake,Duration,15,Track time,0,50,403,934,300,0.8778487642356017,0.7705083451491576,14.875487034608465,0.9171474860004362,0.8700943114379615,13.354075439262965
25,deep fake,Duration,15,Track time,5,50,403,884,300,0.8794578196978082,0.7734393486869692,14.431426252789612,0.9181268889956558,0.8721424606449918,12.63227135911486
26,deep fake,Duration,15,Track time,10,50,403,803,300,0.8740634236943285,0.7644918780624618,14.805319177080838,0.9175836007645656,0.8730532591750934,12.605086773052975
27,deep fake,Duration,15,Track time,15,50,403,738,300,0.8740643252471433,0.7624967328341399,14.830667165104254,0.9181662183141148,0.8725962423258159,12.49153290463648
28,deep fake,Duration,15,Track time,20,50,403,687,300,0.8725039877695429,0.7629431383109361,14.973981900452493,0.9174931936865486,0.8742314686635672,12.615668737633326
29,deep fake,Duration,15,Track time,25,50,403,606,300,0.8673742497707878,0.7566900255652079,15.247335094000444,0.9137235419970835,0.86898410306767,13.187151516604954
30,deep fake,Duration,15,Track time,30,50,403,528,300,0.8619881354917758,0.7472840206489464,15.788123318431913,0.9101952249243109,0.8623820624432135,13.863639580416935
31,deep fake,Duration,15,Track time,40,50,403,418,300,0.8521686037400427,0.7417606670892591,16.70967540788214,0.9056254977577721,0.8643173622705266,15.105211363757071
32,deep fake,Duration,20,Track time,0,28,403,934,300,0.8768309281723343,0.7721259022304282,14.820716906458033,0.916270275342753,0.871493521182779,13.198064232837723
33,deep fake,Duration,20,Track time,5,28,403,884,300,0.8778446234355484,0.7740349521842125,14.490811000560237,0.9171196309086734,0.873338517814427,12.509309767730283
34,deep fake,Duration,20,Track time,10,28,403,803,300,0.8723941801533284,0.7651305470941048,14.883566712561324,0.9164303554151706,0.8740302078024847,12.51230311047118
35,deep fake,Duration,20,Track time,15,28,403,738,300,0.8722499758093921,0.7628541927890633,14.932182308608164,0.916784557943196,0.8730385472982256,12.39377234264458
36,deep fake,Duration,20,Track time,20,28,403,687,300,0.8707167473555414,0.7634074981744915,15.070230099000565,0.9161154940260594,0.8747368754982617,12.44887234420893
37,deep fake,Duration,20,Track time,25,28,403,606,300,0.8656816539569365,0.7575310090279987,15.331378034581846,0.9121608343025681,0.8693020116774709,12.977280122227874
38,deep fake,Duration,20,Track time,30,28,403,528,300,0.8608674233532978,0.7493101685989654,15.721991721761894,0.9088801440646898,0.8634341359228853,13.65841764426909
