,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,deep fake,Rating,0,Comment count,0,532,403,934,300,0.8821968250424211,0.7823599654846793,14.120057577442488,0.9178000654182091,0.8768005888590223,12.57147190811427
1,deep fake,Rating,0,Comment count,100,273,403,934,300,0.8795260052001304,0.767610152115077,14.388272514744068,0.9191258261660842,0.8691176512557506,13.2269183886985
2,deep fake,Rating,0,Comment count,1000,98,403,934,300,0.8759927864573159,0.726299944470874,14.788190996531096,0.9269482730422266,0.8467667788641706,13.520988552524017
3,deep fake,Rating,0,Comment count,10000,11,403,934,300,0.8700344289252651,0.7627494411944954,16.07735409831085,0.9196492532469183,0.8825421805884097,15.111499528184401
4,deep fake,Rating,0,Comment count,100000,0,403,934,300,0.876972446752371,0.7741945365310694,14.5321322097798,0.9157434430455373,0.8735247065553529,12.885203189199549
5,deep fake,Rating,0,Comment count,1000000,0,403,934,300,0.876972446752371,0.7741945365310694,14.5321322097798,0.9157434430455373,0.8735247065553529,12.885203189199549
6,deep fake,Rating,0,Comment count,10000000,0,403,934,300,0.876972446752371,0.7741945365310694,14.5321322097798,0.9157434430455373,0.8735247065553529,12.885203189199549
7,deep fake,Rating,100,Comment count,0,532,403,934,234,0.8819070798986768,0.7815156111910756,14.136299971512669,0.917798750580725,0.8766882235757458,12.588105574572708
8,deep fake,Rating,100,Comment count,100,273,403,934,234,0.8792025885188463,0.766722411971658,14.423963297027461,0.9191016408516697,0.8689398797901386,13.24923707967784
9,deep fake,Rating,100,Comment count,1000,98,403,934,234,0.8755559498341118,0.7250800698202268,14.83186077074352,0.9268916523559698,0.8463791069683387,13.560379694068144
10,deep fake,Rating,100,Comment count,10000,11,403,934,234,0.8695989343689216,0.7616653342454552,16.12806845158939,0.9196565987371018,0.8824509834867901,15.173434850916761
11,deep fake,Rating,100,Comment count,100000,0,403,934,234,0.8766479154152008,0.7732770277949123,14.548564158370784,0.9157376187032298,0.873397315736332,12.907522903768143
12,deep fake,Rating,100,Comment count,1000000,0,403,934,234,0.8766479154152008,0.7732770277949123,14.548564158370784,0.9157376187032298,0.873397315736332,12.907522903768143
13,deep fake,Rating,100,Comment count,10000000,0,403,934,234,0.8766479154152008,0.7732770277949123,14.548564158370784,0.9157376187032298,0.873397315736332,12.907522903768143
14,deep fake,Rating,1000,Comment count,0,532,403,934,227,0.8816509596843544,0.7807581884381684,14.147467269833411,0.9176660976742156,0.8762522918284145,12.599444419797988
15,deep fake,Rating,1000,Comment count,100,273,403,934,227,0.8789631314467199,0.7660350243127176,14.431448868003251,0.918979728306298,0.8685405569498049,13.256520095838134
16,deep fake,Rating,1000,Comment count,1000,98,403,934,227,0.8753336851944741,0.7243915773993869,14.838717302141514,0.9267981788534009,0.8460032370687881,13.567281622173537
17,deep fake,Rating,1000,Comment count,10000,11,403,934,227,0.8693156470595449,0.7608728906314025,16.136614777140654,0.91955201088258,0.8820722239772644,15.18268391338529
18,deep fake,Rating,1000,Comment count,100000,0,403,934,227,0.876370048371642,0.7724665403084947,14.560174570420465,0.9155920973569436,0.8729241330092111,12.919516529360905
19,deep fake,Rating,1000,Comment count,1000000,0,403,934,227,0.876370048371642,0.7724665403084947,14.560174570420465,0.9155920973569436,0.8729241330092111,12.919516529360905
20,deep fake,Rating,1000,Comment count,10000000,0,403,934,227,0.876370048371642,0.7724665403084947,14.560174570420465,0.9155920973569436,0.8729241330092111,12.919516529360905
21,deep fake,Rating,10000,Comment count,0,532,403,934,212,0.8816457947133344,0.7806197870891728,14.15039231604487,0.91763526497851,0.8760366773390976,12.606333336504516
22,deep fake,Rating,10000,Comment count,100,273,403,934,212,0.8789507740688149,0.7659004893408412,14.430629653669378,0.9189489012054873,0.868343682243081,13.257906586745879
23,deep fake,Rating,10000,Comment count,1000,98,403,934,212,0.8754091478579955,0.7244066833373488,14.836259659139884,0.9268016053467393,0.8458681941893782,13.567675511635963
24,deep fake,Rating,10000,Comment count,10000,11,403,934,212,0.8694325734191563,0.7609516964722934,16.093522245411776,0.91956508506382,0.8819503980928552,15.115423666686183
