,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,deep fake,Track time,0,Duration,0,532,403,934,300,0.8821968250424211,0.7823599654846793,14.120057577442488,0.9178000654182091,0.8768005888590223,12.57147190811427
1,deep fake,Track time,0,Duration,25,18,403,934,300,0.8758954347175352,0.7668505700599678,14.568583889566844,0.9158864967807219,0.8679943725573198,12.82068493412294
2,deep fake,Track time,0,Duration,50,5,403,934,300,0.8717910860598259,0.7677728949958853,15.104865435669945,0.9123237243866074,0.8682612594117188,13.691250712939485
3,deep fake,Track time,0,Duration,75,3,403,934,300,0.8769724467523708,0.7741945365310692,14.532132209779801,0.9157434430455373,0.8735247065553534,12.885203189199549
4,deep fake,Track time,0,Duration,100,3,403,934,300,0.8769724467523708,0.7741945365310692,14.532132209779801,0.9157434430455373,0.8735247065553534,12.885203189199549
5,deep fake,Track time,0,Duration,125,2,403,934,300,0.8769724467523708,0.7741945365310692,14.532132209779801,0.9157434430455373,0.8735247065553534,12.885203189199549
6,deep fake,Track time,0,Duration,150,1,403,934,300,0.876972446752371,0.7741945365310694,14.5321322097798,0.9157434430455373,0.8735247065553529,12.885203189199549
7,deep fake,Track time,5,Duration,0,532,403,884,300,0.8830792050277384,0.7840611203321126,13.975609483072976,0.9187564197138767,0.8789540258978611,12.141447550967545
8,deep fake,Track time,5,Duration,25,18,403,884,300,0.8767911845191682,0.7684247382349982,14.459646141707784,0.9166156193606505,0.8694871988847087,12.276485405424285
9,deep fake,Track time,5,Duration,50,5,403,884,300,0.8724695025776498,0.7691851421383217,15.101479066526377,0.9129474028999961,0.86974511140732,13.727885482089416
10,deep fake,Track time,5,Duration,75,3,403,884,300,0.8777852472415724,0.7757858678025309,14.41838424733161,0.9165387315183273,0.8753413640283326,12.323560937255374
11,deep fake,Track time,5,Duration,100,3,403,884,300,0.8777852472415724,0.7757858678025309,14.41838424733161,0.9165387315183273,0.8753413640283326,12.323560937255374
12,deep fake,Track time,5,Duration,125,2,403,884,300,0.8777852472415724,0.7757858678025309,14.41838424733161,0.9165387315183273,0.8753413640283326,12.323560937255374
13,deep fake,Track time,5,Duration,150,1,403,884,300,0.8777852472415724,0.7757858678025309,14.418384247331613,0.9165387315183271,0.8753413640283326,12.323560937255374
14,deep fake,Track time,10,Duration,0,532,403,803,300,0.8789882237452241,0.7774369799162153,14.278436832868936,0.9183796659073062,0.8802398454750816,12.118824719211482
15,deep fake,Track time,10,Duration,25,18,403,803,300,0.8716111146059033,0.7600152421259826,14.82482897224016,0.9158097528466799,0.8699249797468996,12.32358127075032
16,deep fake,Track time,10,Duration,50,5,403,803,300,0.8672841926067989,0.7610711530942535,15.432880109634434,0.9118200716813015,0.8696625910495434,13.83851291084876
17,deep fake,Track time,10,Duration,75,3,403,803,300,0.8725731197049171,0.7673905211633734,14.792815934798655,0.9155521613449548,0.8755044014600485,12.36003585816449
18,deep fake,Track time,10,Duration,100,3,403,803,300,0.8725731197049171,0.7673905211633734,14.792815934798655,0.9155521613449548,0.8755044014600485,12.36003585816449
19,deep fake,Track time,10,Duration,125,2,403,803,300,0.8725731197049171,0.7673905211633734,14.792815934798655,0.9155521613449548,0.8755044014600485,12.36003585816449
20,deep fake,Track time,10,Duration,150,1,403,803,300,0.8725731197049171,0.7673905211633734,14.792815934798652,0.9155521613449548,0.8755044014600484,12.36003585816449
21,deep fake,Track time,25,Duration,0,532,403,606,300,0.8722897647397707,0.7693163901338849,14.762920238348174,0.9144454618631485,0.8759499505350168,12.427247809150943
22,deep fake,Track time,25,Duration,25,18,403,606,300,0.8644972851216594,0.7517521268713597,15.255630989549783,0.9112999745867597,0.8647253804842273,12.65244828085875
23,deep fake,Track time,25,Duration,50,5,403,606,300,0.8602879782998714,0.753415743801365,15.628641827264781,0.9074131373649017,0.8651039430496493,13.792890221391948
24,deep fake,Track time,25,Duration,75,3,403,606,300,0.8651337194467735,0.7586778208827778,15.26275750557228,0.9110256446764141,0.8705005754761447,12.72925615973593
25,deep fake,Track time,25,Duration,100,3,403,606,300,0.8651337194467735,0.7586778208827778,15.26275750557228,0.9110256446764141,0.8705005754761447,12.72925615973593
26,deep fake,Track time,25,Duration,125,2,403,606,300,0.8651337194467735,0.7586778208827778,15.26275750557228,0.9110256446764141,0.8705005754761447,12.72925615973593
27,deep fake,Track time,25,Duration,150,1,403,606,300,0.8651337194467736,0.7586778208827776,15.26275750557228,0.9110256446764141,0.8705005754761447,12.729256159735925
28,deep fake,Track time,50,Duration,0,532,403,303,300,0.8457872073856827,0.7388247764722963,16.239343466025417,0.8981518982828931,0.8607959553973408,13.934505698160775
29,deep fake,Track time,50,Duration,25,18,403,303,300,0.8333188864397925,0.7157451316804179,16.801896423118773,0.8920425006285793,0.8450734023909332,14.418473029384753
30,deep fake,Track time,50,Duration,50,5,403,303,300,0.8276143587090501,0.7174127548309975,17.37295575938421,0.8876215691405983,0.8468467090332009,15.773729192677019
31,deep fake,Track time,50,Duration,75,3,403,303,300,0.8334518836126777,0.723029507414835,16.90069176341438,0.8918940179429001,0.852700677106298,14.484479816688417
32,deep fake,Track time,50,Duration,100,3,403,303,300,0.8334518836126777,0.723029507414835,16.90069176341438,0.8918940179429001,0.852700677106298,14.484479816688417
33,deep fake,Track time,50,Duration,125,2,403,303,300,0.8334518836126777,0.723029507414835,16.90069176341438,0.8918940179429001,0.852700677106298,14.484479816688417
34,deep fake,Track time,50,Duration,150,1,403,303,300,0.8334518836126777,0.7230295074148348,16.90069176341438,0.8918940179429001,0.852700677106298,14.484479816688415
35,deep fake,Track time,100,Duration,0,532,403,41,300,0.789706809102338,0.7141834971232994,19.785619751734195,0.8670067384266426,0.8624843748823336,18.130988207020486
36,deep fake,Track time,100,Duration,25,18,403,41,300,0.7650407953036165,0.6831635100752568,20.71247437870538,0.85606449964719,0.8459581474931184,19.104923785421402
37,deep fake,Track time,100,Duration,50,5,403,41,300,0.7603507875941552,0.6899766438297245,20.972290772968076,0.8497351503860903,0.8485542525746843,19.395043669495482
38,deep fake,Track time,100,Duration,75,3,403,41,300,0.7635509804244802,0.6909009056124937,20.931853449676666,0.8541994108512042,0.8540019010316411,19.46059662046779
39,deep fake,Track time,100,Duration,100,3,403,41,300,0.7635509804244802,0.6909009056124937,20.931853449676666,0.8541994108512042,0.8540019010316411,19.46059662046779
40,deep fake,Track time,100,Duration,125,2,403,41,300,0.7635509804244802,0.6909009056124937,20.931853449676666,0.8541994108512042,0.8540019010316411,19.46059662046779
41,deep fake,Track time,100,Duration,150,1,403,41,300,0.7635509804244802,0.6909009056124937,20.931853449676666,0.8541994108512042,0.8540019010316411,19.46059662046779
42,deep fake,Track time,150,Duration,0,532,403,15,300,0.780745098238161,0.6962725107518175,20.97258059042697,0.8587497109104844,0.8403997518327943,19.74678896029345
43,deep fake,Track time,150,Duration,25,18,403,15,300,0.7544062934457159,0.6636674000167969,22.02616309941644,0.8465540090888382,0.8216507269056773,20.709848181215712
44,deep fake,Track time,150,Duration,50,5,403,15,300,0.7477033364197412,0.6696801034759479,22.28597949367913,0.8392098574824706,0.8247824452344938,20.993069142456353
45,deep fake,Track time,150,Duration,75,3,403,15,300,0.7529663410005646,0.6727560096116814,22.24554217038772,0.8451081668860378,0.8320369709789679,21.048692547063663
46,deep fake,Track time,150,Duration,100,3,403,15,300,0.7529663410005646,0.6727560096116814,22.24554217038772,0.8451081668860378,0.8320369709789679,21.048692547063663
47,deep fake,Track time,150,Duration,125,2,403,15,300,0.7529663410005646,0.6727560096116814,22.24554217038772,0.8451081668860378,0.8320369709789679,21.048692547063663
48,deep fake,Track time,150,Duration,150,1,403,15,300,0.7529663410005646,0.6727560096116814,22.24554217038772,0.8451081668860378,0.832036970978968,21.048692547063663
49,deep fake,Track time,200,Duration,0,532,403,5,300,0.8014774656247188,0.7094550787209418,19.048608499654126,0.8678050622293075,0.8367404928547459,17.249958543472502
50,deep fake,Track time,200,Duration,25,18,403,5,300,0.7741000194986445,0.6718579167695342,20.06476373687241,0.8536894466653281,0.8112567916765978,17.923567869361563
51,deep fake,Track time,200,Duration,50,5,403,5,300,0.7664119968952308,0.6779110940768562,20.546140935060578,0.8451442110586544,0.8136352169813873,18.872721878622066
52,deep fake,Track time,200,Duration,75,3,403,5,300,0.7751972992994279,0.6853396153728801,20.06023063288766,0.8539238808376054,0.8254189799615878,18.234738431236327
53,deep fake,Track time,200,Duration,100,3,403,5,300,0.7751972992994279,0.6853396153728801,20.06023063288766,0.8539238808376054,0.8254189799615878,18.234738431236327
54,deep fake,Track time,200,Duration,125,2,403,5,300,0.7751972992994279,0.6853396153728801,20.06023063288766,0.8539238808376054,0.8254189799615878,18.234738431236327
55,deep fake,Track time,200,Duration,150,1,403,5,300,0.7751972992994279,0.6853396153728801,20.06023063288766,0.8539238808376054,0.8254189799615875,18.234738431236327
56,deep fake,Track time,250,Duration,0,532,403,2,300,0.8265329933942711,0.740960657307762,17.604225631336316,0.8765595700407505,0.846834041100795,15.7978931789959
57,deep fake,Track time,250,Duration,25,18,403,2,300,0.8011416017158414,0.7028530149127294,18.66031695577152,0.862684233350067,0.8200494229509732,16.665647777739558
58,deep fake,Track time,250,Duration,50,5,403,2,300,0.7923625247600116,0.7082829068547458,20.227841927660023,0.8546060323083531,0.8241906148368824,19.499306144954108
59,deep fake,Track time,250,Duration,75,3,403,2,300,0.8059161155039024,0.7229831348890877,18.592260012714576,0.8647524560293788,0.8384816117729831,16.704095975940632
60,deep fake,Track time,250,Duration,100,3,403,2,300,0.8059161155039024,0.7229831348890877,18.592260012714576,0.8647524560293788,0.8384816117729831,16.704095975940632
61,deep fake,Track time,250,Duration,125,2,403,2,300,0.8059161155039024,0.7229831348890877,18.592260012714576,0.8647524560293788,0.8384816117729831,16.704095975940632
