,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,metaverse,Duration,0,Text length,0,503,1921,972,219,0.7942112806434857,0.6884250852881972,14.550602887565901,0.8249058184391135,0.7388739245371472,13.911675201396458
1,metaverse,Duration,0,Text length,100,503,1916,972,219,0.7935784764868524,0.6874034648796498,14.706194719914228,0.8240904000868445,0.737557650977848,14.068070793976547
2,metaverse,Duration,0,Text length,1000,503,1811,972,219,0.7936976547428946,0.6874902336945641,14.92040400076114,0.8237622980378854,0.7367806427037253,14.232893294613124
3,metaverse,Duration,0,Text length,2000,503,1539,972,219,0.7953614621230001,0.6896724427889062,14.1618237531699,0.82753477286329,0.7423778108033706,13.399945513753492
4,metaverse,Duration,0,Text length,3000,503,1132,972,219,0.7881287539518036,0.676996456727571,13.516195317706304,0.8224161004504865,0.7331374542585534,12.728624905000311
5,metaverse,Duration,0,Text length,5000,503,603,972,219,0.7794514424027482,0.6618338630306229,13.677859998424516,0.8207480961480459,0.7291113863909388,12.774638470065968
6,metaverse,Duration,0,Text length,7500,503,271,972,219,0.7801521640198475,0.6632829039768658,13.037921286999044,0.8263261149146139,0.7369253025089185,12.046091709553355
7,metaverse,Duration,0,Text length,10000,503,125,972,219,0.7203289398958209,0.568196376842841,14.19216580808522,0.7857787460693623,0.6670864361328559,12.624881992734059
8,metaverse,Duration,5,Text length,0,240,1921,972,219,0.8100772859073267,0.71478034738971,12.386167582417581,0.8458720515509542,0.77445968943063,11.734942209893667
9,metaverse,Duration,5,Text length,100,240,1916,972,219,0.809353940049427,0.713662552054049,12.550705953882186,0.8448464213575021,0.7728702981443435,11.890664908331635
10,metaverse,Duration,5,Text length,1000,240,1811,972,219,0.8098108172395162,0.7143386079519044,12.67972109412326,0.844631188888002,0.7722507481635187,11.974009527829708
11,metaverse,Duration,5,Text length,2000,240,1539,972,219,0.8109175270497593,0.7153950908120662,12.02084968602826,0.8482255971525862,0.7771790800314924,11.322699953767911
12,metaverse,Duration,5,Text length,3000,240,1132,972,219,0.8048524547671647,0.7049182479129134,11.595174501424504,0.8442322369160313,0.7701360774869662,10.878141356027006
13,metaverse,Duration,5,Text length,5000,240,603,972,219,0.798938479791877,0.6944176877053377,11.62686316343231,0.8446789857453133,0.76950576940759,10.726522461907713
14,metaverse,Duration,5,Text length,7500,240,271,972,219,0.8033322470923617,0.7015608231456808,11.071624803767659,0.8530042017645619,0.7810429169643408,10.085496334456119
15,metaverse,Duration,5,Text length,10000,240,125,972,219,0.7542995883025685,0.6235591337505918,11.987244897959187,0.8213426311205337,0.7273576419828727,10.598804570371836
16,metaverse,Duration,10,Text length,0,172,1921,972,219,0.8080640461674183,0.7112403791996809,14.075064711995541,0.8423729808182273,0.7681320032496161,13.219324282856162
17,metaverse,Duration,10,Text length,100,172,1916,972,219,0.8073291950008404,0.7100889207554834,14.230274429871201,0.8414364486335532,0.7666892444773503,13.385284774730444
18,metaverse,Duration,10,Text length,1000,172,1811,972,219,0.8078077235665784,0.7108144137503106,14.393478545264259,0.8411799460599771,0.7660090965603704,13.54609999339542
19,metaverse,Duration,10,Text length,2000,172,1539,972,219,0.8087195822733358,0.7115994176471635,13.657523973938382,0.8446335775220288,0.7707895418799271,12.746911185172529
20,metaverse,Duration,10,Text length,3000,172,1132,972,219,0.8028184205925831,0.7014314701384337,13.030943618376233,0.8406518422052482,0.763764903783519,12.148804383449663
21,metaverse,Duration,10,Text length,5000,172,603,972,219,0.7966159936867058,0.6905334630683174,13.168443352422228,0.8408075621212944,0.7627425239937178,12.169933299907324
22,metaverse,Duration,10,Text length,7500,172,271,972,219,0.8015353281478156,0.6986214952564961,12.022575250836123,0.8483857452506426,0.7732777662804294,10.995919515970172
23,metaverse,Duration,10,Text length,10000,172,125,972,219,0.7547332973696778,0.6239716050209431,12.874372909698996,0.8176239641833959,0.7211016403402546,11.53559870550162
24,metaverse,Duration,15,Text length,0,97,1921,972,219,0.8053250120306114,0.7071160967321634,14.911607634608828,0.838355615412937,0.7619565034365328,14.070261183695857
