,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,metaverse,Duration,0,Track time,0,503,1921,972,219,0.7942112806434857,0.6884250852881972,14.550602887565901,0.8249058184391135,0.7388739245371472,13.911675201396458
1,metaverse,Duration,0,Track time,5,503,1921,928,219,0.7918441365347787,0.6843177159829368,14.408978402266,0.8225725750833516,0.7347806475051182,13.787742318467355
2,metaverse,Duration,0,Track time,10,503,1921,815,219,0.7928607799369364,0.6860732972460043,14.244428453408164,0.8235651828964811,0.7365390236767065,13.622650541910456
3,metaverse,Duration,0,Track time,15,503,1921,724,219,0.7918981461649537,0.6844738634705632,14.169809100938327,0.8226418060713976,0.7350729980233898,13.562881045866655
4,metaverse,Duration,0,Track time,20,503,1921,661,219,0.7920384825144158,0.6846149783019935,14.223774882635267,0.8228939407472373,0.7354125082574287,13.58383123854542
5,metaverse,Duration,0,Track time,25,503,1921,594,219,0.7954931567138581,0.6905783605607686,14.431208571702244,0.8265467662121196,0.7418126274949639,13.76024907565813
6,metaverse,Duration,0,Track time,30,503,1921,521,219,0.7939943748401722,0.6878561974693403,14.512003658632539,0.8264731106618617,0.7416341631395453,13.82136816076849
7,metaverse,Duration,0,Track time,40,503,1921,395,219,0.7846403980220481,0.6716349193741745,14.27242223766687,0.81796788477078,0.7266250043574369,13.532191433933916
8,metaverse,Duration,5,Track time,0,240,1921,972,219,0.8100772859073267,0.71478034738971,12.386167582417581,0.8458720515509542,0.77445968943063,11.734942209893667
9,metaverse,Duration,5,Track time,5,240,1921,928,219,0.8080561252096705,0.7113148604538901,12.245206043956042,0.8439982299973141,0.7712215258570931,11.635080906148868
10,metaverse,Duration,5,Track time,10,240,1921,815,219,0.8091825979352072,0.7132190297115458,12.132626123876122,0.8451115071390377,0.7731408834566432,11.52721052410372
11,metaverse,Duration,5,Track time,15,240,1921,724,219,0.8085080070273026,0.7121287361432946,12.068306894718189,0.8447135715932511,0.7726591184177841,11.478080324519413
12,metaverse,Duration,5,Track time,20,240,1921,661,219,0.8082331052493686,0.7115261844038033,12.113530219780218,0.8447117864489515,0.7725106037182166,11.489838187702265
13,metaverse,Duration,5,Track time,25,240,1921,594,219,0.8111325668513626,0.7164643055606787,12.30444397993311,0.8476216044336335,0.777524216871966,11.630729461898722
14,metaverse,Duration,5,Track time,30,240,1921,521,219,0.8097630293097912,0.7140183323010354,12.391744505494506,0.8475453270829421,0.777352320294731,11.67661581137309
15,metaverse,Duration,5,Track time,40,240,1921,395,219,0.8019820825695461,0.700741670266382,12.152321428571423,0.8406976123377365,0.7654814081425803,11.44989366620434
16,metaverse,Duration,10,Track time,0,172,1921,972,219,0.8080640461674183,0.7112403791996809,14.075064711995541,0.8423729808182273,0.7681320032496161,13.219324282856162
17,metaverse,Duration,10,Track time,5,172,1921,928,219,0.8059854796015468,0.7076713446915706,13.919178566617278,0.8404434016514046,0.7647810588265381,13.096902369333636
18,metaverse,Duration,10,Track time,10,172,1921,815,219,0.807182222325701,0.7097068833168715,13.765457506591481,0.8415399184496319,0.7666795997046847,12.952755129748308
19,metaverse,Duration,10,Track time,15,172,1921,724,219,0.8063221433880766,0.7082756113419524,13.687235068050418,0.8409933392496277,0.7658943739984495,12.891232483763597
20,metaverse,Duration,10,Track time,20,172,1921,661,219,0.8059625106657341,0.7075315916120057,13.735687582994942,0.8410072253955638,0.765785332624541,12.932220605583643
21,metaverse,Duration,10,Track time,25,172,1921,594,219,0.8090754280256475,0.7128567877820089,13.98383993890066,0.8440578629556796,0.7710822237476266,13.124415300359464
22,metaverse,Duration,10,Track time,30,172,1921,521,219,0.8077486943182883,0.7104956565532317,14.06686625546083,0.844016575475647,0.7709805555964137,13.184295584147666
23,metaverse,Duration,10,Track time,40,172,1921,395,219,0.8001344877253949,0.6975157218305109,13.76984300725544,0.8370998473985265,0.758959581878479,12.906108788711272
24,metaverse,Duration,15,Track time,0,97,1921,972,219,0.8053250120306114,0.7071160967321634,14.911607634608828,0.838355615412937,0.7619565034365328,14.070261183695857
25,metaverse,Duration,15,Track time,5,97,1921,928,219,0.8032826359795284,0.703607915985488,14.741658252248948,0.8363226412315309,0.7584248849877651,13.933642613845134
26,metaverse,Duration,15,Track time,10,97,1921,815,219,0.8046183457396735,0.705916798328619,14.584369240544659,0.8374723444633424,0.7604480485138542,13.754651219593175
