,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,metaverse,Installs,0,View count,0,503,1921,972,219,0.7942112806434857,0.6884250852881972,14.550602887565901,0.8249058184391135,0.7388739245371472,13.911675201396458
1,metaverse,Installs,0,View count,100,431,1921,972,219,0.7957146621929908,0.6907676656274592,14.153159340659343,0.8267229690263245,0.7415500604674075,13.494732030127567
2,metaverse,Installs,0,View count,1000,356,1921,972,219,0.8051102276629761,0.7063383622568528,13.119587912087919,0.8382848430191665,0.7609401594997395,12.419408229311143
3,metaverse,Installs,0,View count,10000,273,1921,972,219,0.8179031482423799,0.726962733349575,11.546065206962208,0.8563863635226676,0.7908310007341167,10.716678997325102
4,metaverse,Installs,0,View count,20000,247,1921,972,219,0.8228154903772017,0.7350572531070309,10.980841526894164,0.8625495201347647,0.8012397173687003,10.192374139231577
5,metaverse,Installs,0,View count,35000,207,1921,972,219,0.824248460369533,0.7376672471754521,11.579964678178964,0.8629360920018511,0.8020442665815455,10.675747969090553
6,metaverse,Installs,0,View count,50000,188,1921,972,219,0.8224837585364373,0.7345512138977597,11.235165544438352,0.8620807705041559,0.8004631666119598,10.363041625586956
7,metaverse,Installs,0,View count,75000,168,1921,972,219,0.8183698686340779,0.727693637643412,11.078770734429085,0.8593419821798522,0.7960194845581121,10.205128419364005
8,metaverse,Installs,0,View count,100000,160,1921,972,219,0.8195578624592098,0.7299221301702645,11.493367417780776,0.8594424336445944,0.796515747822049,10.639517417145257
9,metaverse,Installs,0,View count,200000,132,1921,972,219,0.8200250274282429,0.730506244550005,10.966631759329779,0.8598871759867809,0.7968583498339871,10.142987599730846
10,metaverse,Installs,0,View count,300000,112,1921,972,219,0.8106998193653322,0.7149860061572156,12.11865466622929,0.8525888553917471,0.7848057852132349,11.167170389384566
11,metaverse,Installs,0,View count,400000,100,1921,972,219,0.8069504333807489,0.7087473123295074,12.086364195505986,0.8491497939163101,0.7790718306193744,11.156302399238212
12,metaverse,Installs,0,View count,500000,93,1921,972,219,0.8070573374103641,0.7089543414499252,11.957202312612761,0.8492149470942185,0.7793631272651658,11.047622497774656
13,metaverse,Installs,0,View count,750000,73,1921,972,219,0.8090944489331043,0.7120734270128284,11.723248998294121,0.852044344662957,0.7837513775082189,10.799006427428145
14,metaverse,Installs,0,View count,1000000,61,1921,972,219,0.7985312685858242,0.6944998077523544,13.152609890109893,0.8412578020020707,0.7658563774435542,12.023291724456772
15,metaverse,Installs,0,View count,10000000,9,1921,972,219,0.795605878596782,0.6900873852051587,14.131268778038445,0.8354982212814389,0.7577541056192785,13.176160693723697
16,metaverse,Installs,100,View count,0,503,1921,972,29,0.82928085948004,0.7480617187502769,12.824562221787762,0.8483060722064487,0.7784636064673249,12.460213624532274
17,metaverse,Installs,100,View count,100,431,1921,972,29,0.8318427963628621,0.7519823096578031,12.408537930679184,0.850060291033092,0.7808238780501028,12.082916858200937
18,metaverse,Installs,100,View count,1000,356,1921,972,29,0.842913728539061,0.7696350709475209,11.385127372627373,0.8616972362680552,0.7996960690075013,11.07615601227252
19,metaverse,Installs,100,View count,10000,273,1921,972,29,0.8589348204303091,0.7945359561552844,9.85957332231207,0.8808843293752656,0.8305729034100425,9.447210217915792
20,metaverse,Installs,100,View count,20000,247,1921,972,29,0.8672519629233142,0.8080760508634871,9.283591408591414,0.8893004771334645,0.8445968199796647,8.86179703451037
21,metaverse,Installs,100,View count,35000,207,1921,972,29,0.8717098212772321,0.8158880337137564,9.72644319965749,0.8916181221916124,0.8487499917146234,9.254567669962952
22,metaverse,Installs,100,View count,50000,188,1921,972,29,0.8708930434720978,0.8143552135234564,9.382134969161644,0.8916767177768106,0.8487535350540432,8.89712543637815
23,metaverse,Installs,100,View count,75000,168,1921,972,29,0.871604661255017,0.8157794973729288,9.136371696289938,0.8917157533568383,0.8492567095086593,8.672668265511202
24,metaverse,Installs,100,View count,100000,160,1921,972,29,0.8695740225485765,0.8128495544058906,9.599221852155068,0.8896729560468504,0.8461464234102094,9.111147045797079
25,metaverse,Installs,100,View count,200000,132,1921,972,29,0.8728322956538069,0.8178199593781463,9.047544658311987,0.8929715693724082,0.8512730219886268,8.598555486616622
26,metaverse,Installs,100,View count,300000,112,1921,972,29,0.8645711639445283,0.8045678311492185,10.134739327836343,0.884350928320858,0.8373241781413099,9.570922025856094
27,metaverse,Installs,100,View count,400000,100,1921,972,29,0.8598234505934114,0.7967774902048801,10.19932026928296,0.8793102051934769,0.8289705890245543,9.636129966734227
28,metaverse,Installs,100,View count,500000,93,1921,972,29,0.8592892892420428,0.7959400286517465,10.070158386389732,0.8789386541049042,0.8285507150488471,9.54918604556338
