,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,metaverse,Rating,0,Comment count,0,503,1921,972,219,0.7942112806434857,0.6884250852881972,14.550602887565901,0.8249058184391135,0.7388739245371472,13.911675201396458
1,metaverse,Rating,0,Comment count,100,192,1921,972,219,0.8231049700513455,0.7359293190816457,11.987012055109068,0.8622028061588303,0.8011000365180904,11.047622497774647
2,metaverse,Rating,0,Comment count,1000,86,1921,972,219,0.8043075630115556,0.703987887778327,12.364706229353464,0.8478891627883139,0.7763089478309836,11.268720449046851
3,metaverse,Rating,0,Comment count,10000,19,1921,972,219,0.7890962899473603,0.6788032643214361,13.15945512820513,0.8309586252629694,0.7492638723960358,12.238482771749476
4,metaverse,Rating,0,Comment count,100000,1,1921,972,219,0.7961618760371639,0.692042024310575,14.773533864095088,0.8273505070312471,0.7438349939552944,14.124793606763095
5,metaverse,Rating,0,Comment count,1000000,0,1921,972,219,0.7961618760371639,0.692042024310575,14.773533864095088,0.8273505070312471,0.7438349939552944,14.124793606763095
6,metaverse,Rating,0,Comment count,10000000,0,1921,972,219,0.7961618760371639,0.692042024310575,14.773533864095088,0.8273505070312471,0.7438349939552944,14.124793606763095
7,metaverse,Rating,100,Comment count,0,503,1921,972,28,0.8294912469637816,0.7485343739338455,12.847093389903655,0.8482616721649606,0.7785308301157581,12.49054684762681
8,metaverse,Rating,100,Comment count,100,192,1921,972,28,0.8716818067724251,0.8163683016328788,10.138493036813932,0.890690253951257,0.8477256285980783,9.659841945235367
9,metaverse,Rating,100,Comment count,1000,86,1921,972,28,0.8668838542828102,0.8083233164563437,10.194293053572196,0.8843968113386389,0.837262529210703,9.59386711924088
10,metaverse,Rating,100,Comment count,10000,19,1921,972,28,0.8293935687284162,0.7470759333886694,11.38064753873577,0.8569648909901679,0.7932844446815385,10.850922128192263
11,metaverse,Rating,100,Comment count,100000,1,1921,972,28,0.8309020981099119,0.7513273640227309,13.0672834818243,0.851476083899487,0.7849757853538238,12.66644923005137
12,metaverse,Rating,100,Comment count,1000000,0,1921,972,28,0.8309020981099119,0.7513273640227309,13.0672834818243,0.851476083899487,0.7849757853538238,12.66644923005137
13,metaverse,Rating,100,Comment count,10000000,0,1921,972,28,0.8309020981099119,0.7513273640227309,13.0672834818243,0.851476083899487,0.7849757853538238,12.66644923005137
