,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,metaverse,Text length,0,Duration,0,503,1921,972,219,0.7942112806434857,0.6884250852881972,14.550602887565901,0.8249058184391135,0.7388739245371472,13.911675201396458
1,metaverse,Text length,0,Duration,25,38,1921,972,219,0.7915469534255014,0.6837933165161314,15.583608993047768,0.822073255164928,0.7340006438961001,14.872507949088101
2,metaverse,Text length,0,Duration,50,14,1921,972,219,0.7708422493411,0.6473652802986846,14.063870491035715,0.8099719992942055,0.7122500845533823,13.346633294675662
3,metaverse,Text length,0,Duration,75,8,1921,972,219,0.7616869494852117,0.6315546268352024,15.198900276370335,0.8029346733827892,0.6992285118808571,14.592741260638476
4,metaverse,Text length,0,Duration,100,5,1921,972,219,0.7777658331742382,0.6593497631174452,15.804370374523437,0.8150866730938161,0.7213846737564055,15.171940898412075
5,metaverse,Text length,0,Duration,125,1,1921,972,219,0.7961618760371639,0.692042024310575,14.773533864095088,0.8273505070312471,0.7438349939552944,14.124793606763095
6,metaverse,Text length,0,Duration,150,0,1921,972,219,0.7961618760371639,0.692042024310575,14.773533864095088,0.8273505070312471,0.7438349939552944,14.124793606763095
7,metaverse,Text length,100,Duration,0,503,1916,972,219,0.7935784764868524,0.6874034648796498,14.706194719914228,0.8240904000868445,0.737557650977848,14.068070793976547
8,metaverse,Text length,100,Duration,25,38,1916,972,219,0.7910516457014332,0.6830149270270783,15.741414835164838,0.8213400039659915,0.7328282914895069,15.030603071865201
9,metaverse,Text length,100,Duration,50,14,1916,972,219,0.7710301258883142,0.6477253303831007,14.204445431320105,0.8095001528650531,0.7115196417508459,13.497833545780203
10,metaverse,Text length,100,Duration,75,8,1916,972,219,0.7620716384790994,0.6321999349900775,15.39261209895632,0.8026139965086353,0.6987572700215675,14.797873762917428
11,metaverse,Text length,100,Duration,100,5,1916,972,219,0.777723766420629,0.6593300387294061,15.95816163003663,0.8144999580361841,0.7204616712238144,15.320792880258892
12,metaverse,Text length,100,Duration,125,1,1916,972,219,0.7954604750498884,0.6909078585747148,14.943280677655682,0.8264529547514418,0.7423777123108656,14.288584527662199
13,metaverse,Text length,100,Duration,150,0,1916,972,219,0.7954604750498884,0.6909078585747148,14.943280677655682,0.8264529547514418,0.7423777123108656,14.288584527662199
14,metaverse,Text length,1000,Duration,0,503,1811,972,219,0.7936976547428946,0.6874902336945641,14.92040400076114,0.8237622980378854,0.7367806427037253,14.232893294613124
15,metaverse,Text length,1000,Duration,25,38,1811,972,219,0.7905520892990902,0.6819728280159475,16.020985958485955,0.8206614637445367,0.7313646805052436,15.250774815499735
16,metaverse,Text length,1000,Duration,50,14,1811,972,219,0.7699438858804506,0.6457891294368616,14.120634693452686,0.8085223440195711,0.7095317602746443,13.36608335413464
17,metaverse,Text length,1000,Duration,75,8,1811,972,219,0.760304654704985,0.62921128232338,15.067486775402248,0.8014340885818613,0.6964341339535901,14.400418208288139
18,metaverse,Text length,1000,Duration,100,5,1811,972,219,0.776664825151716,0.6574025347216368,16.06673318819545,0.8137722256147345,0.7189378339746677,15.381602247053793
19,metaverse,Text length,1000,Duration,125,1,1811,972,219,0.7953556527381392,0.690557726985657,15.177731990231992,0.8259652718571058,0.7412548434302317,14.473493604561567
20,metaverse,Text length,1000,Duration,150,0,1811,972,219,0.7953556527381392,0.690557726985657,15.177731990231992,0.8259652718571058,0.7412548434302317,14.473493604561567
21,metaverse,Text length,2000,Duration,0,503,1539,972,219,0.7953614621230001,0.6896724427889062,14.1618237531699,0.82753477286329,0.7423778108033706,13.399945513753492
22,metaverse,Text length,2000,Duration,25,38,1539,972,219,0.7915637094863412,0.6830536944122002,14.891249019849694,0.8240171891177125,0.7362050611309428,14.073778142014516
23,metaverse,Text length,2000,Duration,50,14,1539,972,219,0.7703641098805465,0.6464170378056268,13.102534812880764,0.811015276065589,0.713011006783399,12.373330122436565
24,metaverse,Text length,2000,Duration,75,8,1539,972,219,0.7600416760668407,0.6290168502346762,14.242910384856218,0.8031158925018805,0.6985860858342069,13.573880435201112
25,metaverse,Text length,2000,Duration,100,5,1539,972,219,0.7781651373574572,0.6597580226977845,15.337225274725277,0.8166494604821449,0.7230130374796381,14.634422606361985
26,metaverse,Text length,2000,Duration,125,1,1539,972,219,0.7968720375465704,0.6923583228117546,14.317123425355133,0.8295601661487745,0.7463198499080367,13.567070351702126
27,metaverse,Text length,2000,Duration,150,0,1539,972,219,0.7968720375465704,0.6923583228117546,14.317123425355133,0.8295601661487745,0.7463198499080367,13.567070351702126
28,metaverse,Text length,3000,Duration,0,503,1132,972,219,0.7881287539518036,0.676996456727571,13.516195317706304,0.8224161004504865,0.7331374542585534,12.728624905000311
29,metaverse,Text length,3000,Duration,25,38,1132,972,219,0.7847895724974724,0.6712373848526287,13.915556522174167,0.8189015488937759,0.7269787018877703,13.091091740720527
30,metaverse,Text length,3000,Duration,50,14,1132,972,219,0.7638018020672976,0.6352451594012211,12.485879293662311,0.8064613549147379,0.7048879957936575,11.68715510873092
31,metaverse,Text length,3000,Duration,75,8,1132,972,219,0.7534184324837305,0.6179645206902297,14.267077829577826,0.7980638744015442,0.6895739388506783,13.498044087040846
32,metaverse,Text length,3000,Duration,100,5,1132,972,219,0.7709015033664687,0.6473343761649535,14.628605769230758,0.8111618923585687,0.7131051609509134,13.814464863615337
33,metaverse,Text length,3000,Duration,125,1,1132,972,219,0.7893270387931021,0.6791060890575519,13.656078296703289,0.8245909542471836,0.7373855040464732,12.824635922330087
34,metaverse,Text length,3000,Duration,150,0,1132,972,219,0.7893270387931021,0.6791060890575519,13.656078296703289,0.8245909542471836,0.7373855040464732,12.824635922330087
35,metaverse,Text length,5000,Duration,0,503,603,972,219,0.7794514424027482,0.6618338630306229,13.677859998424516,0.8207480961480459,0.7291113863909388,12.774638470065968
36,metaverse,Text length,5000,Duration,25,38,603,972,219,0.7738627102617641,0.6524181602650252,13.62498222445536,0.816077729548537,0.7208784488814886,12.719516708904582
37,metaverse,Text length,5000,Duration,50,14,603,972,219,0.748599983273643,0.610598074909558,12.309757015824454,0.8005735387216405,0.6935097907035566,11.347721453555145
38,metaverse,Text length,5000,Duration,75,8,603,972,219,0.7381940749865592,0.5941528150213762,13.721503008165023,0.7915180852643598,0.6773962061570007,12.865578275569051
39,metaverse,Text length,5000,Duration,100,5,603,972,219,0.757920312459991,0.6260210531524589,13.8081357697939,0.8074761155878027,0.705665712035685,12.941565148995245
40,metaverse,Text length,5000,Duration,125,1,603,972,219,0.778235049906114,0.6597817040301172,13.801663614163612,0.8215943438009407,0.7306729545266156,12.897133610725849
41,metaverse,Text length,5000,Duration,150,0,603,972,219,0.778235049906114,0.6597817040301172,13.801663614163612,0.8215943438009407,0.7306729545266156,12.897133610725849
42,metaverse,Text length,7500,Duration,0,503,271,972,219,0.7801521640198475,0.6632829039768658,13.037921286999044,0.8263261149146139,0.7369253025089185,12.046091709553355
43,metaverse,Text length,7500,Duration,25,38,271,972,219,0.7738017369359711,0.6529054676274375,13.479149618112388,0.8203179498693134,0.726540263425392,12.483158897381168
44,metaverse,Text length,7500,Duration,50,14,271,972,219,0.7370809571284037,0.5945907696444542,11.872139224411947,0.7996689235072165,0.6909242427825666,10.885527829040626
45,metaverse,Text length,7500,Duration,75,8,271,972,219,0.716815466742663,0.5650178219056485,11.161484946830546,0.7869735062093388,0.669125035095029,10.160107022711822
46,metaverse,Text length,7500,Duration,100,5,271,972,219,0.749159644676367,0.6139166062166305,11.49713922441195,0.8087665251114113,0.7065578247240112,10.557891358420928
47,metaverse,Text length,7500,Duration,125,1,271,972,219,0.7778523770590878,0.6596851190150518,12.58290711947627,0.8270025052617879,0.7379198775596734,11.499087654065962
48,metaverse,Text length,7500,Duration,150,0,271,972,219,0.7778523770590878,0.6596851190150518,12.58290711947627,0.8270025052617879,0.7379198775596734,11.499087654065962
49,metaverse,Text length,10000,Duration,0,503,125,972,219,0.7203289398958209,0.568196376842841,14.19216580808522,0.7857787460693623,0.6670864361328559,12.624881992734059
50,metaverse,Text length,10000,Duration,25,38,125,972,219,0.71530212233243,0.5602183644710438,14.549713584288057,0.7793495400461565,0.6560737195562713,13.038789047258373
51,metaverse,Text length,10000,Duration,50,14,125,972,219,0.6803425082894287,0.5079563497564444,13.54046119809394,0.7565721971313165,0.6173265092601161,12.010925910015173
52,metaverse,Text length,10000,Duration,75,8,125,972,219,0.6621355350948099,0.48382652195688297,11.785408004158,0.7449070262919847,0.5979734623054948,10.305103647336649
53,metaverse,Text length,10000,Duration,100,5,125,972,219,0.6962304576726623,0.5315835537981148,14.981996726677579,0.7667434614638261,0.6345680776929545,13.4649177167252
54,metaverse,Text length,10000,Duration,125,1,125,972,219,0.7106751659805678,0.554474441893648,13.916121112929623,0.7827464947052177,0.6619006948844725,12.148867313915861
55,metaverse,Text length,10000,Duration,150,0,125,972,219,0.7106751659805678,0.554474441893648,13.916121112929623,0.7827464947052177,0.6619006948844725,12.148867313915861
