,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,metaverse,Track time,0,Duration,0,503,1921,972,219,0.7942112806434857,0.6884250852881972,14.550602887565901,0.8249058184391135,0.7388739245371472,13.911675201396458
1,metaverse,Track time,0,Duration,25,38,1921,972,219,0.7915469534255014,0.6837933165161314,15.583608993047768,0.822073255164928,0.7340006438961001,14.872507949088101
2,metaverse,Track time,0,Duration,50,14,1921,972,219,0.7708422493411,0.6473652802986846,14.063870491035715,0.8099719992942055,0.7122500845533823,13.346633294675662
3,metaverse,Track time,0,Duration,75,8,1921,972,219,0.7616869494852117,0.6315546268352024,15.198900276370335,0.8029346733827892,0.6992285118808571,14.592741260638476
4,metaverse,Track time,0,Duration,100,5,1921,972,219,0.7777658331742382,0.6593497631174452,15.804370374523437,0.8150866730938161,0.7213846737564055,15.171940898412075
5,metaverse,Track time,0,Duration,125,1,1921,972,219,0.7961618760371639,0.692042024310575,14.773533864095088,0.8273505070312471,0.7438349939552944,14.124793606763095
6,metaverse,Track time,0,Duration,150,0,1921,972,219,0.7961618760371639,0.692042024310575,14.773533864095088,0.8273505070312471,0.7438349939552944,14.124793606763095
7,metaverse,Track time,5,Duration,0,503,1921,928,219,0.7918441365347787,0.6843177159829368,14.408978402266,0.8225725750833516,0.7347806475051182,13.787742318467355
8,metaverse,Track time,5,Duration,25,38,1921,928,219,0.7891008909146715,0.6795429258526818,15.432229760035886,0.81964039865934,0.7297153482979447,14.734943908215167
9,metaverse,Track time,5,Duration,50,14,1921,928,219,0.7677705483643481,0.6420457663353386,14.13414932650276,0.8072094525069713,0.7073260876556757,13.428534635487528
10,metaverse,Track time,5,Duration,75,8,1921,928,219,0.7583219622624561,0.6257977300373933,15.071707110255012,0.8000715530420499,0.6941255950170399,14.46906980390499
11,metaverse,Track time,5,Duration,100,5,1921,928,219,0.7747545587354061,0.6541310054935915,15.652991141511551,0.8124877750027485,0.7167829920911365,15.039471822015916
12,metaverse,Track time,5,Duration,125,1,1921,928,219,0.7937554441026762,0.6878704304522805,14.622154631083207,0.8249993008090138,0.7397337065839673,13.992324530366934
13,metaverse,Track time,5,Duration,150,0,1921,928,219,0.7937554441026762,0.6878704304522805,14.622154631083207,0.8249993008090138,0.7397337065839673,13.992324530366934
14,metaverse,Track time,10,Duration,0,503,1921,815,219,0.7928607799369364,0.6860732972460043,14.244428453408164,0.8235651828964811,0.7365390236767065,13.622650541910456
15,metaverse,Track time,10,Duration,25,38,1921,815,219,0.7906262656700074,0.682240026586822,15.244356408897229,0.8209285288161065,0.7320726533627286,14.548437329792591
16,metaverse,Track time,10,Duration,50,14,1921,815,219,0.769054390400045,0.6442725607081865,14.781406248511924,0.808038854060674,0.7088028645351334,14.112061977896404
17,metaverse,Track time,10,Duration,75,8,1921,815,219,0.7592011469319948,0.6273053616326703,15.228725894619625,0.8007086250932034,0.6952378816093847,14.650132688213567
18,metaverse,Track time,10,Duration,100,5,1921,815,219,0.775612340473707,0.6556057613011106,15.455285785642932,0.8133443694646078,0.7182980706671077,14.852038886415746
19,metaverse,Track time,10,Duration,125,1,1921,815,219,0.7951232059745063,0.6902746488038899,14.434999949030562,0.8263637281943947,0.742233787132484,13.810140952106478
20,metaverse,Track time,10,Duration,150,0,1921,815,219,0.7951232059745063,0.6902746488038899,14.434999949030562,0.8263637281943947,0.742233787132484,13.810140952106478
21,metaverse,Track time,25,Duration,0,503,1921,594,219,0.7954931567138581,0.6905783605607686,14.431208571702244,0.8265467662121196,0.7418126274949639,13.76024907565813
22,metaverse,Track time,25,Duration,25,38,1921,594,219,0.7932641253270433,0.6867568261082778,15.469908806809872,0.823968742191329,0.7374596838907593,14.711019727193777
23,metaverse,Track time,25,Duration,50,14,1921,594,219,0.7724573590661822,0.6501528726129381,15.009597388975472,0.8114239646997906,0.7148589447641662,14.291773693902396
