,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,metaverse,Track time,0,Text length,0,503,1921,972,219,0.7942112806434857,0.6884250852881972,14.550602887565901,0.8249058184391135,0.7388739245371472,13.911675201396458
1,metaverse,Track time,0,Text length,100,503,1916,972,219,0.7935784764868524,0.6874034648796498,14.706194719914228,0.8240904000868445,0.737557650977848,14.068070793976547
2,metaverse,Track time,0,Text length,1000,503,1811,972,219,0.7936976547428946,0.6874902336945641,14.92040400076114,0.8237622980378854,0.7367806427037253,14.232893294613124
3,metaverse,Track time,0,Text length,2000,503,1539,972,219,0.7953614621230001,0.6896724427889062,14.1618237531699,0.82753477286329,0.7423778108033706,13.399945513753492
4,metaverse,Track time,0,Text length,3000,503,1132,972,219,0.7881287539518036,0.676996456727571,13.516195317706304,0.8224161004504865,0.7331374542585534,12.728624905000311
5,metaverse,Track time,0,Text length,5000,503,603,972,219,0.7794514424027482,0.6618338630306229,13.677859998424516,0.8207480961480459,0.7291113863909388,12.774638470065968
6,metaverse,Track time,0,Text length,7500,503,271,972,219,0.7801521640198475,0.6632829039768658,13.037921286999044,0.8263261149146139,0.7369253025089185,12.046091709553355
7,metaverse,Track time,0,Text length,10000,503,125,972,219,0.7203289398958209,0.568196376842841,14.19216580808522,0.7857787460693623,0.6670864361328559,12.624881992734059
8,metaverse,Track time,5,Text length,0,503,1921,928,219,0.7918441365347787,0.6843177159829368,14.408978402266,0.8225725750833516,0.7347806475051182,13.787742318467355
9,metaverse,Track time,5,Text length,100,503,1916,928,219,0.7912475440153418,0.6833540959010629,14.566821897614576,0.8217967799440961,0.7335299434296729,13.946108298346044
10,metaverse,Track time,5,Text length,1000,503,1811,928,219,0.7913791703271139,0.6834709221706072,14.775548855905994,0.8214562898566592,0.7327363628045034,14.10320328974975
11,metaverse,Track time,5,Text length,2000,503,1539,928,219,0.7930204219181455,0.685651058547608,14.003406671675897,0.8252354549364135,0.7383789432926879,13.278767399047874
12,metaverse,Track time,5,Text length,3000,503,1132,928,219,0.7854813339644837,0.6724459706979106,13.39302178793937,0.8199940134867044,0.7289080885305844,12.618074336752098
13,metaverse,Track time,5,Text length,5000,503,603,928,219,0.7763981671683073,0.6566756947795046,13.528085489779041,0.8181280494485995,0.7245753205761997,12.638149424087421
14,metaverse,Track time,5,Text length,7500,503,271,928,219,0.7756379744296354,0.6558733260692883,12.936201213655814,0.8225708335118427,0.7304534102447465,11.918034081600412
15,metaverse,Track time,5,Text length,10000,503,125,928,219,0.7133238229481341,0.5574866125251283,14.192165808085221,0.7801957200280513,0.657531084088488,12.532312868944896
16,metaverse,Track time,10,Text length,0,503,1921,815,219,0.7928607799369364,0.6860732972460043,14.244428453408164,0.8235651828964811,0.7365390236767065,13.622650541910456
17,metaverse,Track time,10,Text length,100,503,1916,815,219,0.7921910604790001,0.6849810210469478,14.40231973311242,0.822716824540851,0.7351542605991224,13.778374329996401
18,metaverse,Track time,10,Text length,1000,503,1811,815,219,0.7924043903987142,0.6852435125035538,14.605128367303692,0.8223991532680646,0.7344006505627271,13.926913247490726
19,metaverse,Track time,10,Text length,2000,503,1539,815,219,0.7941681985660591,0.6876142887461941,13.836043170979064,0.8263909173021027,0.7404141120472022,13.13681261272056
20,metaverse,Track time,10,Text length,3000,503,1132,815,219,0.7866196159881974,0.6743926959066832,13.222362166730296,0.821143806609445,0.7309398044665196,12.507060575252902
21,metaverse,Track time,10,Text length,5000,503,603,815,219,0.777091050123401,0.6578489627201635,13.379438437906181,0.8193583321715634,0.7267100668338828,12.500828531990454
22,metaverse,Track time,10,Text length,7500,503,271,815,219,0.7765273395643347,0.6574044119399176,12.983561261970351,0.8245618482953911,0.733851881976127,11.99011104615694
23,metaverse,Track time,10,Text length,10000,503,125,815,219,0.7125065759422117,0.5566694479232067,14.220817692408605,0.7821948446852275,0.6609492802692651,12.619311468826034
24,metaverse,Track time,25,Text length,0,503,1921,594,219,0.7954931567138581,0.6905783605607686,14.431208571702244,0.8265467662121196,0.7418126274949639,13.76024907565813
25,metaverse,Track time,25,Text length,100,503,1916,594,219,0.7948071206410637,0.6894672485938615,14.584237511928395,0.8256534426514706,0.7403560106887478,13.917173833239064
26,metaverse,Track time,25,Text length,1000,503,1811,594,219,0.7953102109364812,0.6902570503742176,14.770889867551357,0.8253754778342488,0.7396698320050136,14.069169931468663
27,metaverse,Track time,25,Text length,2000,503,1539,594,219,0.7971984322411307,0.6928031926167632,14.01543709930462,0.829610974883725,0.7461092218120325,13.270337617155308
28,metaverse,Track time,25,Text length,3000,503,1132,594,219,0.7894780994220794,0.6792647495977749,13.353748168935693,0.8245061500362405,0.7368975099433823,12.626435283061545
29,metaverse,Track time,25,Text length,5000,503,603,594,219,0.780512856721837,0.6636213924640517,13.47380766148298,0.8230835116800368,0.7332476478236565,12.63300171880763
30,metaverse,Track time,25,Text length,7500,503,271,594,219,0.7813123784088452,0.6652839776160843,13.076831682809942,0.8289799319243487,0.7414362323134204,12.12705671359112
31,metaverse,Track time,25,Text length,10000,503,125,594,219,0.7181315311583718,0.5656339145360092,14.31897058255754,0.7884177714481886,0.6716091354409065,12.770345619860182
32,metaverse,Track time,50,Text length,0,503,1921,286,219,0.7796455146979948,0.6629338397996176,14.100204240866532,0.8178531263634395,0.7267285758069967,13.313598632677811
33,metaverse,Track time,50,Text length,100,503,1916,286,219,0.7793139775012538,0.6624119668740351,14.258481863664793,0.8171160668089231,0.7255312424153323,13.473632676687375
34,metaverse,Track time,50,Text length,1000,503,1811,286,219,0.7797777974265411,0.663170856408028,14.433712121212114,0.816747056586804,0.724691378971929,13.615770344619165
35,metaverse,Track time,50,Text length,2000,503,1539,286,219,0.782086637734148,0.6667682029392324,13.630456457913725,0.8210006879828399,0.7312691553531798,12.831744846307954
36,metaverse,Track time,50,Text length,3000,503,1132,286,219,0.772976872933146,0.6509233427476312,13.014277160568367,0.8151785512109054,0.7206868337579179,12.252570283776942
37,metaverse,Track time,50,Text length,5000,503,603,286,219,0.7606975904515338,0.6302909342634467,13.110754165189649,0.8121397542871054,0.7142349826363069,12.1704199165834
38,metaverse,Track time,50,Text length,7500,503,271,286,219,0.7555985802644615,0.6232955852279032,12.922195859695858,0.8171262283396643,0.7213086317318598,11.555487841895607
39,metaverse,Track time,50,Text length,10000,503,125,286,219,0.6873241746412211,0.5177326677172536,14.343677156177161,0.7717331025203368,0.6429589417517564,12.381636522413224
40,metaverse,Track time,100,Text length,0,503,1921,45,219,0.7768389036399348,0.6574288964587465,14.761323612285151,0.8310517688989082,0.7489714209732886,13.495696859774531
41,metaverse,Track time,100,Text length,100,503,1916,45,219,0.7768357176473515,0.6574379072133284,14.933674954265754,0.8300319902207242,0.7473422127767071,13.681849251110188
42,metaverse,Track time,100,Text length,1000,503,1811,45,219,0.7771324882193271,0.6579315133922261,14.831213049868062,0.8300172699441543,0.7471517950766463,13.542492766575753
43,metaverse,Track time,100,Text length,2000,503,1539,45,219,0.7771421390140589,0.6579791602405919,14.314748691158465,0.8344387457761584,0.7536779769823818,13.019640419925112
44,metaverse,Track time,100,Text length,3000,503,1132,45,219,0.7676629641963407,0.6422817214254027,13.415234853012317,0.8272887319944635,0.7406705831181345,12.14708875551197
45,metaverse,Track time,100,Text length,5000,503,603,45,219,0.7543674749463101,0.6217588269540228,13.329162206652715,0.826017329209484,0.7371972292547144,11.61435827419321
46,metaverse,Track time,100,Text length,7500,503,271,45,219,0.7361977305485349,0.598623726947649,12.741928245022306,0.829995277998125,0.7416640082550485,10.499537679149329
47,metaverse,Track time,100,Text length,10000,503,125,45,219,0.6734785827745067,0.5070822434898687,14.549204234277045,0.785984843983165,0.6676513421480808,11.831732824521962
48,metaverse,Track time,150,Text length,0,503,1921,13,219,0.7424343956920675,0.5985469678390056,16.12522351908446,0.7872554753822926,0.671618838205647,15.320633188071564
49,metaverse,Track time,150,Text length,100,503,1916,13,219,0.7430716566408131,0.5995663779685358,16.441961968530798,0.7872128779582817,0.6716189768238312,15.61866047992772
