,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,oscars,Installs,0,View count,0,527,783,987,158,0.1591005530919358,0.050955359269984,13.921452544838056,0.3957149395095139,0.2947077746302106,12.594057383278694
1,oscars,Installs,0,View count,100,519,783,987,158,0.15912478263326196,0.05104207974545168,13.86571082752461,0.39620646073634624,0.2954875828950267,12.53837082122123
2,oscars,Installs,0,View count,1000,508,783,987,158,0.1592475728826064,0.05151284225694162,13.565845169967403,0.39890594338160607,0.2997565080064007,12.241061937579405
3,oscars,Installs,0,View count,10000,470,783,987,158,0.15950296479039122,0.052748790098413136,12.829796149627265,0.4060259775117117,0.3108950797849321,11.517038229051856
4,oscars,Installs,0,View count,20000,464,783,987,158,0.15951216324003603,0.052804425698273504,12.821362088449249,0.4061743561922374,0.3111164292509574,11.508522283784732
5,oscars,Installs,0,View count,35000,457,783,987,158,0.15950919316444548,0.05281859439950496,12.812928027271234,0.4063758391937704,0.31146507763675013,11.500006338517606
6,oscars,Installs,0,View count,50000,449,783,987,158,0.15956371096505634,0.05301933585596568,12.787625843737183,0.4066777846549383,0.3118782137483186,11.474458502716235
7,oscars,Installs,0,View count,75000,435,783,987,158,0.15968993408350343,0.053322372335933774,12.747255075580023,0.40663643959760176,0.31178135191695266,11.430459452169432
8,oscars,Installs,0,View count,100000,432,783,987,158,0.15977531833587483,0.05348559664752481,12.752476161071174,0.4072991271359232,0.3128344125785101,11.4341091429982
9,oscars,Installs,0,View count,200000,408,783,987,158,0.1604467672683609,0.054653264094573425,12.695701876629398,0.40980218080292574,0.3167611240951624,11.373296169563869
10,oscars,Installs,0,View count,300000,389,783,987,158,0.16090447638540606,0.055488524421775716,12.719375817797138,0.4125915680437252,0.3211079609210286,11.389062496009807
11,oscars,Installs,0,View count,400000,375,783,987,158,0.16145828108179763,0.05632884147462814,12.736776393510368,0.4154126450019455,0.32564271133271305,11.405499755554292
12,oscars,Installs,0,View count,500000,353,783,987,158,0.16191374165252603,0.056959830551159454,12.727363116287808,0.4167628685072974,0.3278647141887745,11.395477079013117
13,oscars,Installs,0,View count,750000,329,783,987,158,0.16230485968083008,0.05759718831634112,12.698505930622808,0.4171812074422573,0.32841040777338376,11.365552230483058
14,oscars,Installs,0,View count,1000000,302,783,987,158,0.16369450361733062,0.05958208085536284,12.744443450505743,0.4235586878948809,0.3386259698450178,11.407053270418166
15,oscars,Installs,0,View count,10000000,81,783,987,158,0.15688932894030644,0.04848331507809568,14.7839704566179,0.41857390150919027,0.33188048275556964,13.342049952152125
16,oscars,Installs,100,View count,0,527,783,987,10,0.14792187021066447,0.04138378795210192,12.80592054041489,0.40955823591224727,0.31461156698633086,11.386319574047885
17,oscars,Installs,100,View count,100,519,783,987,10,0.14796088500641386,0.04149281100518563,12.753446366891746,0.4100816424638151,0.3154090111925607,11.3352941451171
18,oscars,Installs,100,View count,1000,508,783,987,10,0.14816378301729308,0.04208632133622345,12.472250642972517,0.41294973595960593,0.3197646950096647,11.061308834290823
19,oscars,Installs,100,View count,10000,470,783,987,10,0.1486221740759419,0.04364827503661106,11.782480556287704,0.42049027321890226,0.3310955624618981,10.389910778513329
20,oscars,Installs,100,View count,20000,464,783,987,10,0.14863385516792627,0.0437110394319345,11.773629184790982,0.42062992889302675,0.33128458065303945,10.380973471371009
21,oscars,Installs,100,View count,35000,457,783,987,10,0.14862209709256502,0.04372164683653651,11.76477781329426,0.4208533664282904,0.3316486207407055,10.37203616422869
22,oscars,Installs,100,View count,50000,449,783,987,10,0.1486210133175807,0.04391164263535844,11.738223698804099,0.4210724415935991,0.33187903112796263,10.345224242801734
23,oscars,Installs,100,View count,75000,435,783,987,10,0.148706281227716,0.044208361689749565,11.694413718020385,0.42098397899389095,0.33168116270376125,10.299048155899749
24,oscars,Installs,100,View count,100000,432,783,987,10,0.14881561976673985,0.04439666416707589,11.699893138470731,0.4217184436700183,0.3328037495522597,10.302878430389304
25,oscars,Installs,100,View count,200000,408,783,987,10,0.14947704699314307,0.04560864128446582,11.640309709746672,0.42446656038100816,0.33690686421088145,10.239056481706927
26,oscars,Installs,100,View count,300000,389,783,987,10,0.15003160165800233,0.046553147061042244,11.665155017795112,0.42753870991848625,0.3415163060017812,10.255602912846799
27,oscars,Installs,100,View count,400000,375,783,987,10,0.15067441723985486,0.04747613426593717,11.683908464619675,0.4306929585316605,0.34638941775984805,10.26627802971124
28,oscars,Installs,100,View count,500000,353,783,987,10,0.15117180341996725,0.04814154353257909,11.674979221819468,0.43214887562617793,0.3486660340134247,10.254036453319369
29,oscars,Installs,100,View count,750000,329,783,987,10,0.15158997403113372,0.04881579657201351,11.644694206655414,0.43256891569535155,0.34916442546225845,10.223870639212118
30,oscars,Installs,100,View count,1000000,302,783,987,10,0.1530689269403244,0.050909399473552906,11.694215865552072,0.43945537841165444,0.35971260818610984,10.261397452935784
31,oscars,Installs,100,View count,10000000,81,783,987,10,0.14546877427386595,0.038829098432457645,13.643181191568283,0.43521172403548297,0.35461287362230265,12.085052775730295
32,oscars,Installs,1000,View count,0,527,783,987,8,0.15212308832724877,0.045759977216847054,12.592731336422679,0.41478153167272813,0.3228717222421603,11.24281357265507
33,oscars,Installs,1000,View count,100,519,783,987,8,0.1521495977037976,0.045860363283918584,12.541438486816638,0.41529873002918316,0.3236550474620889,11.192583339111852
34,oscars,Installs,1000,View count,1000,508,783,987,8,0.15228287656308429,0.046405048908794044,12.266585980532152,0.41813163666637354,0.3279307053122606,10.92286789646689
35,oscars,Installs,1000,View count,10000,470,783,987,8,0.15255878591672756,0.04783463655640417,11.592176069108215,0.4255622403184597,0.339014507146194,10.261809376140079
36,oscars,Installs,1000,View count,20000,464,783,987,8,0.15257409078609627,0.04790073649906557,11.583324697611493,0.4257084520752718,0.33921061756897863,10.252872068997757
37,oscars,Installs,1000,View count,35000,457,783,987,8,0.1525667209822631,0.047914689948015905,11.574473326114772,0.4259450164043329,0.33959868906284807,10.243934761855442
38,oscars,Installs,1000,View count,50000,449,783,987,8,0.15257224936462643,0.04811053559991228,11.54791921162461,0.4261782975721858,0.33983788341735566,10.217122840428488
39,oscars,Installs,1000,View count,75000,435,783,987,8,0.15268339341670234,0.04843072420326335,11.504109230840896,0.4261276201463906,0.3396947044276245,10.1709467535265
40,oscars,Installs,1000,View count,100000,432,783,987,8,0.1527875040100841,0.04861747259841109,11.509588651291242,0.42682699222595843,0.34075260050072115,10.174777028016056
41,oscars,Installs,1000,View count,200000,408,783,987,8,0.15348590618873462,0.04987581194691702,11.450005222567183,0.4296517813677658,0.3449621541400624,10.11095507933368
42,oscars,Installs,1000,View count,300000,389,783,987,8,0.15401624841398323,0.05081359962143088,11.474850530615623,0.4327313498128836,0.349566195473679,10.127501510473552
43,oscars,Installs,1000,View count,400000,375,783,987,8,0.15465225988723008,0.051745488741756086,11.493603977440186,0.4358905082314147,0.3544441971001397,10.138176627337993
44,oscars,Installs,1000,View count,500000,353,783,987,8,0.15516592649681496,0.052435463132367764,11.48467473463998,0.43738312758316256,0.35678550863435055,10.125935050946122
45,oscars,Installs,1000,View count,750000,329,783,987,8,0.15560770775976004,0.05313877543281183,11.454389719475925,0.437825764684818,0.3573047665211021,10.095769236838871
46,oscars,Installs,1000,View count,1000000,302,783,987,8,0.1570694040259133,0.05524990985448895,11.503911378372583,0.44476650366325254,0.36793512519619936,10.133296050562537
47,oscars,Installs,1000,View count,10000000,81,783,987,8,0.14955863180312115,0.04305470206701227,13.415306915306909,0.4406829562005447,0.3632524832586482,11.931661677146586
48,oscars,Installs,10000,View count,0,527,783,987,1,0.15442871845840672,0.04813946585295829,12.486136734426575,0.4166328749459684,0.3259069987804872,11.206937072306866
49,oscars,Installs,10000,View count,100,519,783,987,1,0.15444788243775132,0.04823445151910245,12.435434546779083,0.41714704757583937,0.32668432919895446,11.15690563761054
50,oscars,Installs,10000,View count,1000,508,783,987,1,0.15454034159803884,0.048748743719510754,12.163753649311971,0.41996294577617443,0.3309259926049802,10.888257662010906
51,oscars,Installs,10000,View count,10000,470,783,987,1,0.15470978847004438,0.05009683505099368,11.497023825518472,0.42734941455970676,0.34191802338029154,10.229784025546767
52,oscars,Installs,10000,View count,20000,464,783,987,1,0.15472718288768766,0.05016487312584709,11.48817245402175,0.4274979781209095,0.34211664292262445,10.220846718404445
53,oscars,Installs,10000,View count,35000,457,783,987,1,0.15472236644602716,0.05018082715538409,11.47932108252503,0.4277392573767014,0.34251434703326267,10.21190941126213
54,oscars,Installs,10000,View count,50000,449,783,987,1,0.1547317282506556,0.050380006690616395,11.452766968034867,0.4279776438908595,0.3427556727173668,10.185097489835174
55,oscars,Installs,10000,View count,75000,435,783,987,1,0.15485780156004825,0.05071396817773066,11.408956987251154,0.4279406188002324,0.34263195109111977,10.138921402933189
56,oscars,Installs,10000,View count,100000,432,783,987,1,0.1549587826140316,0.05089956995807501,11.4144364077015,0.4286399595916897,0.34368956797414324,10.142751677422744
57,oscars,Installs,10000,View count,200000,408,783,987,1,0.1556780436903985,0.05218435989274637,11.35485297897744,0.4314905295509707,0.3479388314328794,10.078929728740368
58,oscars,Installs,10000,View count,300000,389,783,987,1,0.15619385192264504,0.053117054392661,11.37969828702588,0.43456826434811646,0.35253679997005666,10.09547615988024
59,oscars,Installs,10000,View count,400000,375,783,987,1,0.1568253595583137,0.05405322253971314,11.398451733850443,0.43773403076507317,0.3574315890341495,10.106151276744681
60,oscars,Installs,10000,View count,500000,353,783,987,1,0.15734802384271748,0.05475713161503005,11.389522491050236,0.43923743468855014,0.35979585195357855,10.09390970035281
61,oscars,Installs,10000,View count,750000,329,783,987,1,0.15780311907241665,0.05547708725910494,11.359237475886182,0.43968690815995987,0.3603193884604305,10.06374388624556
62,oscars,Installs,10000,View count,1000000,302,783,987,1,0.1592535481124306,0.05759636019053494,11.40875913478284,0.44663840915019787,0.3709766128000698,10.101270699969225
63,oscars,Installs,10000,View count,10000000,81,783,987,1,0.15180168039295525,0.045346618635429284,13.301369777176223,0.44262980697954807,0.3664934736844477,11.89331390250066
64,oscars,Installs,100000,View count,0,527,783,987,0,0.15442871845840672,0.04813946585295829,12.486136734426575,0.4166328749459684,0.3259069987804872,11.206937072306866
65,oscars,Installs,100000,View count,100,519,783,987,0,0.15444788243775132,0.04823445151910245,12.435434546779083,0.41714704757583937,0.32668432919895446,11.15690563761054
66,oscars,Installs,100000,View count,1000,508,783,987,0,0.15454034159803884,0.048748743719510754,12.163753649311971,0.41996294577617443,0.3309259926049802,10.888257662010906
67,oscars,Installs,100000,View count,10000,470,783,987,0,0.15470978847004438,0.05009683505099368,11.497023825518472,0.42734941455970676,0.34191802338029154,10.229784025546767
68,oscars,Installs,100000,View count,20000,464,783,987,0,0.15472718288768766,0.05016487312584709,11.48817245402175,0.4274979781209095,0.34211664292262445,10.220846718404445
69,oscars,Installs,100000,View count,35000,457,783,987,0,0.15472236644602716,0.05018082715538409,11.47932108252503,0.4277392573767014,0.34251434703326267,10.21190941126213
70,oscars,Installs,100000,View count,50000,449,783,987,0,0.1547317282506556,0.050380006690616395,11.452766968034867,0.4279776438908595,0.3427556727173668,10.185097489835174
71,oscars,Installs,100000,View count,75000,435,783,987,0,0.15485780156004825,0.05071396817773066,11.408956987251154,0.4279406188002324,0.34263195109111977,10.138921402933189
72,oscars,Installs,100000,View count,100000,432,783,987,0,0.1549587826140316,0.05089956995807501,11.4144364077015,0.4286399595916897,0.34368956797414324,10.142751677422744
73,oscars,Installs,100000,View count,200000,408,783,987,0,0.1556780436903985,0.05218435989274637,11.35485297897744,0.4314905295509707,0.3479388314328794,10.078929728740368
74,oscars,Installs,100000,View count,300000,389,783,987,0,0.15619385192264504,0.053117054392661,11.37969828702588,0.43456826434811646,0.35253679997005666,10.09547615988024
75,oscars,Installs,100000,View count,400000,375,783,987,0,0.1568253595583137,0.05405322253971314,11.398451733850443,0.43773403076507317,0.3574315890341495,10.106151276744681
76,oscars,Installs,100000,View count,500000,353,783,987,0,0.15734802384271748,0.05475713161503005,11.389522491050236,0.43923743468855014,0.35979585195357855,10.09390970035281
77,oscars,Installs,100000,View count,750000,329,783,987,0,0.15780311907241665,0.05547708725910494,11.359237475886182,0.43968690815995987,0.3603193884604305,10.06374388624556
78,oscars,Installs,100000,View count,1000000,302,783,987,0,0.1592535481124306,0.05759636019053494,11.40875913478284,0.44663840915019787,0.3709766128000698,10.101270699969225
79,oscars,Installs,100000,View count,10000000,81,783,987,0,0.15180168039295525,0.045346618635429284,13.301369777176223,0.44262980697954807,0.3664934736844477,11.89331390250066
80,oscars,Installs,1000000,View count,0,527,783,987,0,0.15442871845840672,0.04813946585295829,12.486136734426575,0.4166328749459684,0.3259069987804872,11.206937072306866
81,oscars,Installs,1000000,View count,100,519,783,987,0,0.15444788243775132,0.04823445151910245,12.435434546779083,0.41714704757583937,0.32668432919895446,11.15690563761054
82,oscars,Installs,1000000,View count,1000,508,783,987,0,0.15454034159803884,0.048748743719510754,12.163753649311971,0.41996294577617443,0.3309259926049802,10.888257662010906
83,oscars,Installs,1000000,View count,10000,470,783,987,0,0.15470978847004438,0.05009683505099368,11.497023825518472,0.42734941455970676,0.34191802338029154,10.229784025546767
84,oscars,Installs,1000000,View count,20000,464,783,987,0,0.15472718288768766,0.05016487312584709,11.48817245402175,0.4274979781209095,0.34211664292262445,10.220846718404445
85,oscars,Installs,1000000,View count,35000,457,783,987,0,0.15472236644602716,0.05018082715538409,11.47932108252503,0.4277392573767014,0.34251434703326267,10.21190941126213
86,oscars,Installs,1000000,View count,50000,449,783,987,0,0.1547317282506556,0.050380006690616395,11.452766968034867,0.4279776438908595,0.3427556727173668,10.185097489835174
87,oscars,Installs,1000000,View count,75000,435,783,987,0,0.15485780156004825,0.05071396817773066,11.408956987251154,0.4279406188002324,0.34263195109111977,10.138921402933189
88,oscars,Installs,1000000,View count,100000,432,783,987,0,0.1549587826140316,0.05089956995807501,11.4144364077015,0.4286399595916897,0.34368956797414324,10.142751677422744
89,oscars,Installs,1000000,View count,200000,408,783,987,0,0.1556780436903985,0.05218435989274637,11.35485297897744,0.4314905295509707,0.3479388314328794,10.078929728740368
90,oscars,Installs,1000000,View count,300000,389,783,987,0,0.15619385192264504,0.053117054392661,11.37969828702588,0.43456826434811646,0.35253679997005666,10.09547615988024
91,oscars,Installs,1000000,View count,400000,375,783,987,0,0.1568253595583137,0.05405322253971314,11.398451733850443,0.43773403076507317,0.3574315890341495,10.106151276744681
92,oscars,Installs,1000000,View count,500000,353,783,987,0,0.15734802384271748,0.05475713161503005,11.389522491050236,0.43923743468855014,0.35979585195357855,10.09390970035281
93,oscars,Installs,1000000,View count,750000,329,783,987,0,0.15780311907241665,0.05547708725910494,11.359237475886182,0.43968690815995987,0.3603193884604305,10.06374388624556
94,oscars,Installs,1000000,View count,1000000,302,783,987,0,0.1592535481124306,0.05759636019053494,11.40875913478284,0.44663840915019787,0.3709766128000698,10.101270699969225
95,oscars,Installs,1000000,View count,10000000,81,783,987,0,0.15180168039295525,0.045346618635429284,13.301369777176223,0.44262980697954807,0.3664934736844477,11.89331390250066
96,oscars,Installs,10000000,View count,0,527,783,987,0,0.15442871845840672,0.04813946585295829,12.486136734426575,0.4166328749459684,0.3259069987804872,11.206937072306866
97,oscars,Installs,10000000,View count,100,519,783,987,0,0.15444788243775132,0.04823445151910245,12.435434546779083,0.41714704757583937,0.32668432919895446,11.15690563761054
98,oscars,Installs,10000000,View count,1000,508,783,987,0,0.15454034159803884,0.048748743719510754,12.163753649311971,0.41996294577617443,0.3309259926049802,10.888257662010906
99,oscars,Installs,10000000,View count,10000,470,783,987,0,0.15470978847004438,0.05009683505099368,11.497023825518472,0.42734941455970676,0.34191802338029154,10.229784025546767
100,oscars,Installs,10000000,View count,20000,464,783,987,0,0.15472718288768766,0.05016487312584709,11.48817245402175,0.4274979781209095,0.34211664292262445,10.220846718404445
101,oscars,Installs,10000000,View count,35000,457,783,987,0,0.15472236644602716,0.05018082715538409,11.47932108252503,0.4277392573767014,0.34251434703326267,10.21190941126213
102,oscars,Installs,10000000,View count,50000,449,783,987,0,0.1547317282506556,0.050380006690616395,11.452766968034867,0.4279776438908595,0.3427556727173668,10.185097489835174
103,oscars,Installs,10000000,View count,75000,435,783,987,0,0.15485780156004825,0.05071396817773066,11.408956987251154,0.4279406188002324,0.34263195109111977,10.138921402933189
104,oscars,Installs,10000000,View count,100000,432,783,987,0,0.1549587826140316,0.05089956995807501,11.4144364077015,0.4286399595916897,0.34368956797414324,10.142751677422744
105,oscars,Installs,10000000,View count,200000,408,783,987,0,0.1556780436903985,0.05218435989274637,11.35485297897744,0.4314905295509707,0.3479388314328794,10.078929728740368
106,oscars,Installs,10000000,View count,300000,389,783,987,0,0.15619385192264504,0.053117054392661,11.37969828702588,0.43456826434811646,0.35253679997005666,10.09547615988024
107,oscars,Installs,10000000,View count,400000,375,783,987,0,0.1568253595583137,0.05405322253971314,11.398451733850443,0.43773403076507317,0.3574315890341495,10.106151276744681
108,oscars,Installs,10000000,View count,500000,353,783,987,0,0.15734802384271748,0.05475713161503005,11.389522491050236,0.43923743468855014,0.35979585195357855,10.09390970035281
109,oscars,Installs,10000000,View count,750000,329,783,987,0,0.15780311907241665,0.05547708725910494,11.359237475886182,0.43968690815995987,0.3603193884604305,10.06374388624556
110,oscars,Installs,10000000,View count,1000000,302,783,987,0,0.1592535481124306,0.05759636019053494,11.40875913478284,0.44663840915019787,0.3709766128000698,10.101270699969225
111,oscars,Installs,10000000,View count,10000000,81,783,987,0,0.15180168039295525,0.045346618635429284,13.301369777176223,0.44262980697954807,0.3664934736844477,11.89331390250066
