,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,oscars,Text length,0,Duration,0,527,783,987,158,0.1591005530919358,0.050955359269984,13.921452544838056,0.3957149395095139,0.2947077746302106,12.594057383278694
1,oscars,Text length,0,Duration,25,38,783,987,158,0.15038571358139968,0.03646898452150295,14.324615203605711,0.3641221979512854,0.24324598155046584,13.019584081430162
2,oscars,Text length,0,Duration,50,15,783,987,158,0.15302614692956767,0.04045016852751756,16.38798277038895,0.3666903458860027,0.24745961503067224,15.014685640491388
3,oscars,Text length,0,Duration,75,9,783,987,158,0.15384824464178018,0.041975619522785744,16.226486807788014,0.37072675908447117,0.2542326501247383,14.851621755923452
4,oscars,Text length,0,Duration,100,6,783,987,158,0.15424381823885502,0.04288116019229906,16.14573882648755,0.3717451284369339,0.2558456010648523,14.770089813639485
5,oscars,Text length,0,Duration,125,5,783,987,158,0.15350141629605088,0.04199012348234151,16.06499084518708,0.36422598942935086,0.24330275314410113,14.742912499544829
6,oscars,Text length,0,Duration,150,4,783,987,158,0.1530208635043825,0.042226430609385336,14.978418317946947,0.36672343673757785,0.24736996317877202,13.672042705346042
7,oscars,Text length,100,Duration,0,527,783,987,158,0.1591005530919358,0.050955359269984,13.921452544838056,0.3957149395095139,0.2947077746302106,12.594057383278694
8,oscars,Text length,100,Duration,25,38,783,987,158,0.15038571358139968,0.03646898452150295,14.324615203605711,0.3641221979512854,0.24324598155046584,13.019584081430162
9,oscars,Text length,100,Duration,50,15,783,987,158,0.15302614692956767,0.04045016852751756,16.38798277038895,0.3666903458860027,0.24745961503067224,15.014685640491388
10,oscars,Text length,100,Duration,75,9,783,987,158,0.15384824464178018,0.041975619522785744,16.226486807788014,0.37072675908447117,0.2542326501247383,14.851621755923452
11,oscars,Text length,100,Duration,100,6,783,987,158,0.15424381823885502,0.04288116019229906,16.14573882648755,0.3717451284369339,0.2558456010648523,14.770089813639485
12,oscars,Text length,100,Duration,125,5,783,987,158,0.15350141629605088,0.04199012348234151,16.06499084518708,0.36422598942935086,0.24330275314410113,14.742912499544829
13,oscars,Text length,100,Duration,150,4,783,987,158,0.1530208635043825,0.042226430609385336,14.978418317946947,0.36672343673757785,0.24736996317877202,13.672042705346042
14,oscars,Text length,1000,Duration,0,527,746,987,158,0.16088785568346387,0.05377528073449946,13.791489136000866,0.3984080122458315,0.29901581976218805,12.466896195672692
15,oscars,Text length,1000,Duration,25,38,746,987,158,0.15212767523774035,0.039390812293868906,14.351347650527975,0.366746973286857,0.24760054394053846,13.040577847729423
16,oscars,Text length,1000,Duration,50,15,746,987,158,0.15483250546838084,0.04343057830202394,16.197108975051904,0.36939353783088974,0.2519153767018776,14.827562885122662
17,oscars,Text length,1000,Duration,75,9,746,987,158,0.15568767434598238,0.04497159605017813,16.037957781417955,0.3734840037116166,0.25877249281956793,14.666866534268962
18,oscars,Text length,1000,Duration,100,6,746,987,158,0.15609383022715134,0.045874984482424934,15.958382184600978,0.37453759574569595,0.2604302893172298,14.586518358842111
19,oscars,Text length,1000,Duration,125,5,746,987,158,0.15535949022719966,0.04499825322435638,15.878806587784002,0.3670544312603779,0.24795857164691307,14.559735633699828
20,oscars,Text length,1000,Duration,150,4,746,987,158,0.15487619978525033,0.04518928081956712,14.821034902574548,0.3695075002527622,0.2519205131105841,13.512500927712075
21,oscars,Text length,2000,Duration,0,527,597,987,158,0.16005908287474072,0.052450972802751364,13.934645168023476,0.39666727988393596,0.2964304708746508,12.603171178531504
22,oscars,Text length,2000,Duration,25,38,597,987,158,0.15164700668918824,0.0383682287143417,15.451237929429563,0.3650592795625925,0.24481920462357684,14.1019275574424
23,oscars,Text length,2000,Duration,50,15,597,987,158,0.1541390121071941,0.042244634187338814,16.3495732113641,0.36732100471327167,0.24849763302662226,14.97195460768795
24,oscars,Text length,2000,Duration,75,9,597,987,158,0.15487340711024244,0.043700784955818,16.191666601844588,0.37142927615824173,0.2553993889887434,14.812514924289609
25,oscars,Text length,2000,Duration,100,6,597,987,158,0.15523618225911318,0.0445702398381004,16.11271329708483,0.37234834199910827,0.25683682915239425,14.732795082590435
26,oscars,Text length,2000,Duration,125,5,597,987,158,0.154500950413293,0.04369861585193446,16.033759992325074,0.3649658003326418,0.24452314622955204,14.706221802024045
27,oscars,Text length,2000,Duration,150,4,597,987,158,0.15409234040317799,0.04393977953772949,14.97187456502006,0.3675484003297953,0.2487293650554695,13.648683316022273
28,oscars,Text length,3000,Duration,0,527,413,987,158,0.15757049832641606,0.05218318464690583,13.621536629968036,0.3955902015576561,0.29378777218270113,12.2470781416137
29,oscars,Text length,3000,Duration,25,38,413,987,158,0.14758836782466636,0.03656915540406496,13.434402724050292,0.3590304446414332,0.23471967133648416,12.089215025359763
30,oscars,Text length,3000,Duration,50,15,413,987,158,0.15072757994626904,0.04095487202953624,16.28388707879485,0.3614374092823764,0.23868559201879855,14.847972094879236
31,oscars,Text length,3000,Duration,75,9,413,987,158,0.15174512587902603,0.04265307762348028,16.10499620222956,0.3664309465170433,0.24685539040186302,14.667344413687095
32,oscars,Text length,3000,Duration,100,6,413,987,158,0.1520998835447633,0.04358217587125204,16.015550763946912,0.36736867879071516,0.24835516562186735,14.577030573091022
33,oscars,Text length,3000,Duration,125,5,413,987,158,0.15134016652392532,0.04267218621178876,15.926105325664263,0.35913639390072666,0.2349687332760397,14.546925959558997
34,oscars,Text length,3000,Duration,150,4,413,987,158,0.1508589964703275,0.04293048713049833,14.745103982998337,0.36184903058854373,0.2394100828912178,13.377865921512504
35,oscars,Text length,5000,Duration,0,527,197,987,158,0.15201706945162582,0.05137502948752051,12.133050981498734,0.4103435415374078,0.31514554538011785,10.767925348428783
36,oscars,Text length,5000,Duration,25,38,197,987,158,0.14102123030050656,0.03459014090829234,12.432971814336373,0.36799965506875676,0.24935301069112253,11.100578614864892
37,oscars,Text length,5000,Duration,50,15,197,987,158,0.1443943218470384,0.03929620399284677,14.568384727131571,0.3720250517790562,0.25571821419315605,13.103891465409264
38,oscars,Text length,5000,Duration,75,9,197,987,158,0.14524095636805956,0.04101415454358588,14.380767466343578,0.37820993604338,0.26547524749926865,12.914452677817506
39,oscars,Text length,5000,Duration,100,6,197,987,158,0.145745360438714,0.04208961818858653,14.286958835949584,0.3794300352210428,0.2673499600590201,12.819733284021625
40,oscars,Text length,5000,Duration,125,5,197,987,158,0.14495263930757094,0.04115183427418695,14.193150205555586,0.37008900917432325,0.2527013777491023,12.788160152756332
41,oscars,Text length,5000,Duration,150,4,197,987,158,0.1444113918618989,0.04144196083600178,13.118017040430834,0.37299965140161173,0.25728447323329756,11.76156160421309
42,oscars,Text length,7500,Duration,0,527,92,987,158,0.15233510042712708,0.05648695960753567,12.095583535238703,0.405110884319151,0.3060622208244429,10.772539191394223
43,oscars,Text length,7500,Duration,25,38,92,987,158,0.1399546769399359,0.03850173572204722,11.86328133116822,0.35887216346905776,0.23556630911416448,10.596910166805838
44,oscars,Text length,7500,Duration,50,15,92,987,158,0.14395892854002382,0.04381918132267256,14.853022491911386,0.36407447042543634,0.24367519837048388,13.434098984860107
45,oscars,Text length,7500,Duration,75,9,92,987,158,0.14449718540958734,0.045486534622741735,14.644160708975528,0.37000156217680386,0.2527463390225967,13.213402611700586
46,oscars,Text length,7500,Duration,100,6,92,987,158,0.14524858886706604,0.04674307166603911,14.534873562651343,0.3716088127669119,0.2552767149593166,13.10305442512083
47,oscars,Text length,7500,Duration,125,5,92,987,158,0.1444661590426881,0.04582128685099846,14.425586416327162,0.3612880781849718,0.23957913192248664,13.066271696260907
48,oscars,Text length,7500,Duration,150,4,92,987,158,0.14384313293755513,0.04602552175575,13.22700840273784,0.364587885541326,0.24482969788482034,11.91498392368831
49,oscars,Text length,10000,Duration,0,527,51,987,158,0.16657409659826172,0.0797548579743699,10.643773618657068,0.4308877381234692,0.34303229643559874,9.403890014867772
50,oscars,Text length,10000,Duration,25,38,51,987,158,0.1536656764578328,0.062255977671937884,9.724584007370892,0.3851355035873932,0.27603152957497595,8.592985936611594
51,oscars,Text length,10000,Duration,50,15,51,987,158,0.15875564061474512,0.0686286517171386,11.489349436809022,0.39155088780339975,0.2855924585761002,10.228789233923878
52,oscars,Text length,10000,Duration,75,9,51,987,158,0.15935330569173095,0.07025354764171167,11.327332213590875,0.3992190238630348,0.29702003947158107,10.055392222032731
53,oscars,Text length,10000,Duration,100,6,51,987,158,0.16043048138831634,0.0717152947192789,11.241467347125546,0.4009537552767671,0.29954918612505665,9.968693716087158
54,oscars,Text length,10000,Duration,125,5,51,987,158,0.15974573139440337,0.0709860550898664,11.155602480660217,0.39077202487040896,0.2844471208502228,9.939794214105298
55,oscars,Text length,10000,Duration,150,4,51,987,158,0.1588076246655037,0.07063297178123445,11.241467347125546,0.3928601077336738,0.2875649703842274,10.026492720050873
