,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,oscars,Track time,0,Duration,0,527,783,987,158,0.1591005530919358,0.050955359269984,13.921452544838056,0.3957149395095139,0.2947077746302106,12.594057383278694
1,oscars,Track time,0,Duration,25,38,783,987,158,0.15038571358139968,0.03646898452150295,14.324615203605711,0.3641221979512854,0.24324598155046584,13.019584081430162
2,oscars,Track time,0,Duration,50,15,783,987,158,0.15302614692956767,0.04045016852751756,16.38798277038895,0.3666903458860027,0.24745961503067224,15.014685640491388
3,oscars,Track time,0,Duration,75,9,783,987,158,0.15384824464178018,0.041975619522785744,16.226486807788014,0.37072675908447117,0.2542326501247383,14.851621755923452
4,oscars,Track time,0,Duration,100,6,783,987,158,0.15424381823885502,0.04288116019229906,16.14573882648755,0.3717451284369339,0.2558456010648523,14.770089813639485
5,oscars,Track time,0,Duration,125,5,783,987,158,0.15350141629605088,0.04199012348234151,16.06499084518708,0.36422598942935086,0.24330275314410113,14.742912499544829
6,oscars,Track time,0,Duration,150,4,783,987,158,0.1530208635043825,0.042226430609385336,14.978418317946947,0.36672343673757785,0.24736996317877202,13.672042705346042
7,oscars,Track time,5,Duration,0,527,783,953,158,0.15970510008634517,0.05190844396031684,13.948743748638341,0.39614277338750525,0.29534106708265084,12.626643136764658
8,oscars,Track time,5,Duration,25,38,783,953,158,0.15100571278472139,0.03748395529488591,14.227243807155173,0.36474565833264316,0.24427787489847752,12.9276241172739
9,oscars,Track time,5,Duration,50,15,783,953,158,0.15369230359575412,0.0414958790245101,16.41934538757744,0.3673380328384164,0.24852494551375168,15.052537930937326
10,oscars,Track time,5,Duration,75,9,783,953,158,0.15452377241853937,0.04302488745462445,16.257849424976506,0.3713633588271519,0.25527411601547345,14.889474046369394
11,oscars,Track time,5,Duration,100,6,783,953,158,0.15491874812154044,0.04392686339268959,16.17710144367604,0.37238240863067673,0.256884613848026,14.807942104085427
12,oscars,Track time,5,Duration,125,5,783,953,158,0.15417901868947462,0.043040832536412194,16.09635346237557,0.3648816724874332,0.24438039895673608,14.78076478999077
13,oscars,Track time,5,Duration,150,4,783,953,158,0.15369440558489258,0.043259123657208735,15.007351211479653,0.3673639497721789,0.24841473098544808,13.705359164520118
14,oscars,Track time,10,Duration,0,527,783,919,158,0.16046500535622563,0.05270187970323566,13.884949357835282,0.39432198848849415,0.2924960350264892,12.580985817519837
15,oscars,Track time,10,Duration,25,38,783,919,158,0.15172258847348918,0.03817092422501329,14.500036646761563,0.3626755382958063,0.24083805590584362,13.215212782804677
