,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Filter 3,Threshold 3,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,oscars,Track time,0,Text length,0,Duration,0,527,783,987,158,0.1591005530919358,0.050955359269984,13.921452544838056,0.3957149395095139,0.2947077746302106,12.594057383278694
1,oscars,Track time,0,Text length,0,Duration,5,166,783,987,158,0.15925519009829514,0.05185458849470044,13.122284609711466,0.4114252739716449,0.3204289428926159,11.746641214907761
2,oscars,Track time,0,Text length,0,Duration,10,92,783,987,158,0.15934067227515752,0.052496906717642844,13.075207950924554,0.3967821856926913,0.29603328125201533,11.803564304185274
3,oscars,Track time,0,Text length,0,Duration,15,61,783,987,158,0.16336354108017537,0.055418622606444076,15.179460272776728,0.3849028206780451,0.27760395732791976,13.880034292650315
4,oscars,Track time,0,Text length,0,Duration,20,52,783,987,158,0.1648400108747428,0.05857073058729392,14.432209067896363,0.37757421484660514,0.265173645798934,13.202349705140332
5,oscars,Track time,0,Text length,0,Duration,25,38,783,987,158,0.15038571358139968,0.03646898452150295,14.324615203605711,0.3641221979512854,0.24324598155046584,13.019584081430162
6,oscars,Track time,0,Text length,0,Duration,30,22,783,987,158,0.15145340918095884,0.037549650164425935,16.630226714290348,0.36307099486096345,0.24151134727260493,15.259281467343294
7,oscars,Track time,0,Text length,0,Duration,40,16,783,987,158,0.15218928989484728,0.039322091985937634,16.468730751689414,0.3646381514148051,0.2440338043367609,15.09621758277536
8,oscars,Track time,0,Text length,0,Duration,50,15,783,987,158,0.15302614692956767,0.04045016852751756,16.38798277038895,0.3666903458860027,0.24745961503067224,15.014685640491388
9,oscars,Track time,0,Text length,0,Duration,75,9,783,987,158,0.15384824464178018,0.041975619522785744,16.226486807788014,0.37072675908447117,0.2542326501247383,14.851621755923452
10,oscars,Track time,0,Text length,0,Duration,100,6,783,987,158,0.15424381823885502,0.04288116019229906,16.14573882648755,0.3717451284369339,0.2558456010648523,14.770089813639485
11,oscars,Track time,0,Text length,0,Duration,125,5,783,987,158,0.15350141629605088,0.04199012348234151,16.06499084518708,0.36422598942935086,0.24330275314410113,14.742912499544829
12,oscars,Track time,0,Text length,0,Duration,150,4,783,987,158,0.1530208635043825,0.042226430609385336,14.978418317946947,0.36672343673757785,0.24736996317877202,13.672042705346042
13,oscars,Track time,0,Text length,100,Duration,0,527,783,987,158,0.1591005530919358,0.050955359269984,13.921452544838056,0.3957149395095139,0.2947077746302106,12.594057383278694
14,oscars,Track time,0,Text length,100,Duration,5,166,783,987,158,0.15925519009829514,0.05185458849470044,13.122284609711466,0.4114252739716449,0.3204289428926159,11.746641214907761
15,oscars,Track time,0,Text length,100,Duration,10,92,783,987,158,0.15934067227515752,0.052496906717642844,13.075207950924554,0.3967821856926913,0.29603328125201533,11.803564304185274
16,oscars,Track time,0,Text length,100,Duration,15,61,783,987,158,0.16336354108017537,0.055418622606444076,15.179460272776728,0.3849028206780451,0.27760395732791976,13.880034292650315
17,oscars,Track time,0,Text length,100,Duration,20,52,783,987,158,0.1648400108747428,0.05857073058729392,14.432209067896363,0.37757421484660514,0.265173645798934,13.202349705140332
18,oscars,Track time,0,Text length,100,Duration,25,38,783,987,158,0.15038571358139968,0.03646898452150295,14.324615203605711,0.3641221979512854,0.24324598155046584,13.019584081430162
19,oscars,Track time,0,Text length,100,Duration,30,22,783,987,158,0.15145340918095884,0.037549650164425935,16.630226714290348,0.36307099486096345,0.24151134727260493,15.259281467343294
20,oscars,Track time,0,Text length,100,Duration,40,16,783,987,158,0.15218928989484728,0.039322091985937634,16.468730751689414,0.3646381514148051,0.2440338043367609,15.09621758277536
21,oscars,Track time,0,Text length,100,Duration,50,15,783,987,158,0.15302614692956767,0.04045016852751756,16.38798277038895,0.3666903458860027,0.24745961503067224,15.014685640491388
22,oscars,Track time,0,Text length,100,Duration,75,9,783,987,158,0.15384824464178018,0.041975619522785744,16.226486807788014,0.37072675908447117,0.2542326501247383,14.851621755923452
23,oscars,Track time,0,Text length,100,Duration,100,6,783,987,158,0.15424381823885502,0.04288116019229906,16.14573882648755,0.3717451284369339,0.2558456010648523,14.770089813639485
24,oscars,Track time,0,Text length,100,Duration,125,5,783,987,158,0.15350141629605088,0.04199012348234151,16.06499084518708,0.36422598942935086,0.24330275314410113,14.742912499544829
25,oscars,Track time,0,Text length,100,Duration,150,4,783,987,158,0.1530208635043825,0.042226430609385336,14.978418317946947,0.36672343673757785,0.24736996317877202,13.672042705346042
26,oscars,Track time,0,Text length,1000,Duration,0,527,746,987,158,0.16088785568346387,0.05377528073449946,13.791489136000866,0.3984080122458315,0.29901581976218805,12.466896195672692
27,oscars,Track time,0,Text length,1000,Duration,5,166,746,987,158,0.16101643025701087,0.054564078597686916,13.013974851961548,0.4139155836578495,0.32436156973910124,11.63782533803922
28,oscars,Track time,0,Text length,1000,Duration,10,92,746,987,158,0.16097824348059997,0.055110764813268855,12.967411710041693,0.39910841753151133,0.299675766022151,11.694127504608506
29,oscars,Track time,0,Text length,1000,Duration,15,61,746,987,158,0.16499515417056485,0.05809166430725214,15.119240810943534,0.3873053441413865,0.2814677265982885,13.81603329469581
30,oscars,Track time,0,Text length,1000,Duration,20,52,746,987,158,0.16647794132729987,0.06119144488635832,14.297584599308731,0.37997910656991135,0.26904817578593776,13.065261636403253
31,oscars,Track time,0,Text length,1000,Duration,25,38,746,987,158,0.15212767523774035,0.039390812293868906,14.351347650527975,0.366746973286857,0.24760054394053846,13.040577847729423
32,oscars,Track time,0,Text length,1000,Duration,30,22,746,987,158,0.15322012892346618,0.04052197636394747,16.435835765502837,0.3657707747401081,0.2460049132327087,15.068607411403208
33,oscars,Track time,0,Text length,1000,Duration,40,16,746,987,158,0.15396537801518675,0.04228156320601938,16.27668457186888,0.3673008175118798,0.24842658005761115,14.90791106054951
34,oscars,Track time,0,Text length,1000,Duration,50,15,746,987,158,0.15483250546838084,0.04343057830202394,16.197108975051904,0.36939353783088974,0.2519153767018776,14.827562885122662
35,oscars,Track time,0,Text length,1000,Duration,75,9,746,987,158,0.15568767434598238,0.04497159605017813,16.037957781417955,0.3734840037116166,0.25877249281956793,14.666866534268962
36,oscars,Track time,0,Text length,1000,Duration,100,6,746,987,158,0.15609383022715134,0.045874984482424934,15.958382184600978,0.37453759574569595,0.2604302893172298,14.586518358842111
37,oscars,Track time,0,Text length,1000,Duration,125,5,746,987,158,0.15535949022719966,0.04499825322435638,15.878806587784002,0.3670544312603779,0.24795857164691307,14.559735633699828
38,oscars,Track time,0,Text length,1000,Duration,150,4,746,987,158,0.15487619978525033,0.04518928081956712,14.821034902574548,0.3695075002527622,0.2519205131105841,13.512500927712075
39,oscars,Track time,0,Text length,2000,Duration,0,527,597,987,158,0.16005908287474072,0.052450972802751364,13.934645168023476,0.39666727988393596,0.2964304708746508,12.603171178531504
40,oscars,Track time,0,Text length,2000,Duration,5,166,597,987,158,0.16034220805211513,0.05336801230975248,13.147195960382145,0.41230172094301915,0.32216108020210443,11.75977173766712
41,oscars,Track time,0,Text length,2000,Duration,10,92,597,987,158,0.1601855628802071,0.05383900556868148,13.10090692084297,0.3972171093221384,0.2968044496639991,11.815742471320615
42,oscars,Track time,0,Text length,2000,Duration,15,61,597,987,158,0.16421917379141387,0.05679514622224623,15.261115148831674,0.38538063799313377,0.2784060208931309,13.950627054351283
43,oscars,Track time,0,Text length,2000,Duration,20,52,597,987,158,0.16562595319755494,0.05983390064489018,14.43640626090916,0.378109854263067,0.2660563139925817,13.190641468531798
44,oscars,Track time,0,Text length,2000,Duration,25,38,597,987,158,0.15164700668918824,0.0383682287143417,15.451237929429563,0.3650592795625925,0.24481920462357684,14.1019275574424
45,oscars,Track time,0,Text length,2000,Duration,30,22,597,987,158,0.1524508746850394,0.0393300065752461,16.586433125643367,0.3636739538105502,0.24250692059227855,15.211114132785466
46,oscars,Track time,0,Text length,2000,Duration,40,16,597,987,158,0.15322193411232254,0.04108377768156012,16.428526516123856,0.36515533878184286,0.2448786766634786,15.051674449387123
47,oscars,Track time,0,Text length,2000,Duration,50,15,597,987,158,0.1541390121071941,0.042244634187338814,16.3495732113641,0.36732100471327167,0.24849763302662226,14.97195460768795
48,oscars,Track time,0,Text length,2000,Duration,75,9,597,987,158,0.15487340711024244,0.043700784955818,16.191666601844588,0.37142927615824173,0.2553993889887434,14.812514924289609
49,oscars,Track time,0,Text length,2000,Duration,100,6,597,987,158,0.15523618225911318,0.0445702398381004,16.11271329708483,0.37234834199910827,0.25683682915239425,14.732795082590435
50,oscars,Track time,0,Text length,2000,Duration,125,5,597,987,158,0.154500950413293,0.04369861585193446,16.033759992325074,0.3649658003326418,0.24452314622955204,14.706221802024045
51,oscars,Track time,0,Text length,2000,Duration,150,4,597,987,158,0.15409234040317799,0.04393977953772949,14.97187456502006,0.3675484003297953,0.2487293650554695,13.648683316022273
52,oscars,Track time,0,Text length,3000,Duration,0,527,413,987,158,0.15757049832641606,0.05218318464690583,13.621536629968036,0.3955902015576561,0.29378777218270113,12.2470781416137
53,oscars,Track time,0,Text length,3000,Duration,5,166,413,987,158,0.15773132154849012,0.05302948931116444,12.793533893711484,0.4127837875818551,0.3215554463588759,11.361407019711645
54,oscars,Track time,0,Text length,3000,Duration,10,92,413,987,158,0.15719876589778548,0.05332805114782847,12.745730469283952,0.3951077110546576,0.29243751458104733,11.422798647665728
55,oscars,Track time,0,Text length,3000,Duration,15,61,413,987,158,0.1616274278935359,0.05644743452058327,14.282510174803187,0.3820413153111733,0.2722184118120066,12.941803738950282
56,oscars,Track time,0,Text length,3000,Duration,20,52,413,987,158,0.16311524241913092,0.05967582400546955,13.750276277809311,0.37379100326190284,0.2586420379801172,12.479030932048344
57,oscars,Track time,0,Text length,3000,Duration,25,38,413,987,158,0.14758836782466636,0.03656915540406496,13.434402724050292,0.3590304446414332,0.23471967133648416,12.089215025359763
58,oscars,Track time,0,Text length,3000,Duration,30,22,413,987,158,0.14875185124866316,0.037733081295101535,16.552223393642798,0.3574575182582929,0.23213004906806373,15.118913616667449
59,oscars,Track time,0,Text length,3000,Duration,40,16,413,987,158,0.1494983508163394,0.039593791541663974,16.3733325170775,0.35894142019919156,0.23462906268521316,14.938285935475305
60,oscars,Track time,0,Text length,3000,Duration,50,15,413,987,158,0.15072757994626904,0.04095487202953624,16.28388707879485,0.3614374092823764,0.23868559201879855,14.847972094879236
61,oscars,Track time,0,Text length,3000,Duration,75,9,413,987,158,0.15174512587902603,0.04265307762348028,16.10499620222956,0.3664309465170433,0.24685539040186302,14.667344413687095
62,oscars,Track time,0,Text length,3000,Duration,100,6,413,987,158,0.1520998835447633,0.04358217587125204,16.015550763946912,0.36736867879071516,0.24835516562186735,14.577030573091022
63,oscars,Track time,0,Text length,3000,Duration,125,5,413,987,158,0.15134016652392532,0.04267218621178876,15.926105325664263,0.35913639390072666,0.2349687332760397,14.546925959558997
