,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,quantum computing,Duration,0,Text length,0,502,399,996,42,0.831829191277974,0.5022483067817476,13.813547371391458,0.8906127046764637,0.6459349008587311,11.797831097344648
1,quantum computing,Duration,0,Text length,100,502,399,996,42,0.831829191277974,0.5022483067817476,13.813547371391458,0.8906127046764637,0.6459349008587311,11.797831097344648
2,quantum computing,Duration,0,Text length,1000,502,381,996,42,0.8314332723017658,0.4967684396954673,13.576677729621577,0.8918490293085495,0.6457137403517286,11.459818308137146
3,quantum computing,Duration,0,Text length,2000,502,354,996,42,0.8272341626115961,0.49492466624246484,13.117666395874663,0.8893669839585935,0.6423544183160337,10.804808218465507
4,quantum computing,Duration,0,Text length,3000,502,303,996,42,0.8235576305071008,0.49306498095086654,13.162129700989153,0.8884939391904454,0.6439318525678447,10.832388690771099
5,quantum computing,Duration,0,Text length,5000,502,181,996,42,0.8185838537171249,0.48635291999760705,11.923025534722207,0.8899013984863563,0.6463747560938954,9.294095206567093
6,quantum computing,Duration,0,Text length,7500,502,86,996,42,0.7852521319280346,0.4257604996705315,12.59384745248548,0.8780008596366504,0.5929851090820263,9.167959932336172
7,quantum computing,Duration,0,Text length,10000,502,44,996,42,0.7741337404572094,0.40764138168439285,12.436994499915482,0.875299347013508,0.5911108062023084,9.146135244878673
8,quantum computing,Duration,5,Text length,0,304,399,996,42,0.8375524253119178,0.5066661954296958,13.777532839828725,0.8960110510999708,0.6526751670981943,11.893682753218545
9,quantum computing,Duration,5,Text length,100,304,399,996,42,0.8375524253119178,0.5066661954296958,13.777532839828725,0.8960110510999708,0.6526751670981943,11.893682753218545
10,quantum computing,Duration,5,Text length,1000,304,381,996,42,0.8373709401711112,0.5015168025544343,13.865912931033124,0.8973975481004153,0.6528482904978014,11.906315002154798
11,quantum computing,Duration,5,Text length,2000,304,354,996,42,0.8337228509971683,0.5002643055319193,13.344389475626208,0.8951945802907928,0.6499035522405359,11.17173505485229
12,quantum computing,Duration,5,Text length,3000,304,303,996,42,0.8303144342925833,0.4982424715539824,12.378029940597218,0.894619208966295,0.651605513019759,10.1586895476812
13,quantum computing,Duration,5,Text length,5000,304,181,996,42,0.8241487418096627,0.4890955334273157,11.20751431365273,0.8959837902393555,0.6535379118677059,8.570748740955317
14,quantum computing,Duration,5,Text length,7500,304,86,996,42,0.79100001410635,0.4283600564085169,12.15471989338338,0.8840040931150273,0.6002160682132114,8.756900706397762
15,quantum computing,Duration,5,Text length,10000,304,44,996,42,0.7842457173969076,0.41418877301928003,12.2878233851349,0.8838513318898451,0.6020298905004845,9.017812861335665
16,quantum computing,Duration,10,Text length,0,214,399,996,42,0.8342527550944732,0.5045890732241131,13.183435963054205,0.8941393991160735,0.65157109516458,11.177733308774988
17,quantum computing,Duration,10,Text length,100,214,399,996,42,0.8342527550944732,0.5045890732241131,13.183435963054205,0.8941393991160735,0.65157109516458,11.177733308774988
18,quantum computing,Duration,10,Text length,1000,214,381,996,42,0.8340462583214354,0.49949802260015314,12.780995771215053,0.8955291105876323,0.6517845255416195,10.680757505392187
19,quantum computing,Duration,10,Text length,2000,214,354,996,42,0.8306070480851208,0.4985807166966244,12.622443729410803,0.8932093745765303,0.6486110988222101,10.400118538701534
20,quantum computing,Duration,10,Text length,3000,214,303,996,42,0.8263885426174269,0.4956593080599252,11.664700179568,0.8921067418941404,0.6494282514230517,9.406459796026171
21,quantum computing,Duration,10,Text length,5000,214,181,996,42,0.8186994636160002,0.4848990693660726,10.740497051405049,0.8927289935750683,0.6500886431360401,8.115799547597454
22,quantum computing,Duration,10,Text length,7500,214,86,996,42,0.786493136894786,0.4263171994326746,11.781046833363732,0.8811069336858514,0.5979321942649861,8.418436814681026
23,quantum computing,Duration,10,Text length,10000,214,44,996,42,0.7779817373702509,0.41108763275410426,12.088356255441045,0.8793650402004382,0.597426579354647,8.81563437591521
24,quantum computing,Duration,15,Text length,0,142,399,996,42,0.8319189306843491,0.49923083118322914,13.42389634080029,0.8937149504003484,0.6507931024059829,11.347239045738629
25,quantum computing,Duration,15,Text length,100,142,399,996,42,0.8319189306843491,0.49923083118322914,13.42389634080029,0.8937149504003484,0.6507931024059829,11.347239045738629
26,quantum computing,Duration,15,Text length,1000,142,381,996,42,0.83150870739171,0.4936263215341978,13.468575273578715,0.8950788942897985,0.650855208401242,11.27139362035379
27,quantum computing,Duration,15,Text length,2000,142,354,996,42,0.8278768321946451,0.492679823721224,12.979241600630864,0.8926387044607199,0.6475000764056945,10.658977858563714
28,quantum computing,Duration,15,Text length,3000,142,303,996,42,0.823360995305281,0.4894048736836985,12.675627298672806,0.8914053892315037,0.6481698773554537,10.29877864516234
29,quantum computing,Duration,15,Text length,5000,142,181,996,42,0.8158937160012221,0.478904360357424,11.482051595023597,0.8917980784425906,0.6483430473708609,8.783276209308976
30,quantum computing,Duration,15,Text length,7500,142,86,996,42,0.781049079667757,0.41727893654193216,12.513443490354629,0.8786427143063853,0.5922576537800956,8.936543969879688
31,quantum computing,Duration,15,Text length,10000,142,44,996,42,0.7696157015061061,0.3982420420884701,12.674992806571753,0.8763484903895671,0.5906816358577618,9.173847668141653
32,quantum computing,Duration,20,Text length,0,97,399,996,42,0.8290733251691071,0.49293794191371887,12.93221067474288,0.8922650876960354,0.6471983262539568,10.863074087552553
33,quantum computing,Duration,20,Text length,100,97,399,996,42,0.8290733251691071,0.49293794191371887,12.93221067474288,0.8922650876960354,0.6471983262539568,10.863074087552553
34,quantum computing,Duration,20,Text length,1000,97,381,996,42,0.8283493704649489,0.48679115281055535,13.421163754748846,0.8935410891459606,0.6470130505784408,11.241920959947137
35,quantum computing,Duration,20,Text length,2000,97,354,996,42,0.8244343869035525,0.4856050789016857,12.969743602705387,0.890943874278761,0.6434036524387138,10.635865307980684
36,quantum computing,Duration,20,Text length,3000,97,303,996,42,0.8195954273134473,0.4818693281019127,12.677578528252328,0.8897527134466648,0.6441719676652211,10.298736937209913
37,quantum computing,Duration,20,Text length,5000,97,181,996,42,0.8122993198604394,0.47154274794419465,11.623019319737736,0.8897238737392765,0.6433963641890126,8.853901668841845
38,quantum computing,Duration,20,Text length,7500,97,86,996,42,0.7779615810743687,0.4112291851744824,13.14559225841532,0.8763971435530608,0.5871007941025305,9.476244137317607
39,quantum computing,Duration,20,Text length,10000,97,44,996,42,0.7662519400806201,0.39143916620141306,12.786188202854868,0.8747409563838213,0.5866037894714602,9.252294365562973
40,quantum computing,Duration,25,Text length,0,73,399,996,42,0.8289065286411779,0.48799012129733244,13.43175588198622,0.8921919814472998,0.641348761537794,11.353950838547526
41,quantum computing,Duration,25,Text length,100,73,399,996,42,0.8289065286411779,0.48799012129733244,13.43175588198622,0.8921919814472998,0.641348761537794,11.353950838547526
42,quantum computing,Duration,25,Text length,1000,73,381,996,42,0.828223768651806,0.48174147968036635,13.399440671595757,0.8934339795671328,0.6409257811211392,11.207066268385468
43,quantum computing,Duration,25,Text length,2000,73,354,996,42,0.8249135817747786,0.4815449337730402,12.90613412694092,0.8910097708071744,0.6377753446460559,10.591926104572204
