,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,quantum computing,Rating,0,Comment count,0,502,399,996,42,0.831829191277974,0.5022483067817476,13.813547371391458,0.8906127046764637,0.6459349008587311,11.797831097344648
1,quantum computing,Rating,0,Comment count,100,183,399,996,42,0.8212291584527953,0.49695870784281176,10.360865806602241,0.8868907167681334,0.6492784685019042,8.300005595787006
2,quantum computing,Rating,0,Comment count,1000,57,399,996,42,0.7876297747450846,0.45063206451624654,10.790761750829073,0.873244022858255,0.6211660644936626,8.25511562034796
3,quantum computing,Rating,0,Comment count,10000,5,399,996,42,0.8150218147330309,0.4727686892520255,9.667509130614853,0.8869127719013365,0.6312018864676096,7.635306040587632
4,quantum computing,Rating,0,Comment count,100000,0,399,996,42,0.8288976710170178,0.4900638685687987,13.136076466892177,0.8928985204869915,0.64141415638519,10.941223588492335
5,quantum computing,Rating,0,Comment count,1000000,0,399,996,42,0.8288976710170178,0.4900638685687987,13.136076466892177,0.8928985204869915,0.64141415638519,10.941223588492335
6,quantum computing,Rating,0,Comment count,10000000,0,399,996,42,0.8288976710170178,0.4900638685687987,13.136076466892177,0.8928985204869915,0.64141415638519,10.941223588492335
7,quantum computing,Rating,100,Comment count,0,502,399,996,10,0.8382645726399176,0.49638488786604335,13.07874499733356,0.8959797836965089,0.6370368462724685,11.074685894892543
8,quantum computing,Rating,100,Comment count,100,183,399,996,10,0.829823556226252,0.49700075242312053,11.5379009153519,0.8925685382065307,0.6447965030107156,9.537104353907448
9,quantum computing,Rating,100,Comment count,1000,57,399,996,10,0.7949139051017459,0.44719753151725056,11.511523851267437,0.879290143691905,0.6161033475562122,9.050693503228565
10,quantum computing,Rating,100,Comment count,10000,5,399,996,10,0.8177797352303373,0.45986937720149423,9.235334538197971,0.8912487946954287,0.618150093192443,7.157754273764898
11,quantum computing,Rating,100,Comment count,100000,0,399,996,10,0.834732386130005,0.48139724746818013,12.282899814370104,0.8982824180469745,0.6305298017880934,10.104091942168823
12,quantum computing,Rating,100,Comment count,1000000,0,399,996,10,0.834732386130005,0.48139724746818013,12.282899814370104,0.8982824180469745,0.6305298017880934,10.104091942168823
13,quantum computing,Rating,100,Comment count,10000000,0,399,996,10,0.834732386130005,0.48139724746818013,12.282899814370104,0.8982824180469745,0.6305298017880934,10.104091942168823
14,quantum computing,Rating,1000,Comment count,0,502,399,996,9,0.8379907951087875,0.49451613568062036,13.011931146531794,0.8959602570075215,0.6342962584945775,11.007223365927652
15,quantum computing,Rating,1000,Comment count,100,183,399,996,9,0.8311582315385023,0.4978039294929053,11.485864716256877,0.8930787128411314,0.643691966292997,9.484562948995968
16,quantum computing,Rating,1000,Comment count,1000,57,399,996,9,0.7963012932983942,0.44775641815812933,11.46426875593542,0.8796019416032601,0.614480233068101,9.002979620563227
17,quantum computing,Rating,1000,Comment count,10000,5,399,996,9,0.817119939715172,0.45742569927768173,9.237713936686035,0.8911019139172125,0.6149328807143113,7.118698257158258
18,quantum computing,Rating,1000,Comment count,100000,0,399,996,9,0.8341895477713186,0.478986335733946,12.21608596356834,0.8982466707539478,0.627485681003286,10.036629413203935
19,quantum computing,Rating,1000,Comment count,1000000,0,399,996,9,0.8341895477713186,0.478986335733946,12.21608596356834,0.8982466707539478,0.627485681003286,10.036629413203935
20,quantum computing,Rating,1000,Comment count,10000000,0,399,996,9,0.8341895477713186,0.478986335733946,12.21608596356834,0.8982466707539478,0.627485681003286,10.036629413203935
21,quantum computing,Rating,10000,Comment count,0,502,399,996,7,0.8380395683465502,0.49263315557837645,12.945117295730027,0.8968701193382955,0.6332469131185554,10.939760836962762
22,quantum computing,Rating,10000,Comment count,100,183,399,996,7,0.8307282153343549,0.4956043707159366,11.433828517161855,0.8935424864514344,0.6422373979956763,9.43202154408449
23,quantum computing,Rating,10000,Comment count,1000,57,399,996,7,0.7957388052445385,0.4454940791214066,11.4170136606034,0.8801365972485725,0.61302889264734,8.955265737897887
24,quantum computing,Rating,10000,Comment count,10000,5,399,996,7,0.8171714758096128,0.45541543821540686,9.18900163577109,0.8921677875693285,0.6139139425722872,7.069513021282975
25,quantum computing,Rating,10000,Comment count,100000,0,399,996,7,0.8344441013959479,0.47721204608056816,12.149272112766573,0.89949863732023,0.6269350871053598,9.969166884239044
26,quantum computing,Rating,10000,Comment count,1000000,0,399,996,7,0.8344441013959479,0.47721204608056816,12.149272112766573,0.89949863732023,0.6269350871053598,9.969166884239044
27,quantum computing,Rating,10000,Comment count,10000000,0,399,996,7,0.8344441013959479,0.47721204608056816,12.149272112766573,0.89949863732023,0.6269350871053598,9.969166884239044
28,quantum computing,Rating,100000,Comment count,0,502,399,996,5,0.8377226530681109,0.4938878759268775,12.895840735879448,0.8967739484284992,0.6354474660547413,10.872298307997873
29,quantum computing,Rating,100000,Comment count,100,183,399,996,5,0.830304398572631,0.49642960130563357,11.42695739264367,0.8934437004550295,0.6440351714319921,9.380463200502543
30,quantum computing,Rating,100000,Comment count,1000,57,399,996,5,0.7952772060206964,0.44635706261211067,11.423862225144275,0.8798220591584839,0.6144620394768067,8.952269213865765
31,quantum computing,Rating,100000,Comment count,10000,5,399,996,5,0.816846927851732,0.4567842807779692,9.19166865385661,0.8920886319819864,0.6162987074173746,7.062331924042999
32,quantum computing,Rating,100000,Comment count,100000,0,399,996,5,0.8341763542780586,0.47867144844788767,12.099995552915997,0.8994664039923679,0.6294478221923706,9.901704355274154
33,quantum computing,Rating,100000,Comment count,1000000,0,399,996,5,0.8341763542780586,0.47867144844788767,12.099995552915997,0.8994664039923679,0.6294478221923706,9.901704355274154
34,quantum computing,Rating,100000,Comment count,10000000,0,399,996,5,0.8341763542780586,0.47867144844788767,12.099995552915997,0.8994664039923679,0.6294478221923706,9.901704355274154
35,quantum computing,Rating,200000,Comment count,0,502,399,996,5,0.8377226530681109,0.4938878759268775,12.895840735879448,0.8967739484284992,0.6354474660547413,10.872298307997873
36,quantum computing,Rating,200000,Comment count,100,183,399,996,5,0.830304398572631,0.49642960130563357,11.42695739264367,0.8934437004550295,0.6440351714319921,9.380463200502543
37,quantum computing,Rating,200000,Comment count,1000,57,399,996,5,0.7952772060206964,0.44635706261211067,11.423862225144275,0.8798220591584839,0.6144620394768067,8.952269213865765
38,quantum computing,Rating,200000,Comment count,10000,5,399,996,5,0.816846927851732,0.4567842807779692,9.19166865385661,0.8920886319819864,0.6162987074173746,7.062331924042999
39,quantum computing,Rating,200000,Comment count,100000,0,399,996,5,0.8341763542780586,0.47867144844788767,12.099995552915997,0.8994664039923679,0.6294478221923706,9.901704355274154
40,quantum computing,Rating,200000,Comment count,1000000,0,399,996,5,0.8341763542780586,0.47867144844788767,12.099995552915997,0.8994664039923679,0.6294478221923706,9.901704355274154
41,quantum computing,Rating,200000,Comment count,10000000,0,399,996,5,0.8341763542780586,0.47867144844788767,12.099995552915997,0.8994664039923679,0.6294478221923706,9.901704355274154
42,quantum computing,Rating,300000,Comment count,0,502,399,996,4,0.8377226530681109,0.4938878759268775,12.895840735879448,0.8967739484284992,0.6354474660547413,10.872298307997873
43,quantum computing,Rating,300000,Comment count,100,183,399,996,4,0.830304398572631,0.49642960130563357,11.42695739264367,0.8934437004550295,0.6440351714319921,9.380463200502543
44,quantum computing,Rating,300000,Comment count,1000,57,399,996,4,0.7952772060206964,0.44635706261211067,11.423862225144275,0.8798220591584839,0.6144620394768067,8.952269213865765
45,quantum computing,Rating,300000,Comment count,10000,5,399,996,4,0.816846927851732,0.4567842807779692,9.19166865385661,0.8920886319819864,0.6162987074173746,7.062331924042999
46,quantum computing,Rating,300000,Comment count,100000,0,399,996,4,0.8341763542780586,0.47867144844788767,12.099995552915997,0.8994664039923679,0.6294478221923706,9.901704355274154
47,quantum computing,Rating,300000,Comment count,1000000,0,399,996,4,0.8341763542780586,0.47867144844788767,12.099995552915997,0.8994664039923679,0.6294478221923706,9.901704355274154
48,quantum computing,Rating,300000,Comment count,10000000,0,399,996,4,0.8341763542780586,0.47867144844788767,12.099995552915997,0.8994664039923679,0.6294478221923706,9.901704355274154
49,quantum computing,Rating,500000,Comment count,0,502,399,996,3,0.837722653068111,0.4938878759268774,12.89584073587945,0.8967739484284991,0.6354474660547416,10.872298307997875
50,quantum computing,Rating,500000,Comment count,100,183,399,996,3,0.830304398572631,0.49642960130563357,11.42695739264367,0.8934437004550295,0.6440351714319921,9.380463200502543
51,quantum computing,Rating,500000,Comment count,1000,57,399,996,3,0.7952772060206964,0.44635706261211067,11.423862225144275,0.8798220591584839,0.6144620394768067,8.952269213865765
52,quantum computing,Rating,500000,Comment count,10000,5,399,996,3,0.816846927851732,0.4567842807779692,9.19166865385661,0.8920886319819864,0.6162987074173746,7.062331924042999
53,quantum computing,Rating,500000,Comment count,100000,0,399,996,3,0.8341763542780584,0.47867144844788767,12.099995552915997,0.899466403992368,0.6294478221923707,9.901704355274155
54,quantum computing,Rating,500000,Comment count,1000000,0,399,996,3,0.8341763542780584,0.47867144844788767,12.099995552915997,0.899466403992368,0.6294478221923707,9.901704355274155
55,quantum computing,Rating,500000,Comment count,10000000,0,399,996,3,0.8341763542780584,0.47867144844788767,12.099995552915997,0.899466403992368,0.6294478221923707,9.901704355274155
56,quantum computing,Rating,750000,Comment count,0,502,399,996,2,0.837722653068111,0.4938878759268774,12.89584073587945,0.8967739484284991,0.6354474660547416,10.872298307997875
57,quantum computing,Rating,750000,Comment count,100,183,399,996,2,0.830304398572631,0.49642960130563357,11.42695739264367,0.8934437004550295,0.6440351714319921,9.380463200502543
58,quantum computing,Rating,750000,Comment count,1000,57,399,996,2,0.7952772060206964,0.44635706261211067,11.423862225144275,0.8798220591584839,0.6144620394768067,8.952269213865765
59,quantum computing,Rating,750000,Comment count,10000,5,399,996,2,0.816846927851732,0.4567842807779692,9.19166865385661,0.8920886319819864,0.6162987074173746,7.062331924042999
