,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,quantum computing,Track time,0,Duration,0,502,399,996,42,0.831829191277974,0.5022483067817476,13.813547371391458,0.8906127046764637,0.6459349008587311,11.797831097344648
1,quantum computing,Track time,0,Duration,25,73,399,996,42,0.8289065286411779,0.48799012129733244,13.43175588198622,0.8921919814472998,0.641348761537794,11.353950838547526
2,quantum computing,Track time,0,Duration,50,35,399,996,42,0.8303159232834503,0.4884775220516687,12.374527799281344,0.8936725067699476,0.6414575262371542,10.187762602035983
3,quantum computing,Track time,0,Duration,75,11,399,996,42,0.7978442168283837,0.40270336510641025,13.62607753325847,0.8894390209542026,0.5776955032219796,11.094473778244138
4,quantum computing,Track time,0,Duration,100,4,399,996,42,0.8113476046987952,0.4440877433032629,12.866220599836156,0.8880683501250853,0.6047673342879336,10.654942242539578
5,quantum computing,Track time,0,Duration,125,1,399,996,42,0.8288976710170178,0.4900638685687987,13.136076466892177,0.8928985204869915,0.64141415638519,10.941223588492335
6,quantum computing,Track time,0,Duration,150,1,399,996,42,0.8288976710170178,0.4900638685687987,13.136076466892177,0.8928985204869915,0.64141415638519,10.941223588492335
7,quantum computing,Track time,5,Duration,0,502,399,948,42,0.8327166203625943,0.5051302820265443,13.48737229464615,0.890640619413484,0.6466431051270648,11.494480420915695
8,quantum computing,Track time,5,Duration,25,73,399,948,42,0.829884161466445,0.49096420968354637,13.14665885270095,0.8924136048498803,0.6424360282142441,11.050830730853225
9,quantum computing,Track time,5,Duration,50,35,399,948,42,0.8310095240271295,0.4910479373904347,12.17291743691235,0.8938717235812739,0.6424921013398126,9.949694995027148
10,quantum computing,Track time,5,Duration,75,11,399,948,42,0.7989022328199876,0.4053567917578545,13.514237115835286,0.8900614538939599,0.5793651261444726,10.932492477024109
11,quantum computing,Track time,5,Duration,100,4,399,948,42,0.8123256728116558,0.4468855892755326,12.754805020786756,0.8883907973419144,0.6059468739299567,10.502603672499196
12,quantum computing,Track time,5,Duration,125,1,399,948,42,0.8298191851726101,0.49304659039717097,13.702298900624951,0.8929582543306709,0.6421912144482312,11.57656245392899
13,quantum computing,Track time,5,Duration,150,1,399,948,42,0.8298191851726101,0.49304659039717097,13.702298900624951,0.8929582543306709,0.6421912144482312,11.57656245392899
14,quantum computing,Track time,10,Duration,0,502,399,875,42,0.8319290957408807,0.5025809292846899,13.20729014563431,0.890685908379483,0.6445647800384411,11.232497676651162
15,quantum computing,Track time,10,Duration,25,73,399,875,42,0.8293808285110107,0.4889212582464716,12.879221891903049,0.8926961190449155,0.6409022888559325,10.758867539740859
16,quantum computing,Track time,10,Duration,50,35,399,875,42,0.8301084412701525,0.4884256537446922,11.975744713839953,0.8939490025296125,0.6405435738886247,9.768097578237823
17,quantum computing,Track time,10,Duration,75,11,399,875,42,0.7977897133258549,0.4031211018212828,13.551327514093467,0.8901165761449169,0.5778106019082658,10.971740865702172
18,quantum computing,Track time,10,Duration,100,4,399,875,42,0.8112711863274645,0.44434431111869543,12.792856276898826,0.8887706442088577,0.6047678397880898,10.532675713193978
19,quantum computing,Track time,10,Duration,125,1,399,875,42,0.8287546816070888,0.49009814482155806,13.38769076172177,0.8928116944361671,0.6396488266437003,11.288997785824257
20,quantum computing,Track time,10,Duration,150,1,399,875,42,0.8287546816070888,0.49009814482155806,13.38769076172177,0.8928116944361671,0.6396488266437003,11.288997785824257
21,quantum computing,Track time,25,Duration,0,502,399,686,42,0.8309615366605795,0.5044332551965893,13.4314930792685,0.889994710348305,0.6426929450771763,11.40777605967392
22,quantum computing,Track time,25,Duration,25,73,399,686,42,0.8283918928399336,0.49116497202958914,13.033809177426193,0.8920547535904687,0.6393582678341723,10.96000979289556
23,quantum computing,Track time,25,Duration,50,35,399,686,42,0.8298013757784302,0.4917356156402638,12.22400284900284,0.8936220666087343,0.6397470693132842,9.984378121379203
24,quantum computing,Track time,25,Duration,75,11,399,686,42,0.7996810450010395,0.4106712859371258,14.142470348144107,0.8904621932957385,0.5802109735196957,11.502274382992333
25,quantum computing,Track time,25,Duration,100,4,399,686,42,0.8119756648578377,0.44975413780184814,13.34308258067123,0.8879228310008734,0.603744056098174,11.10452300862915
26,quantum computing,Track time,25,Duration,125,1,399,686,42,0.8277655751905469,0.4924498797994103,13.654574592074589,0.8917687900234977,0.6373020947848211,11.496527664273085
27,quantum computing,Track time,25,Duration,150,1,399,686,42,0.8277655751905469,0.4924498797994103,13.654574592074589,0.8917687900234977,0.6373020947848211,11.496527664273085
28,quantum computing,Track time,50,Duration,0,502,399,298,42,0.8023721259180806,0.4288566193644073,12.647318302910485,0.8857359757136325,0.5958383384663904,9.514142899334404
29,quantum computing,Track time,50,Duration,25,73,399,298,42,0.7996638378173597,0.4156417147739073,12.53497659747659,0.887153493468573,0.5906601752986541,9.247665565087352
30,quantum computing,Track time,50,Duration,50,35,399,298,42,0.800538695333617,0.41506513036226317,11.944484684597672,0.8877046168760391,0.5886427477298827,8.604831954255102
31,quantum computing,Track time,50,Duration,75,11,399,298,42,0.7659533198334968,0.3367870270136326,13.619781067697723,0.8804332568327008,0.5203401907730241,9.671887753063583
32,quantum computing,Track time,50,Duration,100,4,399,298,42,0.7770258607262391,0.37031036643710674,12.927456417039746,0.8769745000942907,0.5421013067633029,9.439514448953494
33,quantum computing,Track time,50,Duration,125,1,399,298,42,0.7956891744399185,0.41113760652684433,12.891737891737892,0.885879432176319,0.5845224984195829,9.460836750124576
34,quantum computing,Track time,50,Duration,150,1,399,298,42,0.7956891744399185,0.41113760652684433,12.891737891737892,0.885879432176319,0.5845224984195829,9.460836750124576
35,quantum computing,Track time,100,Duration,0,502,399,37,42,0.7295313365258165,0.3826099417032582,11.723353128754871,0.8416983530862573,0.5674024417466985,8.507644859278262
36,quantum computing,Track time,100,Duration,25,73,399,37,42,0.7227895228419283,0.36385561110266734,11.761380443074433,0.84162989880295,0.5566685656496966,8.54638127968278
37,quantum computing,Track time,100,Duration,50,35,399,37,42,0.719846795587251,0.3592075814584274,11.72088304249762,0.8393672803667334,0.549055197304509,8.704808671940548
38,quantum computing,Track time,100,Duration,75,11,399,37,42,0.6811191525200546,0.27640713902780334,12.997040475488763,0.8305956405813478,0.4610233026004181,8.919136560210838
39,quantum computing,Track time,100,Duration,100,4,399,37,42,0.6898793316444422,0.31161436367596834,12.578900186658817,0.8254662050575742,0.49420879761791636,9.099341315797803
