,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,quantum computing,Track time,0,Text length,0,502,399,996,42,0.831829191277974,0.5022483067817476,13.813547371391458,0.8906127046764637,0.6459349008587311,11.797831097344648
1,quantum computing,Track time,0,Text length,100,502,399,996,42,0.831829191277974,0.5022483067817476,13.813547371391458,0.8906127046764637,0.6459349008587311,11.797831097344648
2,quantum computing,Track time,0,Text length,1000,502,381,996,42,0.8314332723017658,0.4967684396954673,13.576677729621577,0.8918490293085495,0.6457137403517286,11.459818308137146
3,quantum computing,Track time,0,Text length,2000,502,354,996,42,0.8272341626115961,0.49492466624246484,13.117666395874663,0.8893669839585935,0.6423544183160337,10.804808218465507
4,quantum computing,Track time,0,Text length,3000,502,303,996,42,0.8235576305071008,0.49306498095086654,13.162129700989153,0.8884939391904454,0.6439318525678447,10.832388690771099
5,quantum computing,Track time,0,Text length,5000,502,181,996,42,0.8185838537171249,0.48635291999760705,11.923025534722207,0.8899013984863563,0.6463747560938954,9.294095206567093
6,quantum computing,Track time,0,Text length,7500,502,86,996,42,0.7852521319280346,0.4257604996705315,12.59384745248548,0.8780008596366504,0.5929851090820263,9.167959932336172
7,quantum computing,Track time,0,Text length,10000,502,44,996,42,0.7741337404572094,0.40764138168439285,12.436994499915482,0.875299347013508,0.5911108062023084,9.146135244878673
8,quantum computing,Track time,5,Text length,0,502,399,948,42,0.8327166203625943,0.5051302820265443,13.48737229464615,0.890640619413484,0.6466431051270648,11.494480420915695
9,quantum computing,Track time,5,Text length,100,502,399,948,42,0.8327166203625943,0.5051302820265443,13.48737229464615,0.890640619413484,0.6466431051270648,11.494480420915695
10,quantum computing,Track time,5,Text length,1000,502,381,948,42,0.8323398154443902,0.4997004175155177,14.28153205356998,0.8918942759650562,0.6464628593917889,12.196545854103535
11,quantum computing,Track time,5,Text length,2000,502,354,948,42,0.827935645643679,0.4975143677153985,13.762589263040063,0.8892554161579729,0.6427781726878403,11.459559876087866
12,quantum computing,Track time,5,Text length,3000,502,303,948,42,0.8245357564194424,0.49615353390531913,13.709913903482088,0.8885858393791553,0.6448358034500455,11.295230430804407
13,quantum computing,Track time,5,Text length,5000,502,181,948,42,0.818872473551191,0.4886371460849877,12.257967998531532,0.890301700153516,0.6479955769558652,9.548114620034102
14,quantum computing,Track time,5,Text length,7500,502,86,948,42,0.785171647113163,0.4273800178784585,12.485940940991574,0.8782813834515862,0.5941513678158804,9.051557013540735
15,quantum computing,Track time,5,Text length,10000,502,44,948,42,0.774104735096039,0.4096820294876322,12.570874921254312,0.8758403237025977,0.5929285178522106,9.231976703753363
16,quantum computing,Track time,10,Text length,0,502,399,875,42,0.8319290957408807,0.5025809292846899,13.20729014563431,0.890685908379483,0.6445647800384411,11.232497676651162
17,quantum computing,Track time,10,Text length,100,502,399,875,42,0.8319290957408807,0.5025809292846899,13.20729014563431,0.890685908379483,0.6445647800384411,11.232497676651162
18,quantum computing,Track time,10,Text length,1000,502,381,875,42,0.8316105617210886,0.49724686536174195,14.063801076080333,0.8920470169473084,0.6445790604557827,11.982805243930285
19,quantum computing,Track time,10,Text length,2000,502,354,875,42,0.8273157611824271,0.4952318669786614,13.84124538089842,0.8893392750586836,0.64076358580617,11.575926359835762
20,quantum computing,Track time,10,Text length,3000,502,303,875,42,0.8234127099464458,0.4930418358560844,13.530208165563431,0.8887334880289617,0.6427627438874253,11.161572308901109
21,quantum computing,Track time,10,Text length,5000,502,181,875,42,0.8187892443949183,0.4868383943327329,12.096163515201114,0.8903159771978308,0.6453884475716064,9.476815348652352
